,PLD587~1,
Wavenumbers [1/cm],Intensity,
2173.010,316.44983,
2170.099,339.02233,
2167.189,344.70393,
2164.278,356.0652,
2161.368,368.90947,
2158.457,401.82666,
2155.546,422.83656,
2152.636,442.0771,
2149.725,459.94043,
2146.815,451.02543,
2143.904,495.22352,
2140.993,488.36578,
2138.083,487.10823,
2135.172,494.20477,
2132.262,506.53081,
2129.351,509.05252,
2126.441,516.22697,
2123.530,490.77091,
2120.619,495.64369,
2117.709,440.87862,
2114.798,416.35949,
2111.888,384.78811,
2108.977,381.79719,
2106.067,373.21582,
2103.156,357.18714,
2100.245,363.6043,
2097.335,331.34751,
2094.424,331.11996,
2091.514,311.47982,
2088.603,306.20104,
2085.692,319.99294,
2082.782,323.55677,
2079.871,332.12558,
2076.961,338.36669,
2074.050,319.35227,
2071.140,329.28052,
2068.229,311.79556,
2065.318,322.563,
2062.408,323.04179,
2059.497,311.19045,
2056.587,315.2294,
2053.676,308.55913,
2050.766,313.93217,
2047.855,301.22629,
2044.944,295.0737,
2042.034,332.48612,
2039.123,311.58796,
2036.213,333.99164,
2033.302,310.40784,
2030.391,309.21791,
2027.481,318.60058,
2024.570,312.03949,
2021.660,336.02851,
2018.749,316.39706,
2015.839,311.16306,
2012.928,314.85487,
2010.017,324.06583,
2007.107,336.60069,
2004.196,322.97022,
2001.286,331.73098,
1998.375,327.0118,
1995.465,335.57053,
1992.554,321.21928,
1989.643,315.72869,
1986.733,331.07324,
1983.822,306.02308,
1980.912,319.48629,
1978.001,317.19272,
1975.090,323.81279,
1972.180,327.17686,
1969.269,316.0014,
1966.359,333.27397,
1963.448,324.70954,
1960.538,335.28972,
1957.627,331.60023,
1954.716,315.08463,
1951.806,311.81727,
1948.895,328.88622,
1945.985,292.48448,
1943.074,305.02719,
1940.164,312.89433,
1937.253,324.92926,
1934.342,316.50522,
1931.432,303.20229,
1928.521,331.54901,
1925.611,299.05406,
1922.700,309.90814,
1919.790,309.01238,
1916.879,313.2065,
1913.968,345.58565,
