,PL1CEB~1,
Wavenumbers [1/cm],Intensity,
2175.920,282.49454,
2173.010,283.87472,
2170.099,312.82987,
2167.189,289.62198,
2164.278,310.90201,
2161.368,335.92864,
2158.457,338.73627,
2155.546,348.98462,
2152.636,375.49462,
2149.725,397.151,
2146.815,401.43326,
2143.904,406.7974,
2140.993,401.43121,
2138.083,409.60636,
2135.172,412.05458,
2132.262,411.7588,
2129.351,409.45858,
2126.441,385.41255,
2123.530,424.20818,
2120.619,392.58282,
2117.709,354.97262,
2114.798,354.6654,
2111.888,336.51338,
2108.977,311.77814,
2106.067,314.56702,
2103.156,310.34115,
2100.245,307.49122,
2097.335,293.13874,
2094.424,290.26065,
2091.514,284.49458,
2088.603,280.24652,
2085.692,289.63752,
2082.782,291.08635,
2079.871,288.85706,
2076.961,289.43542,
2074.050,309.72424,
2071.140,292.73003,
2068.229,284.3164,
2065.318,287.64825,
2062.408,306.73523,
2059.497,295.04162,
2056.587,278.33716,
2053.676,282.76647,
2050.766,291.80717,
2047.855,282.55696,
2044.944,287.42627,
2042.034,305.07802,
2039.123,293.69865,
2036.213,272.98219,
2033.302,278.71716,
2030.391,285.70355,
2027.481,291.42675,
2024.570,305.45685,
2021.660,314.0861,
2018.749,296.84191,
2015.839,305.63451,
2012.928,309.48826,
2010.017,309.76058,
2007.107,297.03646,
2004.196,311.59525,
2001.286,341.48228,
1998.375,316.74801,
1995.465,312.65893,
1992.554,287.57672,
1989.643,338.52987,
1986.733,309.28596,
1983.822,308.74446,
1980.912,322.12325,
1978.001,303.63544,
1975.090,317.27405,
1972.180,322.67288,
1969.269,316.36781,
1966.359,314.20269,
1963.448,314.96103,
1960.538,326.04963,
1957.627,335.63313,
1954.716,296.6778,
1951.806,309.59292,
1948.895,325.01628,
1945.985,286.47876,
1943.074,290.63271,
1940.164,308.29801,
1937.253,308.95638,
1934.342,313.97006,
1931.432,315.1183,
1928.521,309.40846,
1925.611,292.24688,
1922.700,312.82596,
1919.790,341.89281,
1916.879,298.98747,
1913.968,316.47418,
1911.058,302.96246,
1908.147,312.42265,
1905.237,331.30147,
1902.326,325.75334,
1899.415,312.17195,
1896.505,324.42184,
1893.594,348.13416,
1890.684,335.4609,
1887.773,337.40472,
1884.863,332.64123,
1881.952,325.28997,
1879.041,321.20457,
1876.131,326.01503,
1873.220,290.01755,
1870.310,334.62547,
1867.399,324.72391,
1864.489,357.09803,
1861.578,320.07162,
1858.667,302.66164,
1855.757,333.5179,
1852.846,323.04869,
1849.936,348.77928,
1847.025,335.44405,
1844.114,343.42242,
1841.204,366.38112,
1838.293,351.00915,
1835.383,354.79049,
1832.472,348.86,
1829.562,342.69401,
1826.651,378.00509,
1823.740,343.27002,
1820.830,334.53158,
1817.919,338.31438,
1815.009,347.91857,
1812.098,358.47637,
1809.188,353.87211,
1806.277,319.27461,
1803.366,362.06563,
1800.456,394.78556,
1797.545,381.48587,
1794.635,369.04896,
1791.724,353.49028,
1788.813,363.90694,
1785.903,383.15505,
1782.992,367.72054,
1780.082,357.34545,
1777.171,392.17185,
1774.261,407.84993,
1771.350,392.39775,
1768.439,381.05355,
1765.529,382.22684,
1762.618,375.63499,
