,PL3CFB~1,
Raman shift [1/cm],Intensity,
2207.937,1804.2708,
2205.026,1831.8184,
2202.116,1870.1255,
2199.205,1883.8762,
2196.294,1888.4749,
2193.384,1944.4791,
2190.473,1977.2506,
2187.563,2006.7568,
2184.652,2092.9056,
2181.742,2161.9692,
2178.831,2263.6281,
2175.920,2349.6792,
2173.010,2458.3064,
2170.099,2604.6285,
2167.189,2734.4513,
2164.278,2905.6785,
2161.368,3083.9406,
2158.457,3289.6768,
2155.546,3513.1271,
2152.636,3647.8483,
2149.725,3745.9387,
2146.815,3933.4353,
2143.904,3945.5051,
2140.993,4028.8511,
2138.083,4066.6577,
2135.172,4042.1311,
2132.262,4020.7632,
2129.351,3944.8159,
2126.441,3844.1612,
2123.530,3604.972,
2120.619,3457.7063,
2117.709,3265.0755,
2114.798,3050.8624,
2111.888,2834.5782,
2108.977,2681.0902,
2106.067,2496.1086,
2103.156,2426.8598,
2100.245,2277.3618,
2097.335,2248.4274,
2094.424,2167.8762,
2091.514,2100.6654,
2088.603,2107.9003,
2085.692,2090.2338,
2082.782,2076.2545,
2079.871,2032.6586,
2076.961,2066.4044,
2074.050,2040.4053,
2071.140,2009.4679,
2068.229,1963.1588,
2065.318,1994.2752,
2062.408,1972.4355,
2059.497,1945.5297,
2056.587,1958.7466,
2053.676,1967.9251,
2050.766,1941.5305,
2047.855,1902.8274,
2044.944,1948.9167,
2042.034,1932.2999,
2039.123,1948.9945,
2036.213,1938.1839,
2033.302,1935.2662,
2030.391,1939.375,
2027.481,1945.3262,
2024.570,1938.9467,
2021.660,1953.3698,
2018.749,1983.0833,
2015.839,1949.9715,
2012.928,1949.9035,
2010.017,1964.8679,
2007.107,1969.1638,
2004.196,1965.5893,
2001.286,1963.4987,
1998.375,1956.375,
1995.465,1924.9107,
1992.554,1917.2515,
1989.643,1907.7206,
1986.733,1914.9803,
1983.822,1941.259,
1980.912,1927.6918,
1978.001,1931.3323,
1975.090,1934.8116,
1972.180,1910.238,
1969.269,1905.602,
1966.359,1904.5371,
1963.448,1923.2905,
1960.538,1960.5893,
1957.627,1933.4926,
1954.716,1906.0644,
1951.806,1949.5802,
1948.895,1936.1604,
1945.985,1938.1626,
1943.074,1896.1315,
1940.164,1888.9519,
1937.253,1869.158,
1934.342,1874.6146,
1931.432,1935.2804,
1928.521,1882.0969,
1925.611,1887.9459,
1922.700,1879.4662,
1919.790,1853.4272,
1916.879,1896.8875,
1913.968,1879.4008,
1911.058,1885.6873,
1908.147,1910.9355,
1905.237,1870.3162,
1902.326,1885.498,
1899.415,1853.7933,
1896.505,1862.2723,
1893.594,1865.4422,
1890.684,1903.0809,
1887.773,1868.9618,
1884.863,1891.8329,
1881.952,1904.9126,
1879.041,1904.9139,
1876.131,1910.4469,
1873.220,1891.3262,
1870.310,1884.662,
1867.399,1916.8472,
1864.489,1852.1539,
1861.578,1871.7486,
1858.667,1883.7372,
1855.757,1927.1936,
1852.846,1912.657,
1849.936,1928.9566,
1847.025,1931.4893,
1844.114,1952.8127,
1841.204,1968.6897,
1838.293,1957.9058,
1835.383,1973.8045,
1832.472,1994.6654,
1829.562,1967.6557,
1826.651,1990.9314,
1823.740,2000.0953,
1820.830,2028.2414,
1817.919,2047.1475,
1815.009,1988.5824,
1812.098,2015.1781,
1809.188,2027.8168,
1806.277,2004.9062,
1803.366,1980.0238,
1800.456,2019.4192,
1797.545,2037.836,
1794.635,2048.4381,
1791.724,2090.3653,
1788.813,2085.9629,
1785.903,2054.4719,
1782.992,2075.9845,
1780.082,2070.4333,
1777.171,2058.0474,
1774.261,2073.8999,
1771.350,2099.5968,
1768.439,2153.8006,
1765.529,2143.4639,
1762.618,2156.4638,
1759.708,2158.8313,
1756.797,2129.5341,
1753.887,2158.0951,
1750.976,2186.913,
1748.065,2185.0739,
1745.155,2195.7878,
1742.244,2197.4158,
1739.334,2190.9515,
1736.423,2242.3656,
1733.512,2244.001,
1730.602,2235.627,
1727.691,2261.4755,
1724.781,2285.1065,
1721.870,2328.0038,
1718.960,2334.9083,
1716.049,2336.8919,
1713.138,2334.81,
1710.228,2334.375,
1707.317,2379.4881,
1704.407,2434.7868,
1701.496,2430.348,
1698.586,2430.299,
1695.675,2468.7391,
1692.764,2507.3504,
1689.854,2498.8514,
1686.943,2499.3413,
1684.033,2586.1646,
1681.122,2543.1567,
1678.211,2579.0229,
1675.301,2683.0543,
1672.390,2710.4647,
1669.480,2741.2975,
1666.569,2855.8447,
1663.659,2893.5673,
1660.748,2965.7221,
1657.837,2986.065,
1654.927,3105.1567,
1652.016,3056.7077,
1649.106,3152.4559,
1646.195,3236.1902,
1643.285,3269.3978,
1640.374,3272.6955,
1637.463,3383.0143,
1634.553,3474.8872,
1631.642,3643.8734,
1628.732,3781.4475,
1625.821,3961.5,
1622.911,4151.2987,
1620.000,4288.6364,
1617.089,4614.7879,
1614.179,4876.9581,
1611.268,5108.7125,
1608.358,5305.1508,
1605.447,5389.8042,
1602.536,5586.3437,
1599.626,5567.2574,
1596.715,5576.1738,
1593.805,5575.5863,
1590.894,5563.9263,
1587.984,5528.5974,
1585.073,5462.1162,
1582.162,5491.4495,
1579.252,5449.4586,
1576.341,5436.7729,
1573.431,5369.8052,
1570.520,5333.03,
1567.610,5301.2962,
1564.699,5217.6969,
1561.788,5170.3611,
1558.878,5104.3401,
1555.967,4982.8999,
1553.057,4900.565,
1550.146,4840.8151,
1547.235,4738.6326,
1544.325,4625.4286,
1541.414,4588.556,
1538.504,4554.2432,
1535.593,4465.1966,
1532.683,4380.2986,
1529.772,4296.5257,
1526.861,4234.1564,
1523.951,4212.6026,
1521.040,4168.9593,
1518.130,4115.0712,
1515.219,4068.0945,
1512.309,4056.6362,
1509.398,3973.2419,
1506.487,3987.5561,
1503.577,3988.6689,
1500.666,3986.6815,
1497.756,3952.6456,
1494.845,3891.8931,
1491.934,3808.1041,
1489.024,3725.3297,
1486.113,3777.0807,
1483.203,3668.5777,
1480.292,3677.2848,
1477.382,3661.977,
1474.471,3595.9847,
1471.560,3583.1803,
1468.650,3558.0441,
1465.739,3531.2842,
1462.829,3530.5368,
1459.918,3521.5627,
1457.008,3530.683,
1454.097,3517.0996,
1451.186,3501.6632,
1448.276,3545.0751,
1445.365,3557.5883,
1442.455,3539.6353,
1439.544,3518.9908,
1436.633,3499.6759,
1433.723,3497.4966,
1430.812,3498.3562,
1427.902,3410.0593,
1424.991,3396.7906,
1422.081,3304.6273,
1419.170,3311.064,
1416.259,3336.0568,
1413.349,3317.2073,
1410.438,3314.9732,
1407.528,3295.4878,
1404.617,3306.8601,
1401.707,3336.6235,
1398.796,3354.0393,
1395.885,3385.5917,
1392.975,3409.687,
1390.064,3395.1441,
1387.154,3405.0662,
1384.243,3385.5821,
1381.332,3405.8722,
1378.422,3526.336,
1375.511,3603.1521,
1372.601,3732.4733,
1369.690,3793.0939,
1366.780,3871.0741,
1363.869,3949.6726,
1360.958,3970.3944,
1358.048,4039.3858,
1355.137,4127.327,
1352.227,4214.6171,
1349.316,4286.2622,
1346.406,4337.8607,
1343.495,4410.6276,
1340.584,4425.5167,
1337.674,4513.0583,
1334.763,4588.7271,
1331.853,4676.8141,
1328.942,4730.185,
1326.032,4848.115,
1323.121,4914.869,
1320.210,4926.7113,
1317.300,4999.154,
1314.389,5130.5432,
1311.479,5203.7537,
1308.568,5229.8287,
1305.657,5320.5852,
1302.747,5443.6488,
1299.836,5566.9625,
1296.926,5738.7933,
1294.015,5812.3392,
1291.105,5966.8282,
1288.194,6099.9978,
1285.283,6301.6478,
1282.373,6422.8982,
1279.462,6484.6685,
1276.552,6553.5799,
1273.641,6618.9389,
1270.731,6635.8481,
1267.820,6630.54,
1264.909,6686.3198,
1261.999,6670.9423,
1259.088,6659.0847,
1256.178,6490.5095,
1253.267,6326.5814,
1250.356,6180.4007,
1247.446,5998.9481,
1244.535,5815.6922,
1241.625,5619.6234,
1238.714,5446.4478,
1235.804,5373.3218,
1232.893,5257.0191,
1229.982,5167.9219,
1227.072,5095.4969,
1224.161,4962.6184,
1221.251,4898.1715,
1218.340,4793.6813,
1215.430,4752.633,
1212.519,4732.2094,
1209.608,4696.1856,
1206.698,4682.7152,
1203.787,4654.4554,
1200.877,4627.557,
1197.966,4711.1789,
1195.055,4812.6453,
1192.145,4953.3467,
1189.234,5020.3267,
1186.324,5121.1106,
1183.413,5219.4309,
1180.503,5230.4534,
1177.592,5175.5263,
1174.681,5120.9161,
1171.771,5013.2417,
1168.860,4964.1218,
1165.950,4923.092,
1163.039,4893.4229,
1160.129,4846.0344,
1157.218,4791.973,
1154.307,4738.2584,
1151.397,4696.593,
1148.486,4680.8879,
1145.576,4602.5633,
1142.665,4560.8314,
1139.754,4566.3249,
1136.844,4480.8371,
1133.933,4416.9822,
1131.023,4391.2936,
1128.112,4383.375,
1125.202,4382.1673,
1122.291,4386.8979,
1119.380,4446.0285,
1116.470,4410.7274,
1113.559,4437.305,
1110.649,4450.3041,
1107.738,4427.7274,
1104.828,4418.858,
1101.917,4426.6113,
1099.006,4405.3028,
1096.096,4414.5363,
1093.185,4417.1703,
1090.275,4401.9989,
1087.364,4406.6085,
1084.453,4395.1885,
1081.543,4387.319,
1078.632,4383.9134,
1075.722,4367.0675,
1072.811,4375.616,
1069.901,4393.0813,
1066.990,4465.5082,
1064.079,4464.0011,
1061.169,4488.5131,
1058.258,4564.0758,
1055.348,4631.8448,
1052.437,4633.2432,
1049.527,4625.3624,
1046.616,4702.6882,
1043.705,4718.3119,
1040.795,4716.544,
1037.884,4734.0988,
1034.974,4766.0374,
1032.063,4784.2751,
1029.153,4776.66,
1026.242,4795.689,
1023.331,4774.7097,
1020.421,4819.1721,
1017.510,4888.5587,
1014.600,4946.6756,
1011.689,4986.633,
1008.778,5035.848,
1005.868,5145.2206,
1002.957,5350.8453,
1000.047,5554.9111,
997.136,5695.7273,
994.226,5783.7283,
991.315,5801.1052,
988.404,5732.9987,
985.494,5678.1667,
982.583,5624.2036,
979.673,5540.2838,
976.762,5544.0785,
973.852,5565.049,
970.941,5561.004,
968.030,5557.3288,
965.120,5568.1853,
962.209,5523.0005,
959.299,5550.0792,
956.388,5568.8547,
953.477,5560.8662,
950.567,5561.8904,
947.656,5613.6032,
944.746,5630.5943,
941.835,5613.5591,
938.925,5578.4466,
936.014,5571.9857,
933.103,5574.3131,
930.193,5563.1728,
927.282,5564.6006,
924.372,5458.0541,
921.461,5391.3542,
918.551,5325.9003,
915.640,5248.6058,
912.729,5176.4939,
909.819,5135.8148,
906.908,5093.6935,
903.998,5096.1472,
901.087,5151.478,
898.176,5223.891,
895.266,5276.0404,
892.355,5311.1069,
889.445,5421.8902,
886.534,5474.1371,
883.624,5522.7264,
880.713,5590.8795,
877.802,5612.668,
874.892,5553.528,
871.981,5505.0396,
869.071,5490.8376,
866.160,5467.6762,
863.250,5469.9075,
860.339,5478.2272,
857.428,5476.862,
854.518,5483.4272,
851.607,5346.9679,
848.697,5366.0197,
845.786,5332.4405,
842.875,5312.7371,
839.965,5368.2731,
837.054,5372.468,
834.144,5380.7556,
831.233,5377.7087,
828.323,5334.3255,
825.412,5284.3259,
822.501,5262.1621,
819.591,5233.2381,
816.680,5195.516,
813.770,5114.3272,
810.859,5077.2411,
807.949,5061.2237,
805.038,5002.9635,
802.127,5024.3648,
799.217,4954.8175,
796.306,4932.6453,
793.396,4944.1079,
790.485,4954.3211,
787.574,4934.5966,
784.664,4914.0938,
781.753,4939.2273,
778.843,4975.9188,
775.932,4995.3627,
773.022,4993.4757,
770.111,5039.26,
767.200,4994.4123,
764.290,5011.7362,
761.379,4999.9269,
758.469,4945.375,
755.558,4944.3295,
752.648,4909.3016,
749.737,4905.6389,
746.826,4915.3008,
743.916,4890.5888,
741.005,4791.1782,
738.095,4683.1986,
735.184,4564.5462,
732.274,4517.6419,
729.363,4587.3457,
726.452,4753.109,
723.542,4862.3771,
720.631,4834.7353,
717.721,4849.0074,
714.810,4866.9943,
711.899,4866.9394,
708.989,4869.3601,
706.078,4827.7072,
703.168,4781.549,
700.257,4787.255,
697.347,4813.3766,
694.436,4760.1169,
691.525,4787.4463,
688.615,4769.4764,
685.704,4749.3313,
682.794,4742.7792,
679.883,4746.9425,
676.973,4737.326,
674.062,4739.8416,
671.151,4737.115,
668.241,4735.8547,
665.330,4753.6397,
662.420,4759.2308,
659.509,4740.0572,
656.598,4740.0592,
653.688,4766.187,
650.777,4800.7008,
647.867,4751.3285,
644.956,4736.6601,
642.046,4733.5458,
639.135,4726.9252,
636.224,4706.5023,
633.314,4731.9084,
630.403,4798.0873,
627.493,4858.1946,
624.582,4890.1407,
621.672,4898.0607,
618.761,4873.297,
615.850,4929.8406,
612.940,5005.9409,
610.029,5046.5087,
607.119,5017.2923,
604.208,5059.1058,
601.297,5029.5173,
598.387,5001.1526,
595.476,5052.3063,
592.566,5072.77,
589.655,5023.248,
586.745,4991.3372,
583.834,4966.7341,
580.923,4893.8015,
578.013,4964.4276,
575.102,4956.9899,
572.192,4952.7382,
569.281,4989.3734,
566.371,5039.4613,
563.460,5048.6078,
560.549,5072.3025,
557.639,5099.4034,
554.728,5113.6269,
551.818,5165.1278,
548.907,5194.6574,
545.996,5198.988,
543.086,5202.9769,
540.175,5275.391,
537.265,5262.268,
534.354,5274.9409,
531.444,5304.6853,
528.533,5336.3414,
525.622,5406.1767,
522.712,5478.4098,
519.801,5548.2167,
516.891,5616.0865,
513.980,5688.8703,
511.070,5792.5749,
508.159,5877.7887,
505.248,5936.6399,
502.338,5970.4475,
499.427,6075.4167,
496.517,6176.9103,
493.606,6263.6593,
490.695,6325.4077,
487.785,6340.0337,
484.874,6339.7901,
481.964,6322.5944,
479.053,6299.088,
476.143,6293.7123,
473.232,6251.6496,
470.321,6231.969,
467.411,6229.1348,
464.500,6230.5605,
461.590,6198.3994,
458.679,6234.4992,
455.769,6269.7997,
452.858,6269.4769,
449.947,6299.2702,
447.037,6296.8804,
444.126,6322.0598,
441.216,6370.1418,
438.305,6345.76,
435.395,6394.1703,
432.484,6377.1993,
429.573,6322.4751,
426.663,6352.8807,
423.752,6334.4524,
420.842,6317.6113,
417.931,6322.5959,
415.020,6372.6476,
412.110,6476.0692,
409.199,6550.5388,
406.289,6605.6096,
403.378,6655.1624,
400.468,6592.4149,
397.557,6617.106,
394.646,6660.7217,
391.736,6661.8639,
388.825,6583.4239,
385.915,6594.4354,
383.004,6623.2328,
380.094,6624.6746,
377.183,6708.9519,
374.272,6754.0862,
371.362,6821.822,
368.451,6943.384,
365.541,6992.9194,
362.630,7042.9731,
359.719,7094.3887,
356.809,7140.705,
353.898,7080.0523,
350.988,7096.4667,
348.077,7119.4381,
345.167,7109.3428,
342.256,7148.1903,
339.345,7191.261,
336.435,7212.1576,
333.524,7195.4185,
330.614,7260.247,
327.703,7281.4018,
324.793,7282.375,
321.882,7282.7175,
318.971,7423.9716,
316.061,7480.188,
313.150,7501.0774,
310.240,7541.8937,
307.329,7579.8215,
304.418,7672.343,
301.508,7746.8642,
298.597,7677.265,
295.687,7712.0094,
292.776,7845.9589,
289.866,8056.196,
286.955,8292.5881,
284.044,8521.1848,
281.134,8680.661,
278.223,8795.266,
275.313,9040.6388,
272.402,9225.4018,
269.492,9376.8242,
266.581,9509.3025,
263.670,9690.1568,
260.760,9840.5831,
257.849,9984.2667,
254.939,10138.382,
252.028,10281.525,
249.117,10330.35,
246.207,10329.489,
243.296,10349.254,
240.386,10381.413,
237.475,10345.126,
234.565,10244.81,
231.654,10139.635,
228.743,10104.717,
225.833,10027.078,
222.922,9871.6808,
220.012,9878.2378,
217.101,9849.4599,
214.191,9800.1087,
211.280,9742.6392,
208.369,9740.3934,
205.459,9715.0245,
202.548,9679.2608,
199.638,9701.7559,
196.727,9740.948,
