,PL430E~1,
Raman shift [1/cm],Intensity,
3014.167,0.25,
3011.256,1.4500429,
3008.346,35.211312,
3005.435,55.32774,
3002.525,60.835011,
2999.614,51.913645,
2996.704,81.100507,
2993.793,73.268432,
2990.882,62.639295,
2987.972,58.345854,
2985.061,83.013554,
2982.151,66.471829,
2979.240,76.818453,
2976.329,71.75819,
2973.419,86.988382,
2970.508,81.00005,
2967.598,87.205824,
2964.687,97.175952,
2961.777,89.061984,
2958.866,102.58581,
2955.955,98.491151,
2953.045,95.001691,
2950.134,106.03717,
2947.224,101.67703,
2944.313,112.20513,
2941.403,115.94069,
2938.492,115.82453,
2935.581,118.65859,
2932.671,108.25,
2929.760,113.59616,
2926.850,112.56353,
2923.939,130.93226,
2921.028,130.18536,
2918.118,126.3495,
2915.207,131.66784,
2912.297,114.35155,
2909.386,132.03103,
2906.476,129.89325,
2903.565,138.94408,
2900.654,125.35618,
2897.744,118.28772,
2894.833,119.60055,
2891.923,113.1955,
2889.012,133.08237,
2886.102,132.62568,
2883.191,130.25,
2880.280,125.97248,
2877.370,112.32559,
2874.459,119.07389,
2871.549,127.86854,
2868.638,117.11187,
2865.727,136.32312,
2862.817,137.65105,
2859.906,137.84544,
2856.996,145.77038,
2854.085,126.28569,
2851.175,126.87046,
2848.264,137.46083,
2845.353,133.48724,
2842.443,137.46184,
2839.532,127.25,
2836.622,115.13216,
2833.711,123.36145,
2830.801,128.83971,
2827.890,138.72726,
2824.979,136.31195,
2822.069,134.20451,
2819.158,133.29043,
2816.248,147.96237,
2813.337,141.68293,
2810.427,141.07369,
2807.516,143.56656,
2804.605,135.63702,
2801.695,126.46051,
2798.784,131.43685,
2795.874,134.96504,
2792.963,135.53574,
2790.052,144.24828,
2787.142,134.98677,
2784.231,129.37888,
2781.321,134.82151,
2778.410,149.95052,
2775.500,133.65483,
2772.589,143.21101,
2769.678,135.71416,
2766.768,133.81505,
2763.857,143.98796,
2760.947,143.69011,
2758.036,146.10994,
2755.126,134.39103,
2752.215,141.3773,
2749.304,147.61151,
2746.394,143.76816,
2743.483,139.35,
2740.573,145.57303,
2737.662,146.47337,
2734.751,147.80824,
2731.841,146.46612,
2728.930,151.08487,
2726.020,146.59722,
2723.109,153.70367,
2720.199,147.77801,
2717.288,151.74269,
2714.377,152.57066,
2711.467,162.88956,
2708.556,157.94137,
2705.646,149.57391,
2702.735,158.56958,
2699.825,145.73909,
2696.914,148.67864,
2694.003,156.14918,
2691.093,159.12485,
2688.182,148.37667,
2685.272,154.53307,
2682.361,152.16157,
2679.450,153.46402,
2676.540,160.35162,
2673.629,162.26347,
2670.719,156.89233,
2667.808,157.25,
2664.898,158.13327,
2661.987,162.85027,
2659.076,164.52156,
2656.166,167.71754,
2653.255,166.21259,
2650.345,163.32985,
2647.434,179.87818,
