,PLF12D~1,
Wavenumbers [1/cm],Intensity,
2528.100,325.33795,
2525.190,321.53402,
2522.279,323,
2519.369,320.28318,
2516.458,319.55949,
2513.548,324,
2510.637,331.93852,
2507.726,329.12639,
2504.816,328.37542,
2501.905,336.6811,
2498.995,352.28337,
2496.084,338.2404,
2493.173,349.68477,
2490.263,341.66324,
2487.352,349.7496,
2484.442,345.42398,
2481.531,342.68091,
2478.621,354.65883,
2475.710,330.18403,
2472.799,355.97307,
2469.889,365.87812,
2466.978,358.45372,
2464.068,373.15351,
2461.157,356.07992,
2458.247,363.88229,
2455.336,379.42273,
2452.425,355.33958,
2449.515,367.91475,
2446.604,362.51837,
2443.694,365.4646,
2440.783,362.28716,
2437.872,375.3801,
2434.962,357.42397,
2432.051,351.53701,
2429.141,367.79389,
2426.230,354.43421,
2423.320,390,
2420.409,386.59622,
2417.498,381.59832,
2414.588,378.73005,
2411.677,374.74899,
2408.767,367.49409,
2405.856,365.53095,
2402.946,386.90527,
2400.035,355.64316,
2397.124,402.19253,
2394.214,378.0536,
2391.303,377.21545,
2388.393,370.29533,
2385.482,342.14561,
2382.571,372.51921,
2379.661,369.83712,
2376.750,376.84237,
2373.840,406.59049,
2370.929,408.07581,
2368.019,400.50553,
2365.108,411.79058,
2362.197,407.62463,
2359.287,401.60501,
2356.376,418.9683,
2353.466,414.42468,
2350.555,414.32023,
2347.645,422.8159,
2344.734,425.15208,
2341.823,420.0995,
2338.913,440.80296,
2336.002,429.7081,
2333.092,433.18396,
2330.181,427.98211,
2327.270,429.83498,
2324.360,442.8326,
2321.449,420.20069,
2318.539,426.95718,
2315.628,441.73861,
2312.718,436.63435,
2309.807,414.22964,
2306.896,436.29109,
2303.986,446.77917,
2301.075,440,
2298.165,443.19237,
2295.254,455.74148,
2292.344,433.15767,
2289.433,438.03091,
2286.522,452.16066,
2283.612,453.85969,
2280.701,441.61437,
2277.791,463.40075,
2274.880,468.29209,
2271.969,451.77366,
2269.059,458.02725,
2266.148,476.59098,
2263.238,478.40155,
2260.327,476.79308,
2257.417,474,
2254.506,481.28208,
2251.595,487.43275,
2248.685,497.25764,
2245.774,501.09892,
2242.864,481.41647,
2239.953,480.73779,
2237.043,494.1418,
2234.132,475.10129,
2231.221,495.18614,
2228.311,483.86343,
2225.400,495.78807,
2222.490,516.87283,
2219.579,496.15427,
2216.669,508,
2213.758,502.1294,
2210.847,515.92693,
2207.937,530.5521,
