,PLF08E~1,
Wavenumbers [1/cm],Intensity,
2175.920,804.89528,
2173.010,812.89909,
2170.099,851.82839,
2167.189,890.67939,
2164.278,921.36935,
2161.368,975.78326,
2158.457,1024.3819,
2155.546,1060.7405,
2152.636,1096.3776,
2149.725,1141.7751,
2146.815,1170.7993,
2143.904,1187.8234,
2140.993,1244.2672,
2138.083,1264.2902,
2135.172,1290.0882,
2132.262,1307.0387,
2129.351,1321.9896,
2126.441,1284.3931,
2123.530,1272.7368,
2120.619,1199.9956,
2117.709,1155.4799,
2114.798,1104.5805,
2111.888,1033.6515,
2108.977,989.05628,
2106.067,954.44002,
2103.156,919.98478,
2100.245,890.48432,
2097.335,861.40577,
2094.424,829.5852,
2091.514,820.28223,
2088.603,819.24652,
2085.692,816.81603,
2082.782,805.13859,
2079.871,801.67853,
2076.961,814.59591,
2074.050,813.57879,
2071.140,797.75269,
2068.229,805.96225,
2065.318,797.64825,
2062.408,797.53026,
2059.497,789.48809,
2056.587,781.24425,
2053.676,781.94985,
2050.766,776.03886,
2047.855,779.75954,
2044.944,759.68749,
2042.034,785.91608,
2039.123,766.94108,
2036.213,759.81104,
2033.302,767.39085,
2030.391,773.17849,
2027.481,766.96337,
2024.570,780.29969,
2021.660,821.0757,
2018.749,778.33579,
2015.839,798.15485,
2012.928,789.5,
2010.017,805.73237,
2007.107,816.89061,
2004.196,788.05953,
2001.286,817.08652,
1998.375,793.44388,
1995.465,786.5125,
1992.554,785.99415,
1989.643,793.22349,
1986.733,809.98158,
1983.822,814.55022,
1980.912,789.58904,
1978.001,787.44063,
1975.090,779.93663,
1972.180,771.77526,
1969.269,793.78453,
1966.359,815.87851,
1963.448,806.15918,
1960.538,823.22227,
1957.627,791.05105,
1954.716,772.90218,
1951.806,787.64903,
1948.895,784.88875,
1945.985,748.95098,
1943.074,762.70658,
1940.164,778.1251,
1937.253,783.05659,
1934.342,768.41444,
1931.432,748.68612,
1928.521,757.73489,
1925.611,748.48071,
1922.700,769.20027,
1919.790,782.52883,
1916.879,754.66223,
1913.968,777.46926,
1911.058,762.64114,
1908.147,754.75113,
1905.237,787.46327,
1902.326,794.31484,
1899.415,747.65852,
1896.505,737.28927,
1893.594,757.0427,
1890.684,754.75495,
1887.773,763.09443,
1884.863,787.89408,
1881.952,789.22256,
1879.041,800.87332,
1876.131,763.1523,
1873.220,732.57956,
1870.310,752.70624,
1867.399,796.81228,
1864.489,793.26634,
1861.578,785.25841,
1858.667,770.39516,
1855.757,809.70286,
1852.846,810.26922,
1849.936,815.45396,
1847.025,804.67518,
1844.114,805.26939,
1841.204,802.46154,
1838.293,822.97589,
1835.383,827.11651,
1832.472,807.23217,
1829.562,828.8849,
1826.651,842.08111,
1823.740,805.55741,
1820.830,827.22472,
1817.919,817.95496,
1815.009,835.76208,
1812.098,856.55511,
1809.188,857.56202,
1806.277,812.51807,
1803.366,901.75137,
1800.456,857.33513,
1797.545,855.9751,
1794.635,871.40301,
1791.724,875.3544,
1788.813,864.09949,
1785.903,862.26551,
1782.992,848.62366,
1780.082,826.45429,
1777.171,833.48767,
1774.261,786.03997,
1771.350,833.36452,
1768.439,908.22323,
1765.529,897.40738,
1762.618,898.57815,
1759.708,910.47825,
1756.797,938.54546,
1753.887,952.2172,
1750.976,917.55498,
