,PL28E6~1,
Wavenumbers [1/cm],Intensity,
2175.920,929.5353,
2173.010,958.57681,
2170.099,1005.504,
2167.189,1037.5687,
2164.278,1073.3258,
2161.368,1140.8017,
2158.457,1196.7437,
2155.546,1232.7077,
2152.636,1311.3589,
2149.725,1363.0126,
2146.815,1401.2071,
2143.904,1456.6724,
2140.993,1465.9727,
2138.083,1521.7519,
2135.172,1535.3246,
2132.262,1530.735,
2129.351,1527.3957,
2126.441,1502.7536,
2123.530,1456.1505,
2120.619,1427.1552,
2117.709,1360.1459,
2114.798,1299.4131,
2111.888,1213.1139,
2108.977,1161.7591,
2106.067,1129.6572,
2103.156,1089.9413,
2100.245,1064.3405,
2097.335,1007.6891,
2094.424,992.50281,
2091.514,971.21898,
2088.603,948.90035,
2085.692,943.6464,
2082.782,944.61594,
2079.871,943.08912,
2076.961,932.08536,
2074.050,967.27803,
2071.140,960.22598,
2068.229,935.27994,
2065.318,937.69575,
2062.408,936.82205,
2059.497,937.97023,
2056.587,910.13124,
2053.676,929.58982,
2050.766,946.52821,
2047.855,921.2326,
2044.944,918.10416,
2042.034,917.52513,
2039.123,899.77904,
2036.213,928.3194,
2033.302,929.59216,
2030.391,922.40944,
2027.481,924.02122,
2024.570,937.64618,
2021.660,949.72458,
2018.749,932.10907,
2015.839,927.79626,
2012.928,945.67366,
2010.017,954.67359,
2007.107,964.91146,
2004.196,960.52971,
2001.286,978.39968,
1998.375,962.49408,
1995.465,923.56339,
1992.554,930.52195,
1989.643,942.02936,
1986.733,970.82324,
1983.822,939.28416,
1980.912,920.06853,
1978.001,930.59577,
1975.090,910.57805,
1972.180,922.89094,
1969.269,941.90375,
1966.359,946.67231,
1963.448,947.375,
1960.538,963.60519,
1957.627,948.65053,
1954.716,934.71972,
1951.806,942.53047,
1948.895,926.11994,
1945.985,923.35376,
1943.074,918.53368,
1940.164,918.86544,
1937.253,928.10968,
1934.342,926.30655,
1931.432,906.25197,
1928.521,917.50626,
1925.611,894.49873,
1922.700,905.90953,
1919.790,911.51374,
1916.879,909.5145,
1913.968,948.32705,
1911.058,917.70533,
1908.147,923.30494,
1905.237,928.18382,
1902.326,923.90241,
1899.415,918.81401,
1896.505,930.04397,
1893.594,957.47252,
1890.684,940.76064,
1887.773,947.19372,
1884.863,945.44562,
1881.952,947.34993,
1879.041,939.78414,
1876.131,916.01553,
1873.220,909.63163,
1870.310,925.15524,
1867.399,920.47096,
1864.489,943.03704,
1861.578,958.34761,
1858.667,948.52171,
1855.757,953.55996,
1852.846,966.60578,
1849.936,946.00364,
1847.025,936.37012,
1844.114,966.01973,
1841.204,964.29458,
1838.293,952.36835,
1835.383,958.0145,
1832.472,954.03761,
1829.562,951.6526,
1826.651,997.50431,
1823.740,970.32893,
1820.830,984.01307,
1817.919,997.44688,
1815.009,973.54422,
1812.098,1015.1545,
1809.188,956.5922,
1806.277,993.44546,
1803.366,1027.3085,
1800.456,1024.1444,
1797.545,1035.6233,
1794.635,1022.3741,
1791.724,1047.7245,
1788.813,1044.9822,
1785.903,1062.6851,
1782.992,1044.4242,
1780.082,1038.4838,
1777.171,1069.3889,
1774.261,1107.5047,
1771.350,1080.6047,
1768.439,1092.1219,
1765.529,1100.1907,
1762.618,1080.51,
1759.708,1070.7554,
1756.797,1099.7992,
1753.887,1084.8079,
1750.976,1075.1407,
1748.065,1112.6515,
1745.155,1111.3235,
1742.244,1094.7672,
1739.334,1097.9068,
1736.423,1114.7993,
1733.512,1144.3873,
1730.602,1166.0913,
1727.691,1151.1835,
1724.781,1168.1857,
1721.870,1138.9653,
1718.960,1168.1977,
1716.049,1172.1801,
1713.138,1169.665,
1710.228,1167.6344,
1707.317,1162.9521,
1704.407,1175.851,
1701.496,1212.9254,
1698.586,1200.6673,
1695.675,1239.6105,
1692.764,1243.3217,
1689.854,1222.3277,
1686.943,1245.5319,
1684.033,1243.4495,
1681.122,1257.1371,
1678.211,1291.0514,
1675.301,1298.3534,
1672.390,1385.1746,
1669.480,1318.4873,
1666.569,1333.2637,
1663.659,1402.7343,
1660.748,1424.857,
1657.837,1448.8501,
1654.927,1426.1716,
1652.016,1460.2741,
1649.106,1496.2771,
1646.195,1493.7896,
1643.285,1552.1725,
1640.374,1587.3576,
1637.463,1633.8073,
1634.553,1657.6558,
1631.642,1677.5259,
1628.732,1782.695,
1625.821,1836.4679,
1622.911,1977.5748,
1620.000,2052.4301,
1617.089,2143.5441,
1614.179,2279.4833,
1611.268,2349.8097,
1608.358,2467.7094,
1605.447,2622.3476,
1602.536,2747.8609,
1599.626,2714.978,
