,PLD74F~1,
Wavenumbers [1/cm],Intensity,
2173.010,571.125,
2170.099,597.9886,
2167.189,613.29721,
2164.278,638.0054,
2161.368,651.98107,
2158.457,679.20852,
2155.546,710.79043,
2152.636,749.63558,
2149.725,774.76928,
2146.815,800.35751,
2143.904,806.52277,
2140.993,806.94503,
2138.083,842.90303,
2135.172,856.25935,
2132.262,848.26144,
2129.351,858.41124,
2126.441,837.15406,
2123.530,811.10255,
2120.619,804.17108,
2117.709,765.47806,
2114.798,728.97483,
2111.888,696.92536,
2108.977,672.59519,
2106.067,660.84987,
2103.156,624.9316,
2100.245,612.12625,
2097.335,611.59621,
2094.424,591.2102,
2091.514,581.5497,
2088.603,567.53056,
2085.692,562.08037,
2082.782,574.02052,
2079.871,578.125,
2076.961,598.70429,
2074.050,582.07652,
2071.140,577.42414,
2068.229,564.11197,
2065.318,577.063,
2062.408,579.01909,
2059.497,569.29164,
2056.587,566.63649,
2053.676,571.75823,
2050.766,561.97179,
2047.855,572.55219,
2044.944,587.65705,
2042.034,583.77808,
2039.123,569.30682,
2036.213,580.49164,
2033.302,581.36399,
2030.391,585.90475,
2027.481,598.25901,
2024.570,592.16815,
2021.660,610.82416,
2018.749,602.31495,
2015.839,607.66306,
2012.928,610.4354,
2010.017,605.52782,
2007.107,601.38108,
2004.196,598.51784,
2001.286,617.69033,
1998.375,609.46554,
1995.465,584.17947,
1992.554,599.40719,
1989.643,588.60889,
1986.733,597.58991,
1983.822,590.80521,
1980.912,608.94693,
1978.001,610.73538,
1975.090,611.48532,
1972.180,623.2633,
1969.269,615.16234,
1966.359,604.34112,
1963.448,602.31655,
1960.538,638.01992,
1957.627,632.75038,
1954.716,602.95808,
1951.806,629.02564,
1948.895,619.60082,
1945.985,575.68219,
1943.074,604.28368,
1940.164,601.76922,
1937.253,606.72053,
1934.342,605.55228,
1931.432,590.19755,
1928.521,610.45143,
1925.611,585.20333,
1922.700,592.28522,
1919.790,609.32141,
1916.879,599.96199,
1913.968,646.06721,
1911.058,648.15201,
1908.147,609.31335,
1905.237,623.37496,
1902.326,599.02573,
1899.415,598.92377,
1896.505,604.05297,
1893.594,636.76219,
1890.684,634.60866,
1887.773,651.45215,
1884.863,662.84937,
1881.952,640.50271,
1879.041,607.6738,
1876.131,626.9995,
1873.220,620.04973,
1870.310,654.32673,
1867.399,633.50885,
1864.489,632.0207,
1861.578,652.25701,
1858.667,633.83159,
1855.757,638.3028,
1852.846,656.08912,
1849.936,635.125,
1847.025,652.05928,
1844.114,683.125,
1841.204,660.12151,
1838.293,640.61086,
1835.383,665.51998,
1832.472,676.75283,
1829.562,661.71015,
1826.651,678.05721,
1823.740,661.46211,
1820.830,688.1647,
1817.919,654.33429,
1815.009,654.39981,
1812.098,682.15648,
1809.188,671.99325,
1806.277,665.25779,
1803.366,673.34127,
1800.456,686.67457,
1797.545,695.57184,
1794.635,692.96304,
1791.724,707.5037,
1788.813,692.73606,
1785.903,718.91769,
1782.992,680.8582,
1780.082,662.77802,
1777.171,683.7872,
1774.261,666.75999,
1771.350,695.41051,
1768.439,729.48521,
1765.529,724.67225,
1762.618,723.56373,
1759.708,717.27725,
1756.797,737.57197,
1753.887,748.56086,
1750.976,733.38351,
1748.065,770.43682,
1745.155,747.75117,
1742.244,738.65123,
1739.334,747.75559,
1736.423,761.96236,
1733.512,746.29567,
1730.602,772.53378,
1727.691,789.49862,
1724.781,773.82032,
1721.870,777.97743,
1718.960,742.30232,
1716.049,783.62451,
1713.138,797.39998,
1710.228,777.23787,
1707.317,814.81528,
1704.407,776.10354,
1701.496,805.76382,
1698.586,820.21281,
1695.675,828.61067,
1692.764,836.69877,
1689.854,855.30218,
1686.943,826.17049,
1684.033,829.02566,
1681.122,851.73417,
1678.211,872.92514,
1675.301,864.15275,
1672.390,950.99341,
1669.480,907.25335,
1666.569,923.56936,
1663.659,957.09606,
1660.748,896.35903,
1657.837,959.14687,
1654.927,960.35929,
1652.016,970.0035,
1649.106,965.59014,
1646.195,985.13201,
1643.285,1025.7148,
1640.374,1009.0449,
1637.463,1052.8456,
1634.553,1092.0807,
1631.642,1089.4073,
1628.732,1115.5279,
1625.821,1183.1394,
1622.911,1205.001,
1620.000,1272.2683,
1617.089,1340.7519,
1614.179,1385.856,
1611.268,1443.9315,
1608.358,1543.349,
1605.447,1552.8393,
1602.536,1623.0165,
1599.626,1595.9273,
1596.715,1613.0922,
1593.805,1548.0501,
1590.894,1584.1585,
1587.984,1571.071,
1585.073,1563.8709,
1582.162,1560.6203,
1579.252,1523.3014,
1576.341,1498.3027,
1573.431,1479.2447,
1570.520,1475.125,
1567.610,1479.5957,
1564.699,1480.4,
1561.788,1431.5339,
1558.878,1438.4355,
1555.967,1437.251,
1553.057,1402.0563,
1550.146,1389.8123,
1547.235,1398.0283,
1544.325,1377.2416,
1541.414,1353.8045,
1538.504,1328.5453,
1535.593,1287.1877,
1532.683,1274.3129,
1529.772,1274.3439,
1526.861,1247.6528,
1523.951,1264.1607,
1521.040,1304.6262,
1518.130,1252.9225,
1515.219,1229.4441,
1512.309,1249.9763,
1509.398,1214.836,
1506.487,1207.5897,
1503.577,1200.8275,
1500.666,1221.6334,
1497.756,1176.38,
1494.845,1249.4435,
1491.934,1185.1911,
1489.024,1205.4035,
1486.113,1218.1788,
1483.203,1187.151,
1480.292,1168.7003,
1477.382,1170.9745,
1474.471,1159.8469,
1471.560,1176.4437,
1468.650,1167.0432,
1465.739,1131.5839,
1462.829,1138.8041,
1459.918,1164.6223,
1457.008,1164.4941,
1454.097,1151.5034,
1451.186,1127.4113,
1448.276,1118.4666,
1445.365,1139.4449,
1442.455,1132.0578,
1439.544,1161.3493,
1436.633,1161.9502,
1433.723,1163.119,
1430.812,1174.8346,
1427.902,1146.5985,
1424.991,1166.5016,
1422.081,1136.8483,
1419.170,1135.8531,
1416.259,1106.1527,
1413.349,1110.4536,
1410.438,1154.7122,
1407.528,1157.9627,
1404.617,1141.9052,
1401.707,1151.4933,
1398.796,1167.0131,
1395.885,1159.617,
1392.975,1149.3126,
1390.064,1153.0648,
1387.154,1135.5073,
1384.243,1101.1953,
1381.332,1139.109,
1378.422,1171.8013,
1375.511,1184.9162,
1372.601,1202.6348,
1369.690,1212.6972,
1366.780,1213.333,
1363.869,1260.346,
1360.958,1274.8239,
1358.048,1315.2501,
1355.137,1348.3305,
1352.227,1350.2949,
1349.316,1388.1744,
1346.406,1438.6718,
1343.495,1417.855,
1340.584,1437.6248,
1337.674,1451.4834,
1334.763,1470.7721,
1331.853,1461.4998,
1328.942,1477.1354,
1326.032,1482.3875,
1323.121,1546.8479,
1320.210,1568.4591,
1317.300,1544.5157,
1314.389,1538.9169,
1311.479,1571.4064,
1308.568,1630.2971,
1305.657,1688.9013,
1302.747,1709.4148,
1299.836,1745.1963,
1296.926,1767.1677,
1294.015,1768.0871,
1291.105,1770.7666,
1288.194,1862.9804,
1285.283,1873.2369,
1282.373,1930.7732,
1279.462,1953.9488,
1276.552,1986.3299,
1273.641,2030.8105,
1270.731,2033.8862,
1267.820,2059.8399,
1264.909,2053.7846,
1261.999,2072.1597,
1259.088,2045.7081,
1256.178,1997.0199,
1253.267,1936.9557,
1250.356,1889.2941,
1247.446,1872.3648,
1244.535,1848.826,
1241.625,1827.3361,
1238.714,1809.8206,
1235.804,1759.4794,
1232.893,1728.5056,
1229.982,1701.3158,
1227.072,1647.9024,
1224.161,1634.8795,
1221.251,1610.7897,
1218.340,1597.9425,
1215.430,1585.2154,
1212.519,1564.4477,
1209.608,1559.0475,
1206.698,1568.6993,
1203.787,1544.4366,
1200.877,1545.1777,
1197.966,1529.892,
1195.055,1579.4667,
1192.145,1612.9193,
1189.234,1639.2912,
1186.324,1672.0363,
1183.413,1709.6732,
1180.503,1714.5759,
1177.592,1683.4685,
1174.681,1691.3682,
1171.771,1624.9698,
1168.860,1661.5865,
1165.950,1595.7841,
1163.039,1613.3467,
1160.129,1627.5351,
1157.218,1612.7029,
1154.307,1595.6409,
1151.397,1597.0352,
1148.486,1609.0241,
1145.576,1612.8915,
1142.665,1584.4783,
1139.754,1592.7022,
1136.844,1594.4247,
1133.933,1587.0869,
1131.023,1584.0134,
1128.112,1611.1214,
1125.202,1648.154,
1122.291,1624.3784,
1119.380,1633.3069,
1116.470,1651.84,
1113.559,1662.6307,
1110.649,1654.6475,
1107.738,1656.6265,
1104.828,1653.1386,
1101.917,1640.3085,
1099.006,1636.6406,
1096.096,1606.8238,
1093.185,1618.2378,
1090.275,1628.027,
1087.364,1645.2197,
1084.453,1633.0012,
1081.543,1644.4183,
1078.632,1673.1107,
1075.722,1656.6712,
1072.811,1637.2204,
1069.901,1694.8557,
1066.990,1692.6583,
1064.079,1704.7353,
1061.169,1712.2296,
1058.258,1694.4916,
1055.348,1684.1169,
1052.437,1722.2568,
1049.527,1732.8229,
1046.616,1725.0034,
1043.705,1733.3742,
1040.795,1721.4394,
1037.884,1705.0332,
1034.974,1708.2977,
1032.063,1723.0713,
1029.153,1714.6949,
1026.242,1752.753,
1023.331,1756.6248,
1020.421,1757.8221,
1017.510,1771.5716,
1014.600,1818.9199,
1011.689,1855.1566,
1008.778,1825.1098,
1005.868,1853.9628,
1002.957,1835.8954,
1000.047,1914.661,
997.136,1967.4434,
994.226,1985.8019,
991.315,1984.8626,
988.404,1964.7487,
985.494,1911.125,
982.583,1911.125,
979.673,1929.4162,
976.762,1921.4474,
973.852,1921.2912,
970.941,1930.5684,
968.030,1921.5238,
965.120,1918.2503,
962.209,1948.0893,
959.299,1975.0807,
956.388,1946.0474,
953.477,1940.3756,
950.567,1976.955,
947.656,1980.5653,
944.746,1968.6715,
941.835,2018.3334,
938.925,2015.6479,
936.014,1985.3628,
933.103,1953.2384,
930.193,1937.1226,
927.282,1944.1626,
924.372,1926.4049,
921.461,1896.1418,
918.551,1858.8211,
915.640,1844.2243,
912.729,1851.125,
909.819,1847.2328,
906.908,1817.748,
903.998,1797.0363,
901.087,1828.4059,
898.176,1857.7145,
895.266,1874.1078,
892.355,1893.2086,
889.445,1915.0295,
886.534,1911.7855,
883.624,1917.1805,
880.713,1914.0007,
877.802,1908.4724,
874.892,1895.888,
871.981,1837.2631,
869.071,1843.111,
866.160,1789.6182,
863.250,1827.5051,
860.339,1901.6657,
857.428,1934.8468,
854.518,1939.79,
851.607,1859.0793,
848.697,1887.7697,
845.786,1857.8232,
842.875,1861.7609,
839.965,1944.4257,
837.054,1900.3018,
834.144,1916.0481,
831.233,1951.1227,
828.323,1969.5979,
825.412,1980.496,
822.501,1990.827,
819.591,1950.3334,
816.680,1959.5417,
813.770,1956.4865,
810.859,1953.125,
807.949,1936.3127,
805.038,1896.1073,
802.127,1929.0324,
799.217,1879.2022,
796.306,1848.0708,
793.396,1849.8045,
790.485,1868.7567,
787.574,1871.1561,
784.664,1871.9762,
781.753,1866.7571,
778.843,1886.1787,
775.932,1907.8905,
773.022,1907.661,
770.111,1924.0125,
767.200,1904.5696,
764.290,1892.3462,
761.379,1906.2429,
758.469,1924.2895,
755.558,1887.2466,
752.648,1891.3196,
749.737,1877.1108,
746.826,1877.0508,
743.916,1884.4497,
741.005,1877.649,
738.095,1855.7283,
735.184,1815.2268,
732.274,1766.9935,
729.363,1752.5916,
726.452,1793.6498,
723.542,1851.9261,
720.631,1841.3633,
717.721,1846.2905,
714.810,1861.8806,
711.899,1881.5805,
708.989,1904.9813,
706.078,1908.3302,
703.168,1883.0145,
700.257,1874.789,
697.347,1883.6471,
694.436,1871.365,
691.525,1880.2069,
688.615,1876.4648,
685.704,1863.6277,
682.794,1854.6356,
679.883,1867.3865,
676.973,1895.4345,
674.062,1900.4869,
671.151,1900.5633,
668.241,1906.1282,
665.330,1921.6334,
662.420,1911.2499,
659.509,1945.3161,
656.598,1955.3063,
653.688,1939.0546,
650.777,1931.5579,
647.867,1914.8351,
644.956,1871.4994,
642.046,1864.1235,
639.135,1890.2211,
636.224,1898.1767,
633.314,1908.4979,
630.403,1917.0371,
627.493,1922.2772,
624.582,1927.6564,
621.672,1943.4963,
618.761,1934.2458,
615.850,1925.6151,
