,PL576D~1,
Raman shift [1/cm],Intensity,
3014.167,-0.125,
3011.256,0.62505368,
3008.346,90.475378,
3005.435,107.76193,
3002.525,114.91247,
2999.614,109.63734,
2996.704,129.99973,
2993.793,124.24654,
2990.882,128.00476,
2987.972,120.96581,
2985.061,137.9883,
2982.151,144.80106,
2979.240,144.77423,
2976.329,145.86954,
2973.419,160.61338,
2970.508,162.64167,
2967.598,177.11034,
2964.687,166.17323,
2961.777,179.02893,
2958.866,184.53771,
2955.955,201.25773,
2953.045,182.19494,
2950.134,205.875,
2947.224,199.786,
2944.313,227.72899,
2941.403,215.18431,
2938.492,203.76933,
2935.581,237.07374,
2932.671,232.79777,
2929.760,235.11344,
2926.850,231.50921,
2923.939,242.79086,
2921.028,246.85725,
2918.118,236.81833,
2915.207,270.34976,
2912.297,240.0231,
2909.386,266.67792,
2906.476,256.5885,
2903.565,257.13278,
2900.654,250.25217,
2897.744,263.59841,
2894.833,250.12227,
2891.923,257.0096,
2889.012,250.50506,
2886.102,241.72769,
2883.191,261.86084,
2880.280,247.29604,
2877.370,236.63656,
2874.459,236.98827,
2871.549,262.1515,
2868.638,265.28325,
2865.727,277.875,
2862.817,270.58891,
2859.906,282.84936,
2856.996,271.88859,
2854.085,260.07246,
2851.175,282.875,
2848.264,279.66417,
2845.353,283.70246,
2842.443,263.09728,
2839.532,255.51672,
2836.622,256.08854,
2833.711,264.97861,
2830.801,265.97574,
2827.890,274.95892,
2824.979,274.66502,
2822.069,262.20479,
2819.158,287.83457,
2816.248,280.63368,
2813.337,265.61767,
2810.427,279.10229,
2807.516,273.65906,
2804.605,270.42307,
2801.695,262.57237,
2798.784,262.94892,
2795.874,278.60589,
2792.963,266.73223,
2790.052,274.87371,
2787.142,273.71715,
2784.231,271.06911,
2781.321,274.44074,
2778.410,279.97018,
2775.500,261.32363,
2772.589,274.21981,
2769.678,251.09003,
2766.768,270.60124,
2763.857,279.61103,
2760.947,271.8687,
2758.036,284.42922,
2755.126,286.26175,
2752.215,277.78872,
2749.304,298.70412,
2746.394,280.08669,
2743.483,280.325,
2740.573,293.18258,
2737.662,285.8957,
2734.751,285.9189,
2731.841,279.33471,
2728.930,293.60815,
2726.020,296.6713,
2723.109,302.89575,
2720.199,292.12797,
2717.288,301.2801,
2714.377,287.26254,
2711.467,293.66181,
2708.556,300.52384,
2705.646,308.94544,
2702.735,303.692,
2699.825,295.21139,
2696.914,305.30364,
2694.003,301.95792,
2691.093,316.17826,
2688.182,310.92982,
2685.272,282.50373,
2682.361,314.05731,
2679.450,310.21247,
2676.540,302.99694,
2673.629,312.19337,
2670.719,321.44432,
2667.808,328.58319,
2664.898,299.13473,
2661.987,307.80849,
2659.076,301.65518,
2656.166,339.21271,
2653.255,325.43112,
2650.345,329.3632,
2647.434,337.64579,
2644.524,325.45779,
2641.613,328.78889,
2638.702,328.76453,
2635.792,320.93582,
2632.881,326.36917,
2629.971,342.68721,
2627.060,334.04219,
2624.149,327.57813,
2621.239,345.9165,
2618.328,334.49352,
2615.418,337.82047,
2612.507,341.39682,
2609.597,329.78318,
2606.686,349.875,
2603.775,346.99405,
2600.865,353.8136,
2597.954,343.30623,
2595.044,352.53576,
2592.133,348.37176,
2589.223,345.76658,
2586.312,375.79966,
2583.401,355.48812,
2580.491,355.40864,
2577.580,360.87665,
2574.670,364.0889,
2571.759,358.31422,
2568.848,364.51596,
2565.938,344.16069,
2563.027,354.55904,
2560.117,364.06191,
2557.206,370.01153,
2554.296,359.07637,
2551.385,361.37096,
2548.474,372.35679,
2545.564,370.1599,
2542.653,378.57969,
2539.743,379.02287,
2536.832,384.24323,
2533.922,391.63846,
2531.011,374.40021,
2528.100,379.07016,
2525.190,383.34098,
2522.279,363.39088,
2519.369,379.00676,
2516.458,376.97628,
2513.548,394.19278,
2510.637,371.41207,
2507.726,392.06458,
2504.816,389.25042,
2501.905,395.12134,
2498.995,392.05416,
2496.084,393.34189,
2493.173,388.7697,
2490.263,389.47048,
2487.352,426.28913,
2484.442,393.57734,
2481.531,403.40159,
2478.621,402.33945,
2475.710,407.95168,
2472.799,416.64183,
2469.889,409.48164,
2466.978,400.10186,
2464.068,412.24013,
2461.157,407.10502,
2458.247,405.15443,
2455.336,424.02179,
2452.425,431.98349,
2449.515,419.4696,
2446.604,430.875,
2443.694,422.15376,
2440.783,429.63964,
2437.872,426.65621,
2434.962,419.56164,
2432.051,421.2393,
2429.141,434.70431,
2426.230,423.85287,
2423.320,425.43156,
2420.409,446.84942,
2417.498,438.88342,
2414.588,436.05751,
2411.677,450.4447,
2408.767,445.45177,
2405.856,455.4941,
2402.946,459.93487,
2400.035,454.28814,
2397.124,437.46856,
2394.214,459.38701,
2391.303,451.76999,
2388.393,460.60757,
2385.482,433.19685,
2382.571,454.17845,
2379.661,462.15414,
2376.750,466.87247,
2373.840,456.83446,
2370.929,452.86417,
2368.019,461.34419,
2365.108,471.92212,
2362.197,479.01478,
2359.287,478.29505,
2356.376,461.89966,
2353.466,479.46574,
2350.555,475.55477,
2347.645,474.75578,
2344.734,490.33124,
2341.823,496.80867,
2338.913,483.16455,
2336.002,487.66201,
2333.092,504.25425,
2330.181,496.31237,
2327.270,512.71989,
2324.360,500.62262,
2321.449,508.96683,
2318.539,504.40711,
2315.628,509.36221,
2312.718,486.14371,
2309.807,506.35319,
2306.896,517.41022,
2303.986,526.08924,
2301.075,516.17289,
2298.165,497.91316,
2295.254,513.44414,
2292.344,524.40618,
2289.433,504.19545,
2286.522,520.38377,
2283.612,525.07396,
2280.701,516.27859,
2277.791,532.15552,
2274.880,535.87906,
2271.969,530.67747,
2269.059,539.31642,
2266.148,534.4977,
2263.238,519.3808,
2260.327,528.32347,
2257.417,546.92611,
2254.506,538.61572,
2251.595,526.30775,
2248.685,545.70761,
2245.774,552.07283,
2242.864,537.69043,
2239.953,564.78533,
2237.043,565.92679,
2234.132,559.57112,
2231.221,560.42799,
2228.311,564.48453,
2225.400,566.15645,
2222.490,579.03142,
2219.579,595.26833,
2216.669,591.41554,
2213.758,581.57042,
2210.847,587.32335,
2207.937,585.99715,
2205.026,625.87588,
2202.116,601.61279,
2199.205,602.52488,
2196.294,615.55297,
2193.384,623.1645,
2190.473,650.3304,
2187.563,634.95717,
2184.652,656.09214,
2181.742,677.80656,
2178.831,695.29922,
2175.920,725.04076,
2173.010,743.27636,
2170.099,770.67263,
2167.189,809.46339,
2164.278,891.90214,
2161.368,918.15826,
2158.457,988.78547,
2155.546,1029.8894,
2152.636,1049.9335,
2149.725,1121.2843,
2146.815,1139.7082,
2143.904,1163.8861,
2140.993,1204.8431,
2138.083,1247.5923,
2135.172,1240.3876,
2132.262,1257.0255,
2129.351,1230.8713,
2126.441,1216.2245,
2123.530,1154.2465,
2120.619,1092.4074,
2117.709,1035.7901,
2114.798,972.22864,
2111.888,921.35095,
2108.977,850.6498,
2106.067,801.3988,
2103.156,774.63879,
2100.245,749.84928,
2097.335,708.27291,
2094.424,705.3111,
2091.514,704.15452,
2088.603,683.9073,
2085.692,647.45879,
2082.782,675.81849,
2079.871,664.48061,
2076.961,670.03549,
2074.050,650.63258,
2071.140,645.07047,
2068.229,641.41927,
2065.318,637.51649,
2062.408,648.57241,
2059.497,643.02377,
2056.587,642.18869,
2053.676,649.69162,
2050.766,646.18292,
2047.855,621.18827,
2044.944,634.53525,
2042.034,645.00207,
2039.123,620.49453,
2036.213,621.18169,
2033.302,629.50541,
2030.391,643.11196,
2027.481,629.78982,
2024.570,629.61768,
2021.660,612.05759,
2018.749,617.14093,
2015.839,622.52985,
2012.928,614.79446,
2010.017,627.61442,
2007.107,629.45253,
2004.196,620.76792,
2001.286,622.9775,
1998.375,611.7874,
1995.465,610.875,
1992.554,637.16889,
1989.643,615.77366,
1986.733,605.98202,
1983.822,610.69627,
1980.912,622.18147,
1978.001,605.38335,
1975.090,613.26584,
1972.180,609.15161,
1969.269,586.72265,
1966.359,583.65888,
1963.448,576.91727,
1960.538,587.48217,
1957.627,585.52515,
1954.716,557.67935,
1951.806,605.88788,
1948.895,565.96207,
1945.985,557.57271,
1943.074,569.98579,
1940.164,562.7021,
1937.253,558.79712,
1934.342,561.09745,
1931.432,573.02011,
1928.521,544.04253,
1925.611,537.47886,
1922.700,556.2866,
1919.790,535.03714,
1916.879,552.27076,
1913.968,531.90205,
1911.058,540.95908,
1908.147,519.986,
1905.237,558.28675,
1902.326,554.51203,
1899.415,558.26646,
1896.505,537.56159,
1893.594,531.86591,
1890.684,533.86857,
1887.773,514.832,
1884.863,522.08001,
1881.952,551.58976,
1879.041,547.50168,
1876.131,516.0005,
1873.220,536.89723,
1870.310,542.7315,
1867.399,533.03494,
1864.489,554.66775,
1861.578,525.90239,
1858.667,533.82112,
1855.757,522.27357,
1852.846,522.11603,
1849.936,515.96809,
1847.025,521.98934,
1844.114,546.93386,
1841.204,558.26661,
1838.293,554.87334,
1835.383,558.061,
1832.472,559.875,
1829.562,546.46015,
1826.651,586.73942,
1823.740,560.82893,
1820.830,580.68636,
1817.919,547.08429,
1815.009,538.58747,
1812.098,577.4734,
1809.188,581.875,
1806.277,592.63155,
1803.366,599.54228,
1800.456,579.60021,
1797.545,575.24378,
1794.635,582.74506,
1791.724,607.22454,
1788.813,601.47834,
1785.903,616.3304,
1782.992,624.97334,
1780.082,588.08789,
1777.171,552.54846,
1774.261,601.96549,
1771.350,618.54699,
1768.439,596.04748,
1765.529,615.60184,
1762.618,604.66186,
1759.708,609.15774,
1756.797,636.39773,
1753.887,629.1301,
1750.976,624.48887,
1748.065,601.76748,
1745.155,616.08767,
1742.244,642.82064,
1739.334,626.33383,
1736.423,606.98342,
1733.512,621.79375,
1730.602,620.64681,
1727.691,640.90482,
1724.781,679.33806,
1721.870,674.19397,
1718.960,693.07527,
1716.049,646.69754,
1713.138,682.18978,
1710.228,644.61956,
1707.317,690.06471,
1704.407,683.39904,
1701.496,655.44011,
1698.586,715.70594,
1695.675,678.76811,
1692.764,717.53076,
1689.854,718.91831,
1686.943,701.48206,
1684.033,722.3286,
1681.122,736.63711,
1678.211,728.95114,
1675.301,716.912,
1672.390,764.08136,
1669.480,832.57819,
1666.569,796.26857,
1663.659,827.57729,
1660.748,869.75931,
1657.837,864.00622,
1654.927,870.6013,
1652.016,900.53481,
1649.106,887.19325,
1646.195,900.2826,
1643.285,917.80925,
1640.374,957.91681,
1637.463,961.04595,
1634.553,1025.274,
1631.642,1053.1345,
1628.732,1168.0054,
1625.821,1189.9116,
1622.911,1245.5594,
1620.000,1343.6277,
1617.089,1396.8203,
1614.179,1518.3781,
1611.268,1595.0495,
1608.358,1661.7379,
1605.447,1784.6188,
1602.536,1803.9895,
1599.626,1799.3554,
1596.715,1822.4726,
1593.805,1756.9058,
1590.894,1738.307,
1587.984,1759.3934,
1585.073,1753.516,
1582.162,1732.6726,
1579.252,1729.6933,
1576.341,1713.8537,
1573.431,1685.5966,
1570.520,1675.8175,
1567.610,1648.0511,
1564.699,1606.9737,
1561.788,1585.7202,
1558.878,1556.6128,
1555.967,1528.3584,
1553.057,1516.0475,
1550.146,1462.2533,
1547.235,1398.5877,
1544.325,1404.0205,
1541.414,1397.8721,
1538.504,1355.8643,
1535.593,1325.2152,
1532.683,1315.0908,
1529.772,1291.2754,
1526.861,1248.0354,
1523.951,1231.166,
1521.040,1202.7465,
1518.130,1172.6793,
1515.219,1183.9146,
1512.309,1194.1498,
1509.398,1173.4151,
1506.487,1131.6779,
1503.577,1148.1402,
1500.666,1142.42,
1497.756,1125.5354,
1494.845,1059.7944,
1491.934,1033.853,
1489.024,1027.1155,
1486.113,1046.3465,
1483.203,996.36128,
1480.292,1022.1184,
1477.382,985.84609,
1474.471,965.13169,
1471.560,956.06967,
1468.650,946.35899,
1465.739,931.98667,
1462.829,927.66545,
1459.918,941.58229,
1457.008,951.875,
1454.097,942.63184,
1451.186,929.37984,
1448.276,926.61294,
1445.365,906.01402,
1442.455,868.34791,
1439.544,890.65066,
1436.633,900.71114,
1433.723,946.76547,
1430.812,906.36816,
1427.902,850.1005,
1424.991,859.57812,
1422.081,860.79248,
1419.170,812.48762,
1416.259,813.78569,
1413.349,826.44837,
1410.438,786.48866,
1407.528,798.7746,
1404.617,789.45423,
1401.707,810.62054,
1398.796,835.01839,
1395.885,827.00889,
1392.975,820.47865,
1390.064,810.5303,
1387.154,840.40768,
1384.243,825.94157,
1381.332,768.85494,
1378.422,811.29025,
1375.511,858.1293,
1372.601,875.46327,
1369.690,862.30222,
1366.780,973.13603,
1363.869,1015.9516,
1360.958,1059.8278,
1358.048,1117.847,
1355.137,1108.6542,
1352.227,1097.0058,
1349.316,1130.9846,
1346.406,1177.2096,
1343.495,1250.8437,
1340.584,1281.9819,
1337.674,1308.5935,
1334.763,1373.3337,
1331.853,1385.3877,
1328.942,1357.4121,
1326.032,1410.1528,
1323.121,1490.3028,
1320.210,1499.8907,
1317.300,1521.7964,
1314.389,1579.3896,
1311.479,1628.4186,
1308.568,1649.4669,
1305.657,1666.5514,
1302.747,1710.6568,
1299.836,1779.0863,
1296.926,1800.3443,
1294.015,1918.0177,
1291.105,1964.2605,
1288.194,2022.592,
1285.283,2038.023,
1282.373,2100.8904,
1279.462,2184.0898,
1276.552,2230.7727,
1273.641,2259.9941,
1270.731,2305.8123,
1267.820,2328.15,
1264.909,2290.2811,
1261.999,2256.9416,
1259.088,2258.7658,
1256.178,2245.1717,
1253.267,2191.4729,
1250.356,2137.2715,
1247.446,2049.0545,
1244.535,1963.2055,
1241.625,1884.6973,
1238.714,1803.3251,
1235.804,1758.0934,
1232.893,1749.7641,
1229.982,1684.9551,
1227.072,1657.7957,
1224.161,1622.2548,
1221.251,1618.1085,
1218.340,1589.0756,
1215.430,1527.1806,
1212.519,1471.3119,
1209.608,1465.1763,
1206.698,1506.8753,
1203.787,1544.0559,
1200.877,1557.4352,
1197.966,1582.6116,
1195.055,1631.6569,
1192.145,1684.9556,
1189.234,1726.4755,
1186.324,1769.2414,
1183.413,1775.6516,
1180.503,1752.526,
1177.592,1743.1375,
1174.681,1716.4401,
1171.771,1685.875,
1168.860,1685.875,
