,PL6C9F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.25,
3011.256,1.8999248,
3008.346,89.36005,
3005.435,107.36484,
3002.525,96.032438,
2999.614,101.22533,
2996.704,119.10463,
2993.793,110.75,
2990.882,109.05535,
2987.972,113.78027,
2985.061,114.4298,
2982.151,115.67606,
2979.240,136.28231,
2976.329,140.24727,
2973.419,146.45783,
2970.508,148.76662,
2967.598,145.79779,
2964.687,150.57065,
2961.777,157.46798,
2958.866,151.74703,
2955.955,153.47345,
2953.045,152.40101,
2950.134,171.27189,
2947.224,161.46172,
2944.313,179.45798,
2941.403,169.14279,
2938.492,175.63348,
2935.581,172.25555,
2932.671,188.75433,
2929.760,193.64228,
2926.850,193.91391,
2923.939,205.75,
2921.028,202.66762,
2918.118,200.2097,
2915.207,203.04753,
2912.297,190.8177,
2909.386,192.54562,
2906.476,206.87357,
2903.565,202.57446,
2900.654,189.49011,
2897.744,199.77514,
2894.833,189.79146,
2891.923,177.6154,
2889.012,194.29335,
2886.102,197.8108,
2883.191,201.75189,
2880.280,169.48683,
2877.370,111.35475,
2874.459,94.743795,
2871.549,148.35575,
2868.638,189.25102,
2865.727,201.69616,
2862.817,185.36365,
2859.906,204.00356,
2856.996,211.75906,
2854.085,209.75,
2851.175,214.10841,
2848.264,216.897,
2845.353,223.57746,
2842.443,211.75696,
2839.532,209.63057,
2836.622,219.68815,
2833.711,213.2241,
2830.801,215.44779,
2827.890,202.1049,
2824.979,216.66393,
2822.069,227.75,
2819.158,229.65027,
2816.248,227.52026,
2813.337,221.40976,
2810.427,217.79408,
2807.516,219.27516,
2804.605,231.86778,
2801.695,225.23686,
2798.784,228.97177,
2795.874,229.46504,
2792.963,232.60723,
2790.052,220.753,
2787.142,221.07904,
2784.231,216.55747,
2781.321,218.68714,
2778.410,216.50508,
2775.500,226.23793,
2772.589,196.90595,
2769.678,230.60665,
2766.768,232.75,
2763.857,234.38199,
2760.947,236.7437,
2758.036,240.83283,
2755.126,231.55342,
2752.215,241.3681,
2749.304,229.64389,
2746.394,231.13706,
2743.483,239.35002,
2740.573,232.20131,
2737.662,233.7707,
2734.751,238.81809,
2731.841,257.61631,
2728.930,255.15687,
2726.020,246.64294,
2723.109,248.86342,
2720.199,250.9062,
2717.288,254.39963,
2714.377,249.00836,
2711.467,258.71704,
2708.556,267.27126,
2705.646,250.84855,
2702.735,268.89173,
2699.825,255.51004,
2696.914,260.27363,
2694.003,282.1809,
2691.093,265.6429,
2688.182,262.93148,
2685.272,262.07717,
2682.361,252.20852,
2679.450,262.5031,
2676.540,267.58741,
2673.629,259.41816,
2670.719,252.32671,
2667.808,276.33957,
2664.898,266.15273,
2661.987,266.11681,
2659.076,288.33404,
2656.166,253.52486,
2653.255,272.81973,
2650.345,269.06942,
2647.434,277.60739,
2644.524,281.3447,
2641.613,270.6928,
2638.702,265.81312,
2635.792,284.8138,
2632.881,282.8332,
2629.971,291.36747,
2627.060,282.41625,
2624.149,282.07501,
2621.239,287.51927,
2618.328,278.55536,
2615.418,298.74091,
2612.507,287.85677,
2609.597,298.73004,
2606.686,292.38654,
2603.775,288.19048,
2600.865,303.51114,
2597.954,283.04368,
2595.044,310.07152,
2592.133,297.46322,
2589.223,324.30477,
2586.312,292.07154,
2583.401,311.07843,
2580.491,305.46151,
2577.580,298.80446,
2574.670,324.27809,
2571.759,297.59333,
2568.848,299.98209,
2565.938,307.65477,
2563.027,308.94544,
2560.117,314.02103,
2557.206,315.65406,
2554.296,311.98112,
2551.385,320.99798,
2548.474,328.60205,
2545.564,342.43344,
2542.653,330.43457,
2539.743,312.87323,
2536.832,317.85281,
2533.922,322.28615,
2531.011,349.70051,
2528.100,330.55138,
2525.190,323.00656,
2522.279,334.07829,
2519.369,334.71263,
2516.458,329.64518,
2513.548,326.23197,
2510.637,359.64331,
2507.726,330.57153,
2504.816,321.75226,
2501.905,338.18476,
2498.995,340.04859,
2496.084,345.66987,
2493.173,351.61854,
2490.263,341.1884,
2487.352,344.95867,
2484.442,349.75,
2481.531,358.17545,
2478.621,372.65998,
2475.710,335.84201,
2472.799,351.94278,
