,PL570B~1,
Wavenumbers [1/cm],Intensity,
2175.920,345.62227,
2173.010,340.87443,
2170.099,363.25547,
2167.189,375.16805,
2164.278,380.83153,
2161.368,389.12379,
2158.457,417.93764,
2155.546,444.42696,
2152.636,463.21542,
2149.725,473.27935,
2146.815,516.69014,
2143.904,520.03205,
2140.993,533.86578,
2138.083,534.79667,
2135.172,536.28454,
2132.262,529.64261,
2129.351,531.08358,
2126.441,503.50356,
2123.530,513.90052,
2120.619,495.50109,
2117.709,487.77637,
2114.798,446.00966,
2111.888,433.67581,
2108.977,401.50247,
2106.067,395.40013,
2103.156,373.24929,
2100.245,366.12249,
2097.335,363.20877,
2094.424,366.33801,
2091.514,341.82922,
2088.603,340.31388,
2085.692,335.84631,
2082.782,336.6751,
2079.871,338.19618,
2076.961,349.28549,
2074.050,355.53106,
2071.140,376.52782,
2068.229,345.39062,
2065.318,351.8285,
2062.408,351.07961,
2059.497,337.29164,
2056.587,338.18294,
2053.676,342.30838,
2050.766,331.04877,
2047.855,330.66933,
2044.944,318.98236,
2042.034,341.28103,
2039.123,344.36742,
2036.213,353.97383,
2033.302,341.01623,
2030.391,341.2607,
2027.481,344.33227,
2024.570,337.69665,
2021.660,359.64677,
2018.749,350.78309,
2015.839,344.81529,
2012.928,365.11326,
2010.017,371.55388,
2007.107,367.47454,
2004.196,379.8036,
2001.286,387.125,
1998.375,361.37794,
1995.465,369.00357,
1992.554,367.98976,
1989.643,361.33238,
1986.733,339.60658,
1983.822,348.125,
1980.912,349.71919,
1978.001,351.98956,
1975.090,350.30516,
1972.180,357.64229,
1969.269,362.78594,
1966.359,362.5844,
1963.448,363.04706,
1960.538,380.35519,
1957.627,370.75038,
1954.716,357.46972,
1951.806,358.87661,
1948.895,353.2323,
1945.985,344.67402,
1943.074,344.09903,
1940.164,361.78834,
1937.253,350.83372,
1934.342,347.61217,
1931.432,343.81585,
1928.521,364.20445,
1925.611,350.89799,
1922.700,356.16229,
1919.790,355.81869,
1916.879,324.42673,
1913.968,366.0709,
1911.058,358.40727,
1908.147,337.4462,
1905.237,358.33088,
1902.326,348.79612,
1899.415,342.60672,
1896.505,366.90814,
1893.594,373.12197,
1890.684,363.11857,
1887.773,385.08959,
1884.863,393.62842,
1881.952,354.52778,
1879.041,372.38461,
1876.131,370.7237,
1873.220,339.3594,
1870.310,381.53747,
1867.399,382.17298,
1864.489,369.55338,
1861.578,377.88341,
1858.667,353.77771,
1855.757,345.90423,
1852.846,374.65319,
1849.936,381.14904,
1847.025,356.36101,
1844.114,371.6333,
1841.204,391.45717,
1838.293,376.63415,
1835.383,376.0435,
1832.472,381.90413,
1829.562,371.62656,
1826.651,393.15987,
1823.740,386.46979,
1820.830,396.10153,
1817.919,406.01126,
1815.009,391.71279,
1812.098,391.81791,
1809.188,410.88465,
1806.277,397.45698,
1803.366,402.14164,
1800.456,403.72953,
1797.545,413.38745,
1794.635,402.89995,
1791.724,385.7463,
1788.813,407.32269,
1785.903,396.13859,
1782.992,373.736,
1780.082,357.46414,
1777.171,373.12178,
1774.261,352.72983,
1771.350,371.76376,
1768.439,422.27382,
1765.529,422.94352,
1762.618,424.64187,
1759.708,436.38599,
1756.797,445.97348,
1753.887,424.3801,
1750.976,416.79057,
1748.065,437.48598,
1745.155,430.51866,
1742.244,407.88227,
1739.334,408.65676,
1736.423,424.1362,
1733.512,442.95024,
1730.602,463.08534,
1727.691,469.66032,
1724.781,444.16797,
1721.870,439.5393,
1718.960,436.83607,
1716.049,436.125,
1713.138,416.4601,
1710.228,439.23391,
1707.317,479.39243,
1704.407,443.69713,
1701.496,485.61394,
1698.586,466.1014,
1695.675,486.58201,
1692.764,493.80533,
1689.854,499.86516,
1686.943,510.75402,
1684.033,488.69623,
1681.122,503.85312,
1678.211,522.94417,
1675.301,510.16508,
1672.390,545.98743,
1669.480,500.33357,
1666.569,525.78221,
1663.659,499.76196,
1660.748,538.22141,
1657.837,543.14687,
1654.927,544.45301,
1652.016,558.70818,
1649.106,582.44325,
1646.195,595.98815,
1643.285,630.39583,
1640.374,599.31315,
1637.463,608.70147,
1634.553,639.992,
1631.642,631.42902,
1628.732,659.37387,
1625.821,701.15967,
1622.911,753.82634,
1620.000,751.1628,
1617.089,797.18967,
1614.179,817.56098,
1611.268,885.52255,
1608.358,933.87749,
1605.447,995.52548,
1602.536,1006.5801,
1599.626,955.60876,
1596.715,982.89104,
1593.805,955.71772,
1590.894,943.3183,
1587.984,970.70604,
1585.073,992.99215,
1582.162,945.19695,
1579.252,918.75898,
1576.341,928.74308,
1573.431,911.76247,
1570.520,857.96925,
1567.610,878.14515,
1564.699,907.52572,
1561.788,866.23813,
1558.878,893.23566,
1555.967,880.77044,
1553.057,861.21123,
1550.146,846.60503,
1547.235,835.76369,
1544.325,814.89692,
1541.414,820.64718,
1538.504,825.79374,
1535.593,778.09333,
1532.683,769.06684,
1529.772,781.56284,
1526.861,730.5946,
1523.951,713.5247,
1521.040,738.04186,
1518.130,728.38596,
1515.219,718.7251,
1512.309,709.67453,
1509.398,697.20668,
1506.487,715.74685,
1503.577,727.7164,
1500.666,701.2296,
1497.756,696.33714,
1494.845,722.84485,
1491.934,716.1439,
1489.024,721.91886,
1486.113,736.03323,
1483.203,723.80248,
1480.292,704.30626,
1477.382,655.05485,
1474.471,684.02871,
1471.560,706.28433,
1468.650,680.06096,
1465.739,659.7201,
1462.829,681.19133,
1459.918,681.55027,
1457.008,664.57111,
1454.097,670.36816,
1451.186,679.0457,
1448.276,667.26974,
1445.365,647.9457,
1442.455,651.42438,
1439.544,672.68354,
1436.633,639.41695,
1433.723,674.48378,
1430.812,708.06146,
1427.902,658.25249,
1424.991,705.64061,
1422.081,652.99385,
1419.170,671.45463,
1416.259,671.07468,
1413.349,663.32783,
1410.438,681.41861,
1407.528,697.20616,
1404.617,659.43889,
1401.707,650.26274,
1398.796,661.0446,
1395.885,654.77856,
1392.975,671.29226,
1390.064,708.30875,
1387.154,715.96482,
1384.243,658.64327,
1381.332,687.55964,
1378.422,706.25551,
1375.511,689.39345,
1372.601,718.61525,
1369.690,744.27001,
1366.780,693.47457,
1363.869,735.79021,
1360.958,767.02824,
1358.048,805.35046,
1355.137,814.9829,
1352.227,800.37989,
1349.316,823.17654,
1346.406,846.56284,
1343.495,808.12848,
1340.584,811.73168,
1337.674,847.80665,
1334.763,894.24287,
1331.853,871.06209,
1328.942,887.02482,
1326.032,846.71273,
1323.121,940.86002,
1320.210,947.15857,
1317.300,909.69618,
1314.389,918.79215,
1311.479,965.28017,
1308.568,999.0761,
1305.657,1021.2967,
1302.747,1062.5513,
1299.836,1072.6164,
1296.926,1076.7659,
1294.015,1090.5558,
1291.105,1127.2272,
1288.194,1136.1187,
1285.283,1161.4691,
1282.373,1171.7578,
1279.462,1169.38,
1276.552,1192.2117,
1273.641,1225.3007,
1270.731,1234.7713,
1267.820,1243.8256,
1264.909,1250.8609,
1261.999,1228.1569,
1259.088,1256.4327,
1256.178,1204.1682,
1253.267,1202.0298,
1250.356,1155.3627,
1247.446,1154.4206,
1244.535,1146.8349,
1241.625,1098.4991,
1238.714,1053.7182,
1235.804,1031.8483,
1232.893,1019.7506,
1229.982,1016.2051,
1227.072,989.04572,
1224.161,947.62132,
1221.251,949.05911,
1218.340,943.05563,
1215.430,922.71001,
