,PLF7F4~1,
Wavenumbers [1/cm],Intensity,
2173.010,1055.2497,
2170.099,1122.3339,
2167.189,1087.6069,
2164.278,1195.1846,
2161.368,1242.7308,
2158.457,1297.4108,
2155.546,1368.5097,
2152.636,1419.96,
2149.725,1470.8213,
2146.815,1501.1075,
2143.904,1582.8006,
2140.993,1645.8062,
2138.083,1655.0756,
2135.172,1660.4212,
2132.262,1677.4067,
2129.351,1702.9578,
2126.441,1652.9816,
2123.530,1654.1679,
2120.619,1582.7928,
2117.709,1505.5711,
2114.798,1417.0208,
2111.888,1334.0764,
2108.977,1291.4313,
2106.067,1224.9632,
2103.156,1190.038,
2100.245,1120.8662,
2097.335,1103.985,
2094.424,1084.7898,
2091.514,1070.4958,
2088.603,1036.7229,
2085.692,1030.4178,
2082.782,1034.4773,
2079.871,1030.6603,
2076.961,1015.7791,
2074.050,1039.8083,
2071.140,1018.875,
2068.229,1016.9701,
2065.318,1014.937,
2062.408,1011.5036,
2059.497,993.25594,
2056.587,1006.7351,
2053.676,1021.4079,
2050.766,1010.8757,
2047.855,1000.7041,
2044.944,996.20512,
2042.034,1007.245,
2039.123,1010.7942,
2036.213,1003.3172,
2033.302,991.91866,
2030.391,998.62031,
2027.481,990.02151,
2024.570,1004.9459,
2021.660,1006.9933,
2018.749,997.36888,
2015.839,1012.2963,
2012.928,1028.7945,
2010.017,1026.356,
2007.107,1008.5946,
2004.196,1021.3751,
2001.286,1030.3945,
1998.375,1027.7461,
1995.465,998.41072,
1992.554,1000.3926,
1989.643,1001.875,
1986.733,1014.1961,
1983.822,1021.2856,
1980.912,1028.0531,
1978.001,1015.6041,
1975.090,1006.6567,
1972.180,1020.633,
1969.269,1016.5531,
1966.359,1014.3616,
1963.448,1006.9173,
1960.538,1023.9743,
1957.627,1027.9834,
1954.716,1009.4208,
1951.806,981.80601,
1948.895,1030.7334,
1945.985,981.67075,
1943.074,985.92289,
1940.164,992.47101,
1937.253,982.5967,
1934.342,978.82367,
1931.432,978.64787,
1928.521,1003.6557,
1925.611,970.90792,
1922.700,971.2866,
1919.790,967.26238,
1916.879,957.50275,
1913.968,995.82705,
1911.058,958.866,
1908.147,975.13341,
1905.237,991.66178,
1902.326,985.68984,
1899.415,955.43599,
1896.505,979.83899,
1893.594,995.96646,
1890.684,1004.6854,
1887.773,1021.3834,
1884.863,1001.3625,
1881.952,988.26999,
1879.041,965.4238,
1876.131,990.45015,
1873.220,952.54738,
1870.310,957.94224,
1867.399,998.23526,
1864.489,1007.5635,
1861.578,1001.6496,
1858.667,1011.0996,
1855.757,972.65065,
1852.846,999.37244,
1849.936,989.71285,
1847.025,996.27642,
1844.114,1038.0467,
1841.204,1027.2666,
1838.293,1039.8467,
1835.383,1066.712,
1832.472,1052.9324,
1829.562,1039.1526,
1826.651,1058.337,
1823.740,1053.7715,
1820.830,1048.875,
1817.919,1074.1207,
1815.009,1049.0506,
1812.098,1051.0561,
1809.188,1072.5106,
1806.277,1063.1185,
1803.366,1061.1412,
1800.456,1079.0183,
1797.545,1115.2296,
1794.635,1107.972,
1791.724,1101.875,
1788.813,1103.0765,
1785.903,1107.875,
1782.992,1096.8765,
1780.082,1075.0091,
1777.171,1085.8707,
1774.261,1066.2249,
1771.350,1086.3903,
1768.439,1131.5565,
1765.529,1143.7852,
1762.618,1168.7507,
1759.708,1171.527,
1756.797,1152.1098,
1753.887,1150.5674,
1750.976,1150.6957,
1748.065,1195.9579,
1745.155,1168.0302,
1742.244,1176.2653,
1739.334,1172.2256,
1736.423,1170.7666,
1733.512,1181.4238,
1730.602,1204.8195,
1727.691,1226.4606,
1724.781,1234.8079,
1721.870,1224.6083,
1718.960,1226.8084,
1716.049,1260.595,
1713.138,1244.6451,
1710.228,1235.6532,
1707.317,1273.7961,
1704.407,1266.2974,
1701.496,1291.3099,
1698.586,1312.3547,
1695.675,1338.2034,
1692.764,1337.0348,
1689.854,1347.3986,
1686.943,1325.6507,
