,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
2175.920,502.19969,
2173.010,507.94983,
2170.099,526.18949,
2167.189,556.19676,
2164.278,572.14108,
2161.368,614.26699,
2158.457,642.71568,
2155.546,671.13945,
2152.636,703.726,
2149.725,709.79614,
2146.815,775.82254,
2143.904,763.83873,
2140.993,798.05621,
2138.083,821.91517,
2135.172,849.20057,
2132.262,831.36268,
2129.351,846.51478,
2126.441,828.38706,
2123.530,796.61992,
2120.619,752.40022,
2117.709,734.87581,
2114.798,678.01727,
2111.888,664.41288,
2108.977,609.71437,
2106.067,594.50067,
2103.156,539.17605,
2100.245,525.1181,
2097.335,516.0517,
2094.424,522.94452,
2091.514,506.56054,
2088.603,500.08821,
2085.692,479.53393,
2082.782,472.76359,
2079.871,474.23235,
2076.961,455.48114,
2074.050,514.47651,
2071.140,477.4587,
2068.229,459.11197,
2065.318,472.063,
2062.408,468.60231,
2059.497,460.50594,
2056.587,458.38075,
2053.676,462.57485,
2050.766,449.27971,
2047.855,445.84021,
2044.944,436.92307,
2042.034,441.888,
2039.123,448.26641,
2036.213,473.1806,
2033.302,466.47314,
2030.391,458.78575,
2027.481,452.22267,
2024.570,464.9817,
2021.660,463.42065,
2018.749,479.47916,
2015.839,462.85597,
2012.928,461.58473,
2010.017,463.44965,
2007.107,458.682,
2004.196,465.45838,
2001.286,471.87413,
1998.375,468.51673,
1995.465,474.63125,
1992.554,448.95465,
1989.643,425.81627,
1986.733,435.67676,
1983.822,458.04671,
1980.912,430.54112,
1978.001,436.79475,
1975.090,434.28989,
1972.180,438.95347,
1969.269,417.23703,
1966.359,421.09814,
1963.448,426.66397,
1960.538,413.95235,
1957.627,412.90828,
1954.716,445.17701,
1951.806,422.52886,
1948.895,409.21207,
1945.985,398.78023,
1943.074,403.23579,
1940.164,400.93298,
1937.253,386.67797,
1934.342,379.98862,
1931.432,415.77484,
1928.521,397.48769,
1925.611,385.0796,
1922.700,383.125,
1919.790,339.20064,
1916.879,387.94003,
1913.968,355.17049,
1911.058,362.39827,
1908.147,351.32791,
1905.237,343.34557,
1902.326,328.69686,
1899.415,295.50545,
1896.505,239.29358,
1893.594,258.46963,
1890.684,338.98092,
1887.773,374.50443,
1884.863,364.10905,
1881.952,360.82249,
1879.041,388.35865,
1876.131,381.6518,
1873.220,375.50995,
1870.310,362.12951,
1867.399,382.77314,
1864.489,415.6062,
1861.578,377.19101,
1858.667,369.00523,
1855.757,376.71569,
1852.846,392.15063,
1849.936,397.75364,
1847.025,367.65786,
1844.114,370.6333,
1841.204,396.3208,
1838.293,389.13332,
1835.383,377.02051,
1832.472,401.37022,
1829.562,423.4026,
1826.651,407.71434,
1823.740,416.86833,
1820.830,404.60515,
1817.919,389.35248,
1815.009,387.125,
1812.098,401.4872,
1809.188,405.00096,
1806.277,386.54551,
1803.366,420.09173,
1800.456,417.52047,
1797.545,408.78449,
1794.635,423.06097,
1791.724,413.4162,
1788.813,427.31497,
1785.903,372.91004,
1782.992,269.22625,
1780.082,101.54121,
1777.171,-169.2396,
1774.261,-213.23853,
1771.350,61.135563,
1768.439,333.94006,
1765.529,404.3991,
1762.618,420.85502,
1759.708,432.70112,
1756.797,459.79167,
1753.887,480.68914,
1750.976,459.3076,
1748.065,454.57047,
1745.155,452.82183,
1742.244,448.78714,
1739.334,448.44029,
1736.423,452.36425,
1733.512,460.6738,
1730.602,488.55758,
1727.691,465.65092,
1724.781,462.41761,
1721.870,448.02967,
1718.960,490.17,
1716.049,495.09115,
1713.138,478.73508,
1710.228,499.62302,
1707.317,486.31814,
1704.407,508.38172,
1701.496,513.85964,
1698.586,504.88516,
1695.675,510.67496,
1692.764,459.0553,
1689.854,542.22741,
1686.943,578.97833,
1684.033,538.19296,
1681.122,568.58124,
1678.211,548.32486,
1675.301,546.13117,
1672.390,559.08313,
1669.480,545.26137,
1666.569,562.68362,
1663.659,606.076,
1660.748,603.72273,
1657.837,633.42517,
1654.927,603.17931,
1652.016,646.12874,
1649.106,607.10424,
1646.195,646.55657,
1643.285,663.89713,
1640.374,655.27482,
1637.463,709.10699,
1634.553,709.08556,
1631.642,773.55932,
1628.732,813.40942,
1625.821,861.18584,
1622.911,953.60093,
1620.000,919.56596,
1617.089,986.75186,
1614.179,1082.3895,
1611.268,1206.4406,
1608.358,1291.1919,
1605.447,1351.6969,
1602.536,1372.8309,
1599.626,1369.5253,
1596.715,1377.2934,
1593.805,1424.6303,
1590.894,1305.0698,
1587.984,1304.5807,
1585.073,1318.1856,
1582.162,1301.7575,
1579.252,1274.3943,
1576.341,1267.5229,
1573.431,1202.9047,
1570.520,1188.1825,
1567.610,1168.2619,
1564.699,1149.5245,
1561.788,1141.6039,
1558.878,1099.1592,
1555.967,1105.8909,
1553.057,1126.1422,
1550.146,1082.1906,
1547.235,1010.8021,
1544.325,995.69776,
1541.414,989.92328,
1538.504,979.20782,
1535.593,982.125,
1532.683,955.93953,
1529.772,897.52543,
1526.861,875.2065,
1523.951,903.95213,
1521.040,884.92334,
1518.130,820.32072,
1515.219,817.48475,
1512.309,826.86825,
1509.398,826.5471,
1506.487,823.10106,
1503.577,852.77016,
1500.666,858.94716,
1497.756,785.59104,
1494.845,781.72642,
1491.934,843.98327,
1489.024,800.67109,
1486.113,777.79904,
1483.203,743.2628,
1480.292,705.18454,
1477.382,696.70026,
1474.471,722.98326,
1471.560,718.78868,
1468.650,704.55917,
1465.739,682.83177,
1462.829,668.35046,
1459.918,657.39013,
1457.008,659.75588,
1454.097,675.98169,
1451.186,658.50992,
1448.276,631.08717,
1445.365,634.94412,
1442.455,597.55881,
1439.544,576.38751,
1436.633,591.82411,
1433.723,597.11896,
1430.812,609.64735,
1427.902,590.78675,
1424.991,576.57032,
1422.081,564.1978,
1419.170,593.36711,
1416.259,537.37027,
1413.349,544.27175,
1410.438,556.02346,
1407.528,535.59404,
1404.617,526.64777,
1401.707,531.7747,
1398.796,552.06202,
1395.885,544.84131,
