,PLF0E4~1,
Wavenumbers [1/cm],Intensity,
2103.156,459.12984,
2100.245,442.23996,
2097.335,423.48037,
2094.424,411.62723,
2091.514,422.16115,
2088.603,404.16701,
2085.692,403.83743,
2082.782,407.97281,
2079.871,389.42737,
2076.961,405.76471,
2074.050,405.05606,
2071.140,397.06642,
2068.229,380.96483,
2065.318,397.39825,
2062.408,404.17435,
2059.497,386.40473,
2056.587,396.07518,
2053.676,383.38473,
2050.766,393.01831,
2047.855,385.93673,
2044.944,378.04326,
2042.034,393.64303,
2039.123,387.2904,
2036.213,392.13445,
2033.302,384.01101,
2030.391,382.6905,
2027.481,385.5061,
2024.570,393.67835,
2021.660,403.71784,
2018.749,408.49019,
2015.839,387.50131,
2012.928,381.30705,
2010.017,400.84718,
2007.107,405.83131,
2004.196,403.20237,
2001.286,393.99913,
1998.375,381.59547,
1995.465,381.39643,
1992.554,387.50878,
1989.643,400.80067,
1986.733,386.71491,
1983.822,381.9051,
1980.912,412.29967,
1978.001,415.80102,
1975.090,405.06221,
1972.180,391.07847,
1969.269,393.13797,
1966.359,402.25,
1963.448,401.51948,
1960.538,406.93057,
1957.627,397.5503,
1954.716,389.45109,
1951.806,389.25,
1948.895,384.27639,
1945.985,354.74347,
1943.074,365.23904,
1940.164,358.27909,
1937.253,382.98468,
1934.342,379.66872,
1931.432,367.94085,
1928.521,400.01857,
1925.611,387.97759,
1922.700,362.00415,
1919.790,387.53291,
1916.879,351.31898,
1913.968,395.19221,
1911.058,363.17493,
1908.147,378.10987,
1905.237,386.08085,
1902.326,359.75669,
1899.415,334.89025,
1896.505,349.99713,
1893.594,377.3354,
1890.684,380.50495,
1887.773,394.62015,
1884.863,400.04499,
1881.952,392.15752,
1879.041,382.17212,
1876.131,383.32189,
1873.220,363.32956,
1870.310,383.45624,
1867.399,407.88215,
1864.489,398.12064,
1861.578,370.25,
1858.667,370.10329,
1855.757,374.03282,
1852.846,389.73206,
1849.936,377.73849,
1847.025,386.95071,
1844.114,405.01939,
1841.204,400.40734,
1838.293,401.75416,
1835.383,399.25,
1832.472,402.80826,
1829.562,383.53072,
1826.651,402.70376,
1823.740,390.31508,
1820.830,380.25,
1817.919,394.90878,
1815.009,399.96247,
1812.098,419.10038,
1809.188,413.74614,
1806.277,402.49345,
1803.366,422.29991,
1800.456,425.46983,
1797.545,427.59051,
1794.635,412.92703,
1791.724,419.6287,
1788.813,411.26929,
1785.903,460.93224,
1782.992,395.86391,
1780.082,307.53864,
1777.171,286.24196,
1774.261,266.47021,
1771.350,323.42927,
1768.439,405.80635,
1765.529,429.88517,
1762.618,419.83437,
1759.708,416.22825,
1756.797,439.99243,
1753.887,455.04446,
1750.976,447.89136,
1748.065,478.20084,
1745.155,447.79229,
1742.244,470.23452,
1739.334,464.75354,
1736.423,455.19579,
1733.512,460.16058,
1730.602,487.43059,
1727.691,492.4117,
1724.781,470.79901,
1721.870,454.78803,
1718.960,474.45027,
1716.049,490.15667,
1713.138,474.29509,
1710.228,467.76881,
1707.317,481.40314,
1704.407,502.11634,
1701.496,510.63083,
1698.586,514.94594,
1695.675,531.15705,
1692.764,529.40983,
1689.854,525.42323,
1686.943,535.87902,
1684.033,547.95197,
1681.122,525.64083,
1678.211,526.24048,
1675.301,535.22225,
1672.390,588.1543,
1669.480,556.14571,
1666.569,543.44044,
1663.659,558.69097,
1660.748,585.92486,
1657.837,620.38122,
1654.927,625.80485,
1652.016,607.1528,
1649.106,605.20848,
