,PLDAAC~1,
Wavenumbers [1/cm],Intensity,
2420.409,312.78837,
2417.498,313.07022,
2414.588,316.42487,
2411.677,314.35354,
2408.767,296.06791,
2405.856,298.24055,
2402.946,301.78619,
2400.035,310.35094,
2397.124,316.8008,
2394.214,314.2232,
2391.303,321.60908,
2388.393,318.03835,
2385.482,310.47031,
2382.571,353.30124,
2379.661,334.73835,
2376.750,336.09237,
2373.840,332.11251,
2370.929,362.90345,
2368.019,317.16627,
2365.108,299.50654,
2362.197,308.3761,
2359.287,313.6617,
2356.376,328.22182,
2353.466,345.52404,
2350.555,323.87991,
2347.645,332.6831,
2344.734,337.3099,
2341.823,351.98467,
2338.913,343.25,
2336.002,343.99162,
2333.092,341.87075,
2330.181,341.51342,
2327.270,323.35011,
2324.360,353.63681,
2321.449,341.31122,
2318.539,339.80352,
2315.628,357.59373,
2312.718,361.60022,
2309.807,339.70928,
2306.896,370.47848,
2303.986,358.76945,
2301.075,346.84577,
2298.165,343.84618,
2295.254,361.86223,
2292.344,363.19604,
2289.433,367.57818,
2286.522,364.19645,
2283.612,360.8699,
2280.701,358.51906,
2277.791,362.13165,
2274.880,383.464,
2271.969,373.03189,
2269.059,362.51159,
2266.148,385.75918,
2263.238,388.65155,
2260.327,383.25,
2257.417,381.115,
2254.506,377.08192,
2251.595,387.52996,
2248.685,395.93268,
2245.774,389.14025,
2242.864,374.15772,
2239.953,388.84307,
2237.043,391.13286,
2234.132,369.7306,
2231.221,381.83152,
2228.311,393.11984,
2225.400,410.70033,
2222.490,420.12283,
2219.579,393.93381,
2216.669,392.76192,
2213.758,408.51407,
2210.847,390.03845,
2207.937,406.27277,
2205.026,432.36196,
2202.116,408.72558,
2199.205,416.32436,
2196.294,439.36597,
2193.384,438.72399,
2190.473,429.24413,
2187.563,427.33217,
2184.652,443.79816,
2181.742,448.63728,
2178.831,462.73248,
2175.920,468.74181,
2173.010,468.99943,
2170.099,509.57839,
2167.189,480.66618,
2164.278,540.30427,
2161.368,560.53471,
2158.457,582.94451,
2155.546,595.90098,
2152.636,640.48394,
2149.725,647.92786,
2146.815,661.7161,
2143.904,693.94889,
2140.993,696.13883,
2138.083,713.70896,
2135.172,717.7374,
2132.262,733.01937,
2129.351,729.92235,
2126.441,705.92955,
2123.530,688.93573,
2120.619,661.38761,
2117.709,649.06562,
2114.798,607.58841,
2111.888,575.1386,
2108.977,553.15729,
2106.067,542.87433,
2103.156,531.33148,
2100.245,520.23432,
2097.335,496.69502,
2094.424,499.59082,
2091.514,472.74729,
2088.603,463.97813,
2085.692,465.16075,
2082.782,464.30224,
2079.871,467.17882,
2076.961,480.41049,
2074.050,468.8803,
2071.140,477.06642,
2068.229,456.0664,
2065.318,462.0775,
2062.408,475.63653,
2059.497,473.02975,
2056.587,453.48276,
2053.676,453.96632,
2050.766,452.48094,
2047.855,469.30696,
2044.944,473.91025,
2042.034,482.95509,
2039.123,464.41162,
2036.213,477.59666,
2033.302,459.57631,
2030.391,442.74165,
2027.481,470.74972,
2024.570,463.55047,
2021.660,501.64831,
2018.749,477.70589,
2015.839,483.7349,
2012.928,456.75504,
2010.017,484.60071,
2007.107,491.62385,
2004.196,487.3809,
2001.286,482.52207,
1998.375,477.42027,
1995.465,476.96964,
1992.554,472.99122,
1989.643,474.18087,
1986.733,480.60789,
1983.822,470.37851,
1980.912,479.52741,
1978.001,477.53014,
1975.090,464.21947,
1972.180,470.94017,
1969.269,469.21266,
1966.359,475.49329,
1963.448,486.01619,
1960.538,494.11906,
1957.627,478.30881,
1954.716,450.02562,
1951.806,501.44871,
1948.895,501.04156,
1945.985,472.86275,
1943.074,477.21307,
1940.164,477.98067,
1937.253,480.14979,
1934.342,476.10455,
1931.432,442.50867,
1928.521,464.66797,
1925.611,452.97759,
1922.700,456.28729,
1919.790,460.25,
1916.879,469.55251,
1913.968,495.21926,
1911.058,459.50526,
1908.147,482.96246,
1905.237,517.86763,
1902.326,502.97594,
1899.415,489.23415,
1896.505,501.03927,
1893.594,520.7927,
1890.684,512.82525,
1887.773,501.98271,
1884.863,512.8172,
1881.952,496.62771,
1879.041,479.6851,
1876.131,485.39379,
1873.220,464.58619,
1870.310,486.31274,
1867.399,511.86615,
1864.489,499.01634,
1861.578,491.10181,
1858.667,473.62423,
1855.757,495.84069,
1852.846,501.22437,
1849.936,478.39015,
1847.025,477.88988,
1844.114,512.26177,
1841.204,508.03322,
1838.293,504.74085,
1835.383,517.35449,
1832.472,507.23783,
1829.562,503.27682,
1826.651,516.82288,
1823.740,502.32276,
1820.830,519.94313,
1817.919,514.21998,
1815.009,517.24364,
1812.098,510.17126,
