,PLDADE~1,
Wavenumbers [1/cm],Intensity,
2173.010,438.67432,
2170.099,451.83979,
2167.189,447.44676,
2164.278,462.65741,
2161.368,498.23156,
2158.457,517.57666,
2155.546,553.72216,
2152.636,569.49735,
2149.725,589.01257,
2146.815,609.80773,
2143.904,642.97352,
2140.993,643.79823,
2138.083,667.12875,
2135.172,678.90439,
2132.262,674.74912,
2129.351,657.76111,
2126.441,680.64693,
2123.530,642.88114,
2120.619,598.96217,
2117.709,586.09118,
2114.798,548.82875,
2111.888,518.97572,
2108.977,501.46771,
2106.067,488.24096,
2103.156,449.1816,
2100.245,445.37375,
2097.335,439.40119,
2094.424,412.05045,
2091.514,417.375,
2088.603,408.83126,
2085.692,385.78028,
2082.782,388.39099,
2079.871,394.19647,
2076.961,369.1186,
2074.050,388.27803,
2071.140,388.7886,
2068.229,394.29949,
2065.318,381.88176,
2062.408,379.57168,
2059.497,385.01193,
2056.587,381.06131,
2053.676,379.2747,
2050.766,392.37425,
2047.855,376.14717,
2044.944,370.10416,
2042.034,374.02808,
2039.123,353.43561,
2036.213,377.94841,
2033.302,388.33172,
2030.391,366.42615,
2027.481,361.1189,
2024.570,381.60304,
2021.660,370.32107,
2018.749,395.19729,
2015.839,367.39272,
2012.928,383.13339,
2010.017,378.73981,
2007.107,347.86285,
2004.196,360.75601,
2001.286,383.62587,
1998.375,380.0246,
1995.465,369.29554,
1992.554,382.27487,
1989.643,340.93037,
1986.733,349.12412,
1983.822,361.66968,
1980.912,352.13695,
1978.001,345.03549,
1975.090,368.375,
1972.180,361.13432,
1969.269,348.28016,
1966.359,346.96963,
1963.448,351.29706,
1960.538,331.27575,
1957.627,346.88276,
1954.716,344.51863,
1951.806,331.97758,
1948.895,326.1604,
1945.985,337.76225,
1943.074,339.0207,
1940.164,338.76902,
1937.253,316.64032,
1934.342,308.86217,
1931.432,330.46649,
1928.521,333.0883,
1925.611,326.81654,
1922.700,294.92611,
1919.790,263.98219,
1916.879,325.49254,
1913.968,280.43648,
1911.058,316.50713,
1908.147,312.66254,
1905.237,280.13974,
1902.326,286.98095,
1899.415,245.48597,
1896.505,229.41715,
1893.594,237.27748,
1890.684,277.22449,
1887.773,300.64229,
1884.863,307.66657,
1881.952,308.88753,
1879.041,325.53077,
1876.131,340.33317,
1873.220,319.71119,
1870.310,317.30325,
1867.399,319.34301,
1864.489,332.38888,
1861.578,285.80338,
1858.667,310.84206,
1855.757,321.56712,
1852.846,330.62628,
1849.936,329.56119,
1847.025,320.43583,
1844.114,314.99619,
1841.204,326.23864,
1838.293,320.39662,
1835.383,320.49099,
1832.472,334.34022,
1829.562,339.56901,
1826.651,309.92124,
1823.740,308.47847,
1820.830,312.60334,
1817.919,317.26126,
1815.009,322.65617,
1812.098,344.91829,
1809.188,334.24325,
1806.277,315.77337,
1803.366,389.27701,
1800.456,325.58406,
1797.545,346.55939,
1794.635,348.117,
1791.724,347.69537,
1788.813,348.36729,
1785.903,313.82275,
1782.992,271.32728,
1780.082,173.1556,
1777.171,-21.301136,
1774.261,-18.664234,
1771.350,147.89554,
1768.439,309.46124,
1765.529,324.92131,
1762.618,342.45315,
1759.708,358.95112,
1756.797,363.45076,
1753.887,368.88812,
1750.976,368.83704,
1748.065,379.27822,
1745.155,360.54938,
1742.244,350.67209,
1739.334,378.70911,
1736.423,362.11336,
1733.512,381.66371,
1730.602,404.59525,
1727.691,379.2039,
1724.781,388.46626,
1721.870,389.35117,
1718.960,398.24179,
1716.049,392.82423,
1713.138,370.0001,
1710.228,380.29975,
1707.317,449.60243,
1704.407,448.49263,
1701.496,426.4094,
1698.586,436.3868,
1695.675,431.76075,
1692.764,374.57169,
1689.854,448.86717,
1686.943,434.01579,
1684.033,427.52402,
1681.122,456.86523,
1678.211,459.35597,
1675.301,457.38117,
1672.390,431.48865,
1669.480,469.60764,
1666.569,498.60353,
1663.659,515.3134,
1660.748,452.20412,
1657.837,495.20605,
1654.927,531.22697,
1652.016,483.3021,
1649.106,480.64429,
1646.195,490.99138,
1643.285,476.49154,
1640.374,525.48301,
1637.463,577.15883,
1634.553,565.641,
1631.642,583.87446,
1628.732,629.71868,
1625.821,687.40902,
1622.911,739.08197,
1620.000,798.61908,
1617.089,835.63868,
1614.179,873.30336,
1611.268,913.85071,
1608.358,1045.0071,
1605.447,1043.8321,
1602.536,1080.6505,
1599.626,1073.2557,
1596.715,1095.9726,
1593.805,1118.9446,
1590.894,1074.6995,
1587.984,1061.4463,
1585.073,1030.5964,
1582.162,1011.1819,
1579.252,1009.1933,
1576.341,983.74097,
1573.431,957.01247,
1570.520,912.39177,
1567.610,909.31631,
1564.699,913.10003,
1561.788,899.29063,
1558.878,910.44408,
1555.967,909.12569,
1553.057,886.51311,
1550.146,845.03325,
1547.235,816.5201,
1544.325,814.89925,
1541.414,797.85282,
1538.504,796.81668,
1535.593,775.3695,
1532.683,722.59317,
1529.772,705.08127,
1526.861,716.65184,
1523.951,715.50265,
1521.040,672.83844,
1518.130,662.11404,
1515.219,663.93548,
1512.309,648.11825,
1509.398,653.59738,
1506.487,666.82374,
1503.577,672.78719,
1500.666,665.23378,
1497.756,632.29872,
1494.845,630.89474,
1491.934,619.37185,
1489.024,618.40936,
1486.113,594.2674,
1483.203,572.83531,
1480.292,555.9503,
1477.382,557.41624,
1474.471,544.56218,
1471.560,559.96798,
1468.650,525.01203,
1465.739,507.93696,
1462.829,514.14954,
1459.918,510.74511,
1457.008,522.63676,
1454.097,529.66968,
1451.186,503.81988,
1448.276,487.80263,
1445.365,490.87421,
1442.455,471.53549,
1439.544,441.11249,
1436.633,435.2886,
1433.723,476.50264,
1430.812,468.30629,
1427.902,442.4652,
1424.991,446.25625,
1422.081,427.10798,
1419.170,421.91876,
1416.259,406.79387,
1413.349,407.15121,
1410.438,419.57147,
1407.528,403.13152,
1404.617,411.33736,
1401.707,432.79417,
1398.796,425.2142,
1395.885,399.86705,
1392.975,420.37642,
1390.064,475.9002,
1387.154,447.29,
1384.243,404.375,
1381.332,404.59633,
1378.422,409.51483,
1375.511,470.40559,
1372.601,459.39459,
1369.690,500.3789,
1366.780,497.87058,
1363.869,487.38375,
1360.958,568.22247,
1358.048,566.87661,
1355.137,566.86467,
1352.227,592.54492,
1349.316,620.70366,
1346.406,690.72684,
1343.495,742.6102,
1340.584,743.94723,
1337.674,697.48545,
1334.763,749.82169,
1331.853,787.83817,
1328.942,817.83785,
1326.032,783.85645,
1323.121,819.83287,
1320.210,846.69565,
1317.300,871.26243,
1314.389,904.93096,
1311.479,959.76309,
1308.568,1009.3261,
1305.657,1033.5134,
1302.747,1097.7962,
1299.836,1176.5322,
1296.926,1164.3578,
1294.015,1185.5022,
1291.105,1246.2518,
1288.194,1271.9473,
1285.283,1279.955,
1282.373,1297.8281,
1279.462,1343.6096,
1276.552,1390.5641,
1273.641,1429.7349,
1270.731,1469.9019,
1267.820,1493.4911,
1264.909,1502.9572,
1261.999,1485.3084,
1259.088,1483.4842,
1256.178,1468.8152,
1253.267,1411.1369,
1250.356,1386.248,
1247.446,1333.0899,
1244.535,1283.509,
1241.625,1270.3935,
1238.714,1250.3342,
1235.804,1188.8896,
1232.893,1147.6308,
1229.982,1120.6084,
1227.072,1097.9756,
1224.161,1085.4485,
1221.251,1058.0617,
1218.340,1022.8147,
