,PLA2FA~1,
Raman shift [1/cm],Intensity,
2184.652,1592.4763,
2181.742,1638.7512,
2178.831,1675.6304,
2175.920,1719.2295,
2173.010,1753.2262,
2170.099,1765.9325,
2167.189,1848.2009,
2164.278,1883.19,
2161.368,1933.8561,
2158.457,1981.4176,
2155.546,2040.1049,
2152.636,2109.1701,
2149.725,2194.2483,
2146.815,2264.0312,
2143.904,2306.7993,
2140.993,2314.5449,
2138.083,2347.459,
2135.172,2339.0924,
2132.262,2338.64,
2129.351,2321.5895,
2126.441,2236.2522,
2123.530,2186.3041,
2120.619,2108.8998,
2117.709,1986.6413,
2114.798,1899.0305,
2111.888,1799.14,
2108.977,1700.2251,
2106.067,1633.0476,
2103.156,1601.5235,
2100.245,1533.9812,
2097.335,1496.8953,
2094.424,1449.0689,
2091.514,1454.1343,
2088.603,1440.9493,
2085.692,1410.082,
2082.782,1396.4819,
2079.871,1419.7153,
2076.961,1407.1624,
2074.050,1399.9333,
2071.140,1381.4136,
2068.229,1402.164,
2065.318,1412.9002,
2062.408,1403.3714,
2059.497,1402.3809,
2056.587,1409.4765,
2053.676,1390.5015,
2050.766,1377.6158,
2047.855,1377.8259,
2044.944,1399.8814,
2042.034,1358.578,
2039.123,1352.9798,
2036.213,1373.1112,
2033.302,1392.848,
2030.391,1387.2881,
2027.481,1390.2317,
2024.570,1417.1279,
2021.660,1416.3548,
2018.749,1386.2279,
2015.839,1393.4797,
2012.928,1405.9883,
2010.017,1417.6232,
2007.107,1405.9271,
2004.196,1403.9405,
2001.286,1409.311,
1998.375,1389.8661,
1995.465,1374.7741,
1992.554,1404.4291,
1989.643,1414.7926,
1986.733,1383.836,
1983.822,1424.5487,
1980.912,1365.1781,
1978.001,1369.347,
1975.090,1381.6397,
1972.180,1358.7593,
1969.269,1365.7184,
1966.359,1402.9463,
1963.448,1424.3052,
1960.538,1380.7439,
1957.627,1389.6161,
1954.716,1397.8276,
1951.806,1387.5097,
1948.895,1359.7652,
1945.985,1359.281,
1943.074,1348.7784,
1940.164,1376.1538,
1937.253,1374.4434,
1934.342,1373.9572,
1931.432,1358.0315,
1928.521,1348.7012,
1925.611,1367.4608,
1922.700,1354.4227,
1919.790,1349.8613,
1916.879,1363.0235,
1913.968,1394.9619,
1911.058,1386.6787,
1908.147,1364.546,
1905.237,1349.5442,
1902.326,1362.8593,
1899.415,1331.7305,
1896.505,1364.4337,
1893.594,1360.1829,
1890.684,1349.7386,
1887.773,1348.3533,
1884.863,1373.41,
1881.952,1391.2774,
1879.041,1376.6007,
1876.131,1370.1856,
1873.220,1388.3054,
1870.310,1406.7802,
1867.399,1368.6397,
1864.489,1427.4687,
1861.578,1364.9066,
1858.667,1374.5628,
1855.757,1426.0358,
1852.846,1399.0666,
1849.936,1424.3964,
1847.025,1403.2311,
1844.114,1413.1482,
1841.204,1408.5699,
1838.293,1402.0283,
1835.383,1419.4295,
1832.472,1427.2435,
1829.562,1395.7523,
1826.651,1412.6673,
1823.740,1446.8391,
1820.830,1434.9368,
1817.919,1419.2275,
1815.009,1453.8181,
1812.098,1486.9291,
1809.188,1459.0466,
1806.277,1469.7123,
1803.366,1482.6506,
1800.456,1462.9343,
1797.545,1477.6171,
1794.635,1462.839,
1791.724,1463.4174,
1788.813,1510.2054,
1785.903,1514.3373,
1782.992,1475.1461,
1780.082,1468.9495,
1777.171,1444.3351,
1774.261,1464.8703,
1771.350,1504.83,
1768.439,1534.5327,
1765.529,1530.1796,
1762.618,1531.46,
1759.708,1571.5002,
1756.797,1574.6364,
1753.887,1572.1035,
1750.976,1583.5897,
1748.065,1577.8556,
1745.155,1576.5548,
1742.244,1613.7554,
1739.334,1582.0165,
1736.423,1582.3159,
1733.512,1599.2764,
1730.602,1656.6052,
1727.691,1651.2025,
1724.781,1658.1584,
1721.870,1718.3337,
1718.960,1666.2214,
1716.049,1681.3641,
1713.138,1729.7498,
1710.228,1712.6317,
1707.317,1732.8834,
1704.407,1793.4974,
1701.496,1743.484,
1698.586,1776.8073,
1695.675,1819.2998,
1692.764,1775.6106,
1689.854,1785.437,
1686.943,1864.2682,
1684.033,1873.8261,
1681.122,1931.9974,
1678.211,1928.0476,
1675.301,1971.8643,
1672.390,1994.1675,
1669.480,2050.722,
1666.569,2140.5332,
1663.659,2182.0817,
1660.748,2188.3883,
1657.837,2259.503,
1654.927,2283.7338,
1652.016,2356.9477,
1649.106,2395.7099,
1646.195,2426.4935,
1643.285,2529.7318,
1640.374,2605.777,
1637.463,2691.0537,
1634.553,2804.6847,
1631.642,2918.3247,
1628.732,3040.1199,
1625.821,3228.1413,
1622.911,3442.7828,
1620.000,3604.9464,
1617.089,3719.7114,
1614.179,4036.8629,
1611.268,4229.899,
1608.358,4371.3979,
1605.447,4486.4295,
1602.536,4598.3032,
1599.626,4677.7548,
1596.715,4608.6691,
1593.805,4642.1393,
1590.894,4674.3008,
1587.984,4646.8207,
1585.073,4620.7296,
1582.162,4507.6299,
1579.252,4407.4431,
1576.341,4353.1511,
1573.431,4278.2134,
1570.520,4212.6086,
1567.610,4191.294,
1564.699,4091.121,
1561.788,3999.0709,
1558.878,3963.0275,
1555.967,3894.2369,
1553.057,3794.38,
1550.146,3746.1673,
1547.235,3688.6416,
1544.325,3612.8472,
1541.414,3536.6352,
1538.504,3505.1932,
1535.593,3493.0103,
