,PLCB0C~1,
Wavenumbers [1/cm],Intensity,
1759.708,1035.2175,
1756.797,1056.8333,
1753.887,1044.4344,
1750.976,1032.8966,
1748.065,1078.1674,
1745.155,1049.7101,
1742.244,1056.7418,
1739.334,1058.1977,
1736.423,1052.1196,
1733.512,1079.1952,
1730.602,1115.1806,
1727.691,1108.6468,
1724.781,1114.2255,
1721.870,1101.7094,
1718.960,1084.0221,
1716.049,1118.7539,
1713.138,1111.4651,
1710.228,1107.2594,
1707.317,1152.9977,
1704.407,1115.8769,
1701.496,1132.8771,
1698.586,1150.7077,
1695.675,1202.5283,
1692.764,1192.7459,
1689.854,1207.3071,
1686.943,1204.1349,
1684.033,1238.1307,
1681.122,1233.102,
1678.211,1227.0571,
1675.301,1218.0278,
1672.390,1337.8475,
1669.480,1287.3048,
1666.569,1325.2412,
1663.659,1344.9963,
1660.748,1405.5206,
1657.837,1432,
1654.927,1431.1331,
1652.016,1395.7047,
1649.106,1425.8361,
1646.195,1500.9421,
1643.285,1578.1543,
1640.374,1501.5087,
1637.463,1619.8107,
1634.553,1663.7783,
1631.642,1650.3572,
1628.732,1774.1718,
1625.821,1803.0837,
1622.911,1930.2787,
1620.000,2040.6015,
1617.089,2154.7114,
1614.179,2291.1083,
1611.268,2436.5348,
1608.358,2564.0066,
1605.447,2677.4866,
1602.536,2783.7119,
1599.626,2717.4054,
1596.715,2739.1356,
1593.805,2707.1211,
1590.894,2714.4487,
1587.984,2683.0885,
1585.073,2652.4755,
1582.162,2591.2277,
1579.252,2552.1778,
1576.341,2497.1351,
1573.431,2485,
1570.520,2437.6086,
1567.610,2439.3924,
1564.699,2412.3737,
1561.788,2376.0566,
1558.878,2329.1308,
1555.967,2335.1233,
1553.057,2306.1728,
1550.146,2275.0109,
1547.235,2250.5192,
1544.325,2151.6047,
1541.414,2089.2403,
1538.504,2094.569,
1535.593,2035.1619,
1532.683,1970.4594,
1529.772,1971.4312,
1526.861,1939.0091,
1523.951,1901.9271,
1521.040,1917.5466,
1518.130,1897.4713,
1515.219,1870.6001,
1512.309,1865.5135,
1509.398,1851.5477,
1506.487,1823.3382,
1503.577,1838.9212,
1500.666,1764.5669,
1497.756,1781.5006,
1494.845,1834.119,
1491.934,1789.0724,
1489.024,1811.2098,
1486.113,1744.3133,
1483.203,1768.3095,
1480.292,1716.8468,
1477.382,1663.3546,
1474.471,1665.2781,
1471.560,1681.3363,
1468.650,1645.6869,
1465.739,1643.0123,
1462.829,1646.6286,
1459.918,1617.5854,
1457.008,1604.1078,
1454.097,1613.3108,
1451.186,1607.6828,
1448.276,1601.5345,
1445.365,1608.7496,
1442.455,1603.18,
1439.544,1590.4559,
1436.633,1559.0685,
1433.723,1580.6322,
1430.812,1566.512,
1427.902,1598.3608,
1424.991,1613.525,
1422.081,1558.0339,
1419.170,1562.5047,
1416.259,1504.8654,
1413.349,1473.6295,
1410.438,1495.2914,
1407.528,1521.1623,
1404.617,1488.4882,
1401.707,1471.6587,
1398.796,1512.2097,
1395.885,1507.9682,
1392.975,1464.2713,
1390.064,1498.5984,
1387.154,1518.0081,
1384.243,1472.2783,
1381.332,1540.6479,
1378.422,1581.7195,
1375.511,1653.8516,
1372.601,1639.3333,
1369.690,1686.0045,
1366.780,1687.6637,
1363.869,1752.8359,
1360.958,1810.3506,
1358.048,1832.9331,
1355.137,1890.6198,
1352.227,1949.0654,
1349.316,1974.2202,
1346.406,2008.4111,
1343.495,2041.9826,
1340.584,2058.7856,
1337.674,2074.0753,
1334.763,2132.5766,
1331.853,2121.4498,
1328.942,2193.9361,
1326.032,2241.3342,
1323.121,2275.1928,
1320.210,2333.2781,
1317.300,2382.1995,
1314.389,2409.7919,
1311.479,2491.65,
1308.568,2611.6577,
1305.657,2673.3621,
1302.747,2726.6344,
1299.836,2818.7568,
1296.926,2868.8801,
1294.015,2909.3303,
1291.105,2985.8461,
1288.194,3053.5095,
1285.283,3108.8122,
1282.373,3152.8436,
1279.462,3216.7638,
1276.552,3303.386,
1273.641,3401.6547,
1270.731,3470.0597,
1267.820,3469.0244,
1264.909,3489.9448,
1261.999,3472.5367,
1259.088,3405.0397,
1256.178,3337.6222,
1253.267,3291.709,
1250.356,3236.3012,
1247.446,3156.914,
1244.535,3072.393,
1241.625,2974.7113,
1238.714,2853.0321,
1235.804,2746.4224,
1232.893,2698.2604,
1229.982,2648.7309,
1227.072,2581.7378,
1224.161,2479.5016,
1221.251,2414.0959,
1218.340,2369.4963,
1215.430,2339.6861,
1212.519,2302.6455,
1209.608,2282.2769,
1206.698,2296.1488,
1203.787,2286.9849,
1200.877,2313.4985,
1197.966,2305.4061,
1195.055,2406.5366,
1192.145,2466.8266,
1189.234,2528.3618,
1186.324,2564.3646,
1183.413,2589.7817,
1180.503,2603.2431,
1177.592,2591.9496,
1174.681,2595.4966,
1171.771,2529.7321,
1168.860,2518.122,
1165.950,2448.4654,
1163.039,2433.3968,
1160.129,2446.9768,
1157.218,2439.1742,
1154.307,2418.0318,
1151.397,2408.8291,
1148.486,2394.0029,
1145.576,2377.5782,
1142.665,2390.8969,
1139.754,2409.0862,
1136.844,2380.7861,
1133.933,2374.0381,
1131.023,2377.5837,
1128.112,2387.784,
1125.202,2416.0048,
1122.291,2437.1226,
1119.380,2431.1472,
1116.470,2446.1502,
1113.559,2475.837,
1110.649,2472.8676,
1107.738,2442.3524,
1104.828,2419.7517,
1101.917,2404.6858,
1099.006,2370.7217,
1096.096,2363.0639,
1093.185,2413.1101,
1090.275,2391.1034,
1087.364,2388.4306,
1084.453,2406.8739,
1081.543,2452.4284,
1078.632,2499.6411,
1075.722,2504.2895,
1072.811,2471.1862,
1069.901,2473.8059,
1066.990,2517.6499,
1064.079,2530.7221,
1061.169,2552.9874,
1058.258,2566.1886,
1055.348,2553.3571,
1052.437,2542.2155,
1049.527,2576.8853,
1046.616,2522.1491,
1043.705,2566.0997,
1040.795,2575.2535,
1037.884,2568.9656,
1034.974,2576.0554,
1032.063,2585.608,
1029.153,2563.0386,
1026.242,2571.6882,
1023.331,2596.9984,
1020.421,2633.3696,
1017.510,2685.659,
1014.600,2742.2217,
1011.689,2781.4208,
1008.778,2797.1839,
1005.868,2839.1699,
1002.957,2858.0977,
1000.047,2974.568,
997.136,3037.5564,
994.226,3065.8306,
991.315,3063.5149,
988.404,3010.0828,
985.494,2963.9425,
982.583,2961.3728,
979.673,2982.9494,
976.762,2957.5352,
973.852,2930.9059,
970.941,2931.1493,
968.030,2942.6532,
965.120,2951.9427,
962.209,2938.302,
959.299,2948.7485,
956.388,2954,
953.477,2971.2632,
950.567,3010.1169,
947.656,3045.2093,
944.746,3008.6784,
941.835,3038.5827,
938.925,3031.5229,
936.014,3005.7903,
933.103,2978.4665,
930.193,2961,
927.282,2956.3255,
924.372,2870.0736,
921.461,2797.1424,
918.551,2734.9156,
915.640,2711.0993,
912.729,2717.4633,
909.819,2711.5518,
906.908,2677.8548,
903.998,2643.3901,
901.087,2690.376,
898.176,2711.0245,
895.266,2715.8221,
892.355,2762.2089,
889.445,2816.7613,
886.534,2822.8441,
883.624,2806.5064,
880.713,2819.4349,
877.802,2838.9578,
874.892,2821.7407,
871.981,2753.4082,
869.071,2728.3458,
866.160,2730.8996,
863.250,2796.3801,
860.339,2853,
857.428,2847.0694,
854.518,2820.8205,
851.607,2780.0491,
848.697,2753.0533,
845.786,2724.2793,
842.875,2745.8485,
839.965,2835.447,
837.054,2905.6279,
834.144,2872.4778,
831.233,2866.6666,
828.323,2867,
825.412,2869.5757,
822.501,2873.5106,
819.591,2865.2466,
816.680,2861.7949,
813.770,2817.1448,
810.859,2770.6942,
807.949,2738.5585,
805.038,2715.8141,
802.127,2689.4741,
799.217,2680.2915,
796.306,2633.1618,
793.396,2600.5573,
790.485,2606.1587,
787.574,2616.0072,
784.664,2563.52,
781.753,2598.9559,
778.843,2620.0198,
775.932,2626.7159,
773.022,2650.7203,
770.111,2694.0519,
767.200,2657.4118,
764.290,2618.4176,
761.379,2633.2665,
758.469,2685.1629,
755.558,2680.6871,
752.648,2636.6985,
749.737,2632.5695,
746.826,2626.1418,
743.916,2615.4416,
741.005,2610.6986,
738.095,2581.4711,
735.184,2514.3597,
732.274,2459.5497,
729.363,2450.1478,
726.452,2489.8471,
723.542,2522.2228,
720.631,2550.7589,
717.721,2556.7086,
714.810,2554.6193,
711.899,2554.3762,
708.989,2555.9901,
706.078,2576.8339,
703.168,2564.3906,
700.257,2546.8114,
697.347,2540.6084,
694.436,2549.1271,
691.525,2516.9749,
688.615,2532.6408,
685.704,2533.4809,
682.794,2525.8935,
679.883,2554.3152,
676.973,2539.0891,
674.062,2558.971,
671.151,2578.575,
668.241,2574.6111,
665.330,2536.2101,
662.420,2561.7695,
659.509,2560.0158,
656.598,2579.3685,
653.688,2606.0893,
650.777,2591.9199,
647.867,2560.0668,
644.956,2520.8042,
642.046,2509.7066,
639.135,2532.0612,
636.224,2570.0318,
633.314,2576.3833,
630.403,2614.6551,
627.493,2625.4052,
624.582,2599.7046,
621.672,2589.4086,
618.761,2599.6392,
615.850,2592.5312,
612.940,2621.9103,
610.029,2681.1901,
607.119,2598.2789,
604.208,2591.42,
601.297,2606.457,
598.387,2628.7391,
595.476,2645.9945,
592.566,2624.7436,
589.655,2615.169,
586.745,2595.0752,
583.834,2583.1009,
580.923,2619.0711,
578.013,2630.8421,
575.102,2659.8115,
572.192,2679,
569.281,2684.9052,
566.371,2717.7754,
563.460,2673.0282,
560.549,2666.6438,
557.639,2676.703,
554.728,2665.7883,
551.818,2678.2734,
548.907,2685.2659,
545.996,2691.1103,
543.086,2690.9671,
540.175,2667.6077,
537.265,2684.8313,
534.354,2689.9932,
531.444,2693.2945,
528.533,2708.0485,
525.622,2722.7915,
522.712,2731.4608,
519.801,2748.7477,
516.891,2777.1037,
513.980,2807.3012,
511.070,2816.3391,
508.159,2858.638,
505.248,2903.5022,
502.338,2908.7455,
499.427,2934.216,
496.517,2984.5555,
493.606,3029.1042,
490.695,3048.9673,
487.785,3034.3413,
484.874,3011.9671,
481.964,3018.4417,
479.053,3046.861,
476.143,3062.9882,
473.232,3049.6119,
470.321,3043.5134,
467.411,3029.5772,
464.500,2991.0472,
461.590,3032.3972,
458.679,3066.5621,
455.769,3103.2737,
452.858,3143,
449.947,3143,
447.037,3166.6637,
444.126,3196.7879,
441.216,3222.926,
438.305,3228.2595,
435.395,3251.2916,
432.484,3255.4985,
429.573,3248.7275,
426.663,3264.6905,
423.752,3188.5865,
420.842,3133.9924,
417.931,3102.9669,
415.020,3081.7328,
412.110,3235.3704,
409.199,3346.2787,
406.289,3392.9148,
403.378,3362.1127,
400.468,3395.3765,
397.557,3405.4859,
394.646,3432.4733,
391.736,3505.4064,
388.825,3455.6272,
385.915,3456.4336,
383.004,3476.853,
380.094,3495.7275,
377.183,3529.5889,
374.272,3508.0615,
371.362,3505.5462,
368.451,3563.3677,
365.541,3585.8838,
362.630,3595.2774,
359.719,3597.704,
356.809,3597.9062,
353.898,3612.8821,
350.988,3628.3922,
348.077,3630.7398,
345.167,3613.8704,
342.256,3631.0529,
339.345,3664.1659,
336.435,3671.7893,
333.524,3627.047,
330.614,3628.5373,
327.703,3649.0228,
324.793,3669.289,
321.882,3673.0487,
318.971,3693.1216,
316.061,3726.8573,
313.150,3763.3143,
310.240,3790.0304,
307.329,3800.2903,
304.418,3811.7512,
301.508,3816.8646,
298.597,3801.3159,
295.687,3844.0206,
292.776,3888.3335,
289.866,3942.9524,
286.955,4047.1127,
284.044,4108.805,
281.134,4153.4035,
278.223,4182.5689,
275.313,4179.6215,
272.402,4177.8382,
269.492,4208.3684,
266.581,4276.1577,
263.670,4278.3632,
260.760,4342.7308,
257.849,4418.7073,
254.939,4469.3452,
252.028,4511.983,
249.117,4505.1586,
246.207,4497.6987,
243.296,4573.8306,
240.386,4522.5778,
237.475,4490.6158,
234.565,4491.4954,
231.654,4500.9904,
228.743,4462.1489,
225.833,4426.207,
222.922,4411.675,
220.012,4383.2614,
217.101,4396.5729,
214.191,4433.7693,
211.280,4479.5995,
208.369,4470.8894,
205.459,4431.0637,
202.548,4380.376,
199.638,4382.553,
196.727,4473.4659,
193.816,4523.7448,
190.906,4487.9554,
187.995,4543.7053,
185.085,4570.5657,
182.174,4602.506,
179.264,4689.2379,
176.353,4674.6504,
173.442,4701.2439,
170.532,4775.2763,
167.621,4803.3943,
164.711,4685.3893,
161.800,4527.5166,
158.890,4397.2459,
155.979,4171.2075,
153.068,3808.0592,
150.158,3352.9639,
147.247,2953.0645,
144.337,2440.7518,
141.426,1922.7695,
138.516,1447.4706,
135.605,1039.8887,
132.694,707.01681,
129.784,451.15046,
126.873,303.11859,
123.963,210.40229,
121.052,147.70238,
118.141,109.15167,
115.231,86.261749,
112.320,69.374553,
109.410,57.909158,
106.499,52.211916,
103.589,42.596183,
100.678,34.913513,
97.767,32.069763,
94.857,31.307011,
91.946,28.581335,
89.036,24.887102,
86.125,24.177897,
83.215,16.036195,
80.304,12.112625,
77.393,21.318834,
74.483,20.68973,
71.572,19.275296,
68.662,17.861465,
65.751,16.448563,
62.840,16,
59.930,15.250855,
57.019,12.430527,
54.109,14.985804,
51.198,16.698391,
48.288,15.988675,
45.377,14.581919,
42.466,14.824439,
39.556,15.19417,
36.645,10.278838,
33.735,10.557745,
30.824,12.662661,
27.914,14.766187,
25.003,16.867912,
22.092,18,
19.182,18.549189,
16.271,35.336952,
13.361,135.56367,
10.450,314.4797,
7.539,607.77215,
4.629,946.80941,
1.718,1107.2594,
-1.192,827.7044,
-4.103,510.64903,
-7.013,229.88871,
-9.924,3,
