,PLFC95~1,
Raman shift [1/cm],Intensity,
2170.099,567.5997,
2167.189,577.25114,
2164.278,609.65226,
2161.368,607.99855,
2158.457,649.86156,
2155.546,662.63653,
2152.636,663.48403,
2149.725,686.63757,
2146.815,675.5339,
2143.904,726.10408,
2140.993,733.67199,
2138.083,723.44682,
2135.172,731.89084,
2132.262,723.72007,
2129.351,706.46894,
2126.441,683.79605,
2123.530,650.85409,
2120.619,634.14695,
2117.709,599.97987,
2114.798,574.71926,
2111.888,570.80036,
2108.977,538.84104,
2106.067,534.85891,
2103.156,498.40742,
2100.245,481.99184,
2097.335,469.72251,
2094.424,478.11154,
2091.514,478.70422,
2088.603,468.17048,
2085.692,464.95173,
2082.782,453.05224,
2079.871,460.85764,
2076.961,456.45205,
2074.050,462.70909,
2071.140,453.46005,
2068.229,437.72135,
2065.318,456.09976,
2062.408,463.65886,
2059.497,458.41072,
2056.587,452.77922,
2053.676,442.46707,
2050.766,466.84454,
2047.855,462.65825,
2044.944,451.66506,
2042.034,453.15603,
2039.123,450.80135,
2036.213,453.38662,
2033.302,428.04366,
2030.391,440.54176,
2027.481,467.87791,
2024.570,445.18645,
2021.660,477.63483,
2018.749,474.68383,
2015.839,484.33267,
2012.928,438.67785,
2010.017,452.62324,
2007.107,449.71961,
2004.196,446.11907,
2001.286,440.72793,
1998.375,424.25787,
1995.465,429.43928,
1992.554,444.27048,
1989.643,449.86175,
1986.733,467.27105,
1983.822,423.93722,
1980.912,448.76195,
1978.001,432.88126,
1975.090,434.21068,
1972.180,436.27526,
1969.269,429.97984,
1966.359,420.64866,
1963.448,404.19814,
1960.538,409.36114,
1957.627,429.83283,
1954.716,431.02873,
1951.806,410.64582,
1948.895,422.48989,
1945.985,424.31046,
1943.074,441.07386,
1940.164,415.70158,
1937.253,392.73468,
1934.342,409.08556,
1931.432,424.77287,
1928.521,425.10363,
1925.611,410.02611,
1922.700,414.49724,
1919.790,392.0234,
1916.879,400.09326,
1913.968,393.00984,
1911.058,392.25526,
1908.147,407.34304,
1905.237,391.58825,
1902.326,405.91109,
1899.415,419.47072,
1896.505,389.8613,
1893.594,402.34463,
1890.684,408.50348,
1887.773,394.01686,
1884.863,388.41686,
1881.952,388.7649,
1879.041,383.16563,
1876.131,396.28758,
1873.220,390.41147,
1870.310,386.21525,
1867.399,406.66413,
1864.489,399.49373,
1861.578,387.7472,
1858.667,396.46706,
1855.757,400.0179,
1852.846,388.041,
1849.936,419.25525,
1847.025,425.41607,
1844.114,424.5083,
1841.204,438.91958,
1838.293,418.00832,
1835.383,411.3605,
1832.472,425.41913,
1829.562,445.58203,
1826.651,440.05956,
1823.740,444.46362,
1820.830,427.93683,
1817.919,442.35941,
1815.009,428.16285,
1812.098,409.74017,
1809.188,427.69763,
1806.277,441.71229,
1803.366,456.83364,
1800.456,447.60453,
1797.545,458.18439,
1794.635,456.25894,
1791.724,430.83495,
1788.813,435.20669,
1785.903,460.4554,
1782.992,470.43963,
1780.082,459.20505,
1777.171,453.32869,
1774.261,431.98492,
1771.350,422.6255,
1768.439,439.85398,
1765.529,463.90832,
1762.618,453.20249,
1759.708,461.30449,
1756.797,472.84848,
1753.887,493.5656,
1750.976,498.61715,
1748.065,473.41014,
1745.155,485.35468,
1742.244,484.09513,
1739.334,472.89177,
1736.423,495.72894,
1733.512,506,
1730.602,502.25992,
1727.691,500.23234,
1724.781,488.20135,
1721.870,535.7003,
1718.960,530.73313,
1716.049,505.18666,
1713.138,507.83997,
1710.228,508.1297,
1707.317,514.192,
1704.407,523.08557,
1701.496,530.38083,
1698.586,547.63172,
1695.675,498.47173,
1692.764,519.61477,
1689.854,521,
1686.943,580.90901,
1684.033,588.85098,
1681.122,575.23789,
1678.211,577.97145,
1675.301,566.037,
1672.390,582.02393,
1669.480,590.60967,
1666.569,665.45408,
1663.659,623.73496,
1660.748,668.73271,
1657.837,706.15309,
1654.927,712.90628,
1652.016,708.53832,
1649.106,690.26929,
1646.195,702.84618,
1643.285,777.74935,
1640.374,767.50174,
1637.463,791.54044,
1634.553,821.665,
1631.642,866.62976,
1628.732,924.3733,
1625.821,987.01374,
1622.911,1007.8817,
1620.000,1054.4079,
1617.089,1190.2537,
1614.179,1263.9413,
1611.268,1329.5463,
1608.358,1332.9532,
1605.447,1357.5145,
1602.536,1427.9596,
1599.626,1442.1993,
1596.715,1445.7228,
1593.805,1408.4381,
1590.894,1396.074,
1587.984,1406.2592,
1585.073,1329.7249,
1582.162,1322.6791,
1579.252,1328.9098,
1576.341,1294.7532,
1573.431,1265.6375,
1570.520,1210.3155,
1567.610,1221.8239,
1564.699,1226.6498,
1561.788,1178.5216,
1558.878,1155.5862,
1555.967,1112.3781,
1553.057,1087.1725,
1550.146,1077.6255,
1547.235,1035.8094,
1544.325,1041.1043,
1541.414,1036.377,
1538.504,1017.6518,
1535.593,1028.3561,
1532.683,1019.2994,
1529.772,1003.725,
1526.861,1003.9884,
1523.951,987.20934,
1521.040,974.96227,
1518.130,987.89874,
1515.219,982.59906,
1512.309,1001.6216,
1509.398,968.51889,
1506.487,992.37815,
1503.577,963.65593,
1500.666,899.61089,
1497.756,963.58519,
1494.845,1006.0795,
1491.934,983.84252,
1489.024,935.71787,
1486.113,888.56644,
1483.203,936.51372,
1480.292,936.21191,
1477.382,860.64117,
1474.471,852.20855,
1471.560,853.54867,
1468.650,858.46619,
1465.739,849.47118,
1462.829,879.40586,
1459.918,891.8452,
1457.008,898.75406,
1454.097,895.1272,
1451.186,848.7118,
1448.276,814.89309,
1445.365,818.46524,
1442.455,812.50754,
1439.544,769.81382,
1436.633,779.15492,
1433.723,756.26434,
1430.812,722.48282,
1427.902,716.42844,
1424.991,734.43593,
1422.081,696.46596,
1419.170,658.43759,
1416.259,661.91069,
1413.349,677.59434,
1410.438,643.51212,
1407.528,643.73728,
1404.617,662.98118,
1401.707,688.54792,
1398.796,680.45461,
1395.885,671.18913,
1392.975,681.06184,
1390.064,631.69266,
1387.154,567.11107,
1384.243,504.65325,
1381.332,465.51321,
1378.422,551.98051,
1375.511,590.38853,
1372.601,667.49034,
1369.690,746.86391,
1366.780,783.55309,
1363.869,779.10284,
1360.958,808.67103,
1358.048,811.76052,
1355.137,861.4023,
1352.227,904.01954,
1349.316,888.66703,
1346.406,915.01533,
1343.495,971.02785,
1340.584,942.89315,
1337.674,930.43205,
1334.763,983.68243,
1331.853,975.33735,
1328.942,994.56821,
1326.032,1058.1715,
1323.121,1054.2169,
1320.210,1067.3117,
1317.300,1099.4288,
1314.389,1115.5139,
1311.479,1133.4756,
1308.568,1170.0085,
1305.657,1211.5765,
1302.747,1255.2131,
1299.836,1267.2482,
1296.926,1319.94,
1294.015,1340.1652,
1291.105,1367.4163,
1288.194,1461.258,
1285.283,1478.988,
1282.373,1499.1484,
1279.462,1540.5485,
1276.552,1544.9527,
1273.641,1549.1928,
1270.731,1590.5298,
1267.820,1582.8452,
1264.909,1568.8134,
1261.999,1579.5034,
1259.088,1511.0943,
1256.178,1512.1387,
1253.267,1491.5185,
1250.356,1445.042,
1247.446,1445.9487,
1244.535,1426.7992,
1241.625,1378.4667,
1238.714,1342.6774,
1235.804,1307.5049,
1232.893,1293.6271,
1229.982,1283.2947,
1227.072,1262.4726,
1224.161,1212.2508,
1221.251,1177.6867,
1218.340,1100.3319,
1215.430,1087.7741,
1212.519,1106.189,
1209.608,1100.4562,
1206.698,1102.9364,
1203.787,1124.9497,
1200.877,1105.4517,
1197.966,1145.0147,
1195.055,1163.2117,
1192.145,1230.6155,
1189.234,1305.8498,
1186.324,1336.6365,
1183.413,1338.4416,
1180.503,1350.1294,
1177.592,1355.04,
1174.681,1298.8733,
1171.771,1297.6497,
1168.860,1282.4672,
1165.950,1260.0365,
1163.039,1240.3335,
