,PLA4EC~1,
Raman shift [1/cm],Intensity,
2181.742,1392.5688,
2178.831,1430.3124,
2175.920,1463.4158,
2173.010,1527.3299,
2170.099,1548.6503,
2167.189,1579.659,
2164.278,1639.7716,
2161.368,1693.9602,
2158.457,1780.7918,
2155.546,1811.1577,
2152.636,1858.0318,
2149.725,1932.4983,
2146.815,1972.3157,
2143.904,2001.0455,
2140.993,2003.2869,
2138.083,2039.6847,
2135.172,2047.0905,
2132.262,2061.243,
2129.351,2019.736,
2126.441,1984.2791,
2123.530,1927.1837,
2120.619,1827.8833,
2117.709,1769.9907,
2114.798,1678.5536,
2111.888,1604.3516,
2108.977,1526.6539,
2106.067,1468.123,
2103.156,1424.6961,
2100.245,1365.2362,
2097.335,1339.6374,
2094.424,1307.0269,
2091.514,1280.4569,
2088.603,1267.3007,
2085.692,1281.0269,
2082.782,1258.7361,
2079.871,1253.4647,
2076.961,1239.3478,
2074.050,1264.4561,
2071.140,1229.4109,
2068.229,1226.9844,
2065.318,1225.1395,
2062.408,1227.3862,
2059.497,1215.244,
2056.587,1223.8894,
2053.676,1211.101,
2050.766,1242.3247,
2047.855,1199.2785,
2044.944,1206.7676,
2042.034,1239.0591,
2039.123,1221.213,
2036.213,1236.5411,
2033.302,1223.0543,
2030.391,1208.8606,
2027.481,1216.3596,
2024.570,1261.8632,
2021.660,1230.6743,
2018.749,1227.7316,
2015.839,1262.5597,
2012.928,1243.6409,
2010.017,1236.9514,
2007.107,1238.4369,
2004.196,1229.4047,
2001.286,1229.7517,
1998.375,1221.1575,
1995.465,1227.4089,
1992.554,1211.0914,
1989.643,1230.455,
1986.733,1242.8956,
1983.822,1199.9804,
1980.912,1200.2209,
1978.001,1224.7416,
1975.090,1207.6943,
1972.180,1201.8351,
1969.269,1226.138,
1966.359,1226.8175,
1963.448,1245.6265,
1960.538,1216.9206,
1957.627,1235.8909,
1954.716,1232.4511,
1951.806,1214.7965,
1948.895,1226.5253,
1945.985,1227.0801,
1943.074,1202.261,
1940.164,1231.9906,
1937.253,1245.5023,
1934.342,1231.2158,
1931.432,1211.086,
1928.521,1201.1982,
1925.611,1202.9708,
1922.700,1187.4213,
1919.790,1209.9491,
1916.879,1174.2492,
1913.968,1185.2328,
1911.058,1185.3641,
1908.147,1218.9697,
1905.237,1238.2867,
1902.326,1213.2396,
1899.415,1191.7049,
1896.505,1188.7803,
1893.594,1207.3415,
1890.684,1200.5703,
1887.773,1213.1547,
1884.863,1228.8013,
1881.952,1227.46,
1879.041,1192.2079,
1876.131,1203.2382,
1873.220,1221.3253,
1870.310,1223.25,
1867.399,1212.4259,
1864.489,1226.4447,
1861.578,1224.4318,
1858.667,1165.8787,
1855.757,1218.8192,
1852.846,1244.7064,
1849.936,1226.5052,
1847.025,1232.3133,
1844.114,1208.2265,
1841.204,1213.9773,
1838.293,1234.24,
1835.383,1242.436,
1832.472,1246.0291,
1829.562,1274.0797,
1826.651,1276.942,
1823.740,1277.8017,
1820.830,1282.565,
1817.919,1283.25,
1815.009,1290.9561,
1812.098,1264.4232,
1809.188,1267.8159,
1806.277,1268.25,
1803.366,1296.5846,
1800.456,1257.5797,
1797.545,1270.7177,
1794.635,1335.0909,
1791.724,1286.4537,
1788.813,1346.241,
1785.903,1323.6434,
1782.992,1335.3483,
1780.082,1329.4929,
1777.171,1346.2462,
1774.261,1338.4551,
1771.350,1342.1265,
1768.439,1331.25,
1765.529,1346.2528,
1762.618,1354.1044,
1759.708,1351.424,
1756.797,1352.2576,
1753.887,1355.8404,
1750.976,1345.5602,
1748.065,1354.1409,
1745.155,1389.6047,
1742.244,1371.7917,
1739.334,1393.2241,
1736.423,1405.3042,
1733.512,1421.4411,
1730.602,1435.7302,
1727.691,1468.1888,
1724.781,1462.305,
1721.870,1464.6881,
1718.960,1468.7167,
1716.049,1459.1823,
1713.138,1467.5099,
1710.228,1466.6391,
1707.317,1480.4031,
1704.407,1477.758,
1701.496,1487.277,
1698.586,1523.3614,
1695.675,1525.3143,
1692.764,1538.5041,
1689.854,1585.1713,
1686.943,1626.8672,
1684.033,1627.2748,
1681.122,1579.0826,
1678.211,1682.2507,
1675.301,1662.3148,
1672.390,1710.253,
1669.480,1711.7554,
1666.569,1774.7959,
1663.659,1818.1809,
1660.748,1873.9993,
1657.837,1862.5184,
1654.927,1920.3277,
1652.016,1965.5173,
1649.106,1977.0089,
1646.195,2009.0722,
1643.285,2083.9564,
1640.374,2114.8981,
1637.463,2146.7272,
1634.553,2228.2697,
1631.642,2297.2489,
1628.732,2388.5403,
1625.821,2437.3521,
1622.911,2592.3709,
1620.000,2755.1838,
1617.089,2885.643,
1614.179,3037.907,
1611.268,3227.1118,
1608.358,3356.2566,
1605.447,3449.9364,
1602.536,3480.411,
1599.626,3585.2825,
1596.715,3567.9296,
1593.805,3501.7524,
1590.894,3470.4719,
1587.984,3467.25,
1585.073,3427.2616,
1582.162,3422.7547,
1579.252,3365.9689,
1576.341,3308.3905,
1573.431,3301.1659,
1570.520,3307.6006,
1567.610,3280.1907,
1564.699,3226.7482,
1561.788,3174.3349,
1558.878,3139.4499,
1555.967,3072.1115,
1553.057,3021.8364,
1550.146,2992.4282,
1547.235,2921.0367,
1544.325,2855.4977,
1541.414,2863.7128,
1538.504,2849.77,
1535.593,2798.6949,
1532.683,2751.8488,
1529.772,2713.8001,
1526.861,2678.673,
1523.951,2636.9772,
1521.040,2621.3255,
1518.130,2584.8586,
1515.219,2569.5321,
1512.309,2498.9932,
1509.398,2501.6797,
1506.487,2498.7227,
1503.577,2477.5152,
1500.666,2467.6538,
1497.756,2425.0045,
1494.845,2446.4901,
1491.934,2452.1681,
1489.024,2427.1433,
1486.113,2382.6709,
1483.203,2356.1576,
1480.292,2321.8551,
1477.382,2321.0995,
1474.471,2287.7179,
1471.560,2266.365,
1468.650,2226.0365,
1465.739,2215.6549,
1462.829,2206.12,
1459.918,2182.3327,
1457.008,2169.7423,
1454.097,2201.6011,
1451.186,2235.5073,
1448.276,2232.8328,
1445.365,2227.9269,
1442.455,2210.9832,
1439.544,2213.0901,
1436.633,2194.2013,
1433.723,2186.6329,
1430.812,2164.0387,
1427.902,2111.4078,
1424.991,2118.0422,
1422.081,2085.2208,
1419.170,2095.2109,
1416.259,2063.2274,
1413.349,2034.1033,
1410.438,2029.3493,
1407.528,2033.4687,
1404.617,2028.7916,
1401.707,2018.9506,
1398.796,2002.4493,
1395.885,2030.5889,
1392.975,2083.9373,
1390.064,2078.6646,
1387.154,2069.3888,
1384.243,1989.7646,
1381.332,1930.9845,
1378.422,2024.0127,
1375.511,2155.162,
1372.601,2242.0345,
1369.690,2305.8267,
1366.780,2404.75,
1363.869,2436.9677,
1360.958,2420.4435,
1358.048,2438.1357,
1355.137,2533.9999,
1352.227,2600.0474,
1349.316,2623.468,
1346.406,2676.7873,
1343.495,2714.4469,
1340.584,2764.714,
1337.674,2787.6084,
1334.763,2810.2492,
1331.853,2889.0639,
1328.942,2964.2966,
1326.032,2965.0938,
1323.121,2995.8524,
1320.210,3051.8667,
1317.300,3055.3626,
1314.389,3080.7924,
1311.479,3140.8421,
1308.568,3188.4912,
1305.657,3247.3458,
1302.747,3328.1464,
1299.836,3368.4098,
1296.926,3410.5484,
1294.015,3524.5445,
1291.105,3577.6798,
1288.194,3682.4954,
1285.283,3781.7143,
1282.373,3816.3125,
1279.462,3857.1316,
1276.552,3900.7934,
1273.641,3920.9441,
1270.731,3931.1321,
1267.820,3931.3803,
1264.909,3921.7113,
1261.999,3902.6508,
1259.088,3886.2326,
1256.178,3816.7335,
1253.267,3780.6997,
1250.356,3711.6199,
1247.446,3600.6949,
1244.535,3531.3572,
1241.625,3490.5871,
1238.714,3407.4616,
1235.804,3310.6966,
1232.893,3280.6352,
1229.982,3233.0848,
1227.072,3198.6829,
1224.161,3155.9058,
1221.251,3078.2661,
1218.340,3034.1678,
1215.430,2978.6566,
1212.519,2892.4465,
1209.608,2854.2213,
1206.698,2888.3775,
1203.787,2869.0691,
1200.877,2864.6052,
1197.966,2983.2942,
1195.055,3005.4617,
1192.145,3105.1733,
1189.234,3197.5877,
1186.324,3249.8882,
1183.413,3304.2297,
1180.503,3311.1048,
1177.592,3236.0582,
1174.681,3248.661,
1171.771,3200.9834,
1168.860,3102.7436,
1165.950,3073.8991,
1163.039,3028.7426,
1160.129,2964.0616,
1157.218,2949.0372,
1154.307,2938.939,
1151.397,2889.5107,
1148.486,2889.5007,
1145.576,2885.0187,
1142.665,2879.6912,
1139.754,2873.5546,
1136.844,2830.9321,
1133.933,2783.9247,
1131.023,2785.4385,
1128.112,2799.1802,
1125.202,2785.7717,
