,PL6CF5~1,
Wavenumbers [1/cm],Intensity,
2175.920,930.6603,
2173.010,941.5754,
2170.099,999.82691,
2167.189,1007.8588,
2164.278,1064.9834,
2161.368,1119.0702,
2158.457,1176.4248,
2155.546,1235.8779,
2152.636,1297.5797,
2149.725,1328.4866,
2146.815,1389.4645,
2143.904,1429.6115,
2140.993,1461.4576,
2138.083,1492.3722,
2135.172,1519.5336,
2132.262,1529.8952,
2129.351,1536.2345,
2126.441,1502.8106,
2123.530,1468.0286,
2120.619,1419.8948,
2117.709,1363.9972,
2114.798,1286.5957,
2111.888,1187.5018,
2108.977,1133.8775,
2106.067,1108.0573,
2103.156,1057.6284,
2100.245,1035.468,
2097.335,981.00786,
2094.424,954.0639,
2091.514,935.91386,
2088.603,918.61979,
2085.692,936.54827,
2082.782,940.67271,
2079.871,898.4265,
2076.961,945.62533,
2074.050,923.20909,
2071.140,915.89093,
2068.229,909.40494,
2065.318,903.40024,
2062.408,905.68985,
2059.497,890.42852,
2056.587,867.91858,
2053.676,878.2994,
2050.766,895.26831,
2047.855,898.84498,
2044.944,878.6282,
2042.034,887.99705,
2039.123,884.72222,
2036.213,892.34883,
2033.302,885.3694,
2030.391,884.1952,
2027.481,899.32907,
2024.570,904.81433,
2021.660,927.0809,
2018.749,929.93014,
2015.839,913.34777,
2012.928,904.78692,
2010.017,930.29154,
2007.107,919.28499,
2004.196,905.0477,
2001.286,929.91696,
1998.375,916.8868,
1995.465,890.04822,
1992.554,879.24122,
1989.643,897.80873,
1986.733,899.24912,
1983.822,913.91063,
1980.912,921.13355,
1978.001,915.87291,
1975.090,913.70305,
1972.180,924.08509,
1969.269,920.64937,
1966.359,929.90568,
1963.448,913.0099,
1960.538,924.41076,
1957.627,932.17492,
1954.716,928.61491,
1951.806,910.14582,
1948.895,919.05673,
1945.985,886.30882,
1943.074,865.64367,
1940.164,898.45179,
1937.253,896.96936,
1934.342,881.76472,
1931.432,878.74606,
1928.521,898.44819,
1925.611,877.87685,
1922.700,887.70303,
1919.790,896.80631,
1916.879,872.38324,
1913.968,907.45451,
1911.058,891.509,
1908.147,885.20518,
1905.237,923.38963,
1902.326,871.59927,
1899.415,865.14025,
1896.505,880.24713,
1893.594,911.67383,
1890.684,913.55892,
1887.773,913.78415,
1884.863,924.13781,
1881.952,911.94512,
1879.041,899.69159,
1876.131,882.0268,
1873.220,878.5,
1870.310,906.34748,
1867.399,901.61196,
1864.489,915.05909,
1861.578,879.8736,
1858.667,882.03294,
1855.757,873.89857,
1852.846,889.82303,
1849.936,927.05857,
1847.025,930.37589,
1844.114,945.01524,
1841.204,926.20629,
1838.293,922.51164,
1835.383,947.19697,
1832.472,948.59217,
1829.562,926.38958,
1826.651,946.06465,
1823.740,937.57276,
1820.830,971.398,
1817.919,971.28435,
1815.009,979.63104,
1812.098,964.44489,
1809.188,985.94956,
1806.277,931.76152,
1803.366,989.53327,
1800.456,991.5,
1797.545,992.88291,
1794.635,1003.2749,
1791.724,976.38356,
1788.813,964.71826,
1785.903,1017.9826,
1782.992,1001.1349,
1780.082,996.44166,
1777.171,1034.508,
1774.261,1033.8394,
1771.350,1010.9728,
1768.439,1053.2441,
1765.529,1039.3166,
1762.618,1019.3544,
1759.708,1021.7827,
1756.797,1031.8106,
1753.887,1024.4227,
1750.976,1042.3174,
1748.065,1085.1498,
1745.155,1053.9584,
1742.244,1049.6748,
1739.334,1056.7071,
1736.423,1057.3262,
1733.512,1084.6952,
1730.602,1119.1846,
1727.691,1096.0259,
1724.781,1104.5913,
1721.870,1082.9427,
1718.960,1092.9446,
1716.049,1130.059,
1713.138,1144.195,
1710.228,1115.9099,
1707.317,1141.5754,
1704.407,1147.2968,
1701.496,1174.8464,
