,PL925A~1,
Raman shift [1/cm],Intensity,
2190.473,1655.0305,
2187.563,1673.3418,
2184.652,1694.8104,
2181.742,1723.7291,
2178.831,1766.1644,
2175.920,1794.3192,
2173.010,1846.4031,
2170.099,1887.247,
2167.189,1946.006,
2164.278,1916.0651,
2161.368,1955.1051,
2158.457,2018.0077,
2155.546,2090.5357,
2152.636,2148.2446,
2149.725,2170.7332,
2146.815,2231.2479,
2143.904,2257.1682,
2140.993,2300.3188,
2138.083,2303.8153,
2135.172,2310.292,
2132.262,2319.0194,
2129.351,2286.4704,
2126.441,2218.4731,
2123.530,2122.1827,
2120.619,2099.7369,
2117.709,1988.6031,
2114.798,1930.3457,
2111.888,1837.4015,
2108.977,1761.0182,
2106.067,1689.2306,
2103.156,1665.4516,
2100.245,1618.2136,
2097.335,1557.36,
2094.424,1529.3089,
2091.514,1511.8979,
2088.603,1534.0149,
2085.692,1520.2873,
2082.782,1510.8523,
2079.871,1522.6432,
2076.961,1519.5729,
2074.050,1539.0682,
2071.140,1495.4455,
2068.229,1495.0599,
2065.318,1500.657,
2062.408,1494.7273,
2059.497,1482.4226,
2056.587,1505.1681,
2053.676,1504.3675,
2050.766,1482.7896,
2047.855,1455.962,
2044.944,1481.7131,
2042.034,1485.7991,
2039.123,1471.3106,
2036.213,1475.9233,
2033.302,1473.1631,
2030.391,1490.2834,
2027.481,1524.7986,
2024.570,1518.079,
2021.660,1504.9004,
2018.749,1501.5159,
2015.839,1511.7474,
2012.928,1536.5487,
2010.017,1522.174,
2007.107,1480.8556,
2004.196,1506.1905,
2001.286,1529.0839,
1998.375,1514.1575,
1995.465,1489.7313,
1992.554,1496.644,
1989.643,1474.1141,
1986.733,1490.9623,
1983.822,1514.479,
1980.912,1468.6952,
1978.001,1469.2407,
1975.090,1503.8515,
1972.180,1507.1117,
1969.269,1503.3247,
1966.359,1529.6829,
1963.448,1519.4904,
1960.538,1498.7004,
1957.627,1534.5906,
1954.716,1515.9394,
1951.806,1486.4358,
1948.895,1527.2298,
1945.985,1520.4542,
1943.074,1520.9696,
1940.164,1507.442,
1937.253,1484.25,
1934.342,1491.3099,
1931.432,1499.4046,
1928.521,1502.8476,
1925.611,1489.8346,
1922.700,1462.0898,
1919.790,1490.7005,
1916.879,1486.9475,
1913.968,1530.1959,
1911.058,1518.6464,
1908.147,1520.2646,
1905.237,1498.6177,
1902.326,1512.0307,
1899.415,1511.4037,
1896.505,1524.8523,
1893.594,1502.0731,
1890.684,1502.5767,
1887.773,1513.4051,
1884.863,1507.8719,
1881.952,1518.8974,
1879.041,1522.224,
1876.131,1513.9206,
1873.220,1500.0464,
1870.310,1540.0212,
1867.399,1495.0337,
1864.489,1511.8731,
1861.578,1526.5028,
1858.667,1516.1692,
1855.757,1507.6163,
1852.846,1548.7679,
1849.936,1562.5753,
1847.025,1554.7269,
1844.114,1547.9771,
1841.204,1570.3269,
1838.293,1558.7492,
1835.383,1566.901,
1832.472,1594.0065,
