,PL848B~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,-0.5501181,
3008.346,145.74912,
3005.435,166.9629,
3002.525,184.59508,
2999.614,176.63897,
2996.704,188.2701,
2993.793,192.00461,
2990.882,193.58394,
2987.972,192.57063,
2985.061,209.60345,
2982.151,223.1874,
2979.240,218.1977,
2976.329,227.49454,
2973.419,245.20783,
2970.508,249.98328,
2967.598,244.35663,
2964.687,243.88791,
2961.777,255.55992,
2958.866,265.83284,
2955.955,274.08849,
2953.045,268.16892,
2950.134,286.31925,
2947.224,293.21172,
2944.313,311.65741,
2941.403,322.75045,
2938.492,288.63821,
2935.581,299.17727,
2932.671,308.81757,
2929.760,300.77693,
2926.850,313.0297,
2923.939,327.45793,
2921.028,323.71166,
2918.118,342.97859,
2915.207,335.03169,
2912.297,342.47884,
2909.386,353.06206,
2906.476,367.32861,
2903.565,348.4689,
2900.654,339.89938,
2897.744,340.46228,
2894.833,337.91236,
2891.923,340.1218,
2889.012,332.04335,
2886.102,324.08379,
2883.191,336.48678,
2880.280,303.28469,
2877.370,286.44773,
2874.459,279.4938,
2871.549,308.7765,
2868.638,329.09175,
2865.727,363.26537,
2862.817,353.74199,
2859.906,357.55128,
2856.996,359.06567,
2854.085,357.70381,
2851.175,352.7891,
2848.264,358.29884,
2845.353,359.03918,
2842.443,369.12507,
2839.532,355.26115,
2836.622,357.74154,
2833.711,352.44819,
2830.801,342.50735,
2827.890,363.8549,
2824.979,370.06798,
2822.069,352.73881,
2819.158,373.11995,
2816.248,387.4421,
2813.337,372.06707,
2810.427,373.63223,
2807.516,365.44969,
2804.605,384.5745,
2801.695,369.42107,
2798.784,390.31723,
2795.874,376.52114,
2792.963,370.00032,
2790.052,377.5,
2787.142,373.59204,
2784.231,369.33851,
2781.321,380.31142,
2778.410,371.69037,
2775.500,369.62689,
2772.589,379.1162,
2769.678,390.57168,
2766.768,378.94853,
2763.857,400.23796,
2760.947,405.47478,
2758.036,385.40436,
2755.126,404.92949,
2752.215,398.2454,
2749.304,403.22301,
2746.394,402.09875,
2743.483,407.25003,
2740.573,410.25889,
2737.662,412.93639,
2734.751,408.61649,
2731.841,399.68864,
2728.930,402.60172,
2726.020,401.1684,
2723.109,408.70608,
2720.199,406.00934,
2717.288,410.41241,
2714.377,420.82066,
2711.467,422.25385,
2708.556,429.3299,
2705.646,428.03522,
2702.735,420.00774,
2699.825,432.39093,
2696.914,432.64272,
2694.003,430.0691,
2691.093,444.8213,
2688.182,433.09926,
2685.272,428.4559,
2682.361,438.71179,
2679.450,441.03908,
2676.540,430.76421,
2673.629,443.5,
2670.719,434.50739,
2667.808,449.47865,
2664.898,446.18872,
2661.987,447.43382,
