,PL676A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-9.125,
3011.256,3.0249248,
3008.346,76.100525,
3005.435,84.030479,
3002.525,90.289989,
2999.614,99.587991,
2996.704,103.23789,
2993.793,89.998848,
2990.882,92.004765,
2987.972,103.86996,
2985.061,99.771548,
2982.151,108.20442,
2979.240,126.875,
2976.329,135.14002,
2973.419,131.65985,
2970.508,124.95832,
2967.598,125.35291,
2964.687,133.91984,
2961.777,156.4308,
2958.866,146.54216,
2955.955,145.875,
2953.045,148.27771,
2950.134,164.84292,
2947.224,163.98888,
2944.313,162.48184,
2941.403,169.78011,
2938.492,170.89669,
2935.581,178.05783,
2932.671,172.39864,
2929.760,174.3019,
2926.850,178.82989,
2923.939,190.79086,
2921.028,204.875,
2918.118,199.4153,
2915.207,195.98885,
2912.297,188.88769,
2909.386,193.08668,
2906.476,212.38622,
2903.565,204.05353,
2900.654,211.56758,
2897.744,197.22702,
2894.833,205.08155,
2891.923,194.71481,
2889.012,221.62067,
2886.102,247.35202,
2883.191,258.87122,
2880.280,330.75541,
2877.370,478.92123,
2874.459,519.66708,
2871.549,388.28203,
2868.638,271.86887,
2865.727,255.49814,
2862.817,228.60361,
2859.906,232.06587,
2856.996,247.41802,
2854.085,216.74891,
2851.175,228.11592,
2848.264,224.25217,
2845.353,209.04754,
2842.443,215.67709,
2839.532,220.86003,
2836.622,205.63346,
2833.711,211.97861,
2830.801,217.47206,
2827.890,223.26833,
2824.979,214.72697,
2822.069,212.97735,
2819.158,221.875,
2816.248,225.61053,
2813.337,230.51403,
2810.427,221.30888,
2807.516,236.3425,
2804.605,239.26202,
2801.695,234.04605,
2798.784,230.02285,
2795.874,214.85915,
2792.963,229.23213,
2790.052,245.87135,
2787.142,219.51973,
2784.231,220.29425,
2781.321,240.11491,
2778.410,218.02474,
2775.500,223.875,
2772.589,220.45222,
2769.678,231.37326,
2766.768,245.36821,
2763.857,227.82491,
2760.947,250.88761,
2758.036,252.875,
2755.126,233.10791,
2752.215,245.27953,
2749.304,248.23651,
2746.394,253.72176,
2743.483,248.62503,
2740.573,236.55197,
2737.662,251.64128,
2734.751,244.99149,
2731.841,247.65888,
2728.930,253.20129,
2726.020,254.21181,
2723.109,254.21525,
2720.199,259.59996,
2717.288,258.26186,
2714.377,257.09992,
2711.467,273.74422,
2708.556,274.07668,
2705.646,269.59326,
2702.735,286.85437,
2699.825,268.34228,
2696.914,271.49409,
2694.003,291.56281,
2691.093,277.6608,
2688.182,276.82018,
2685.272,304.85652,
2682.361,259.88046,
2679.450,277.75155,
2676.540,270.81403,
2673.629,273.84806,
2670.719,275.59773,
2667.808,279.38864,
2664.898,280.69309,
2661.987,288.14171,
2659.076,295.98491,
2656.166,273.44197,
2653.255,303.39371,
2650.345,283.27427,
2647.434,288.07534,
2644.524,295.85579,
2641.613,285.13207,
2638.702,298.63828,
2635.792,301.40839,
2632.881,287.76186,
2629.971,301.21735,
2627.060,304.875,
2624.149,300.74063,
2621.239,298.88093,
2618.328,294.80752,
2615.418,315.21136,
2612.507,303.94618,
2609.597,319.67141,
2606.686,309.81072,
2603.775,302.79961,
2600.865,299.52682,
2597.954,308.77917,
2595.044,311.16995,
2592.133,330.27001,
2589.223,336.875,
2586.312,326.82972,
2583.401,347.28375,
2580.491,337.79328,
2577.580,331.85189,
2574.670,322.85627,
2571.759,325.96576,
2568.848,335.16238,
2565.938,328.11301,
2563.027,336.94775,
2560.117,345.22082,
2557.206,354.68312,
2554.296,332.36013,
2551.385,337.75908,
2548.474,344.35641,
2545.564,340.93831,
2542.653,354.94883,
2539.743,331.62761,
2536.832,330.50865,
2533.922,351.95385,
2531.011,354.95016,
2528.100,352.54051,
2525.190,366.73361,
2522.279,344.76606,
2519.369,359.85631,
2516.458,353.9869,
2513.548,355.68408,
2510.637,347.36686,
2507.726,356.43634,
2504.816,358.74986,
2501.905,356.25183,
2498.995,366.27781,
2496.084,362.3942,
2493.173,380.40149,
2490.263,379.29081,
2487.352,368.3758,
2484.442,388.13407,
2481.531,387.81138,
2478.621,389.60493,
2475.710,360.08203,
2472.799,386.38173,
2469.889,396.02461,
2466.978,403.54514,
2464.068,398.0443,
2461.157,391.79995,
2458.247,397.31615,
2455.336,405.74586,
2452.425,406.52594,
2449.515,416.26169,
2446.604,404.82436,
2443.694,405.24757,
2440.783,424.59122,
2437.872,399.54682,
2434.962,398.75517,
2432.051,420.875,
2429.141,412.33393,
2426.230,390.17882,
2423.320,422.26118,
2420.409,416.11193,
2417.498,427.10532,
2414.588,414.97008,
2411.677,437.94268,
2408.767,414.13976,
2405.856,417.40595,
2402.946,423.03586,
2400.035,401.60033,
2397.124,442.43649,
2394.214,437.79181,
2391.303,421.55454,
2388.393,426.86105,
2385.482,424.05125,
2382.571,438.33017,
2379.661,454.38665,
2376.750,451.875,
2373.840,446.3844,
2370.929,453.77753,
2368.019,437.38053,
2365.108,445.50327,
2362.197,440.68047,
2359.287,448.65662,
2356.376,426.91727,
2353.466,460.75522,
2350.555,443.03511,
2347.645,464.45246,
2344.734,460.11459,
2341.823,461.7755,
2338.913,468.875,
2336.002,474.80796,
2333.092,473.04762,
2330.181,472.92868,
2327.270,453.19513,
2324.360,455.72408,
2321.449,452.5383,
2318.539,472.32148,
2315.628,477.54686,
2312.718,481.75826,
2309.807,484.07994,
2306.896,484.60739,
2303.986,469.60869,
2301.075,473.68346,
2298.165,479.68263,
2295.254,516.05636,
2292.344,491.08663,
2289.433,488.55455,
2286.522,496.4955,
2283.612,491.90432,
2280.701,494.79875,
2277.791,500.31769,
2274.880,529.09711,
2271.969,505.55401,
2269.059,510.25376,
2266.148,530.73643,
2263.238,516.08351,
2260.327,527.56448,
2257.417,513.19611,
2254.506,527.11148,
2251.595,529.59138,
2248.685,534.50382,
2245.774,572.01725,
2242.864,528.81016,
2239.953,533.56455,
2237.043,539.23752,
2234.132,521.72953,
2231.221,552.58832,
2228.311,553.43687,
2225.400,566.76242,
2222.490,562.50366,
2219.579,554.37882,
2216.669,540.87977,
2213.758,567.9234,
2210.847,563.52994,
2207.937,577.10136,
2205.026,587.875,
2202.116,591.02149,
2199.205,601.11241,
2196.294,605.68499,
2193.384,604.32249,
2190.473,589.1473,
2187.563,616.76383,
2184.652,597.94152,
2181.742,625.60286,
2178.831,642.15129,
2175.920,652.95515,
2173.010,637.02353,
2170.099,687.93504,
2167.189,691.06874,
2164.278,722.71721,
2161.368,754.87452,
2158.457,772.50029,
2155.546,823.79719,
2152.636,860.75265,
2149.725,896.99578,
