,PLB8A0~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.5,
3011.256,1.7499463,
3008.346,44.956476,
3005.435,49.924029,
3002.525,48.952461,
2999.614,50.836355,
2996.704,56.403089,
2993.793,45.871544,
2990.882,42.851175,
2987.972,53.505045,
2985.061,45.189643,
2982.151,62.562209,
2979.240,53.514243,
2976.329,65.748635,
2973.419,54.453529,
2970.508,66.883337,
2967.598,64.213253,
2964.687,60.410326,
2961.777,85.149803,
2958.866,69.5,
2955.955,64.946908,
2953.045,72.884799,
2950.134,79.861508,
2947.224,60.439471,
2944.313,80.365383,
2941.403,82.012316,
2938.492,86.521691,
2935.581,84.527018,
2932.671,80.182425,
2929.760,75.926897,
2926.850,75.716164,
2923.939,83.415857,
2921.028,95.188212,
2918.118,87.661211,
2915.207,93.379696,
2912.297,82.53385,
2909.386,79.273731,
2906.476,91.073004,
2903.565,94.372605,
2900.654,81.569746,
2897.744,95.437139,
2894.833,82.25273,
2891.923,66.445498,
2889.012,81.33237,
2886.102,95.977015,
2883.191,93.50944,
2880.280,43.562206,
2877.370,10.546649,
2874.459,-30.921254,
2871.549,9.7370799,
2868.638,58.866982,
2865.727,67.761551,
2862.817,56.671128,
2859.906,85.918793,
2856.996,92.590574,
2854.085,90.985327,
2851.175,90.09933,
2848.264,88.382009,
2845.353,102.32746,
2842.443,88.510445,
2839.532,98.126752,
2836.622,103.83138,
2833.711,91.870483,
2830.801,101.19044,
2827.890,96.5,
2824.979,105.48794,
2822.069,91.681954,
2819.158,105.97978,
2816.248,106.48842,
2813.337,101.04634,
2810.427,106.58126,
2807.516,113.13313,
2804.605,115.04807,
2801.695,106.63158,
2798.784,102.86962,
2795.874,103.37073,
2792.963,102.71458,
2790.052,103.50129,
2787.142,101.56581,
2784.231,92.855604,
2781.321,105.99712,
2778.410,98.085026,
2775.500,103.62689,
2772.589,89.732404,
2769.678,114.03584,
2766.768,111.06505,
2763.857,89.713877,
2760.947,112.46848,
2758.036,104.11144,
2755.126,100.20513,
2752.215,109.60891,
2749.304,102.60611,
2746.394,112.20772,
2743.483,101.29996,
2740.573,103.17697,
2737.662,104.51035,
2734.751,112.61649,
2731.841,109.93223,
2728.930,117.27543,
2726.020,113.16319,
2723.109,108.72683,
2720.199,116.91256,
2717.288,115.65694,
2714.377,99.858676,
2711.467,115.6967,
2708.556,114.93621,
2705.646,120.26058,
2702.735,127.97679,
2699.825,107.45637,
2696.914,120.0241,
2694.003,140.57318,
2691.093,122.58906,
2688.182,130.24667,
2685.272,121.26102,
2682.361,122.83515,
2679.450,124.54529,
2676.540,119.35773,
2673.629,116.81388,
2670.719,121.00369,
2667.808,129.91637,
2664.898,127.53891,
2661.987,135.03342,
2659.076,133.26293,
2656.166,120.16229,
2653.255,132.01871,
2650.345,110.33121,
2647.434,123.92869,
2644.524,133.51921,
2641.613,309.50442,
2638.702,168.98761,
2635.792,129.50298,
2632.881,120.35691,
2629.971,143.58733,
2627.060,135.00156,
2624.149,123.87812,
2621.239,131.51186,
2618.328,124.79671,
2615.418,134.81819,
2612.507,140.87945,
2609.597,139.59182,
2606.686,129.11044,
2603.775,127.01984,
2600.865,128.79352,
2597.954,137.87712,
2595.044,133.42915,
2592.133,140.32793,
2589.223,155.00633,
2586.312,140.57534,
2583.401,150.56203,
2580.491,144.5,
2577.580,147.47194,
2574.670,136.31148,
2571.759,148.74743,
2568.848,141.56075,
2565.938,146.40477,
2563.027,144.40228,
2560.117,143.13552,
2557.206,154.34871,
2554.296,138.73112,
2551.385,147.30998,
2548.474,143.09256,
2545.564,148.31007,
2542.653,155.02685,
2539.743,142.01848,
2536.832,152.58225,
2533.922,148.73654,
2531.011,158.00047,
2528.100,152.02964,
2525.190,153.17541,
2522.279,162.64069,
2519.369,159.7645,
2516.458,144.83215,
2513.548,135.4092,
2510.637,157.76221,
2507.726,147.74907,
2504.816,153.31285,
2501.905,147.38415,
2498.995,146.85831,
2496.084,155.2596,
2493.173,165.92119,
2490.263,168.70226,
2487.352,163.54173,
2484.442,170.19591,
2481.531,173.96819,
2478.621,172.17775,
2475.710,148.63035,
2472.799,161.80049,
2469.889,159.22578,
2466.978,172.10821,
2464.068,193.61118,
2461.157,164.38743,
2458.247,176.92648,
2455.336,177.5,
2452.425,170.36792,
2449.515,194.20684,
2446.604,167.73038,
2443.694,184.80266,
2440.783,183.40315,
2437.872,182.46354,
2434.962,186.75345,
2432.051,201.01234,
2429.141,186.26489,
2426.230,173.02153,
2423.320,176.01396,
2420.409,189.8782,
2417.498,196.48315,
2414.588,184.15026,
2411.677,190.56768,
2408.767,166.76476,
2405.856,176.12854,
2402.946,174.97006,
2400.035,171.5,
2397.124,184.8369,
2394.214,183.9316,
2391.303,182.93089,
2388.393,192.23257,
2385.482,181.0728,
2382.571,159.14532,
2379.661,174.19755,
2376.750,188.39407,
2373.840,179.5188,
2370.929,205.18594,
2368.019,190.27093,
2365.108,193.5,
2362.197,188.12463,
2359.287,189.28997,
2356.376,198.48591,
2353.466,206.94011,
2350.555,195.31496,
2347.645,200.60463,
2344.734,204.71198,
2341.823,192.699,
2338.913,203.8358,
2336.002,197.06215,
2333.092,204.24717,
2330.181,212.30816,
2327.270,191.87513,
2324.360,218.02124,
2321.449,205.59183,
2318.539,202.05352,
2315.628,210.77698,
2312.718,204.6674,
2309.807,194.27615,
2306.896,219.00391,
2303.986,209.62328,
2301.075,204.13827,
2298.165,211.89428,
2295.254,229.13377,
2292.344,233.23861,
2289.433,217.43045,
2286.522,216.95522,
2283.612,224.52932,
2280.701,223.96188,
2277.791,223.94082,
2274.880,235.99797,
2271.969,236.08436,
2269.059,226.38283,
2266.148,242.27963,
2263.238,231.40735,
2260.327,226.36205,
2257.417,225.68611,
2254.506,231.92736,
2251.595,233.78728,
2248.685,246.49418,
2245.774,251.5,
2242.864,243.52745,
2239.953,231.77582,
2237.043,230.14858,
2234.132,223.7597,
2231.221,246.13315,
2228.311,239.45234,
2225.400,242.06291,
2222.490,257.97224,
2219.579,246.60285,
2216.669,258.97854,
2213.758,253.06339,
2210.847,237.82747,
2207.937,249.88923,
