,PLD6D5~1,
Raman shift [1/cm],Intensity,
1963.448,1458.7224,
1960.538,1430.5952,
1957.627,1476.9819,
1954.716,1412.4721,
1951.806,1446.8782,
1948.895,1437.2475,
1945.985,1440.2557,
1943.074,1448.6445,
1940.164,1435.2885,
1937.253,1434.6273,
1934.342,1418.3237,
1931.432,1424.498,
1928.521,1410.6462,
1925.611,1376.0311,
1922.700,1402.9896,
1919.790,1394.2885,
1916.879,1417.422,
1913.968,1386.4156,
1911.058,1394.5732,
1908.147,1398.9692,
1905.237,1416.9192,
1902.326,1432.8713,
1899.415,1396.9677,
1896.505,1407.1581,
1893.594,1392.0213,
1890.684,1403.8715,
1887.773,1422.9787,
1884.863,1410.2725,
1881.952,1433.8797,
1879.041,1434.0276,
1876.131,1408.3868,
1873.220,1396.4015,
1870.310,1400.9445,
1867.399,1381.6949,
1864.489,1393.6087,
1861.578,1398.3476,
1858.667,1393.2163,
1855.757,1422.77,
1852.846,1432.1442,
1849.936,1447.0026,
1847.025,1472.6621,
1844.114,1492.3044,
1841.204,1479.7876,
1838.293,1468.4049,
1835.383,1470.049,
1832.472,1486.375,
1829.562,1483.8198,
1826.651,1475.5372,
1823.740,1497.854,
1820.830,1481.9102,
1817.919,1496.3632,
1815.009,1493.6689,
1812.098,1476.2175,
1809.188,1510.0183,
1806.277,1522.1537,
1803.366,1505.2918,
1800.456,1502.4634,
1797.545,1539.9423,
1794.635,1555.633,
1791.724,1561.006,
1788.813,1561.3519,
1785.903,1508.1346,
1782.992,1563.4733,
1780.082,1539.2409,
1777.171,1526.0447,
1774.261,1547.2302,
1771.350,1558.8345,
1768.439,1571.6546,
1765.529,1607.1945,
1762.618,1633.7338,
1759.708,1611.4833,
1756.797,1581.0568,
1753.887,1597.8371,
1750.976,1614.3992,
1748.065,1623.2183,
1745.155,1639.0652,
1742.244,1653.3342,
1739.334,1644.0503,
1736.423,1684.3002,
1733.512,1675.7245,
1730.602,1683.3274,
1727.691,1679.3954,
1724.781,1702.332,
1721.870,1777.7802,
1718.960,1762.3079,
1716.049,1767.9596,
1713.138,1735.3202,
1710.228,1744.17,
1707.317,1777.335,
1704.407,1784.0702,
1701.496,1800.7829,
1698.586,1850.4222,
1695.675,1871.2178,
1692.764,1835.4528,
1689.854,1855.3789,
1686.943,1880.5319,
1684.033,1932.0835,
1681.122,1863.5815,
1678.211,1966.3757,
1675.301,2018.2177,
1672.390,2006.4647,
1669.480,2036.8162,
1666.569,2092.67,
1663.659,2194.1753,
1660.748,2243.0306,
1657.837,2278.4089,
1654.927,2368.7424,
1652.016,2344.0759,
1649.106,2412.4729,
1646.195,2416.7346,
1643.285,2433.1068,
1640.374,2508.6503,
1637.463,2569.3838,
1634.553,2626.3996,
1631.642,2762.6671,
1628.732,2881.0446,
1625.821,2993.4712,
1622.911,3139.5466,
1620.000,3282.5608,
1617.089,3526.4596,
1614.179,3698.5244,
1611.268,3856.4637,
1608.358,4096.8565,
1605.447,4071.6033,
1602.536,4284.6409,
1599.626,4258.978,
1596.715,4282.603,
1593.805,4242.4471,
1590.894,4203.9095,
1587.984,4200.2411,
1585.073,4217.3913,
1582.162,4129.3724,
1579.252,4106.4652,
