,PLFC08~1,
Raman shift [1/cm],Intensity,
3014.167,2.125,
3011.256,-1.2750859,
3008.346,360.94005,
3005.435,434.5137,
3002.525,450.16247,
2999.614,460.56005,
2996.704,471.61262,
2993.793,469.07892,
2990.882,504.68988,
2987.972,502.19058,
2985.061,519.5585,
2982.151,540.97711,
2979.240,578.80846,
2976.329,587.14138,
2973.419,599.1861,
2970.508,625.14162,
2967.598,647.16918,
2964.687,645.79552,
2961.777,651.53512,
2958.866,677.45487,
2955.955,694.26658,
2953.045,723.39122,
2950.134,736.49821,
2947.224,758.69438,
2944.313,786.21474,
2941.403,796.125,
2938.492,816.58301,
2935.581,828.71641,
2932.671,834.48119,
2929.760,817.79808,
2926.850,851.40056,
2923.939,842.88669,
2921.028,862.55467,
2918.118,887.82147,
2915.207,863.2453,
2912.297,913.9219,
2909.386,899.67246,
2906.476,886.18679,
2903.565,890.77093,
2900.654,890.35956,
2897.744,877.27587,
2894.833,889.125,
2891.923,898.0449,
2889.012,880.125,
2886.102,890.99796,
2883.191,897.12594,
2880.280,854.14893,
2877.370,861.06107,
2874.459,839.00553,
2871.549,875.9412,
2868.638,912.58066,
2865.727,904.28651,
2862.817,916.125,
2859.906,905.97399,
2856.996,926.63179,
2854.085,933.92754,
2851.175,929.88408,
2848.264,915.125,
2845.353,920.26232,
2842.443,889.11107,
2839.532,908.11003,
2836.622,904.84961,
2833.711,879.50332,
2830.801,897.80074,
2827.890,889.78932,
2824.979,880.05099,
2822.069,890.38656,
2819.158,907.80424,
2816.248,919.29684,
2813.337,924.5372,
2810.427,925.02995,
2807.516,920.60719,
2804.605,926.69471,
2801.695,916.03288,
2798.784,914.90323,
2795.874,929.26484,
2792.963,922.48191,
2790.052,901.12843,
2787.142,912.15123,
2784.231,922.99454,
2781.321,917.06214,
2778.410,912.80521,
2775.500,908.125,
2772.589,926.39335,
2769.678,928.44233,
2766.768,933.95023,
2763.857,937.70496,
2760.947,958.20065,
2758.036,943.01656,
2755.126,972.16774,
2752.215,968.63843,
2749.304,952.3804,
2746.394,975.08074,
2743.483,967.12491,
2740.573,963.83287,
2737.662,956.49629,
2734.751,982.68324,
2731.841,974.20558,
2728.930,983.75644,
2726.020,971.01273,
2723.109,990.51641,
2720.199,997.63434,
2717.288,1004.2126,
2714.377,1017.3165,
2711.467,1034.2733,
2708.556,1025.2307,
2705.646,1025.6179,
2702.735,989.81058,
2699.825,1020.8414,
2696.914,1046.2682,
2694.003,1025.5933,
2691.093,1040.196,
2688.182,1037.5257,
2685.272,1041.9742,
2682.361,1031.7069,
2679.450,1045.6312,
2676.540,1055.434,
2673.629,1041.0397,
2670.719,1064.9938,
2667.808,1026.6813,
2664.898,1053.7096,
2661.987,1056.992,
2659.076,1064.7608,
2656.166,1088.6098,
2653.255,1100.125,
2650.345,1086.0125,
2647.434,1124.0104,
2644.524,1111.7389,
2641.613,1115.9251,
2638.702,1097.4564,
2635.792,1109.9685,
2632.881,1106.3513,
2629.971,1117.8298,
2627.060,1114.9572,
2624.149,1120.9094,
2621.239,1119.3794,
2618.328,1129.7184,
2615.418,1136.8204,
2612.507,1127.2278,
2609.597,1140.9314,
2606.686,1151.7093,
2603.775,1166.6091,
2600.865,1177.067,
2597.954,1171.2749,
2595.044,1189.1693,
2592.133,1184.0168,
2589.223,1191.5829,
2586.312,1196.5169,
2583.401,1215.3075,
2580.491,1232.1106,
2577.580,1240.0771,
2574.670,1206.4205,
2571.759,1206.2363,
2568.848,1223.5339,
2565.938,1229.8393,
2563.027,1226.7591,
2560.117,1253.4522,
2557.206,1243.8114,
2554.296,1252.006,
2551.385,1233.877,
2548.474,1242.4585,
2545.564,1253.8401,
2542.653,1262.7458,
2539.743,1279.4833,
2536.832,1287.3493,
2533.922,1284.5192,
2531.011,1311.5998,
2528.100,1311.1947,
2525.190,1282.1984,
2522.279,1302.8905,
2519.369,1297.8231,
2516.458,1304.9083,
2513.548,1307.8887,
2510.637,1320.4812,
2507.726,1287.3072,
2504.816,1296.9367,
2501.905,1305.1104,
2498.995,1310.3334,
2496.084,1298.9892,
2493.173,1336.0197,
2490.263,1310.395,
2487.352,1330.0415,
2484.442,1340.0864,
2481.531,1364.3325,
2478.621,1356.8217,
2475.710,1353.171,
2472.799,1355.1789,
2469.889,1347.9727,
2466.978,1366.8362,
2464.068,1380.7441,
2461.157,1392.6274,
2458.247,1395.8749,
2455.336,1399.9743,
2452.425,1413.3656,
2449.515,1407.8236,
2446.604,1422.5421,
2443.694,1419.3577,
2440.783,1451.464,
2437.872,1445.5261,
2434.962,1454.8116,
2432.051,1446.736,
2429.141,1453.5131,
2426.230,1424.4719,
2423.320,1457.3247,
2420.409,1478.2017,
2417.498,1483.552,
2414.588,1440.3381,
2411.677,1494.9775,
2408.767,1472.9783,
2405.856,1508.5059,
2402.946,1512.2796,
2400.035,1512.7212,
2397.124,1526.1143,
2394.214,1522.0178,
2391.303,1535.4841,
2388.393,1549.0832,
2385.482,1543.5216,
2382.571,1541.1378,
2379.661,1549.8922,
2376.750,1572.5462,
2373.840,1572.125,
2370.929,1578.06,
2368.019,1598.0997,
2365.108,1609.6852,
2362.197,1585.5414,
2359.287,1585.52,
2356.376,1616.0722,
2353.466,1617.9589,
2350.555,1609.52,
2347.645,1603.0204,
2344.734,1624.9177,
2341.823,1645.8928,
2338.913,1673.0205,
2336.002,1645.6872,
2333.092,1660.7571,
2330.181,1673.4242,
2327.270,1694.0799,
2324.360,1666.6792,
2321.449,1685.3869,
2318.539,1684.5073,
2315.628,1684.0071,
2312.718,1715.2726,
2309.807,1723.3489,
2306.896,1706.9357,
2303.986,1726.2094,
2301.075,1719.891,
2298.165,1704.7593,
2295.254,1719.7157,
2292.344,1734.6478,
2289.433,1751.4841,
2286.522,1752.4777,
2283.612,1750.5753,
2280.701,1768.5689,
2277.791,1774.4875,
2274.880,1803.0591,
2271.969,1787.7382,
2269.059,1788.8008,
2266.148,1815.6592,
2263.238,1832.3219,
2260.327,1838.9527,
2257.417,1852.9717,
2254.506,1866.1706,
2251.595,1852.1433,
2248.685,1837.8615,
2245.774,1863.3553,
2242.864,1894.4217,
2239.953,1907.8906,
2237.043,1890.9043,
2234.132,1907.5431,
2231.221,1930.784,
2228.311,1929.9059,
2225.400,1935.0969,
2222.490,1940.0665,
2219.579,1973.305,
2216.669,2006.0344,
2213.758,2029.691,
2210.847,2034.5431,
2207.937,2033.2064,
2205.026,2069.1238,
2202.116,2113.711,
2199.205,2147.0626,
2196.294,2144.125,
2193.384,2180.3606,
2190.473,2235.4501,
2187.563,2323.3087,
2184.652,2361.125,
2181.742,2390.9696,
2178.831,2489.8255,
2175.920,2596.2361,
2173.010,2714.5553,
2170.099,2851.9122,
2167.189,3050.187,
2164.278,3218.6949,
2161.368,3400.9753,
2158.457,3618.107,
2155.546,3797.4848,
2152.636,3987.0342,
2149.725,4150.4806,
2146.815,4265.8882,
2143.904,4381.4224,
2140.993,4393.2835,
2138.083,4445.4655,
2135.172,4429.646,
2132.262,4407.0968,
2129.351,4333.9557,
2126.441,4228.4257,
2123.530,4031.8567,
2120.619,3892.1904,
2117.709,3662.278,
2114.798,3424.8279,
2111.888,3202.9539,
2108.977,2966.8136,
2106.067,2833.1056,
2103.156,2732.781,
2100.245,2603.0754,
2097.335,2512.8056,
2094.424,2435.8694,
2091.514,2418.372,
2088.603,2345.5813,
2085.692,2340.2625,
2082.782,2327.5749,
2079.871,2280.873,
2076.961,2255.2874,
2074.050,2296.7977,
2071.140,2246.4587,
2068.229,2225.9349,
2065.318,2239.187,
2062.408,2232.3066,
2059.497,2219.5238,
2056.587,2215.5785,
2053.676,2198.6093,
2050.766,2218.2005,
2047.855,2176.2674,
2044.944,2179.6619,
2042.034,2170.599,
2039.123,2173.8253,
2036.213,2192.6028,
2033.302,2192.0166,
2030.391,2234.3776,
2027.481,2238.857,
2024.570,2245.9817,
2021.660,2259.4746,
2018.749,2265.935,
2015.839,2257.6276,
2012.928,2238.3431,
2010.017,2249.125,
2007.107,2250.3811,
2004.196,2247.5178,
2001.286,2250.3759,
1998.375,2216.1565,
1995.465,2218.7902,
1992.554,2214.4839,
1989.643,2254.6388,
1986.733,2201.4829,
1983.822,2188.7144,
1980.912,2186.7295,
1978.001,2205.9896,
1975.090,2188.3662,
1972.180,2180.8138,
1969.269,2187.8606,
1966.359,2177.0438,
1963.448,2213.0339,
1960.538,2241.9207,
1957.627,2229.0755,
1954.716,2226.1537,
1951.806,2156.0624,
1948.895,2191.5947,
1945.985,2181.3292,
1943.074,2175.6749,
1940.164,2159.8366,
1937.253,2167.5814,
1934.342,2176.125,
1931.432,2192.289,
1928.521,2187.2407,
1925.611,2161.5472,
1922.700,2165.4137,
1919.790,2192.2403,
1916.879,2172.8687,
1913.968,2169.1275,
1911.058,2188.0109,
1908.147,2156.6637,
1905.237,2154.6692,
1902.326,2185.3887,
1899.415,2175.6274,
1896.505,2152.5587,
1893.594,2155.5762,
1890.684,2163.1577,
1887.773,2158.9269,
1884.863,2188.9291,
1881.952,2199.7551,
1879.041,2188.5601,
1876.131,2201.5982,
1873.220,2135.3902,
1870.310,2191.959,
1867.399,2220.7412,
1864.489,2197.8009,
1861.578,2168.7676,
1858.667,2201.0442,
1855.757,2190.6978,
1852.846,2212.0789,
1849.936,2193.2872,
1847.025,2217.7698,
1844.114,2236.9768,
1841.204,2255.9886,
1838.293,2254.6391,
1835.383,2254.3225,
1832.472,2247.485,
1829.562,2274.5367,
1826.651,2293.0737,
1823.740,2302.3166,
1820.830,2324.6448,
1817.919,2268.2324,
1815.009,2292.6555,
1812.098,2281.1723,
1809.188,2330.714,
