,PLCF4F~1,
Raman shift [1/cm],Intensity,
2659.076,424.6444,
2656.166,442.79006,
2653.255,425.54251,
2650.345,422.26044,
2647.434,439.81409,
2644.524,437.51921,
2641.613,451.67159,
2638.702,440.72093,
2635.792,441.93769,
2632.881,441.07737,
2629.971,444.11747,
2627.060,429.99782,
2624.149,453.47187,
2621.239,456.74259,
2618.328,453.41523,
2615.418,456.47728,
2612.507,454.70953,
2609.597,472.02096,
2606.686,455.74698,
2603.775,453.30159,
2600.865,489.0803,
2597.954,482.4938,
2595.044,463.82152,
2592.133,472.61471,
2589.223,491.65686,
2586.312,485.62062,
2583.401,474.70437,
2580.491,488.47111,
2577.580,507.5,
2574.670,505.56284,
2571.759,485.63614,
2568.848,480.08567,
2565.938,482.73801,
2563.027,495.59772,
2560.117,487.33175,
2557.206,514.04612,
2554.296,481.64874,
2551.385,499.49193,
2548.474,498.24089,
2545.564,503.43669,
2542.653,492.04698,
2539.743,496.05545,
2536.832,505.84767,
2533.922,496.95731,
2531.011,520.8254,
2528.100,507.9669,
2525.190,498.80369,
2522.279,527.84343,
2519.369,518.72616,
2516.458,522.38456,
2513.548,515.88184,
2510.637,524.93038,
2507.726,530.25093,
2504.816,535.37599,
2501.905,517.15244,
2498.995,536.32084,
2496.084,532.88676,
2493.173,527.63146,
2490.263,519.71355,
2487.352,534.9992,
2484.442,526.63275,
2481.531,546.08499,
2478.621,561.87443,
2475.710,541.50767,
2472.799,544.22644,
2469.889,561.61914,
2466.978,555.01565,
2464.068,536.96557,
2461.157,565.07261,
2458.247,552.04418,
2455.336,558.84051,
2452.425,561.17453,
2449.515,577.04677,
2446.604,558.08987,
2443.694,567.70974,
2440.783,578.92905,
2437.872,580.35414,
2434.962,578.33871,
2432.051,579.59869,
2429.141,593.29389,
2426.230,582.73863,
2423.320,582.18575,
2420.409,586.92936,
2417.498,582.54212,
2414.588,585.57979,
2411.677,589.53586,
2408.767,595.3061,
2405.856,604.3405,
2402.946,588.91644,
2400.035,587.19719,
2397.124,615.28609,
2394.214,616.63401,
2391.303,610.25135,
2388.393,614.24651,
2385.482,632.66283,
2382.571,631.86749,
2379.661,619.24417,
2376.750,628.02458,
2373.840,629.57814,
2370.929,619.59747,
2368.019,642.95814,
2365.108,640.05759,
2362.197,647.88905,
2359.287,639.12172,
2356.376,643.48767,
2353.466,635.33394,
2350.555,630.45014,
2347.645,652.48541,
2344.734,653.25574,
2341.823,664.26783,
2338.913,657.80897,
2336.002,675.9162,
2333.092,690.75283,
2330.181,681.93737,
2327.270,690.78493,
2324.360,680.21465,
2321.449,670.99321,
2318.539,673.30732,
2315.628,704.25421,
2312.718,697.65197,
2309.807,675.11482,
2306.896,684.50783,
2303.986,691.41562,
2301.075,703.28721,
2298.165,693.13435,
2295.254,681.67234,
2292.344,704.76559,
2289.433,697.85136,
2286.522,705.06694,
2283.612,711.64031,
2280.701,735.13673,
2277.791,735.93895,
2274.880,719.50406,
2271.969,719.33128,
2269.059,742.64442,
2266.148,759.17279,
2263.238,758.10232,
2260.327,749.6036,
2257.417,763.07667,
2254.506,758.5,
2251.595,750.50732,
2248.685,743.02693,
2245.774,775.84008,
2242.864,762.7319,
2239.953,778.22418,
2237.043,771.27928,
2234.132,772.5,
2231.221,788.13315,
2228.311,792.76031,
2225.400,786.00662,
2222.490,808.32747,
2219.579,816.16574,
2216.669,810.40461,
2213.758,836.3706,
2210.847,860.45715,
2207.937,878.92995,
2205.026,891.61049,
2202.116,918.9883,
2199.205,947.67506,
2196.294,953.80598,
2193.384,985.07804,
2190.473,1028.1033,
2187.563,1048.6692,
2184.652,1084.1024,
2181.742,1107.5934,
2178.831,1140.5505,
2175.920,1151.8097,
2173.010,1171.3248,
2170.099,1170.5,
2167.189,1194.7081,
2164.278,1224.5271,
2161.368,1238.7847,
2158.457,1274.3269,
2155.546,1301.7875,
2152.636,1350.702,
2149.725,1393.6342,
2146.815,1424.599,
2143.904,1456.9015,
2140.993,1461.1984,
2138.083,1456.9347,
2135.172,1464.3405,
2132.262,1440.9401,
2129.351,1404.1723,
2126.441,1387.2475,
2123.530,1335.0174,
2120.619,1284.6563,
2117.709,1226.2709,
2114.798,1174.0843,
2111.888,1106.8761,
2108.977,1065.3344,
2106.067,1035.7822,
2103.156,992.54692,
2100.245,975.50188,
2097.335,970.31153,
2094.424,914.09024,
2091.514,920.49458,
2088.603,911.02535,
2085.692,893.35884,
2082.782,898.46375,
2079.871,904.67853,
2076.961,895.14578,
2074.050,909.94848,
2071.140,880.30453,
2068.229,887.49348,
2065.318,888.61049,
2062.408,893.25793,
2059.497,887.85711,
2056.587,877.04645,
2053.676,876.05015,
2050.766,872.73094,
2047.855,861.21521,
2044.944,850.96795,
2042.034,847.737,
2039.123,851.56061,
2036.213,868.5556,
2033.302,878.69571,
2030.391,850.38204,
2027.481,872.20698,
2024.570,871.85748,
2021.660,853.5052,
2018.749,863.90565,
2015.839,895.46456,
2012.928,875.70638,
2010.017,883.83875,
2007.107,856.66262,
2004.196,854.47619,
