,PLE80A~1,
Wavenumbers [1/cm],Intensity,
2175.920,398.24454,
2173.010,403.97506,
2170.099,436.31301,
2167.189,439.25,
2164.278,440.86407,
2161.368,467.96215,
2158.457,510.13186,
2155.546,521.26445,
2152.636,564.3031,
2149.725,573.25672,
2146.815,591.58262,
2143.904,596.0641,
2140.993,624.66277,
2138.083,627.04017,
2135.172,651.35076,
2132.262,648.6382,
2129.351,631.59469,
2126.441,646.33745,
2123.530,630.09286,
2120.619,607.85586,
2117.709,547.07569,
2114.798,525.4154,
2111.888,510.85072,
2108.977,487.62086,
2106.067,460.49867,
2103.156,441.81214,
2100.245,427.24435,
2097.335,417.88874,
2094.424,412.61716,
2091.514,403.89247,
2088.603,389.95973,
2085.692,382.3429,
2082.782,397.85234,
2079.871,395.67824,
2076.961,404.53964,
2074.050,415.73485,
2071.140,420.90552,
2068.229,396.88933,
2065.318,389.03974,
2062.408,396.03819,
2059.497,394.61902,
2056.587,377.15709,
2053.676,379.1497,
2050.766,372.86585,
2047.855,364.04741,
2044.944,394.84134,
2042.034,414.69504,
2039.123,401.54966,
2036.213,392.05886,
2033.302,382.61959,
2030.391,381.89405,
2027.481,397.87181,
2024.570,374.59361,
2021.660,398.41699,
2018.749,405.18627,
2015.839,380.40223,
2012.928,396.77853,
2010.017,401.02958,
2007.107,396.01823,
2004.196,396.13093,
2001.286,394.87544,
1998.375,386.11614,
1995.465,401.70178,
1992.554,404.62061,
1989.643,394.59564,
1986.733,381.71491,
1983.822,374.78914,
1980.912,387.06162,
1978.001,378.13126,
1975.090,383.44542,
1972.180,383.80186,
1969.269,376.58906,
1966.359,383.92583,
1963.448,401.20773,
1960.538,414.98812,
1957.627,408.33358,
1954.716,385.88199,
1951.806,378.84614,
1948.895,384.63875,
1945.985,349.10948,
1943.074,360.81088,
1940.164,366.8751,
1937.253,376.9717,
1934.342,367.65161,
1931.432,370.10489,
1928.521,388.04275,
1925.611,376.39302,
1922.700,358.37846,
1919.790,364.72388,
1916.879,370.90125,
1913.968,382.23647,
1911.058,369.39114,
1908.147,359.10987,
1905.237,373.23531,
1902.326,376.23964,
1899.415,344.86339,
1896.505,324.1297,
1893.594,352.24697,
1890.684,363.9297,
1887.773,382.53415,
1884.863,402.45501,
1881.952,386.62771,
1879.041,374.22404,
1876.131,366.73497,
1873.220,347.8163,
1870.310,347.1065,
1867.399,401.37035,
1864.489,376.49619,
1861.578,405.00841,
1858.667,378.1153,
1855.757,355.62351,
1852.846,383.74231,
1849.936,370.48324,
1847.025,368.24267,
1844.114,404.87119,
1841.204,410.70105,
1838.293,390.78409,
1835.383,383.91249,
1832.472,379.23783,
1829.562,379.10964,
1826.651,391.404,
1823.740,384.78638,
1820.830,407.48645,
1817.919,376.15993,
1815.009,404.06806,
1812.098,412.04527,
1809.188,393.49035,
1806.277,357.04675,
1803.366,395.616,
1800.456,416.64547,
1797.545,408.83143,
1794.635,431.02495,
1791.724,406.77431,
1788.813,396.45283,
1785.903,403.37404,
1782.992,390.81183,
1780.082,353.36668,
1777.171,294.91006,
1774.261,290.69041,
1771.350,365.82502,
1768.439,413.90785,
1765.529,414.07135,
1762.618,436.1825,
1759.708,436.71738,
1756.797,443.85606,
1753.887,458.58382,
1750.976,447.14987,
1748.065,465.97196,
1745.155,430.32135,
1742.244,425.73546,
1739.334,458.42176,
1736.423,443.93414,
1733.512,456.07933,
1730.602,493.42266,
1727.691,513.22959,
1724.781,480.06748,
1721.870,461.39757,
1718.960,466.65009,
1716.049,488.38539,
1713.138,484.55504,
1710.228,459.75198,
1707.317,511.09343,
1704.407,484.11091,
1701.496,479.33845,
1698.586,473.70609,
1695.675,528.45681,
1692.764,497.22129,
1689.854,500.99016,
1686.943,510.91274,
1684.033,521.9768,
1681.122,500.62383,
1678.211,541.85027,
1675.301,525.30242,
1672.390,613.14233,
1669.480,577.05747,
1666.569,553.59279,
1663.659,580.13567,
1660.748,573.90558,
1657.837,607.38122,
1654.927,613.27343,
1652.016,614.3715,
1649.106,620.32717,
1646.195,663.51374,
1643.285,674.15885,
1640.374,670.43815,
1637.463,679.57426,
1634.553,697.39778,
1631.642,707.73861,
1628.732,752.34481,
1625.821,768.28402,
1622.911,819.95697,
1620.000,864.68306,
1617.089,913.27487,
1614.179,968.67074,
1611.268,1003.9488,
1608.358,1053.862,
1605.447,1108.1076,
1602.536,1131.7515,
1599.626,1127.7304,
1596.715,1151.7552,
1593.805,1116.6881,
1590.894,1098.1593,
1587.984,1108.3753,
1585.073,1134.9237,
1582.162,1095.8359,
1579.252,1060.2461,
1576.341,1036.6266,
1573.431,997.00716,
1570.520,1008.6526,
1567.610,1005.5636,
1564.699,1019.6507,
1561.788,982.58845,
1558.878,965.61553,
1555.967,990.03393,
1553.057,942.92302,
1550.146,905.56274,
1547.235,918.59849,
1544.325,915.67724,
1541.414,882.5676,
1538.504,867.36042,
1535.593,846.41736,
1532.683,852.86699,
1529.772,866.23789,
1526.861,814.74289,
1523.951,782.03191,
1521.040,783.18455,
1518.130,791.03287,
1515.219,766.80996,
1512.309,767.7545,
1509.398,762.16832,
1506.487,753.95043,
1503.577,774.845,
1500.666,721.1454,
1497.756,732.598,
1494.845,783.08882,
1491.934,731.31614,
1489.024,751.52849,
1486.113,747.61392,
1483.203,757.90801,
1480.292,700.70271,
1477.382,690.25,
1474.471,712.50399,
1471.560,705.46234,
1468.650,708.44928,
1465.739,713.53098,
1462.829,690.97412,
1459.918,679.66993,
1457.008,683.7577,
1454.097,685.17432,
1451.186,664.20938,
1448.276,636.20175,
1445.365,638.67812,
1442.455,654.29561,
1439.544,692.07826,
1436.633,630.99776,
1433.723,643.98566,
1430.812,678.35824,
1427.902,691.57351,
1424.991,663.14063,
1422.081,645.73541,
1419.170,644.25,
1416.259,639.38962,
1413.349,596.71174,
1410.438,618.93876,
1407.528,663.21838,
1404.617,651.06784,
1401.707,616.41167,
1398.796,632.04363,
1395.885,653.08849,
1392.975,637.60418,
1390.064,642.95895,
1387.154,640.93134,
1384.243,598.28467,
1381.332,609.11526,
1378.422,656.73305,
1375.511,666.10086,
1372.601,708.64224,
1369.690,701.10611,
1366.780,696.08186,
1363.869,727.94147,
1360.958,751.47368,
1358.048,759.02994,
1355.137,793.89378,
1352.227,818.30225,
1349.316,827.96965,
1346.406,851.37619,
1343.495,837.02872,
1340.584,818.67812,
1337.674,857.57648,
1334.763,934.72072,
1331.853,920.81225,
1328.942,957.60749,
1326.032,942.6751,
1323.121,964.92472,
1320.210,1015.5371,
1317.300,1018.543,
1314.389,1026.2921,
1311.479,1046.1238,
1308.568,1059.4625,
1305.657,1105.6933,
1302.747,1177.7529,
1299.836,1211.5645,
1296.926,1186.8737,
1294.015,1221.808,
1291.105,1243.5025,
1288.194,1264.6211,
1285.283,1331.5423,
1282.373,1339.1641,
1279.462,1352.3084,
1276.552,1392.6202,
1273.641,1434.3323,
1270.731,1460.4858,
1267.820,1449.1869,
1264.909,1425.5141,
1261.999,1448.3845,
1259.088,1424.6694,
1256.178,1422.3935,
1253.267,1380.8214,
1250.356,1345.9006,
1247.446,1327.0358,
1244.535,1316.2947,
1241.625,1280.1649,
1238.714,1222.7296,
1235.804,1185.6724,
1232.893,1147.2454,
1229.982,1166.8395,
1227.072,1125.1951,
1224.161,1054.1692,
1221.251,1045.7171,
1218.340,1025.8722,
1215.430,1022.508,
1212.519,1000.2734,
1209.608,978.71627,
1206.698,1005.8033,
1203.787,1014.0289,
1200.877,1017.5256,
1197.966,1005.8366,
1195.055,1047.0592,
1192.145,1096.3252,
1189.234,1125.821,
1186.324,1144.6146,
1183.413,1134.2601,
1180.503,1122.3912,
1177.592,1142.9974,
1174.681,1127.6884,
1171.771,1096.8682,
1168.860,1123.6608,
1165.950,1099.6424,
1163.039,1110.7101,
1160.129,1103.5036,
1157.218,1084.116,
1154.307,1067.5715,
1151.397,1058.5961,
1148.486,1068.5468,
1145.576,1087.0187,
1142.665,1081.6912,
1139.754,1082.0636,
1136.844,1068.9442,
1133.933,1045.6548,
1131.023,1052.6059,
1128.112,1083.1773,
1125.202,1091.0375,
1122.291,1070.5142,
1119.380,1107.4839,
1116.470,1131.3121,
1113.559,1148.1685,
1110.649,1128.0207,
1107.738,1114.7142,
1104.828,1109.6729,
1101.917,1092.5987,
1099.006,1071.4561,
1096.096,1090.4975,
1093.185,1078.2054,
1090.275,1068.348,
1087.364,1086.8337,
1084.453,1097.3749,
1081.543,1117.9699,
1078.632,1131.9678,
1075.722,1114.9605,
1072.811,1144.3407,
1069.901,1089.3253,
1066.990,1141.8332,
1064.079,1172.9434,
1061.169,1167.4425,
1058.258,1152.8621,
1055.348,1155.305,
1052.437,1175.5298,
1049.527,1191.3773,
1046.616,1168.7877,
1043.705,1177.0407,
1040.795,1170.0339,
1037.884,1149.0779,
1034.974,1146.9124,
1032.063,1168.25,
1029.153,1168.25,
1026.242,1168.25,
1023.331,1211.5806,
1020.421,1204.9138,
1017.510,1212.2569,
1014.600,1232.9774,
1011.689,1255.3722,
1008.778,1274.2915,
1005.868,1250.8793,
1002.957,1209.5823,
1000.047,1300.802,
997.136,1344.8852,
994.226,1364.0806,
991.315,1371.5074,
988.404,1341.4677,
