,PLFE11~1,
Wavenumbers [1/cm],Intensity,
2173.010,308.84977,
2170.099,338.94644,
2167.189,339.84328,
2164.278,354.65754,
2161.368,373.74903,
2158.457,391.63186,
2155.546,402.20387,
2152.636,444.1063,
2149.725,448.59565,
2146.815,470.91578,
2143.904,470.15148,
2140.993,474.91401,
2138.083,484.95058,
2135.172,484.84236,
2132.262,487.51937,
2129.351,502.54659,
2126.441,462.3421,
2123.530,486.82857,
2120.619,485.76869,
2117.709,431.79469,
2114.798,419.5846,
2111.888,396.73842,
2108.977,364.03476,
2106.067,372.67593,
2103.156,344.31627,
2100.245,340.73306,
2097.335,315.79712,
2094.424,330.2713,
2091.514,322.31446,
2088.603,320.7177,
2085.692,328.20355,
2082.782,332.81823,
2079.871,306.17708,
2076.961,326.87724,
2074.050,324.47727,
2071.140,334.24461,
2068.229,316.1927,
2065.318,328.07075,
2062.408,333.10627,
2059.497,319.90473,
2056.587,321.06369,
2053.676,311.41766,
2050.766,316.05717,
2047.855,285.31958,
2044.944,311.00158,
2042.034,340.84812,
2039.123,316.97222,
2036.213,325.9255,
2033.302,308.11959,
2030.391,316.41075,
2027.481,319.51831,
2024.570,322.96417,
2021.660,348.21264,
2018.749,350.3701,
2015.839,339.94291,
2012.928,334.52013,
2010.017,343.81407,
2007.107,355.95746,
2004.196,342.21428,
2001.286,357.6687,
1998.375,352.04921,
1995.465,340.03036,
1992.554,337.87354,
1989.643,316.5104,
1986.733,333.96404,
1983.822,337.60894,
1980.912,345.40417,
1978.001,369.7333,
1975.090,355.56221,
1972.180,347.37102,
1969.269,351.67531,
1966.359,357.75,
1963.448,348.98381,
1960.538,344.12698,
1957.627,358.01627,
1954.716,355.86491,
1951.806,357.49517,
1948.895,365.50111,
1945.985,323.56699,
1943.074,328.15219,
1940.164,342.42332,
1937.253,353.57191,
1934.342,345.27139,
1931.432,337.93612,
1928.521,363.21978,
1925.611,350.47759,
1922.700,356.1616,
1919.790,353.8599,
1916.879,332.28449,
1913.968,357.7168,
1911.058,341.5428,
1908.147,357.79822,
1905.237,384.99261,
1902.326,366.76036,
1899.415,369.26828,
1896.505,370.81054,
1893.594,408.38719,
1890.684,393.32525,
1887.773,374.39671,
1884.863,374.21469,
1881.952,385.11992,
1879.041,369.83774,
1876.131,357.23497,
1873.220,354.00663,
1870.310,351.8935,
1867.399,380.28619,
1864.489,407.77641,
1861.578,382.62921,
1858.667,371.75,
1855.757,372.9457,
1852.846,378.00128,
1849.936,375.42468,
1847.025,369.16119,
1844.114,383.01592,
1841.204,390.72902,
1838.293,386.23919,
1835.383,396.029,
1832.472,390.44739,
1829.562,374.52916,
1826.651,372.85266,
1823.740,371.11015,
1820.830,386.72653,
1817.919,415.36692,
1815.009,398.48792,
1812.098,401.03346,
1809.188,388.61825,
1806.277,361.34756,
1803.366,410.60027,
1800.456,399.60667,
1797.545,366.71434,
1794.635,402.39595,
1791.724,388.49745,
1788.813,431.14794,
1785.903,425.45348,
1782.992,417.01971,
1780.082,401.30681,
1777.171,442.08834,
1774.261,443.22965,
1771.350,443.61851,
1768.439,463.08655,
1765.529,417.56664,
1762.618,409.6825,
1759.708,404.08688,
1756.797,417.72727,
1753.887,427.85204,
1750.976,413.49477,
1748.065,439.70084,
1745.155,423.98251,
1742.244,416.3306,
1739.334,448.76882,
1736.423,438.14069,
1733.512,435.2988,
1730.602,480.38697,
1727.691,471.72018,
1724.781,450.59162,
1721.870,453.9929,
1718.960,433.54973,
1716.049,438.8177,
1713.138,461.2699,
1710.228,446.47376,
1707.317,447.28829,
1704.407,456.73397,
1701.496,500.59275,
1698.586,465.01867,
1695.675,495.43551,
1692.764,487.33606,
1689.854,486.75,
1686.943,470.32334,
1684.033,468.77484,
1681.122,496.27421,
1678.211,508.63579,
1675.301,526.6945,
1672.390,553.63336,
1669.480,514.99066,
1666.569,544.49608,
1663.659,525.41963,
1660.748,565.63431,
1657.837,559.35634,
1654.927,542.40602,
1652.016,569.50701,
1649.106,559.94585,
1646.195,568.82894,
1643.285,612.27148,
1640.374,592.16812,
1637.463,611.76801,
1634.553,613.44456,
1631.642,659.43512,
1628.732,631.0522,
1625.821,681.76832,
1622.911,709.59222,
1620.000,765.04447,
1617.089,785.35199,
1614.179,825.59376,
1611.268,843.11798,
1608.358,863.76671,
1605.447,964.69367,
1602.536,987.52397,
1599.626,922.51483,
1596.715,967.57567,
1593.805,895.83746,
1590.894,939.59021,
1587.984,920.76724,
1585.073,955.88757,
1582.162,934.36387,
1579.252,895.19965,
1576.341,893.35744,
1573.431,892.40048,
1570.520,887.16374,
1567.610,864.14182,
1564.699,860.37515,
1561.788,849.77828,
1558.878,862.50184,
1555.967,862.16136,
1553.057,808.62981,
1550.146,812.09175,
1547.235,823.48543,
1544.325,790.03894,
1541.414,776.3108,
1538.504,781.72239,
1535.593,784.1584,
1532.683,773.96817,
1529.772,752.57508,
1526.861,732.47316,
1523.951,721.69529,
1521.040,730.58373,
1518.130,719.37317,
1515.219,721.58994,
1512.309,725.73199,
1509.398,731.75,
1506.487,731.56891,
1503.577,730.30914,
1500.666,728.75732,
1497.756,735.52951,
1494.845,720.91009,
1491.934,724.7752,
1489.024,732.47514,
1486.113,734.60443,
1483.203,719.65115,
1480.292,713.50744,
1477.382,685.26956,
1474.471,686.42379,
1471.560,711.97132,
1468.650,702.98488,
1465.739,694.10951,
1462.829,697.3309,
1459.918,677.09787,
1457.008,665.85778,
1454.097,680.60669,
1451.186,685.59139,
1448.276,671.63268,
1445.365,669.32346,
1442.455,704.13615,
1439.544,715.14866,
1436.633,668.93569,
1433.723,721.12689,
1430.812,714.6074,
1427.902,688.85494,
1424.991,735.2953,
1422.081,716.5655,
1419.170,719.0703,
1416.259,712.45943,
1413.349,679.78512,
1410.438,671.14956,
1407.528,708.44328,
1404.617,705.852,
1401.707,678.62125,
1398.796,679.60661,
1395.885,703.3249,
1392.975,710.1871,
1390.064,693.33862,
1387.154,675.35616,
1384.243,621.9243,
1381.332,677.05793,
1378.422,727.46017,
