,PLED81~1,
Raman shift [1/cm],Intensity,
2173.010,677.09949,
2170.099,674.625,
2167.189,701.79004,
2164.278,721.54359,
2161.368,712.19539,
2158.457,739.55578,
2155.546,757.15482,
2152.636,759.74735,
2149.725,793.41021,
2146.815,776.45922,
2143.904,822.72166,
2140.993,807.64096,
2138.083,795.93193,
2135.172,825.04523,
2132.262,823.35916,
2129.351,816.625,
2126.441,794.53755,
2123.530,768.10869,
2120.619,719.46,
2117.709,693.82387,
2114.798,670.24415,
2111.888,642.22572,
2108.977,613.90976,
2106.067,613.4504,
2103.156,590.10978,
2100.245,569.60555,
2097.335,539.10667,
2094.424,541.1889,
2091.514,541.27289,
2088.603,551.52361,
2085.692,544.16781,
2082.782,542.57276,
2079.871,529.01707,
2076.961,520.01247,
2074.050,524.17652,
2071.140,548.83236,
2068.229,518.89713,
2065.318,513.88374,
2062.408,520.38293,
2059.497,522.7976,
2056.587,529.93869,
2053.676,520.29266,
2050.766,521.2401,
2047.855,534.11238,
2044.944,518.35416,
2042.034,528.20302,
2039.123,523.96507,
2036.213,534.35393,
2033.302,527.60355,
2030.391,527.72626,
2027.481,545.55175,
2024.570,541.88232,
2021.660,523.68933,
2018.749,513.19486,
2015.839,524.26214,
2012.928,504.0042,
2010.017,509.59894,
2007.107,510.78762,
2004.196,505.01784,
2001.286,490.95717,
1998.375,489.49607,
1995.465,500.27768,
1992.554,493.86037,
1989.643,526.41527,
1986.733,503.76886,
1983.822,493.42116,
1980.912,518.98114,
1978.001,500.35412,
1975.090,494.99295,
1972.180,503.28059,
1969.269,486.17094,
1966.359,490.89545,
1963.448,486.93675,
1960.538,468.82934,
1957.627,492.37425,
1954.716,473.28572,
1951.806,475.37017,
1948.895,486.69185,
1945.985,465.80801,
1943.074,473.28166,
1940.164,489.24013,
1937.253,470.3467,
1934.342,463.04372,
1931.432,466.32532,
1928.521,461.3383,
1925.611,429.83953,
1922.700,446.7424,
1919.790,442.42859,
1916.879,466.67201,
1913.968,464.62992,
1911.058,441.48386,
1908.147,453.3593,
1905.237,449.0441,
1902.326,447.85461,
1899.415,456.89449,
1896.505,419.49243,
1893.594,436.42996,
1890.684,449.20025,
1887.773,432.00443,
1884.863,427.34937,
1881.952,438.48238,
1879.041,435.30361,
1876.131,425.29559,
1873.220,425.36837,
1870.310,435.83574,
1867.399,431.70497,
1864.489,426.07979,
1861.578,416.54778,
1858.667,456.53217,
1855.757,461.04863,
1852.846,439.65063,
1849.936,463.39176,
1847.025,479.39143,
1844.114,474.44148,
1841.204,466.89773,
1838.293,458.61502,
1835.383,482.65948,
1832.472,475.68239,
1829.562,478.51146,
1826.651,480.41967,
1823.740,493.36833,
1820.830,494.22338,
1817.919,482.85248,
1815.009,486.61864,
1812.098,479.54626,
1809.188,474.87307,
1806.277,493.20449,
1803.366,465.97436,
1800.456,487.61423,
1797.545,504.25622,
1794.635,500.625,
1791.724,502.60556,
1788.813,514.42731,
1785.903,525.37691,
1782.992,534.94243,
1780.082,510.7543,
1777.171,484.96548,
1774.261,503.59484,
1771.350,495.1655,
1768.439,510.43446,
1765.529,509.16849,
1762.618,495.17562,
1759.708,501.79899,
1756.797,512.85227,
1753.887,542.13957,
1750.976,545.52487,
1748.065,524.40841,
1745.155,526.28946,
1742.244,555.78619,
1739.334,530.96619,
1736.423,563.08288,
1733.512,545.05985,
1730.602,557.55361,
1727.691,579.67523,
1724.781,564.74716,
1721.870,595.03473,
1718.960,568.26902,
1716.049,557.2691,
1713.138,583.98487,
1710.228,587.7547,
1707.317,556.665,
1704.407,539.14904,
1701.496,595.96406,
1698.586,597.92906,
1695.675,571.42516,
1692.764,604.65371,
1689.854,570.27065,
1686.943,610.1748,
1684.033,600.8982,
1681.122,620.28515,
1678.211,652.32044,
1675.301,641.65892,
1672.390,670.78351,
