,PL8EC1~1,
Raman shift [1/cm],Intensity,
3014.167,0.875,
3011.256,-0.17490337,
3008.346,68.595689,
3005.435,89.22129,
3002.525,93.837528,
2999.614,90.2607,
2996.704,101.63685,
2993.793,102.88422,
2990.882,99.264295,
2987.972,98.90527,
2985.061,106.20505,
2982.151,113.15904,
2979.240,112.32844,
2976.329,115.66459,
2973.419,124.32121,
2970.508,120.64167,
2967.598,143.77942,
2964.687,130.41304,
2961.777,139.61881,
2958.866,141.20932,
2955.955,152.77543,
2953.045,151.97568,
2950.134,153.84292,
2947.224,138.44438,
2944.313,163.71759,
2941.403,172.61314,
2938.492,166.30047,
2935.581,171.91793,
2932.671,193.19257,
2929.760,180.875,
2926.850,178.03177,
2923.939,186.51519,
2921.028,186.6456,
2918.118,185.31581,
2915.207,197.17253,
2912.297,193.90462,
2909.386,188.67792,
2906.476,182.61939,
2903.565,197.56908,
2900.654,186.42809,
2897.744,201.56069,
2894.833,178.52445,
2891.923,181.6859,
2889.012,199.83454,
2886.102,191.64663,
2883.191,185.87783,
2880.280,191.98983,
2877.370,180.52036,
2874.459,184.58563,
2871.549,184.05934,
2868.638,201.42138,
2865.727,203.3981,
2862.817,201.61831,
2859.906,198.64708,
2856.996,201.85236,
2854.085,198.07246,
2851.175,198.90205,
2848.264,214.59067,
2845.353,208.04754,
2842.443,211.08336,
2839.532,191.45717,
2836.622,191.66146,
2833.711,182.24548,
2830.801,187.06912,
2827.890,191.41696,
2824.979,200.57895,
2822.069,202.90912,
2819.158,207.77527,
2816.248,211.62211,
2813.337,206.89573,
2810.427,209.13947,
2807.516,199.50813,
2804.605,208.40143,
2801.695,193.74342,
2798.784,195.65323,
2795.874,202.02012,
2792.963,206.9466,
2790.052,213.87436,
2787.142,202.38812,
2784.231,197.16537,
2781.321,193.8179,
2778.410,202.89531,
2775.500,198.93845,
2772.589,209.14335,
2769.678,196.80332,
2766.768,206.80317,
2763.857,208.55901,
2760.947,203.35294,
2758.036,205.80497,
2755.126,211.44551,
2752.215,211.21588,
2749.304,215.85341,
2746.394,204.41529,
2743.483,217.72498,
2740.573,209.34176,
2737.662,214.99186,
2734.751,208.82661,
2731.841,197.30723,
2728.930,210.95558,
2726.020,218.6713,
2723.109,224.00917,
2720.199,203.89367,
2717.288,218.13778,
2714.377,224.35828,
2711.467,230.31785,
2708.556,225.08763,
2705.646,228.18485,
2702.735,241.85437,
2699.825,224.80956,
2696.914,223.82727,
2694.003,220.93028,
2691.093,234.42855,
2688.182,218.60092,
2685.272,217.31739,
2682.361,218.7571,
2679.450,233.70626,
2676.540,230.75306,
2673.629,226.20235,
2670.719,224.37869,
2667.808,223.77773,
2664.898,218.49854,
2661.987,230.40875,
2659.076,238.14656,
2656.166,244.98757,
2653.255,238.94983,
2650.345,255.6917,
2647.434,232.875,
2644.524,241.36904,
2641.613,261.73232,
2638.702,262.90656,
2635.792,236.37351,
2632.881,255.9582,
2629.971,235.70034,
2627.060,264.21187,
2624.149,245.98124,
2621.239,242.09387,
2618.328,232.34126,
2615.418,242.875,
2612.507,239.15169,
2609.597,250.49776,
2606.686,254.45934,
2603.775,253.51389,
2600.865,259.8136,
2597.954,248.59371,
2595.044,257.91928,
2592.133,256.4356,
2589.223,241.36867,
2586.312,273.07097,
2583.401,271.24359,
2580.491,254.6154,
2577.580,258.8915,
2574.670,270.81216,
2571.759,259.3596,
2568.848,269.74805,
2565.938,254.77963,
2563.027,271.04547,
2560.117,277.40773,
2557.206,273.83441,
2554.296,259.9345,
2551.385,269.437,
2548.474,268.875,
2545.564,273.71672,
2542.653,274.2005,
2539.743,284.46742,
2536.832,284.42641,
2533.922,288.85923,
2531.011,285.67519,
2528.100,284.13982,
2525.190,284.71271,
2522.279,284.06259,
2519.369,292.40303,
2516.458,285.08463,
2513.548,287.05659,
2510.637,282.30538,
2507.726,288.56273,
2504.816,275.49844,
2501.905,288.59939,
2498.995,281.11388,
2496.084,283.64851,
2493.173,288.05944,
2490.263,285.89759,
2487.352,298.33247,
2484.442,288.15337,
2481.531,292.82182,
2478.621,291.875,
2475.710,286.1357,
2472.799,313.46252,
2469.889,299.69219,
2466.978,284.22572,
2464.068,306.52061,
2461.157,294.37744,
2458.247,305.30148,
2455.336,307.85348,
2452.425,307.98349,
2449.515,312.24299,
2446.604,315.58006,
2443.694,315.13075,
2440.783,309.82658,
2437.872,306.67723,
2434.962,322.88422,
2432.051,302.53538,
2429.141,315.80416,
2426.230,316.39653,
2423.320,321.63269,
2420.409,312.11193,
2417.498,333.875,
2414.588,333.875,
2411.677,327.51642,
2408.767,326.47539,
2405.856,340.61792,
2402.946,327.19046,
2400.035,333.16843,
2397.124,328.22259,
2394.214,335.631,
2391.303,324.58774,
2388.393,336.55178,
2385.482,328.49187,
2382.571,340.35579,
2379.661,341.54953,
2376.750,342.45128,
2373.840,321.85326,
2370.929,329.70172,
2368.019,342.72966,
2365.108,351.36453,
2362.197,351.223,
2359.287,355.68168,
2356.376,344.89261,
2353.466,354.63181,
2350.555,360.73982,
2347.645,358.79552,
2344.734,365.23906,
2341.823,368.82525,
2338.913,361.80932,
2336.002,356.50419,
2333.092,360.94388,
2330.181,378.45553,
2327.270,366.81009,
2324.360,380.33727,
2321.449,377.19813,
2318.539,376.85359,
2315.628,366.11081,
2312.718,366.2913,
2309.807,355.47091,
2306.896,386.33978,
2303.986,372.875,
2301.075,387.68346,
2298.165,390.49027,
2295.254,383.00426,
2292.344,370.71312,
2289.433,383.85954,
2286.522,391.16955,
2283.612,384.6237,
2280.701,360.43109,
2277.791,395.51433,
2274.880,385.16303,
2271.969,381.96965,
2269.059,394.69517,
2266.148,389.20221,
2263.238,414.56224,
2260.327,396.18525,
2257.417,389.72166,
2254.506,404.9434,
2251.595,408.16594,
2248.685,400.19232,
2245.774,401.57825,
2242.864,407.68049,
2239.953,403.50951,
2237.043,404.71964,
2234.132,415.52694,
2231.221,404.79484,
2228.311,400.74484,
2225.400,412.15645,
2222.490,423.36037,
2219.579,431.58452,
2216.669,437.36308,
2213.758,434.0044,
2210.847,443.77171,
2207.937,437.28218,
2205.026,465.54176,
2202.116,451.86228,
2199.205,429.94936,
2196.294,445.68499,
2193.384,467.05853,
2190.473,467.15317,
2187.563,444.03934,
2184.652,482.09214,
2181.742,502.03361,
2178.831,508.26417,
2175.920,531.95515,
2173.010,536.32511,
2170.099,549.87352,
2167.189,580.34858,
2164.278,646.16847,
2161.368,658.44515,
2158.457,704.36184,
2155.546,742.08656,
2152.636,764.11433,
2149.725,794.84142,
2146.815,819.20762,
2143.904,824.7969,
2140.993,878.80621,
2138.083,885.5224,
2135.172,887.41279,
2132.262,891.01144,
2129.351,902.67159,
2126.441,868.65159,
2123.530,845.40359,
2120.619,798.78347,
2117.709,752.89956,
2114.798,702.60949,
2111.888,672.57554,
2108.977,626.54385,
2106.067,601.56636,
2103.156,572.60011,
2100.245,538.86308,
2097.335,522.88547,
2094.424,540.80606,
2091.514,518.57922,
2088.603,500.9257,
2085.692,496.32855,
2082.782,498.82276,
2079.871,477.05237,
2076.961,479.35838,
2074.050,453.65076,
2071.140,466.62231,
2068.229,460.58983,
2065.318,477.406,
2062.408,483.81448,
2059.497,479.45832,
2056.587,478.13075,
2053.676,465.99252,
2050.766,443.49159,
2047.855,447.4161,
2044.944,468.66826,
2042.034,477.15811,
2039.123,457.09722,
2036.213,462.51271,
2033.302,454.91828,
2030.391,471.67145,
2027.481,458.5093,
2024.570,457.08917,
2021.660,454.11152,
2018.749,438.63481,
2015.839,456.79888,
2012.928,446.19715,
2010.017,447.18554,
2007.107,455.61515,
2004.196,437.0655,
2001.286,444.27076,
1998.375,445.9626,
1995.465,435.8625,
1992.554,428.49268,
1989.643,405.66997,
1986.733,434.75131,
1983.822,418.11946,
1980.912,432.40921,
1978.001,421.40006,
1975.090,435.08568,
1972.180,425.08246,
1969.269,407.55312,
1966.359,409.90217,
1963.448,404.18675,
1960.538,403.12104,
1957.627,396.74187,
1954.716,400.73137,
1951.806,428.29174,
1948.895,380.6604,
1945.985,396.55147,
1943.074,401.62053,
1940.164,382.85588,
1937.253,388.00117,
1934.342,381.36217,
1931.432,361.40181,
1928.521,356.31714,
1925.611,375.29044,
1922.700,360.29766,
1919.790,352.29121,
1916.879,359.317,
1913.968,356.87869,
1911.058,356.95007,
1908.147,345.20348,
1905.237,352.88235,
1902.326,353.88536,
1899.415,354.75303,
1896.505,333.35699,
1893.594,348.23478,
1890.684,344.5156,
1887.773,320.01328,
1884.863,322.63126,
1881.952,365.44715,
1879.041,369.52765,
1876.131,360.17435,
1873.220,346.67141,
1870.310,342.09025,
1867.399,311.3708,
1864.489,339.38127,
1861.578,351.1278,
1858.667,340.94089,
1855.757,321.68288,
1852.846,323.42881,
1849.936,346.71285,
1847.025,336.34214,
1844.114,349.05852,
1841.204,341.71766,
1838.293,350.85338,
1835.383,372.61899,
1832.472,375.13065,
1829.562,357.82135,
1826.651,371.75588,
1823.740,390.61065,
1820.830,390.78836,
1817.919,369.51559,
1815.009,347.75032,
1812.098,351.15846,
1809.188,385.64236,
1806.277,377.11845,
1803.366,381.94154,
1800.456,386.6444,
1797.545,398.3077,
1794.635,387.90608,
1791.724,411.97222,
1788.813,365.27937,
1785.903,386.84781,
1782.992,405.63206,
1780.082,384.36869,
1777.171,368.53506,
1774.261,368.6955,
1771.350,396.83649,
1768.439,381.11005,
1765.529,384.9648,
1762.618,377.875,
1759.708,379.40762,
1756.797,393.24621,
1753.887,403.31086,
1750.976,402.875,
1748.065,402.875,
1745.155,393.93313,
1742.244,416.68474,
1739.334,406.2256,
1736.423,397.70116,
1733.512,392.3262,
1730.602,417.55163,
1727.691,417.66307,
1724.781,420.38104,
1721.870,441.99417,
1718.960,441.94161,
1716.049,429.12935,
1713.138,435.42496,
1710.228,408.1552,
1707.317,406.52871,
1704.407,462.57563,
1701.496,443.35166,
1698.586,475.06242,
1695.675,447.93232,
1692.764,487.53076,
1689.854,465.00097,
1686.943,421.35893,
1684.033,431.57697,
1681.122,462.34823,
1678.211,454.95114,
1675.301,469.82875,
1672.390,516.99463,
1669.480,556.28137,
1666.569,483.99224,
1663.659,570.59735,
1660.748,553.89428,
1657.837,554.30639,
1654.927,530.58533,
1652.016,602.06939,
1649.106,609.43434,
1646.195,592.16272,
1643.285,604.26237,
1640.374,621.69033,
1637.463,660.25331,
1634.553,680.99322,
1631.642,689.42875,
1628.732,740.08832,
1625.821,775.94042,
1622.911,875.31149,
1620.000,912.40885,
1617.089,921.6959,
1614.179,1048.2089,
1611.268,1070.1686,
1608.358,1140.4569,
1605.447,1183.4753,
1602.536,1225.0143,
1599.626,1271.1118,
1596.715,1268.5218,
1593.805,1230.3131,
1590.894,1277.8345,
1587.984,1237.2399,
1585.073,1189.8866,
1582.162,1162.8377,
1579.252,1173.6044,
1576.341,1158.4505,
1573.431,1163.2731,
1570.520,1142.9437,
1567.610,1132.1495,
1564.699,1110.5742,
1561.788,1083.8611,
1558.878,1037.6403,
1555.967,1023.1783,
1553.057,1012.7544,
1550.146,988.05322,
1547.235,926.10692,
1544.325,907.84096,
1541.414,934.91649,
1538.504,916.04685,
1535.593,874.70214,
1532.683,860.95621,
1529.772,848.66268,
1526.861,833.47267,
1523.951,826.91147,
1521.040,805.22759,
1518.130,773.21581,
1515.219,758.5945,
1512.309,770.17678,
1509.398,753.30465,
1506.487,754.15063,
1503.577,748.52375,
1500.666,729.27876,
1497.756,682.66286,
1494.845,655.07456,
1491.934,635.82461,
1489.024,620.42472,
1486.113,703.3244,
1483.203,629.93991,
1480.292,625.81458,
1477.382,595.35332,
1474.471,617.80278,
1471.560,596.39702,
1468.650,557.54405,
1465.739,561.52774,
1462.829,586.98907,
1459.918,598.97998,
1457.008,585.15174,
1454.097,549.15357,
1451.186,523.875,
1448.276,531.25439,
1445.365,529.08669,
1442.455,512.63426,
1439.544,545.59341,
1436.633,529.11829,
1433.723,555.37047,
1430.812,562.62417,
1427.902,521.33381,
1424.991,498.58751,
1422.081,452.91862,
1419.170,479.98117,
1416.259,432.2209,
1413.349,424.40645,
1410.438,396.48425,
1407.528,423.14324,
1404.617,431.37105,
1401.707,423.99476,
1398.796,428.70716,
1395.885,424.84738,
1392.975,416.64591,
1390.064,416.04898,
1387.154,410.61357,
1384.243,420.6332,
1381.332,407.21903,
1378.422,389.25635,
1375.511,454.83102,
1372.601,492.73781,
1369.690,464.15777,
1366.780,540.45462,
1363.869,561.14852,
1360.958,635.47944,
1358.048,675.65494,
1355.137,677.40068,
1352.227,671.92725,
1349.316,687.03825,
1346.406,715.16945,
1343.495,724.29319,
1340.584,793.08941,
1337.674,794.30868,
1334.763,872.80443,
1331.853,870.94997,
1328.942,909.12196,
1326.032,946.49983,
1323.121,973.14008,
1320.210,987.20013,
1317.300,1025.6987,
1314.389,1085.8479,
1311.479,1106.3314,
1308.568,1108.6305,
1305.657,1150.618,
1302.747,1188.4984,
1299.836,1270.3664,
1296.926,1277.5924,
1294.015,1357.5736,
1291.105,1412.827,
1288.194,1480.5795,
1285.283,1523.7991,
1282.373,1568.4139,
1279.462,1597.7572,
1276.552,1616.5601,
1273.641,1644.4389,
1270.731,1678.4019,
1267.820,1689.7345,
1264.909,1655.4795,
1261.999,1659.8084,
1259.088,1657.9842,
1256.178,1639.8894,
1253.267,1568.5946,
1250.356,1541.7797,
1247.446,1486.6563,
1244.535,1433.0268,
1241.625,1381.964,
1238.714,1340.5931,
1235.804,1344.8023,
1232.893,1283.2618,
1229.982,1229.3231,
1227.072,1213.0274,
1224.161,1213.556,
1221.251,1198.9848,
1218.340,1161.4844,
1215.430,1117.9998,
1212.519,1099.1388,
1209.608,1097.2681,
1206.698,1099.854,
1203.787,1134.3675,
1200.877,1149.0451,
1197.966,1167.9275,
1195.055,1205.5647,
1192.145,1231.4099,
1189.234,1274.8562,
1186.324,1311.7857,
1183.413,1329.8496,
1180.503,1322.0593,
1177.592,1299.4306,
1174.681,1299.7654,
1171.771,1244.6374,
1168.860,1277.6817,
1165.950,1253.4612,
1163.039,1232.9069,
1160.129,1238.0822,
1157.218,1236.2603,
1154.307,1230.6983,
1151.397,1225.8411,
1148.486,1183.1804,
1145.576,1153.342,
1142.665,1210.1685,
1139.754,1174.1936,
1136.844,1168.3765,
1133.933,1156.3854,
1131.023,1152.5402,
1128.112,1152.4474,
1125.202,1136.7687,
1122.291,1121.4936,
1119.380,1105.2561,
1116.470,1144.0873,
1113.559,1151.968,
1110.649,1151.5653,
1107.738,1164.8063,
1104.828,1177.2911,
1101.917,1183.4965,
1099.006,1191.2669,
1096.096,1165.52,
1093.185,1176.0561,
1090.275,1164.7359,
1087.364,1180.4003,
1084.453,1166.9389,
1081.543,1179.674,
1078.632,1211.2937,
1075.722,1191.9854,
1072.811,1172.9848,
1069.901,1202.6756,
1066.990,1194.3667,
1064.079,1257.2043,
1061.169,1261.9168,
1058.258,1250.6152,
1055.348,1261.8173,
1052.437,1258.6789,
1049.527,1268.11,
1046.616,1274.1918,
1043.705,1308.7887,
1040.795,1316.321,
1037.884,1319.4266,
1034.974,1323.875,
1032.063,1319.8213,
1029.153,1308.1213,
1026.242,1318.5008,
1023.331,1343.0401,
1020.421,1345.7837,
1017.510,1357.2011,
1014.600,1352.4954,
1011.689,1350.8344,
1008.778,1401.153,
1005.868,1432.3538,
1002.957,1485.6957,
1000.047,1555.027,
997.136,1590.2088,
994.226,1614.4901,
991.315,1625.9592,
988.404,1602.3626,
985.494,1573.8366,
982.583,1572.1235,
979.673,1533.8294,
