,PLF58E~1,
Raman shift [1/cm],Intensity,
2199.205,1623.3627,
2196.294,1625.432,
2193.384,1671.4591,
2190.473,1679.6702,
2187.563,1703.6754,
2184.652,1798.4794,
2181.742,1857.275,
2178.831,1934.9856,
2175.920,2020.6344,
2173.010,2122.0306,
2170.099,2202.1106,
2167.189,2344.2402,
2164.278,2488.8802,
2161.368,2588.3862,
2158.457,2783.4397,
2155.546,2883.1125,
2152.636,2976.8987,
2149.725,3071.8338,
2146.815,3126.7818,
2143.904,3126.0975,
2140.993,3232.8692,
2138.083,3204.8853,
2135.172,3189.376,
2132.262,3149.8407,
2129.351,3063.5082,
2126.441,2981.0556,
2123.530,2897.746,
2120.619,2743.9206,
2117.709,2582.8265,
2114.798,2448.757,
2111.888,2302.39,
2108.977,2214.2831,
2106.067,2107.0366,
2103.156,2024.7002,
2100.245,1942.223,
2097.335,1891.784,
2094.424,1829.1121,
2091.514,1791.809,
2088.603,1776.4712,
2085.692,1773.3839,
2082.782,1750.9931,
2079.871,1729.4635,
2076.961,1710.3478,
2074.050,1737.1348,
2071.140,1720.0772,
2068.229,1739.8073,
2065.318,1718.7432,
2062.408,1700.8635,
2059.497,1693.25,
2056.587,1686.8664,
2053.676,1687.5165,
2050.766,1671.6357,
2047.855,1660.7659,
2044.944,1648.1074,
2042.034,1664.0071,
2039.123,1646.4924,
2036.213,1668.4811,
2033.302,1663.5327,
2030.391,1647.0809,
2027.481,1669.0058,
2024.570,1668.2931,
2021.660,1685.0674,
2018.749,1697.5159,
2015.839,1702.0978,
2012.928,1687.1007,
2010.017,1691.0415,
2007.107,1706.8313,
2004.196,1690.8928,
2001.286,1689.5433,
1998.375,1695.4665,
1995.465,1690.317,
1992.554,1683.9912,
1989.643,1682.2846,
1986.733,1653.2868,
1983.822,1639.7766,
1980.912,1655.101,
1978.001,1649.6137,
1975.090,1676.0775,
1972.180,1683.5931,
1969.269,1699.2873,
1966.359,1669.0064,
1963.448,1677.6265,
1960.538,1677.3234,
1957.627,1660.9837,
1954.716,1711.6988,
1951.806,1669.5913,
1948.895,1693.5921,
1945.985,1678.165,
1943.074,1664.2131,
1940.164,1664.2691,
1937.253,1656.9717,
1934.342,1643.6174,
1931.432,1614.9724,
1928.521,1629.927,
1925.611,1638.2046,
1922.700,1626.7528,
1919.790,1613.9149,
1916.879,1626.2038,
1913.968,1652.2193,
1911.058,1663.1929,
1908.147,1645.9916,
1905.237,1628.8676,
1902.326,1629.2707,
1899.415,1641.1756,
1896.505,1614.1236,
1893.594,1641.4208,
1890.684,1652.4069,
1887.773,1639.3621,
1884.863,1655.1088,
1881.952,1663.1575,
1879.041,1663.0065,
1876.131,1677.0944,
1873.220,1674.1482,
1870.310,1667.6805,
1867.399,1665.282,
1864.489,1678.4975,
1861.578,1634.2226,
1858.667,1634.0793,
1855.757,1690.6521,
1852.846,1686.7423,
1849.936,1696.4582,
1847.025,1704.5542,
1844.114,1671.3206,
1841.204,1696.4668,
1838.293,1698.2616,
1835.383,1718.0285,
1832.472,1737.8778,
1829.562,1752.2201,
1826.651,1733.8989,
1823.740,1719.0661,
1820.830,1769.9512,
1817.919,1752.6749,
1815.009,1771.7933,
1812.098,1746.628,
1809.188,1779.8313,
1806.277,1764.6484,
1803.366,1786.2666,
1800.456,1782.7435,
1797.545,1709.8597,
1794.635,1759.8941,
1791.724,1796.6965,
1788.813,1822.6479,
1785.903,1824.4573,
1782.992,1837.5689,
1780.082,1809.2879,
1777.171,1823.2462,
1774.261,1819.4702,
1771.350,1846.3523,
1768.439,1847.9078,
1765.529,1840.3426,
1762.618,1858.4969,
1759.708,1872.3805,
1756.797,1889.5455,
1753.887,1899.25,
1750.976,1891.5844,
1748.065,1889.9366,
1745.155,1905.0241,
1742.244,1890.3995,
1739.334,1921.7018,
1736.423,1919.3472,
1733.512,1935.7176,
1730.602,1981.9028,
1727.691,1952.7963,
1724.781,1992.9506,
1721.870,1993.569,
1718.960,2003.4057,
1716.049,2004.5721,
1713.138,1999.975,
1710.228,1999.25,
1707.317,2012.5186,
1704.407,2069.0522,
1701.496,2076.1615,
1698.586,2109.5134,
1695.675,2117.8643,
1692.764,2115.4098,
