,PL5C1E~1,
Raman shift [1/cm],Intensity,
2205.026,1678.2773,
2202.116,1695.9087,
2199.205,1711.6871,
2196.294,1738.4839,
2193.384,1761.026,
2190.473,1773.0798,
2187.563,1784.9157,
2184.652,1870.5,
2181.742,1889.7069,
2178.831,1968.9165,
2175.920,2076.1995,
2173.010,2172.5289,
2170.099,2279.8899,
2167.189,2437.1386,
2164.278,2539.7332,
2161.368,2667.066,
2158.457,2820.4391,
2155.546,2944.2088,
2152.636,3087.0849,
2149.725,3233.0234,
2146.815,3283.4989,
2143.904,3357.8197,
2140.993,3422.0289,
2138.083,3472.1231,
2135.172,3466.4832,
2132.262,3445.9683,
2129.351,3406.824,
2126.441,3355.2086,
2123.530,3206.6256,
2120.619,3025.2622,
2117.709,2874.4541,
2114.798,2689.3302,
2111.888,2531.5036,
2108.977,2341.6059,
2106.067,2247.1649,
2103.156,2146.877,
2100.245,2074.4567,
2097.335,1998.7566,
2094.424,1946.8672,
2091.514,1907.3949,
2088.603,1849.1267,
2085.692,1843.5446,
2082.782,1808.2793,
2079.871,1785.4638,
2076.961,1773.2104,
2074.050,1807.4515,
2071.140,1805.6955,
2068.229,1803.6771,
2065.318,1805.6725,
2062.408,1796.053,
2059.497,1770.2559,
2056.587,1743.4421,
2053.676,1753.1991,
2050.766,1777.7294,
2047.855,1750.0159,
2044.944,1732.7019,
2042.034,1735.3209,
2039.123,1757.7795,
2036.213,1749.4044,
2033.302,1757.4563,
2030.391,1772.6524,
2027.481,1772.5244,
2024.570,1784.9854,
2021.660,1738.5747,
2018.749,1769.0699,
2015.839,1782.9619,
2012.928,1782.0285,
2010.017,1803.1612,
2007.107,1803.5411,
2004.196,1790.5358,
2001.286,1783.4965,
1998.375,1747.7992,
1995.465,1748.3661,
1992.554,1759.2646,
1989.643,1754.7074,
1986.733,1780.5035,
1983.822,1729.757,
1980.912,1750.3322,
1978.001,1767.2291,
1975.090,1761.8679,
1972.180,1744.5719,
1969.269,1748.1639,
1966.359,1745.6618,
1963.448,1733.8831,
1960.538,1759.8453,
1957.627,1746.7755,
1954.716,1754.2127,
1951.806,1706.1891,
1948.895,1743.3461,
1945.985,1770.5768,
1943.074,1748.0609,
1940.164,1749.8558,
1937.253,1733.7134,
1934.342,1719.5684,
1931.432,1731.541,
1928.521,1726.7073,
1925.611,1728.9869,
1922.700,1690.3453,
1919.790,1775.9613,
1916.879,1738.4757,
1913.968,1736.4975,
1911.058,1715.8123,
1908.147,1743.3189,
1905.237,1710.0956,
1902.326,1708.2807,
1899.415,1697.4841,
1896.505,1709.2893,
1893.594,1714.0518,
1890.684,1721.6371,
1887.773,1738.1897,
1884.863,1737.7756,
1881.952,1721.0627,
1879.041,1733.1687,
1876.131,1730.5418,
1873.220,1741.5753,
1870.310,1724.0068,
1867.399,1724.468,
1864.489,1750.1759,
1861.578,1716.7528,
1858.667,1707.2994,
1855.757,1700.6778,
1852.846,1721.2282,
1849.936,1728.7542,
1847.025,1775.8528,
1844.114,1766.4411,
1841.204,1758.7168,
1838.293,1784.4717,
1835.383,1793.3025,
1832.472,1775.8252,
1829.562,1824.0758,
1826.651,1872.5944,
1823.740,1850.6532,
1820.830,1816.3502,
1817.919,1797.2844,
1815.009,1803.9186,
1812.098,1830.6338,
1809.188,1818.4923,
1806.277,1829.2344,
1803.366,1867.8179,
1800.456,1830.7425,
1797.545,1883.181,
1794.635,1849.984,
1791.724,1851.7815,
1788.813,1887.9121,
1785.903,1917.2927,
1782.992,1896.4017,
1780.082,1910.0899,
1777.171,1893.4941,
1774.261,1875.1501,
1771.350,1907.6195,
1768.439,1938.137,
