,PLA1DB~1,
Raman shift [1/cm],Intensity,
2234.132,2349.6088,
2231.221,2375.3261,
2228.311,2426.0386,
2225.400,2435.4313,
2222.490,2447.9583,
2219.579,2486.8531,
2216.669,2495.2653,
2213.758,2530.1162,
2210.847,2558.9442,
2207.937,2624.8098,
2205.026,2596.7068,
2202.116,2656.9429,
2199.205,2710.0872,
2196.294,2753.5909,
2193.384,2813.216,
2190.473,2899.1614,
2187.563,3015.6747,
2184.652,3086.1105,
2181.742,3160.4918,
2178.831,3266.9822,
2175.920,3442.3678,
2173.010,3619.6324,
2170.099,3803.5581,
2167.189,4000.2909,
2164.278,4301.9117,
2161.368,4580.9384,
2158.457,4858.3653,
2155.546,5086.7348,
2152.636,5276.981,
2149.725,5503.1467,
2146.815,5709.4353,
2143.904,5736.1965,
2140.993,5810.2583,
2138.083,5859.0317,
2135.172,5790.6101,
2132.262,5763.0009,
2129.351,5634.9949,
2126.441,5419.3259,
2123.530,5202.4119,
2120.619,4916.1926,
2117.709,4680.3235,
2114.798,4379.2433,
2111.888,4136.6549,
2108.977,3882.8782,
2106.067,3629.2568,
2103.156,3472.4343,
2100.245,3301.3104,
2097.335,3198.7363,
2094.424,3175.5253,
2091.514,3076.2136,
2088.603,3014.9972,
2085.692,2964.2338,
2082.782,2952.375,
2079.871,2889.9433,
2076.961,2904.4377,
2074.050,2905.5326,
2071.140,2861.6515,
2068.229,2822.7357,
2065.318,2830.968,
2062.408,2847.7313,
2059.497,2835.7321,
2056.587,2795.1312,
2053.676,2796.6243,
2050.766,2755.9931,
2047.855,2736.6313,
2044.944,2744.4439,
2042.034,2736.716,
2039.123,2737.8363,
2036.213,2748.1639,
2033.302,2758.9617,
2030.391,2783.9001,
2027.481,2807.7407,
2024.570,2815.0607,
2021.660,2820.0794,
2018.749,2839.3995,
2015.839,2793.6795,
2012.928,2825.7425,
2010.017,2837.4532,
2007.107,2816.3021,
2004.196,2817.8989,
2001.286,2824.8733,
1998.375,2819.5502,
1995.465,2811.9357,
1992.554,2839.1747,
1989.643,2761.3129,
1986.733,2801.482,
1983.822,2803.7982,
1980.912,2803.4144,
1978.001,2801.5271,
1975.090,2804.6315,
1972.180,2800.2353,
1969.269,2815.4123,
1966.359,2833.132,
1963.448,2833.4173,
1960.538,2853.7203,
1957.627,2833.5174,
1954.716,2843.9728,
1951.806,2858.133,
1948.895,2835.7778,
1945.985,2828.2181,
1943.074,2774.2752,
1940.164,2823.0292,
1937.253,2824.6886,
1934.342,2803.9991,
1931.432,2795.8608,
1928.521,2811.1954,
1925.611,2776.4794,
1922.700,2795.1554,
1919.790,2838.103,
1916.879,2849.8868,
1913.968,2815.418,
1911.058,2842.2159,
1908.147,2876.5297,
1905.237,2838.7721,
1902.326,2831.1454,
1899.415,2811.6079,
1896.505,2834.5558,
1893.594,2844.0152,
1890.684,2850.3161,
1887.773,2855.8666,
1884.863,2858.6666,
1881.952,2839.6602,
1879.041,2868.7125,
1876.131,2910.6926,
1873.220,2846.7685,
1870.310,2831.7338,
1867.399,2826.455,
1864.489,2862.5572,
1861.578,2846.3912,
1858.667,2889.0426,
1855.757,2911.1721,
1852.846,2902.5648,
1849.936,2895.4891,
1847.025,2962.4918,
1844.114,2956.3161,
1841.204,2965.7316,
1838.293,2978.4033,
1835.383,2962.468,
1832.472,2987.0967,
1829.562,2991.8766,
1826.651,2977.8534,
1823.740,2997.6701,
1820.830,3019.4932,
1817.919,3002.2012,
1815.009,3044.4679,
1812.098,3027.2412,
1809.188,3073.1501,
1806.277,3061.707,
1803.366,3076.9739,
1800.456,3107.264,
1797.545,3021.4955,
1794.635,3050.1151,
1791.724,3105.0157,
1788.813,3127.1863,
1785.903,3157.2161,
1782.992,3152.4466,
1780.082,3176.0359,
1777.171,3144.3696,
1774.261,3147.0055,
1771.350,3189.9368,
1768.439,3214.101,
1765.529,3234.8287,
1762.618,3202.8031,
1759.708,3217.2885,
1756.797,3266.9811,
1753.887,3280.5805,
1750.976,3297.7578,
1748.065,3292.8573,
1745.155,3272.8783,
1742.244,3272.3342,
1739.334,3332.2056,
1736.423,3370.3862,
1733.512,3390.6555,
1730.602,3413.5794,
1727.691,3430.8899,
1724.781,3513.0327,
1721.870,3501.3796,
1718.960,3538.5978,
1716.049,3539.9853,
1713.138,3525.5501,
1710.228,3539.9106,
1707.317,3554.759,
1704.407,3557.2734,
1701.496,3664.0261,
1698.586,3663.2872,
1695.675,3690.4463,
1692.764,3792.7275,
1689.854,3772.5443,
1686.943,3830.3177,
1684.033,3846.0273,
1681.122,3949.5908,
1678.211,4014.7659,
1675.301,4051.264,
1672.390,4126.4647,
1669.480,4157.6184,
1666.569,4312.7589,
1663.659,4421.8122,
1660.748,4512.3663,
1657.837,4716.4904,
1654.927,4768.9522,
1652.016,4878.1731,
1649.106,4953.4596,
1646.195,5079.0843,
1643.285,5192.36,
1640.374,5323.929,
1637.463,5494.3202,
1634.553,5712.4784,
1631.642,5922.5889,
1628.732,6216.8149,
1625.821,6458.6014,
1622.911,6802.4252,
1620.000,7151.9403,
1617.089,7432.763,
1614.179,7816.4048,
1611.268,8253.9052,
1608.358,8614.4719,
1605.447,8903.8629,
1602.536,9179.4396,
1599.626,9265.5301,
1596.715,9310.4019,
1593.805,9385.0272,
1590.894,9385.449,
1587.984,9341.0704,
1585.073,9252.6966,
1582.162,9107.2979,
1579.252,8964.3579,
1576.341,8908.7357,
1573.431,8826.9735,
1570.520,8708.5347,
1567.610,8614.2956,
1564.699,8496.6711,
1561.788,8360.376,
1558.878,8223.4709,
1555.967,8108.0232,
1553.057,7988.4448,
1550.146,7889.7533,
1547.235,7735.1774,
1544.325,7553.1035,
1541.414,7455.1525,
1538.504,7388.1052,
1535.593,7310.7517,
1532.683,7229.5168,
1529.772,7161.4377,
1526.861,7159.6635,
1523.951,7164.4844,
1521.040,7164.5212,
1518.130,7209.9115,
1515.219,7189.3745,
1512.309,7210.8435,
1509.398,7229.7532,
1506.487,7271.7838,
1503.577,7320.5829,
