,PLD23C~1,
Raman shift [1/cm],Intensity,
2199.205,1811.988,
2196.294,1809.868,
2193.384,1874.9716,
2190.473,1895.5681,
2187.563,1949.261,
2184.652,2013.2416,
2181.742,2088.434,
2178.831,2178.8057,
2175.920,2320.2714,
2173.010,2447.3305,
2170.099,2571.0556,
2167.189,2776.9615,
2164.278,2935.5317,
2161.368,3120.8527,
2158.457,3282.0512,
2155.546,3478.5858,
2152.636,3657.2497,
2149.725,3779.0603,
2146.815,3937.0948,
2143.904,3965.9442,
2140.993,4058.5663,
2138.083,4030.6959,
2135.172,4058.5546,
2132.262,4028.2165,
2129.351,3940.7478,
2126.441,3793.3103,
2123.530,3651.8674,
2120.619,3439.2304,
2117.709,3233.8994,
2114.798,3015.9184,
2111.888,2789.4796,
2108.977,2597.543,
2106.067,2468.9206,
2103.156,2313.0247,
2100.245,2204.9561,
2097.335,2127.1728,
2094.424,2066.8885,
2091.514,2031.2578,
2088.603,1975.0323,
2085.692,1962.2268,
2082.782,1944.0362,
2079.871,1921.3921,
2076.961,1943.2564,
2074.050,1916.1455,
2071.140,1914.0119,
2068.229,1883.1016,
2065.318,1876.8895,
2062.408,1873.2269,
2059.497,1859.8036,
2056.587,1821.2797,
2053.676,1861.3466,
2050.766,1838.9253,
2047.855,1828.4874,
2044.944,1810.468,
2042.034,1812.9249,
2039.123,1830.2997,
2036.213,1825.6733,
2033.302,1832.152,
2030.391,1853.1691,
2027.481,1846.866,
2024.570,1843.6857,
2021.660,1836.473,
2018.749,1864.4179,
2015.839,1873.7894,
2012.928,1870.5973,
2010.017,1880.1563,
2007.107,1864.6505,
2004.196,1868.1905,
2001.286,1854.2474,
1998.375,1828.1703,
1995.465,1857.6107,
1992.554,1838.0767,
1989.643,1861.0322,
1986.733,1841.0368,
1983.822,1824.1411,
1980.912,1818.1678,
1978.001,1798.1354,
1975.090,1809.7817,
1972.180,1821.8271,
1969.269,1847.9455,
1966.359,1824.4319,
1963.448,1811.0357,
1960.538,1831.8532,
1957.627,1833.3251,
1954.716,1821.3447,
1951.806,1830.851,
1948.895,1831.4433,
1945.985,1850.5065,
1943.074,1831.5978,
1940.164,1815.5478,
1937.253,1799.026,
1934.342,1797.4187,
1931.432,1825.5237,
1928.521,1795.8532,
1925.611,1801.7594,
1922.700,1803.337,
1919.790,1806.8901,
1916.879,1821.9538,
1913.968,1795.0344,
1911.058,1830.9609,
1908.147,1789.9927,
1905.237,1809.75,
1902.326,1824.606,
1899.415,1786.3915,
1896.505,1779.3916,
1893.594,1789.9939,
1890.684,1798.902,
1887.773,1828.344,
1884.863,1818.8337,
1881.952,1823.0173,
1879.041,1799.7144,
1876.131,1813.4314,
1873.220,1788.491,
1870.310,1810.9192,
1867.399,1816.936,
1864.489,1824.0654,
1861.578,1802.2142,
1858.667,1811.2126,
1855.757,1802.7721,
1852.846,1827.2154,
1849.936,1825.1381,
1847.025,1858.1801,
1844.114,1860.1059,
1841.204,1865.3497,
1838.293,1848.4842,
1835.383,1862.372,
1832.472,1892.0939,
1829.562,1911.9164,
1826.651,1893.1705,
1823.740,1929.1342,
1820.830,1902.0154,
1817.919,1896.3294,
1815.009,1924.5433,
1812.098,1913.7402,
1809.188,1930.7596,
1806.277,1929.0664,
1803.366,1922.4159,
1800.456,1947.7144,
1797.545,1958.4327,
1794.635,1943,
1791.724,1953.2329,
1788.813,2000.1938,
1785.903,1984.2829,
1782.992,1991.7809,
1780.082,1978.7823,
1777.171,1977.3378,
1774.261,1989.2549,
1771.350,2002.3705,
1768.439,2055.4284,
1765.529,2062.9962,
1762.618,2054.46,
1759.708,2062.826,
1756.797,2045.3182,
1753.887,2048.8469,
1750.976,2070.3828,
1748.065,2082.6866,
1745.155,2103.5225,
1742.244,2130.5534,
1739.334,2095.8635,
1736.423,2126.871,
1733.512,2148,
1730.602,2165.2044,
1727.691,2181.7472,
1724.781,2191.2926,
1721.870,2200.2429,
1718.960,2229.1337,
1716.049,2233.3221,
1713.138,2242.405,
1710.228,2272.7198,
1707.317,2287.6149,
1704.407,2322.2407,
1701.496,2321.4423,
1698.586,2332.0878,
1695.675,2365.7498,
1692.764,2413.4426,
1689.854,2404.5197,
1686.943,2407.8651,
1684.033,2457.7334,
1681.122,2491.4393,
1678.211,2494.9714,
1675.301,2577.7441,
1672.390,2579.1585,
1669.480,2632.4893,
1666.569,2694.1299,
1663.659,2782.8983,
1660.748,2838.0412,
1657.837,2892.8589,
1654.927,2974.0554,
1652.016,2896.0617,
1649.106,3020.2485,
1646.195,3072.5655,
1643.285,3177.5697,
1640.374,3204.007,
1637.463,3298.5224,
1634.553,3328.9655,
1631.642,3461.987,
1628.732,3644.0784,
1625.821,3825.1204,
1622.911,4007.9631,
1620.000,4196.6062,
1617.089,4449.9055,
1614.179,4661.0214,
1611.268,4943.3299,
1608.358,5139.8695,
1605.447,5292.3154,
1602.536,5328.0247,
1599.626,5427.5129,
1596.715,5465.9508,
1593.805,5381.3555,
1590.894,5388.6134,
1587.984,5386.6695,
1585.073,5326.4428,
1582.162,5327.6884,
1579.252,5241.6235,
1576.341,5258.8489,
1573.431,5224.9254,
1570.520,5160.258,
1567.610,5114.9407,
1564.699,5157.9272,
1561.788,5050.5364,
1558.878,4904.1442,
1555.967,4800.8795,
1553.057,4773.1896,
1550.146,4654.5494,
1547.235,4558.9289,
1544.325,4513.8957,
1541.414,4437.6144,
1538.504,4357.0338,
1535.593,4312.7748,
1532.683,4269.383,
1529.772,4177.0946,
1526.861,4094.7348,
1523.951,4045.946,
1521.040,3974.5289,
1518.130,3935.0798,
1515.219,3915.2805,
1512.309,3894.7793,
1509.398,3871.2512,
1506.487,3828.9681,
1503.577,3857.7993,
