,PL9D3A~1,
Raman shift [1/cm],Intensity,
406.289,1695.3425,
403.378,1677.9616,
400.468,1666.6217,
397.557,1666.599,
394.646,1646.0282,
391.736,1578.0302,
388.825,1485.2597,
385.915,1451.0815,
383.004,1447.2843,
380.094,1456.4934,
377.183,1524.9688,
374.272,1603.7058,
371.362,1673.7199,
368.451,1720.8176,
365.541,1717.8155,
362.630,1721.3699,
359.719,1733.5831,
356.809,1751.508,
353.898,1710.3241,
350.988,1700.085,
348.077,1702.1616,
345.167,1704.9622,
342.256,1704.2151,
339.345,1714.6287,
336.435,1722.0569,
333.524,1717.1644,
330.614,1722.3805,
327.703,1747.1032,
324.793,1782.4051,
321.882,1820.9585,
318.971,1803.8594,
316.061,1804.3481,
313.150,1801.7619,
310.240,1772.0773,
307.329,1831.0295,
304.418,1820.3476,
301.508,1776.8338,
298.597,1768.6893,
295.687,1661.6733,
292.776,1651.8336,
289.866,1739.3596,
286.955,1883.4111,
284.044,2017.8499,
281.134,2127.694,
278.223,2213.1014,
275.313,2288.9975,
272.402,2354.9577,
269.492,2414.764,
266.581,2471.728,
263.670,2551.8627,
260.760,2575,
257.849,2597.0699,
254.939,2660.1838,
252.028,2666.0669,
249.117,2636.4789,
246.207,2605.2506,
243.296,2629.4078,
240.386,2583.6786,
237.475,2547.627,
234.565,2527.0888,
231.654,2502.2558,
228.743,2471.1084,
225.833,2423.3397,
222.922,2358,
220.012,2358,
217.101,2334.4456,
214.191,2305.4102,
211.280,2290.1335,
208.369,2262.7603,
205.459,2225.6457,
202.548,2196.3956,
199.638,2239.2089,
196.727,2261.253,
193.816,2259.8622,
190.906,2234.6857,
187.995,2254.2343,
185.085,2249.1786,
182.174,2236.3918,
179.264,2237.8373,
176.353,2303.3594,
173.442,2325.4977,
170.532,2288.743,
167.621,2192.1323,
164.711,2212.25,
161.800,2196.2453,
158.890,2027.1093,
155.979,1903.9684,
153.068,1782.3869,
150.158,1635.3169,
147.247,1366.8027,
144.337,1129.1131,
141.426,897.0222,
138.516,659.7312,
135.605,487.09382,
132.694,337.74656,
129.784,214.66933,
