,PLABEE~1,
Wavenumbers [1/cm],Intensity,
2528.100,183.39723,
2525.190,187.41885,
2522.279,191.46898,
2519.369,190.13273,
2516.458,181.12252,
2513.548,191.57276,
2510.637,186.6311,
2507.726,179.12639,
2504.816,179.50057,
2501.905,187.86951,
2498.995,193.98478,
2496.084,184.13244,
2493.173,200.2106,
2490.263,198.01129,
2487.352,190.3756,
2484.442,207.54387,
2481.531,217.41501,
2478.621,218.51663,
2475.710,187.11502,
2472.799,202.7399,
2469.889,204.51523,
2466.978,204.72164,
2464.068,222.23816,
2461.157,197.42251,
2458.247,203.95599,
2455.336,214.68102,
2452.425,210.43396,
2449.515,224.03741,
2446.604,208.9424,
2443.694,208.74425,
2440.783,220.5259,
2437.872,204.51051,
2434.962,215.37328,
2432.051,219.21626,
2429.141,228.86473,
2426.230,210.23863,
2423.320,230.5859,
2420.409,221.10901,
2417.498,216.80337,
2414.588,221.72241,
2411.677,214.39444,
2408.767,223.73524,
2405.856,222.34523,
2402.946,228.4227,
2400.035,204.82627,
2397.124,239.6631,
2394.214,236.3512,
2391.303,230.17683,
2388.393,223.01395,
2385.482,204.79311,
2382.571,210.89951,
2379.661,198.02302,
2376.750,233.31273,
2373.840,231.23443,
2370.929,227.01083,
2368.019,226.77093,
2365.108,232.76702,
2362.197,244.76442,
2359.287,246.00836,
2356.376,254.98239,
2353.466,254.04628,
2350.555,240.02493,
2347.645,246.47283,
2344.734,261.66822,
2341.823,247.28191,
2338.913,265.60593,
2336.002,246.01187,
2333.092,262.43679,
2330.181,257.47316,
2327.270,250.33003,
2324.360,271.37033,
2321.449,248.32313,
2318.539,264.83184,
2315.628,263.26139,
2312.718,261.29956,
2309.807,250.63952,
2306.896,270.73239,
2303.986,253.55835,
2301.075,246.17019,
2298.165,259.5771,
2295.254,273.74148,
2292.344,260.41906,
2289.433,276.06182,
2286.522,283.78578,
2283.612,265.64922,
2280.701,263.59641,
2277.791,293,
2274.880,296.20994,
2271.969,296.39506,
2269.059,274.6485,
2266.148,284.40234,
2263.238,293.49807,
2260.327,277.58615,
2257.417,274.60944,
2254.506,287.0456,
2251.595,300.99268,
2248.685,307.73654,
2245.774,311.60433,
2242.864,303.4813,
2239.953,301.0068,
2237.043,307.8693,
2234.132,290.34806,
2231.221,307.47554,
2228.311,292.38405,
2225.400,322.66226,
2222.490,308.40059,
2219.579,303.15427,
2216.669,315,
2213.758,320.21831,
2210.847,313.32747,
2207.937,311.95928,
2205.026,328.4449,
2202.116,321.24415,
2199.205,340.53718,
2196.294,336.88403,
2193.384,327.579,
2190.473,321.85211,
2187.563,327.04834,
2184.652,336.09633,
2181.742,332.77295,
2178.831,348.87165,
2175.920,354.09107,
2173.010,359.32596,
2170.099,375.26538,
2167.189,363.15069,
2164.278,386.05427,
2161.368,400.28544,
2158.457,413.62529,
2155.546,435.21156,
2152.636,446.78723,
2149.725,445.50336,
2146.815,474.96556,
2143.904,480.50557,
2140.993,492.60319,
2138.083,499.67167,
2135.172,511.07557,
