,PL267D~1,
Raman shift [1/cm],Intensity,
2231.221,2282.9348,
2228.311,2287.8595,
2225.400,2297.3195,
2222.490,2336.8494,
2219.579,2342.7795,
2216.669,2331.2548,
2213.758,2385.6945,
2210.847,2417.6681,
2207.937,2445.1099,
2205.026,2451.6937,
2202.116,2477.543,
2199.205,2515.0486,
2196.294,2547.184,
2193.384,2605.6691,
2190.473,2641.9777,
2187.563,2729.6367,
2184.652,2820.5459,
2181.742,2919.7089,
2178.831,3055.2541,
2175.920,3215.2592,
2173.010,3385.483,
2170.099,3591.4976,
2167.189,3867.8645,
2164.278,4132.042,
2161.368,4414.1017,
2158.457,4635.9694,
2155.546,4922.5916,
2152.636,5171.7017,
2149.725,5377.223,
2146.815,5491.3135,
2143.904,5614.3801,
2140.993,5695.1652,
2138.083,5703.7425,
2135.172,5648.9557,
2132.262,5566.0431,
2129.351,5482.1635,
2126.441,5316.9389,
2123.530,5071.8593,
2120.619,4823.1323,
2117.709,4515.1639,
2114.798,4230.9605,
2111.888,3951.4435,
2108.977,3700.8195,
2106.067,3474.2658,
2103.156,3301.9529,
2100.245,3167.203,
2097.335,3077.5589,
2094.424,2951.8201,
2091.514,2883.2392,
2088.603,2877.1163,
2085.692,2846.5105,
2082.782,2830.3865,
2079.871,2811.6059,
2076.961,2794.0895,
2074.050,2749.2318,
2071.140,2722.8137,
2068.229,2684.6237,
2065.318,2670.3362,
2062.408,2665.2803,
2059.497,2656.6369,
2056.587,2643.0292,
2053.676,2614.7515,
2050.766,2606.4809,
2047.855,2601.6519,
2044.944,2586.0384,
2042.034,2614.643,
2039.123,2603.8695,
2036.213,2599.6922,
2033.302,2590.4675,
2030.391,2631.8419,
2027.481,2642.8843,
2024.570,2640.6213,
2021.660,2619.61,
2018.749,2647.5919,
2015.839,2651.1384,
2012.928,2625.8356,
2010.017,2650.9254,
2007.107,2650.25,
2004.196,2638.9881,
2001.286,2636.1051,
1998.375,2629.4203,
1995.465,2615.5973,
1992.554,2626.3969,
1989.643,2594.4597,
1986.733,2598.464,
1983.822,2602.25,
1980.912,2608.1713,
1978.001,2638.9105,
1975.090,2637.1462,
1972.180,2597.3192,
1969.269,2612.2328,
1966.359,2601.2497,
1963.448,2597.0162,
1960.538,2648.1291,
1957.627,2641.4172,
1954.716,2690.7275,
1951.806,2582.5784,
1948.895,2645.1022,
1945.985,2631.9395,
1943.074,2605.9217,
1940.164,2600.7887,
1937.253,2596.8808,
1934.342,2594.9511,
1931.432,2602.086,
1928.521,2548.6887,
1925.611,2556.5224,
1922.700,2538.1754,
1919.790,2565.5617,
1916.879,2583.3433,
1913.968,2521.3275,
1911.058,2581.6855,
1908.147,2625.6003,
1905.237,2606.9633,
1902.326,2632.0989,
1899.415,2583.0439,
1896.505,2624.5213,
1893.594,2625.0822,
1890.684,2610.1584,
1887.773,2621.0949,
1884.863,2613.8719,
1881.952,2608.855,
1879.041,2599.1721,
1876.131,2649.999,
1873.220,2569.8514,
1870.310,2602.6625,
1867.399,2596.4099,
1864.489,2601.4572,
1861.578,2627.3272,
1858.667,2589.9835,
1855.757,2605.6092,
1852.846,2647.7321,
1849.936,2635.7385,
1847.025,2653.4179,
1844.114,2697.4806,
1841.204,2698.0332,
1838.293,2688.7508,
1835.383,2709.017,
1832.472,2746.4135,
1829.562,2729.5875,
1826.651,2724.558,
1823.740,2749.9052,
1820.830,2720.982,
1817.919,2768.8851,
1815.009,2794.2373,
1812.098,2745.0847,
1809.188,2821.7924,
1806.277,2801.8254,
1803.366,2849.2851,
1800.456,2792.4149,
1797.545,2796.9095,
1794.635,2815.185,
1791.724,2835.0169,
1788.813,2867.6479,
1785.903,2866.6434,
1782.992,2877.0071,
1780.082,2862.0702,
1777.171,2879.5867,
1774.261,2894.44,
1771.350,2913.6843,
1768.439,2942.3571,
1765.529,2948.7954,
1762.618,2945.3512,
1759.708,2944.8044,
1756.797,2970.3788,
1753.887,2989.1217,
1750.976,2995.3259,
1748.065,2979.3591,
1745.155,3012.8755,
1742.244,3022.0344,
1739.334,3047.4853,
1736.423,3075.2612,
1733.512,3046.7784,
1730.602,3096.3354,
1727.691,3141.0475,
1724.781,3164.7681,
1721.870,3221.5598,
1718.960,3222.7388,
1716.049,3258.0039,
1713.138,3227.6302,
1710.228,3236.9153,
1707.317,3271.9791,
1704.407,3270.8596,
1701.496,3331.3237,
1698.586,3336.326,
1695.675,3339.9928,
1692.764,3381.9058,
1689.854,3408.1673,
1686.943,3456.5974,
1684.033,3507.9834,
1681.122,3517.1141,
1678.211,3590.5457,
1675.301,3659.0403,
1672.390,3716.3936,
1669.480,3764.8757,
1666.569,3843.6339,
1663.659,3951.985,
1660.748,3997.8504,
1657.837,4081.7213,
1654.927,4192.742,
1652.016,4216.4818,
1649.106,4346.3969,
1646.195,4354.312,
1643.285,4439.8223,
1640.374,4508.3998,
1637.463,4566.0691,
1634.553,4776.91,
1631.642,4956.313,
1628.732,5145.5477,
1625.821,5363.4136,
1622.911,5611.8412,
1620.000,5812.7051,
1617.089,6153.3843,
1614.179,6444.0153,
1611.268,6740.1338,
1608.358,7098.2064,
1605.447,7269.8798,
1602.536,7416.2374,
1599.626,7492.4852,
1596.715,7493.712,
1593.805,7469.9974,
1590.894,7481.3407,
1587.984,7412.2304,
1585.073,7408.0565,
1582.162,7380.029,
1579.252,7343.1546,
1576.341,7296.9979,
1573.431,7257.4894,
1570.520,7211.0311,
1567.610,7203.7207,
1564.699,7103.0208,
1561.788,7064.25,
1558.878,6964.5666,
1555.967,6854.8262,
1553.057,6750.8024,
1550.146,6676.4501,
1547.235,6581.4592,
1544.325,6455.5998,
1541.414,6346.4045,
1538.504,6258.063,
1535.593,6160.7418,
1532.683,6094.4403,
1529.772,6010.6449,
1526.861,5896.1569,
1523.951,5838.7051,
1521.040,5771.9729,
1518.130,5707.0699,
1515.219,5598.5706,
1512.309,5579.9662,
1509.398,5582.2273,
1506.487,5543.6361,
1503.577,5518.9848,
1500.666,5516.4226,
1497.756,5453.4777,
1494.845,5346.2895,
1491.934,5322.9193,
1489.024,5221.8575,
1486.113,5260.9019,
1483.203,5220.7298,
1480.292,5195.7342,
1477.382,5124.3572,
1474.471,5056.8356,
1471.560,5055.0377,
1468.650,5007.6379,
1465.739,4957.6304,
1462.829,4956.9768,
1459.918,4954.0952,
1457.008,4976.235,
1454.097,4958.2612,
1451.186,4937.4299,
1448.276,4995.9984,
1445.365,5013.4293,
1442.455,4994.3714,
1439.544,4938.4217,
1436.633,4997.2301,
1433.723,4973.2651,
1430.812,4929.0886,
1427.902,4813.3029,
1424.991,4773.4969,
1422.081,4741.0558,
1419.170,4745.1625,
1416.259,4685.4953,
1413.349,4769.4313,
1410.438,4731.272,
1407.528,4731.5059,
1404.617,4757.0569,
1401.707,4782.8578,
1398.796,4813.4667,
1395.885,4838.5847,
1392.975,4810.394,
1390.064,4772.8647,
1387.154,4866.9787,
1384.243,4853.146,
1381.332,4855.0711,
1378.422,4993.7763,
1375.511,5062.1613,
1372.601,5185.8189,
1369.690,5357.4078,
1366.780,5453.9491,
1363.869,5521.6504,
1360.958,5565.3382,
1358.048,5696.319,
1355.137,5795.1233,
1352.227,5858.3745,
1349.316,5964.4089,
1346.406,6097.533,
1343.495,6200.0461,
1340.584,6184.8911,
1337.674,6306.7189,
1334.763,6379.2965,
1331.853,6433.0759,
1328.942,6528.6437,
1326.032,6636.4932,
1323.121,6739.0151,
1320.210,6763.9204,
1317.300,6844.8825,
1314.389,7005.0298,
1311.479,7128.0265,
1308.568,7186.3934,
1305.657,7248.9503,
1302.747,7325.1851,
1299.836,7470.9603,
1296.926,7648.0694,
1294.015,7816.3056,
1291.105,7977.3448,
1288.194,8154.0049,
1285.283,8290.6264,
1282.373,8448.8511,
1279.462,8589.6212,
1276.552,8714.6834,
1273.641,8798.0829,
1270.731,8795.7246,
1267.820,8765.7429,
1264.909,8771.865,
1261.999,8748.3485,
1259.088,8778.4485,
1256.178,8644.0734,
1253.267,8452.467,
1250.356,8255.6404,
1247.446,8020.2062,
1244.535,7770.4468,
1241.625,7524.2318,
1238.714,7286.7686,
1235.804,7109.8326,
1232.893,7037.7816,
1229.982,6892.8701,
1227.072,6852.1311,
1224.161,6709.7264,
1221.251,6606.5656,
1218.340,6469.4742,
1215.430,6388.8802,
1212.519,6346.8955,
1209.608,6291.0893,
1206.698,6232.7391,
1203.787,6218.5264,
1200.877,6339.4729,
1197.966,6343.0695,
1195.055,6484.036,
1192.145,6608.1787,
1189.234,6791.121,
1186.324,6891.3427,
1183.413,6928.0064,
1180.503,6948.8539,
1177.592,6929.1892,
1174.681,6882.9041,
1171.771,6767.5919,
1168.860,6652.3834,
1165.950,6594.4852,
1163.039,6571.3772,
1160.129,6514.9326,
1157.218,6452.8095,
1154.307,6399.3913,
1151.397,6320.755,
1148.486,6209.7572,
1145.576,6163.2411,
1142.665,6070.8981,
1139.754,6021.7549,
1136.844,5949.923,
1133.933,5878.089,
1131.023,5858.5245,
1128.112,5859.0376,
1125.202,5840.564,
1122.291,5858.378,
1119.380,5866.1028,
1116.470,5851.0998,
1113.559,5882.4997,
1110.649,5904.6921,
1107.738,5912.8575,
1104.828,5898.8543,
1101.917,5884.9426,
1099.006,5906.4046,
1096.096,5918.3473,
1093.185,5870.9352,
1090.275,5884.2447,
1087.364,5830.6157,
1084.453,5806.4999,
1081.543,5802.1149,
1078.632,5784.2214,
1075.722,5776.9187,
1072.811,5840.6844,
1069.901,5846.7972,
1066.990,5857.7583,
1064.079,5905.8444,
1061.169,6002.363,
1058.258,6090.3531,
1055.348,6132.8352,
1052.437,6149.3658,
1049.527,6167.7675,
1046.616,6232.9297,
1043.705,6266.456,
1040.795,6269.142,
1037.884,6277.882,
1034.974,6285.5258,
1032.063,6304.526,
1029.153,6386.9118,
1026.242,6400.7511,
1023.331,6380.418,
1020.421,6379.0384,
1017.510,6459.8092,
1014.600,6517.5978,
1011.689,6558.0015,
1008.778,6700.7603,
1005.868,6851.4663,
1002.957,7098.3879,
1000.047,7336.4501,
997.136,7551.0335,
994.226,7658.6191,
991.315,7644.3713,
988.404,7567.5778,
985.494,7474.754,
982.583,7407.9426,
979.673,7345.5714,
976.762,7336.8178,
973.852,7351.3222,
970.941,7348.0984,
968.030,7322.857,
965.120,7342.8884,
962.209,7256.7817,
959.299,7297.4934,
956.388,7288.332,
953.477,7275.5808,
950.567,7283.0545,
947.656,7262.4944,
944.746,7325.3615,
941.835,7384.9369,
938.925,7403.5144,
936.014,7392.5927,
933.103,7383.4871,
930.193,7373.0721,
927.282,7297.042,
924.372,7237.8495,
921.461,7119.0536,
918.551,6999.0812,
915.640,6891.5316,
912.729,6812.979,
909.819,6778.469,
906.908,6749.8266,
903.998,6755.4083,
901.087,6778.8912,
898.176,6842.3099,
895.266,6936.6553,
892.355,7021.4488,
889.445,7033.1986,
886.534,7201.8941,
883.624,7299.8419,
880.713,7323.0843,
877.802,7318.3765,
874.892,7333.4423,
871.981,7372.435,
869.071,7295.577,
866.160,7253.2717,
863.250,7261.7423,
860.339,7268.3629,
857.428,7235.4932,
854.518,7192.3965,
851.607,7128.3271,
848.697,7073.9175,
845.786,7040.7569,
842.875,7056.2139,
839.965,7098.5507,
837.054,7055.2083,
834.144,7140.5698,
831.233,7125.9189,
828.323,7087.0051,
825.412,7025.2584,
822.501,6939.7392,
819.591,6909.1625,
816.680,6889.8205,
813.770,6805.0577,
810.859,6733.3342,
807.949,6679.7206,
805.038,6617.2412,
802.127,6633.7037,
799.217,6615.1244,
796.306,6589.5201,
793.396,6572.5248,
790.485,6565.5125,
787.574,6554.2847,
784.664,6528.8613,
781.753,6546.3925,
778.843,6550.8789,
775.932,6571.7187,
773.022,6638.4487,
770.111,6671.9694,
767.200,6634.6618,
764.290,6610.1146,
761.379,6612.2783,
758.469,6614.6013,
755.558,6558.5206,
752.648,6534.0825,
749.737,6512.9303,
746.826,6498.6553,
743.916,6456.23,
741.005,6349.8611,
738.095,6231.3271,
735.184,6054.9314,
732.274,6035.4772,
729.363,6137.4439,
726.452,6282.2231,
723.542,6414.9636,
720.631,6481.884,
717.721,6497.3858,
714.810,6488.0171,
711.899,6469.2896,
708.989,6439.4334,
706.078,6456.0774,
703.168,6425.6384,
700.257,6366.9437,
697.347,6318.7279,
694.436,6330.1371,
691.525,6289.143,
688.615,6351.9459,
685.704,6353.2391,
682.794,6295.9734,
679.883,6284.7093,
676.973,6272.6888,
674.062,6275.3547,
671.151,6280.0033,
668.241,6291.5417,
665.330,6321.0987,
