,PLB8BC~1,
Wavenumbers [1/cm],Intensity,
2173.010,365.29875,
2170.099,412.9772,
2167.189,409.47962,
2164.278,440.22286,
2161.368,442.53471,
2158.457,462.82637,
2155.546,477.94618,
2152.636,493.03723,
2149.725,502.57214,
2146.815,540.01535,
2143.904,535.94889,
2140.993,538.60443,
2138.083,562.81532,
2135.172,560.36756,
2132.262,556.26408,
2129.351,560.73965,
2126.441,554.06552,
2123.530,547.03674,
2120.619,525.36021,
2117.709,497.75725,
2114.798,476.30006,
2111.888,475.02541,
2108.977,456.07781,
2106.067,441.14947,
2103.156,413.61462,
2100.245,437.21738,
2097.335,384.28665,
2094.424,382.27634,
2091.514,388.95422,
2088.603,367.02882,
2085.692,373.66257,
2082.782,395.67964,
2079.871,396.32118,
2076.961,407.41049,
2074.050,404.86212,
2071.140,397.89363,
2068.229,399.34506,
2065.318,394.63275,
2062.408,398.69705,
2059.497,383.01188,
2056.587,375.21504,
2053.676,393.58234,
2050.766,388.01981,
2047.855,379.96198,
2044.944,401.45674,
2042.034,386.56796,
2039.123,394.52946,
2036.213,386.15443,
2033.302,381.16306,
2030.391,389.91075,
2027.481,381.85988,
2024.570,390.73536,
2021.660,410.18567,
2018.749,400.07229,
2015.839,376.84121,
2012.928,416.26174,
2010.017,403.32817,
2007.107,398.50608,
2004.196,399.22619,
2001.286,408.52207,
1998.375,408.9872,
1995.465,397.59732,
1992.554,383.85598,
1989.643,432.45269,
1986.733,422.76842,
1983.822,416.08383,
1980.912,418.14035,
1978.001,398.85113,
1975.090,417.47595,
1972.180,400.00932,
1969.269,402.43969,
1966.359,384.30372,
1963.448,393.6265,
1960.538,424.97227,
1957.627,413.30881,
1954.716,416.10637,
1951.806,441.70354,
1948.895,425.76628,
1945.985,390.70098,
1943.074,399.12825,
1940.164,404.43288,
1937.253,417.5283,
1934.342,410.20722,
1931.432,410.44558,
1928.521,411.65242,
1925.611,397.27611,
1922.700,395.41575,
1919.790,441.03562,
1916.879,424.99374,
1913.968,418.25615,
1911.058,407.76953,
1908.147,428.9843,
1905.237,428.63972,
1902.326,425.02039,
1899.415,391.04877,
1896.505,398.13583,
1893.594,448.8781,
1890.684,447.17822,
1887.773,417.54342,
1884.863,422.28189,
1881.952,414.20766,
1879.041,411.03245,
1876.131,420.39379,
1873.220,389.12597,
1870.310,432.51897,
1867.399,424.44192,
1864.489,441.23747,
1861.578,415.22261,
1858.667,406.71706,
1855.757,413.05788,
1852.846,412.79356,
1849.936,431.90166,
1847.025,426.42274,
1844.114,446.87119,
1841.204,439.16958,
1838.293,433.73254,
1835.383,449.71499,
1832.472,455.43609,
1829.562,446.02916,
1826.651,462.81465,
1823.740,465.97029,
1820.830,443.95849,
1817.919,464.31005,
1815.009,479.66857,
1812.098,453.42325,
1809.188,454.93991,
1806.277,435.69264,
1803.366,464.26664,
1800.456,465.90949,
1797.545,476.23587,
1794.635,468.05603,
1791.724,476.61898,
1788.813,458.45026,
1785.903,461.59495,
1782.992,455.30063,
1780.082,412.4298,
1777.171,377.57065,
1774.261,349.59539,
1771.350,412.53551,
1768.439,471.72011,
1765.529,473.06476,
1762.618,466.71003,
1759.708,495.00012,
1756.797,517.00758,
1753.887,505.94096,
1750.976,487.3017,
1748.065,529.48962,
1745.155,515.73416,
1742.244,511.45196,
1739.334,520.56529,
1736.423,510.35842,
1733.512,506.97764,
1730.602,530.43853,
1727.691,527.50275,
1724.781,495.14667,
1721.870,509.78346,
1718.960,513.60554,
1716.049,510.73308,
1713.138,523.07494,
1710.228,514.80644,
1707.317,577.82371,
1704.407,524.26059,
1701.496,553.71191,
1698.586,557.25,
1695.675,576.89988,
1692.764,559.31556,
1689.854,551.55315,
1686.943,569.60921,
1684.033,558.54803,
1681.122,576.92714,
1678.211,592.10724,
1675.301,592.25,
1672.390,636.16327,
1669.480,607.40242,
1666.569,626.22461,
1663.659,624.69097,
1660.748,651.42354,
1657.837,660.33748,
1654.927,663.26598,
1652.016,623.78084,
1649.106,685.81306,
1646.195,708.51374,
1643.285,718.79427,
1640.374,699.66812,
1637.463,719.35809,
1634.553,725.25,
1631.642,725.49973,
1628.732,748.36258,
1625.821,767.2958,
1622.911,836.85554,
1620.000,838.2374,
1617.089,909.79726,
1614.179,981.21953,
1611.268,963.03074,
1608.358,972.73495,
1605.447,1072.2508,
1602.536,1107.1385,
1599.626,1061.4135,
1596.715,1079.0324,
1593.805,1073.201,
1590.894,1041.4265,
1587.984,1064.0989,
1585.073,1086.968,
1582.162,1046.001,
1579.252,1034.7951,
1576.341,1011.0192,
1573.431,998.20143,
1570.520,1009.2444,
1567.610,987.17117,
1564.699,958.6742,
1561.788,968.15125,
1558.878,960.22921,
1555.967,960.51731,
1553.057,941.92264,
1550.146,923.10456,
1547.235,928.1049,
1544.325,913.89085,
1541.414,916.07189,
1538.504,897.85284,
1535.593,847.26034,
1532.683,850.21971,
1529.772,860.43151,
1526.861,849.11287,
1523.951,847.35941,
1521.040,820.33314,
1518.130,833.10491,
1515.219,848.52998,
1512.309,832.15535,
1509.398,778.96105,
1506.487,786.02103,
1503.577,833.81273,
1500.666,798.55648,
1497.756,773.14031,
1494.845,819.00932,
1491.934,789.34134,
1489.024,817.25363,
1486.113,812.68671,
1483.203,822.90801,
1480.292,758.0661,
1477.382,761.60672,
1474.471,766.78476,
1471.560,789.74565,
1468.650,788.00089,
1465.739,771.08069,
1462.829,785.13861,
1459.918,784.88524,
1457.008,765.12682,
1454.097,755.40137,
1451.186,731.20938,
1448.276,710.58114,
1445.365,732.10782,
1442.455,750.36283,
1439.544,774.78223,
1436.633,761.70581,
1433.723,750.96756,
1430.812,822.99917,
1427.902,782.31765,
1424.991,785.16094,
1422.081,754.97326,
1419.170,766.93903,
1416.259,772.49025,
1413.349,747.5718,
1410.438,793.83281,
1407.528,783.77543,
1404.617,766.42426,
1401.707,758.24101,
1398.796,775.73944,
1395.885,787.71443,
1392.975,784.79252,
1390.064,812.24349,
1387.154,777.96893,
1384.243,752.5274,
1381.332,794.02065,
1378.422,808.97458,
1375.511,823.02629,
1372.601,840.75984,
1369.690,834.535,
1366.780,791.27214,
1363.869,842.72702,
1360.958,887.37692,
1358.048,898.25,
1355.137,907.71231,
1352.227,934.55076,
1349.316,944.58513,
1346.406,925.29206,
1343.495,927.4852,
1340.584,945.07109,
1337.674,970.25162,
1334.763,995.497,
1331.853,1001.9876,
1328.942,972.89769,
1326.032,970.06562,
1323.121,1046.5693,
1320.210,1048.6109,
1317.300,1048.0546,
1314.389,1043.9164,
1311.479,1072.007,
1308.568,1125.4051,
1305.657,1128.4071,
1302.747,1141.4143,
1299.836,1201.9871,
1296.926,1208.6601,
1294.015,1238.9977,
1291.105,1234.0862,
1288.194,1262.0047,
1285.283,1247.0539,
1282.373,1287.6092,
1279.462,1323.3871,
1276.552,1349.691,
1273.641,1372.4908,
1270.731,1371.544,
1267.820,1368.5107,
1264.909,1354.6127,
1261.999,1358.0489,
1259.088,1379.9398,
1256.178,1353.8434,
1253.267,1316.2606,
1250.356,1264.9375,
1247.446,1262.8518,
1244.535,1264.8438,
1241.625,1239.7167,
1238.714,1198.9456,
1235.804,1158.8713,
1232.893,1169.6229,
1229.982,1177.1955,
1227.072,1116.5396,
1224.161,1112.25,
1221.251,1090.6592,
1218.340,1079.3631,
1215.430,1059.6329,
1212.519,1044.3445,
1209.608,1032.6187,
1206.698,1018.1012,
1203.787,1029.6018,
1200.877,1019.039,
