,PLD148~1,
Raman shift [1/cm],Intensity,
3014.167,-0.625,
3011.256,0.375,
3008.346,208.05158,
3005.435,240.95097,
3002.525,253.01762,
2999.614,272.85033,
2996.704,273.01211,
2993.793,290.38422,
2990.882,294.10777,
2987.972,289.45572,
2985.061,307.1484,
2982.151,311.13635,
2979.240,340.56229,
2976.329,335.90503,
2973.419,354.03636,
2970.508,368.77496,
2967.598,395.7501,
2964.687,380.56793,
2961.777,387.5971,
2958.866,388.70635,
2955.955,392.8927,
2953.045,421.00811,
2950.134,429.07764,
2947.224,436.63122,
2944.313,451.21759,
2941.403,464.45848,
2938.492,481.2151,
2935.581,467.03636,
2932.671,480.53812,
2929.760,493.70192,
2926.850,495.16598,
2923.939,500.57123,
2921.028,503.35725,
2918.118,525.1949,
2915.207,530.84976,
2912.297,537.36654,
2909.386,542.17062,
2906.476,523.44525,
2903.565,532.375,
2900.654,533.59846,
2897.744,528.72702,
2894.833,550.18955,
2891.923,517.85889,
2889.012,530.50217,
2886.102,529.41553,
2883.191,532.37594,
2880.280,492.02093,
2877.370,495.43893,
2874.459,476.95375,
2871.549,522.70425,
2868.638,553.7853,
2865.727,551.47504,
2862.817,543.84692,
2859.906,573.18413,
2856.996,550.86368,
2854.085,577.14185,
2851.175,569.99546,
2848.264,560.67867,
2845.353,555.4397,
2842.443,554.38196,
2839.532,558.46449,
2836.622,547.34115,
2833.711,544.04849,
2830.801,548.28162,
2827.890,554.56206,
2824.979,560.07895,
2822.069,561.30677,
2819.158,553.09467,
2816.248,542.65105,
2813.337,551.39573,
2810.427,549.33782,
2807.516,556.05109,
2804.605,563.55769,
2801.695,556.41447,
2798.784,568.19223,
2795.874,558.24045,
2792.963,556.80372,
2790.052,533.38079,
2787.142,539.20381,
2784.231,537.8579,
2781.321,560.36924,
2778.410,543.7151,
2775.500,555.16051,
2772.589,567.14411,
2769.678,562.59003,
2766.768,560.18665,
2763.857,574.68906,
2760.947,565.40652,
2758.036,583.08208,
2755.126,586.12928,
2752.215,589.35661,
2749.304,597.92713,
2746.394,591.76206,
2743.483,594.47504,
2740.573,594.35955,
2737.662,581.95931,
