,PL4AB2~1,
Raman shift [1/cm],Intensity,
2190.473,1592.9566,
2187.563,1591.9772,
2184.652,1647.0337,
2181.742,1703.5012,
2178.831,1738.182,
2175.920,1760.3274,
2173.010,1788.2268,
2170.099,1820.1473,
2167.189,1858.8218,
2164.278,1878.141,
2161.368,1946.4626,
2158.457,2010.8275,
2155.546,2068.5673,
2152.636,2120.0744,
2149.725,2169.2063,
2146.815,2193.1494,
2143.904,2259.2519,
2140.993,2271.4324,
2138.083,2297.8442,
2135.172,2305.6996,
2132.262,2309.2465,
2129.351,2264.7049,
2126.441,2215.4101,
2123.530,2138.4918,
2120.619,2105.8422,
2117.709,2024.2371,
2114.798,1927.7957,
2111.888,1818.7019,
2108.977,1740.24,
2106.067,1695.9987,
2103.156,1639.4792,
2100.245,1615.7287,
2097.335,1573.4411,
2094.424,1507.0056,
2091.514,1498.4033,
2088.603,1497.7132,
2085.692,1458.8356,
2082.782,1477.557,
2079.871,1475.9635,
2076.961,1462.4604,
2074.050,1482.0227,
2071.140,1465.1755,
2068.229,1454.7435,
2065.318,1459.688,
2062.408,1465.0911,
2059.497,1468.5357,
2056.587,1443.8899,
2053.676,1436.5666,
2050.766,1450.5953,
2047.855,1445.4018,
2044.944,1494.1683,
2042.034,1445.698,
2039.123,1452.4907,
2036.213,1460.1922,
2033.302,1472.1629,
2030.391,1469.513,
2027.481,1474.6523,
2024.570,1466.1075,
2021.660,1460.9274,
2018.749,1481.8382,
2015.839,1460.4987,
2012.928,1474.2785,
2010.017,1475.2831,
2007.107,1458.9126,
2004.196,1483.3453,
2001.286,1470.8914,
1998.375,1466.2343,
1995.465,1457.4446,
1992.554,1486.9321,
1989.643,1449.2708,
1986.733,1452.9807,
1983.822,1467.6968,
1980.912,1427.2552,
1978.001,1442.3344,
1975.090,1457.9454,
1972.180,1462.1636,
1969.269,1468.7127,
1966.359,1465.2634,
1963.448,1464.6721,
1960.538,1455.2004,
1957.627,1451.8584,
1954.716,1446.8936,
1951.806,1440.5448,
1948.895,1455.75,
1945.985,1452.6863,
1943.074,1441.5913,
1940.164,1433.0767,
1937.253,1422.3585,
1934.342,1431.7329,
1931.432,1417.0497,
1928.521,1401.256,
1925.611,1398.4708,
1922.700,1431.1989,
1919.790,1420.8022,
1916.879,1442.8668,
1913.968,1464.7254,
1911.058,1444.8551,
1908.147,1479.0521,
1905.237,1421.7059,
1902.326,1437.5752,
1899.415,1425.9037,
1896.505,1436.6113,
1893.594,1423.6555,
1890.684,1450.3708,
