,PL3AE4~1,
Wavenumbers [1/cm],Intensity,
2175.920,385.45788,
2173.010,396.02579,
2170.099,410.27381,
2167.189,419.08309,
2164.278,449.34234,
2161.368,466.15971,
2158.457,492.38215,
2155.546,514.45003,
2152.636,546.7792,
2149.725,586.66692,
2146.815,541.64355,
2143.904,598.47352,
2140.993,597.66862,
2138.083,615.99349,
2135.172,617.99256,
2132.262,624.52905,
2129.351,650.46818,
2126.441,612.4671,
2123.530,598.70664,
2120.619,582.63652,
2117.709,566.70069,
2114.798,529.89023,
2111.888,493.01315,
2108.977,478.875,
2106.067,465.98258,
2103.156,441.63879,
2100.245,431.86998,
2097.335,422.67081,
2094.424,414.8324,
2091.514,405.71898,
2088.603,383.875,
2085.692,400.42509,
2082.782,405.51359,
2079.871,407.80382,
2076.961,418.22922,
2074.050,430.63258,
2071.140,419.92145,
2068.229,392.68489,
2065.318,401.72675,
2062.408,404.79935,
2059.497,384.62496,
2056.587,378.51436,
2053.676,376.34207,
2050.766,388.72029,
2047.855,392.15979,
2044.944,403.20512,
2042.034,403.58009,
2039.123,394.21843,
2036.213,415.49272,
2033.302,403.13582,
2030.391,403.2988,
2027.481,404.10669,
2024.570,401.50366,
2021.660,409.34284,
2018.749,415.79902,
2015.839,415.48917,
2012.928,429.55285,
2010.017,432.78487,
2007.107,409.68808,
2004.196,411.5536,
2001.286,425.52163,
1998.375,426.39567,
1995.465,406.78304,
1992.554,411.51609,
1989.643,430.25285,
1986.733,432.875,
1983.822,433.86244,
1980.912,438.28081,
1978.001,434.12918,
1975.090,443.64905,
1972.180,446.15161,
1969.269,442.96984,
1966.359,428.7126,
1963.448,424.71912,
1960.538,438.23614,
1957.627,427.50038,
1954.716,429.76009,
1951.806,447.08015,
1948.895,425.24352,
1945.985,382.12173,
1943.074,410.50569,
1940.164,448.06702,
1937.253,424.875,
1934.342,433.44772,
1931.432,440.14314,
1928.521,457.70747,
1925.611,429.6741,
1922.700,414.08356,
1919.790,433.68402,
1916.879,424.78174,
1913.968,433.8627,
1911.058,431.0732,
1908.147,438.25898,
1905.237,463.89704,
1902.326,445.80983,
1899.415,434.12379,
1896.505,446.04971,
1893.594,449.23781,
1890.684,446.22797,
1887.773,445.34043,
1884.863,475.93878,
1881.952,459.79032,
1879.041,414.8589,
1876.131,421.16258,
1873.220,424.875,
1870.310,454.57898,
1867.399,474.58712,
1864.489,458.83606,
1861.578,456.47401,
1858.667,444.78217,
1855.757,455.07786,
1852.846,451.875,
1849.936,450.36349,
1847.025,456.40053,
1844.114,478.3009,
1841.204,474.04983,
1838.293,460.875,
1835.383,469.07249,
1832.472,471.13065,
1829.562,458.93177,
1826.651,474.38832,
1823.740,467.85964,
1820.830,474.22157,
1817.919,477.06062,
1815.009,481.15617,
1812.098,476.48918,
1809.188,497.44859,
1806.277,428.46849,
1803.366,490.875,
1800.456,491.53449,
1797.545,502.78281,
1794.635,502.52001,
1791.724,505.55463,
1788.813,498.875,
1785.903,493.24713,
1782.992,470.04637,
1780.082,460.79141,
1777.171,446.19565,
1774.261,405.81014,
1771.350,456.26277,
1768.439,514.875,
1765.529,516.69352,
1762.618,507.27998,
1759.708,504.07074,
1756.797,520.4053,
1753.887,517.28462,
1750.976,517.54057,
1748.065,548.06701,
1745.155,526.19139,
1742.244,515.46919,
1739.334,519.50559,
1736.423,533.71236,
1733.512,544.96851,
1730.602,568.56749,
1727.691,539.79495,
1724.781,535.16761,
1721.870,520.77967,
1718.960,548.94205,
1716.049,574.33244,
1713.138,589.84494,
1710.228,549.23045,
1707.317,586.219,
1704.407,538.86957,
1701.496,590.30251,
1698.586,583.8632,
1695.675,612.81768,
1692.764,606.3545,
1689.854,624.05218,
1686.943,625.84127,
1684.033,573.21616,
1681.122,600.38222,
1678.211,621.67514,
1675.301,654.77325,
1672.390,697.71649,
1669.480,644.99533,
1666.569,660.30666,
1663.659,693.95666,
1660.748,699.47273,
1657.837,728.38786,
1654.927,662.41387,
1652.016,684.46192,
1649.106,669.27042,
1646.195,725.45043,
1643.285,748.71549,
1640.374,742.66942,
1637.463,780.14522,
1634.553,795.02278,
1631.642,805.12473,
1628.732,827.91648,
1625.821,834.88874,
1622.911,855.75666,
1620.000,921.04348,
1617.089,1002.2432,
1614.179,1048.5778,
1611.268,1095.1276,
1608.358,1126.4235,
1605.447,1194.8184,
1602.536,1251.0607,
1599.626,1194.1594,
1596.715,1230.6247,
1593.805,1183.8981,
1590.894,1207.8178,
1587.984,1197.1514,
1585.073,1194.875,
1582.162,1177.3424,
1579.252,1162.4188,
1576.341,1127.0314,
1573.431,1102.4283,
1570.520,1108.5763,
1567.610,1110.3848,
1564.699,1091.0242,
1561.788,1069.0864,
1558.878,1086.7717,
1555.967,1066.8238,
1553.057,1054.0646,
1550.146,1034.366,
1547.235,1038.5848,
1544.325,1014.1154,
1541.414,988.57529,
1538.504,988.81979,
1535.593,964.47694,
1532.683,953.27864,
1529.772,951.48776,
1526.861,917.40282,
1523.951,917.88375,
1521.040,942.33844,
1518.130,917.59263,
1515.219,899.63464,
1512.309,906.17678,
1509.398,888.23052,
1506.487,892.03215,
1503.577,911.64562,
1500.666,865.33002,
1497.756,879.54482,
1494.845,911.91502,
1491.934,912.87815,
1489.024,913.84064,
1486.113,907.38449,
1483.203,930.85553,
1480.292,846.47832,
1477.382,819.55953,
1474.471,830.68782,
1471.560,871.15831,
1468.650,888.97464,
1465.739,858.21,
1462.829,872.69996,
1459.918,887.14013,
1457.008,870.21333,
1454.097,849.70752,
1451.186,842.03361,
1448.276,839.01974,
1445.365,828.37579,
1442.455,844.70799,
1439.544,857.49078,
1436.633,843.06963,
1433.723,867.11217,
1430.812,896.94888,
1427.902,897.10831,
1424.991,864.88439,
1422.081,860.20509,
1419.170,899.62178,
1416.259,877.52279,
1413.349,805.92427,
1410.438,835.95891,
1407.528,881.69344,
1404.617,880.19679,
1401.707,848.67738,
1398.796,858.66863,
1395.885,882.60721,
1392.975,878.31281,
1390.064,884.81158,
1387.154,854.79,
1384.243,817.9106,
1381.332,849.86296,
1378.422,873.82669,
1375.511,872.88991,
1372.601,886.69856,
1369.690,914.4489,
1366.780,895.90598,
1363.869,941.45487,
1360.958,991.90517,
1358.048,1000.1619,
1355.137,1005.3887,
1352.227,1015.79,
1349.316,1033.9835,
1346.406,1078.7565,
1343.495,1096.9446,
1340.584,1033.6609,
1337.674,1025.1999,
1334.763,1078.5807,
1331.853,1097.1253,
1328.942,1072.97,
1326.032,1064.9813,
1323.121,1111.2967,
1320.210,1112.5588,
1317.300,1110.7773,
1314.389,1118.4723,
1311.479,1140.6613,
1308.568,1170.9812,
1305.657,1186.6513,
1302.747,1217.0721,
1299.836,1285.6809,
1296.926,1265.3106,
1294.015,1317.712,
1291.105,1274.0868,
1288.194,1299.8247,
1285.283,1361.5752,
1282.373,1402.4921,
1279.462,1412.777,
1276.552,1427.2058,
1273.641,1460.4389,
1270.731,1473.5257,
1267.820,1454.4697,
1264.909,1494.0288,
1261.999,1486.6434,
1259.088,1452.8949,
1256.178,1427.7507,
1253.267,1395.4888,
1250.356,1362.4939,
1247.446,1340.9006,
1244.535,1314.5492,
1241.625,1280.3417,
1238.714,1247.666,
1235.804,1213.2634,
1232.893,1179.7487,
1229.982,1183.9125,
1227.072,1125.9725,
1224.161,1099.1814,
1221.251,1091.897,
1218.340,1066.906,
1215.430,1032.4041,
1212.519,1041.5878,
1209.608,1059.3456,
1206.698,1034.9176,
1203.787,1042.277,
1200.877,1048.3705,
1197.966,1024.0932,
1195.055,1070.6569,
1192.145,1093.1505,
1189.234,1119.9339,
1186.324,1130.784,
1183.413,1146.6567,
1180.503,1160.7926,
1177.592,1149.6629,
1174.681,1154.9469,
1171.771,1128.3077,
1168.860,1147.0626,
1165.950,1094.0473,
1163.039,1105.3191,
1160.129,1088.7417,
1157.218,1069.3943,
1154.307,1064.4227,
1151.397,1062.0886,
1148.486,1078.3736,
1145.576,1085.1789,
1142.665,1046.1107,
1139.754,1077.0474,
1136.844,1049.1596,
1133.933,1042.6726,
1131.023,1064.9263,
1128.112,1085.0175,
1125.202,1088.1504,
1122.291,1087.2537,
1119.380,1096.8057,
1116.470,1089.7455,
1113.559,1102.0202,
1110.649,1091.4684,
1107.738,1079.0526,
1104.828,1073.6267,
1101.917,1064.7741,
1099.006,1045.9472,
1096.096,1038.1113,
1093.185,1058.3054,
1090.275,1060.6843,
1087.364,1071.853,
1084.453,1066.1882,
1081.543,1056.1221,
1078.632,1055.1286,
1075.722,1062.7646,
1072.811,1082.8822,
1069.901,1068.91,
1066.990,1100.2083,
1064.079,1115.3607,
1061.169,1117.7704,
