,PL5A48~1,
Wavenumbers [1/cm],Intensity,
2173.010,583.39938,
2170.099,623.70339,
2167.189,600.64049,
2164.278,636.9348,
2161.368,650.37307,
2158.457,686.56236,
2155.546,698.75292,
2152.636,746.51852,
2149.725,780.51592,
2146.815,769.87553,
2143.904,786.98465,
2140.993,809.21099,
2138.083,818.87037,
2135.172,814.11431,
2132.262,822.30194,
2129.351,824.7404,
2126.441,797.17105,
2123.530,803.30766,
2120.619,791.73304,
2117.709,751.62862,
2114.798,730.60568,
2111.888,708.63793,
2108.977,679.03062,
2106.067,668.89176,
2103.156,653.53797,
2100.245,645.37061,
2097.335,638.85667,
2094.424,631.12558,
2091.514,597.87771,
2088.603,598.57778,
2085.692,597.92145,
2082.782,605.32276,
2079.871,618.87558,
2076.961,621.375,
2074.050,614.76288,
2071.140,614.97329,
2068.229,590.52601,
2065.318,614.97873,
2062.408,606.67075,
2059.497,598.73211,
2056.587,600.68869,
2053.676,593.49252,
2050.766,607.91237,
2047.855,608.46044,
2044.944,613.90224,
2042.034,628.24202,
2039.123,613.89352,
2036.213,599.375,
2033.302,606.98358,
2030.391,603.71425,
2027.481,609.53343,
2024.570,611.68933,
2021.660,650.89157,
2018.749,619.51471,
2015.839,646.89534,
2012.928,638.29446,
2010.017,639.10247,
2007.107,651.54139,
2004.196,670.76784,
2001.286,656.70717,
1998.375,648.2874,
1995.465,652.88125,
1992.554,621.06941,
1989.643,623.13305,
1986.733,630.87325,
1983.822,655.96437,
1980.912,652.15757,
1978.001,658.34159,
1975.090,648.72768,
1972.180,658.68618,
1969.269,652.20547,
1966.359,664.10486,
1963.448,663.53088,
1960.538,666.24406,
1957.627,657.56694,
1954.716,657.34627,
1951.806,649.56727,
1948.895,665.87105,
1945.985,626.68546,
1943.074,652.42289,
1940.164,653.63435,
1937.253,646.57905,
1934.342,646.71672,
1931.432,650.31191,
1928.521,672.21956,
1925.611,650.86876,
1922.700,643.74931,
1919.790,672.79664,
1916.879,637.37423,
1913.968,675.32459,
1911.058,666.30893,
1908.147,668.29765,
1905.237,685.38969,
1902.326,671.04612,
1899.415,646.48597,
1896.505,647.64627,
1893.594,666.8323,
1890.684,666.02203,
1887.773,673.26286,
1884.863,689.40689,
1881.952,677.1477,
1879.041,685.01779,
1876.131,668.38677,
1873.220,635.48108,
1870.310,677.78747,
1867.399,707.94317,
1864.489,705.86873,
1861.578,692.25421,
1858.667,680.34806,
1855.757,680.95137,
1852.846,705.86731,
1849.936,693.51515,
1847.025,688.07571,
1844.114,715.39854,
1841.204,711.45192,
1838.293,716.8459,
1835.383,734.375,
1832.472,718.36283,
1829.562,706.7362,
1826.651,728.25588,
1823.740,702.70444,
1820.830,713.29647,
1817.919,729.33314,
1815.009,742.50604,
1812.098,744.375,
1809.188,734.99518,
1806.277,749.04302,
1803.366,720.50809,
1800.456,729.5291,
1797.545,750.57352,
1794.635,760.82698,
1791.724,750.375,
1788.813,754.78066,
1785.903,772.60949,
1782.992,759.42563,
1780.082,737.34191,
1777.171,761.03452,
1774.261,738.75509,
1771.350,761.01776,
1768.439,794.01479,
1765.529,788.37124,
1762.618,786.11567,
1759.708,805.79888,
1756.797,802.375,
1753.887,787.70736,
1750.976,771.06806,
1748.065,817.14457,
1745.155,822.18809,
1742.244,812.67209,
1739.334,813.32088,
1736.423,837.81048,
1733.512,818.54158,
1730.602,855.9961,
1727.691,862.39541,
1724.781,855.44212,
1721.870,843.91303,
1718.960,821.64143,
1716.049,856.80681,
1713.138,847.27508,
1710.228,833.93144,
1707.317,849.18186,
1704.407,870.24134,
1701.496,882.40203,
1698.586,875.98312,
1695.675,893.15346,
1692.764,938.87093,
1689.854,927.0246,
1686.943,915.74598,
1684.033,900.74754,
1681.122,917.08613,
1678.211,935.20369,
1675.301,910.45209,
1672.390,987.24042,
1669.480,942.7039,
1666.569,983.3623,
1663.659,982.91397,
1660.748,1015.6257,
1657.837,1027.4783,
1654.927,987.96073,
1652.016,1013.2984,
1649.106,1050.4484,
1646.195,1054.0703,
1643.285,1081.8737,
1640.374,1062.1102,
1637.463,1143.4651,
1634.553,1148.375,
1631.642,1148.8093,
1628.732,1188.535,
1625.821,1215.3959,
1622.911,1247.1947,
1620.000,1326.3671,
1617.089,1419.5043,
1614.179,1445.67,
1611.268,1540.7316,
1608.358,1588.2211,
1605.447,1646.9469,
1602.536,1691.378,
1599.626,1722.8929,
1596.715,1679.0873,
1593.805,1623.3981,
1590.894,1649.9598,
1587.984,1596.3468,
1585.073,1635.0207,
1582.162,1570.7399,
1579.252,1607.1097,
1576.341,1537.4676,
1573.431,1493.0966,
1570.520,1513.8926,
1567.610,1516.4141,
1564.699,1478.8485,
1561.788,1477.3467,
1558.878,1457.7955,
1555.967,1454.303,
1553.057,1422.6512,
1550.146,1428.8004,
1547.235,1439.4717,
1544.325,1402.5742,
1541.414,1362.7935,
1538.504,1364.7615,
1535.593,1365.2283,
1532.683,1353.2126,
1529.772,1327.3442,
1526.861,1293.996,
1523.951,1293.0388,
1521.040,1295.0501,
1518.130,1296.3176,
1515.219,1251.5345,
1512.309,1267.1273,
1509.398,1267.2343,
1506.487,1268.9263,
1503.577,1255.1743,
1500.666,1216.0612,
1497.756,1238.8243,
1494.845,1256.6552,
1491.934,1263.3435,
1489.024,1253.7186,
1486.113,1281.1915,
1483.203,1245.1838,
1480.292,1215.7682,
1477.382,1226.7317,
1474.471,1214.26,
1471.560,1204.2953,
1468.650,1215.3572,
1465.739,1200.8793,
1462.829,1205.4891,
1459.918,1214.7175,
1457.008,1196.6209,
1454.097,1178.5264,
1451.186,1186.3557,
1448.276,1205.5406,
1445.365,1199.2652,
1442.455,1187.054,
1439.544,1213.8,
1436.633,1144.2509,
1433.723,1236.1167,
1430.812,1253.6018,
1427.902,1232.0064,
1424.991,1258.5437,
1422.081,1210.7487,
1419.170,1190.8219,
1416.259,1204.5763,
1413.349,1175.1444,
1410.438,1195.1653,
1407.528,1214.1687,
1404.617,1179.7988,
1401.707,1175.6325,
1398.796,1216.6162,
1395.885,1229.6269,
1392.975,1218.6252,
1390.064,1224.9035,
1387.154,1214.8325,
1384.243,1196.479,
1381.332,1219.6749,
1378.422,1286.6648,
1375.511,1292.2855,
1372.601,1285.0024,
1369.690,1316.9495,
1366.780,1297.8219,
1363.869,1337.1431,
1360.958,1371.5406,
1358.048,1404.1075,
1355.137,1427.2089,
1352.227,1464.4863,
1349.316,1508.7628,
1346.406,1521.0136,
1343.495,1524.368,
1340.584,1530.1964,
1337.674,1532.6982,
1334.763,1560.9748,
1331.853,1576.7378,
1328.942,1569.3698,
1326.032,1573.2687,
1323.121,1589.9353,
1320.210,1605.3638,
1317.300,1642.8378,
1314.389,1649.4441,
1311.479,1670.6369,
1308.568,1719.5301,
1305.657,1726.7465,
1302.747,1757.4137,
1299.836,1839.8295,
1296.926,1807.7596,
1294.015,1816.0335,
