,PL4FB6~1,
Raman shift [1/cm],Intensity,
2193.384,1546.414,
2190.473,1598.814,
2187.563,1596.8377,
2184.652,1649.9629,
2181.742,1718.5815,
2178.831,1762.341,
2175.920,1789.4429,
2173.010,1905.1329,
2170.099,1973.0883,
2167.189,2029.3282,
2164.278,2134.2552,
2161.368,2217.1918,
2158.457,2336.9245,
2155.546,2414.5924,
2152.636,2499.4015,
2149.725,2557.2424,
2146.815,2631.3225,
2143.904,2641.8554,
2140.993,2716.5562,
2138.083,2725.0961,
2135.172,2722.7258,
2132.262,2676.2016,
2129.351,2639.0111,
2126.441,2583.2656,
2123.530,2515.3342,
2120.619,2393.7813,
2117.709,2308.4998,
2114.798,2178.1016,
2111.888,2096.2641,
2108.977,1983.1548,
2106.067,1880.7467,
2103.156,1837.1098,
2100.245,1774.5867,
2097.335,1711.6983,
2094.424,1689.2478,
2091.514,1653.3292,
2088.603,1608.1459,
2085.692,1604.4055,
2082.782,1615.1431,
2079.871,1588.6238,
2076.961,1582.6896,
2074.050,1592.3644,
2071.140,1577.1185,
2068.229,1609.7526,
2065.318,1575.342,
2062.408,1580.8066,
2059.497,1566.2202,
2056.587,1578.8108,
2053.676,1539.7111,
2050.766,1542.5473,
2047.855,1528.0807,
2044.944,1544.9551,
2042.034,1542.9601,
2039.123,1521.8876,
2036.213,1545.8561,
2033.302,1544.7119,
2030.391,1557.2179,
2027.481,1561.3933,
2024.570,1565.682,
2021.660,1564.7433,
2018.749,1586.8909,
2015.839,1587.8409,
2012.928,1560.0495,
2010.017,1590.0018,
2007.107,1586.2063,
2004.196,1568.2202,
2001.286,1552.8335,
1998.375,1539.0118,
1995.465,1577.4616,
1992.554,1537.0372,
1989.643,1543.1411,
1986.733,1543.732,
1983.822,1542.0984,
1980.912,1519.9418,
1978.001,1522.3282,
1975.090,1548.1655,
1972.180,1551.8338,
1969.269,1560.0619,
1966.359,1565.1113,
1963.448,1539.5537,
1960.538,1536.0595,
1957.627,1547.3247,
1954.716,1559.309,
1951.806,1547.6682,
1948.895,1568.5177,
1945.985,1565.4338,
1943.074,1532.1489,
1940.164,1528.3075,
1937.253,1522.9682,
1934.342,1538.1036,
1931.432,1512.5335,
1928.521,1512.5093,
1925.611,1536.0404,
1922.700,1503.6361,
1919.790,1514.2953,
1916.879,1497.1595,
