,PL87FC~1,
Wavenumbers [1/cm],Intensity,
2173.010,995.02608,
2170.099,1043.5784,
2167.189,1081.4581,
2164.278,1115.8259,
2161.368,1162.534,
2158.457,1216.8896,
2155.546,1274.2029,
2152.636,1343.1488,
2149.725,1375.5654,
2146.815,1401.4491,
2143.904,1440.3689,
2140.993,1485.5516,
2138.083,1513.1587,
2135.172,1555.334,
2132.262,1551.5088,
2129.351,1571.8639,
2126.441,1536.6091,
2123.530,1520.6215,
2120.619,1455.755,
2117.709,1384.9114,
2114.798,1337.7114,
2111.888,1278.4015,
2108.977,1217.2765,
2106.067,1159.5392,
2103.156,1119.8549,
2100.245,1099.2306,
2097.335,1066.805,
2094.424,1048.3515,
2091.514,1022.8925,
2088.603,1010.3837,
2085.692,1000.7964,
2082.782,1002.5432,
2079.871,1012.9291,
2076.961,981.5748,
2074.050,991.66818,
2071.140,986.84718,
2068.229,1010.0925,
2065.318,984.84301,
2062.408,988.80295,
2059.497,991.86311,
2056.587,975.68057,
2053.676,986.8488,
2050.766,973.71263,
2047.855,958.59175,
2044.944,969.05289,
2042.034,965.75295,
2039.123,987.05135,
2036.213,994.94331,
2033.302,987.70653,
2030.391,989.8262,
2027.481,971.90872,
2024.570,985.47804,
2021.660,1009.9492,
2018.749,992.51593,
2015.839,1000.8642,
2012.928,1011.0201,
2010.017,1013.8211,
2007.107,1016.6444,
2004.196,1011.2738,
2001.286,1024.3348,
1998.375,1023.2037,
1995.465,997.225,
1992.554,1005.2734,
1989.643,991.80302,
1986.733,1004.357,
1983.822,1004.6983,
1980.912,995.47774,
1978.001,994.99582,
1975.090,992.64847,
1972.180,990.35373,
1969.269,1005.9311,
1966.359,1007.2769,
1963.448,1001.711,
1960.538,1013.6111,
1957.627,1040.3243,
1954.716,1032.566,
1951.806,1012.9519,
1948.895,1002.914,
1945.985,973.25,
1943.074,976.05438,
1940.164,986.09622,
1937.253,991.25,
1934.342,978.64305,
1931.432,990.49606,
1928.521,990.06692,
1925.611,975.2046,
1922.700,966.12707,
1919.790,993.53291,
1916.879,977.78449,
1913.968,1010.2082,
1911.058,1005.1749,
1908.147,1018.5157,
1905.237,1016.4779,
1902.326,983.84559,
1899.415,942.79513,
1896.505,978.22012,
