,PLAA54~1,
Wavenumbers [1/cm],Intensity,
2175.920,845.36954,
2173.010,839.49915,
2170.099,881.30309,
2167.189,897.71225,
2164.278,952.73882,
2161.368,1009.374,
2158.457,1038.2712,
2155.546,1080.6462,
2152.636,1127.3696,
2149.725,1168.9991,
2146.815,1209.2071,
2143.904,1271.2858,
2140.993,1296.4438,
2138.083,1294.834,
2135.172,1302.333,
2132.262,1321.1444,
2129.351,1318.8025,
2126.441,1335.6955,
2123.530,1272.1617,
2120.619,1246.0817,
2117.709,1192.7281,
2114.798,1141.8516,
2111.888,1065.6513,
2108.977,1020.2094,
2106.067,1004.308,
2103.156,968.06143,
2100.245,929.3543,
2097.335,895.65249,
2094.424,883.91256,
2091.514,859.44217,
2088.603,842.88195,
2085.692,853.06261,
2082.782,844.04984,
2079.871,846.69705,
2076.961,857.7938,
2074.050,850.03561,
2071.140,847.23676,
2068.229,865.19792,
2065.318,852.86824,
2062.408,844.83718,
2059.497,839.55951,
2056.587,815.22415,
2053.676,822.89072,
2050.766,827.29802,
2047.855,825.63131,
2044.944,835.04006,
2042.034,831.08009,
2039.123,823.0787,
2036.213,847.43495,
2033.302,828.57071,
2030.391,818.29045,
2027.481,840.41134,
2024.570,847.68933,
2021.660,846.43413,
2018.749,836.94486,
2015.839,851.24049,
2012.928,852.67366,
2010.017,867.1926,
2007.107,865.046,
2004.196,848.51788,
2001.286,862.83435,
1998.375,872.5502,
1995.465,844.48393,
1992.554,835.49854,
1989.643,873.02701,
1986.733,837.44518,
1983.822,857.78563,
1980.912,861.13695,
1978.001,841.49374,
1975.090,844.14905,
1972.180,863.54653,
1969.269,868.28016,
1966.359,851.40186,
1963.448,837.80036,
1960.538,862.96633,
1957.627,878.29142,
1954.716,847.32299,
1951.806,850.21309,
1948.895,879.38116,
1945.985,840.41748,
1943.074,851.45982,
1940.164,851.5479,
1937.253,841.24883,
1934.342,845.36644,
1931.432,852.45702,
1928.521,854.47863,
1925.611,830.03108,
1922.700,824.54075,
1919.790,847.76781,
1916.879,831.83974,
1913.968,820.3873,
1911.058,833.44107,
1908.147,837.16481,
1905.237,859.54415,
1902.326,865.03576,
1899.415,820.25303,
1896.505,803.55584,
1893.594,845.72266,
1890.684,863.43392,
1887.773,863.65915,
1884.863,870.82375,
1881.952,851.93767,
1879.041,849.67043,
1876.131,878.2495,
1873.220,842.53412,
1870.310,844.72925,
1867.399,878.83122,
1864.489,880.56972,
1861.578,879.58424,
1858.667,826.89593,
1855.757,847.375,
1852.846,859.93906,
1849.936,889.81745,
1847.025,890.36767,
1844.114,913.31614,
1841.204,896.11976,
1838.293,899.36502,
1835.383,901.003,
1832.472,887.8863,
1829.562,894.78985,
1826.651,939.29898,
1823.740,912.69676,
1820.830,897.14666,
1817.919,902.26126,
1815.009,909.36864,
1812.098,912.17027,
1809.188,933.94859,
1806.277,872.79144,
1803.366,911.70772,
1800.456,930.93534,
1797.545,927.24714,
1794.635,961.50494,
1791.724,936.20023,
1788.813,945.38143,
1785.903,960.45062,
1782.992,937.40031,
1780.082,902.70935,
1777.171,859.03774,
1774.261,849.85011,
1771.350,906.07352,
1768.439,963.75607,
1765.529,964.4695,
1762.618,986.89187,
1759.708,999.14687,
1756.797,1013.5265,
1753.887,998.4508,
1750.976,990.68194,
1748.065,1030.6269,
1745.155,1023.9946,
1742.244,1017.307,
1739.334,1029.9068,
1736.423,1054.5712,
1733.512,1038.6351,
1730.602,1072.012,
1727.691,1044.9213,
1724.781,1045.7468,
1721.870,1033.2797,
1718.960,1016.2193,
1716.049,1069.5863,
1713.138,1057.2901,
1710.228,1077.7433,
1707.317,1085.7979,
1704.407,1120.5141,
1701.496,1134.402,
1698.586,1133.527,
1695.675,1118.4037,
1692.764,1130.6291,
1689.854,1156.249,
1686.943,1176.7005,
1684.033,1157.8717,
1681.122,1200.6273,
1678.211,1199.394,
1675.301,1244.2362,
1672.390,1247.2494,
1669.480,1206.0168,
1666.569,1285.5147,
1663.659,1296.767,
1660.748,1320.4328,
1657.837,1323.6593,
1654.927,1336.4219,
1652.016,1338.0348,
1649.106,1326.7252,
1646.195,1420.9265,
1643.285,1442.8281,
1640.374,1420.6084,
1637.463,1478.8254,
1634.553,1504.0696,
1631.642,1550.9939,
1628.732,1607.6002,
1625.821,1645.4568,
1622.911,1769.6706,
1620.000,1874.0521,
1617.089,1907.7183,
1614.179,2052.2013,
1611.268,2119.9213,
1608.358,2264.3984,
1605.447,2364.7186,
1602.536,2409.5143,
1599.626,2426.174,
1596.715,2406.5002,
1593.805,2359.6584,
1590.894,2326.1936,
1587.984,2382.1354,
1585.073,2356.4915,
1582.162,2321.9889,
1579.252,2272.1867,
1576.341,2187.075,
1573.431,2151.9283,
1570.520,2164.9557,
1567.610,2162.1788,
1564.699,2155.7499,
1561.788,2140.2906,
1558.878,2065.4159,
1555.967,2074.9969,
1553.057,2056.8237,
1550.146,1974.7642,
1547.235,1971.6139,
1544.325,1932.601,
1541.414,1903.8171,
1538.504,1889.033,
1535.593,1826.2648,
1532.683,1811.5883,
1529.772,1804.3255,
1526.861,1758.5471,
1523.951,1753.2386,
1521.040,1761.171,
1518.130,1752.303,
1515.219,1715.1748,
1512.309,1720.8885,
1509.398,1706.0634,
1506.487,1680.5082,
1503.577,1724.2066,
1500.666,1658.5915,
1497.756,1656.8756,
1494.845,1708.4934,
1491.934,1639.3876,
1489.024,1643.2376,
1486.113,1673.0459,
1483.203,1667.3815,
1480.292,1574.7358,
1477.382,1538.977,
1474.471,1530.5381,
1471.560,1530.1007,
1468.650,1556.3394,
1465.739,1544.0364,
1462.829,1549.4732,
1459.918,1570.1099,
1457.008,1537.2822,
1454.097,1494.2913,
1451.186,1487.1274,
1448.276,1500.8717,
1445.365,1517.7305,
1442.455,1506.1212,
1439.544,1519.7283,
1436.633,1484.1029,
1433.723,1481.6001,
1430.812,1537.6018,
1427.902,1516.2544,
1424.991,1553.2172,
1422.081,1504.8312,
1419.170,1496.0547,
1416.259,1503.4756,
1413.349,1448.7319,
1410.438,1475.8607,
1407.528,1481.2127,
1404.617,1465.7423,
1401.707,1455.0756,
1398.796,1471.6162,
1395.885,1473.8788,
1392.975,1461.0841,
1390.064,1494.8465,
1387.154,1487.3929,
1384.243,1458.2728,
1381.332,1494.695,
1378.422,1523.7903,
1375.511,1570.6293,
1372.601,1574.1397,
1369.690,1655.8111,
1366.780,1613.1405,
1363.869,1686.2787,
1360.958,1723.3363,
1358.048,1762.7536,
1355.137,1777.3356,
1352.227,1808.0942,
1349.316,1898.3685,
1346.406,1941.0652,
1343.495,1893.6172,
1340.584,1915.5525,
1337.674,1986.7686,
1334.763,2000.3157,
1331.853,2051.3134,
1328.942,2086.2852,
1326.032,2065.0908,
1323.121,2097.1642,
1320.210,2162.3168,
1317.300,2188.9652,
1314.389,2209.931,
1311.479,2267.3844,
1308.568,2337.5673,
1305.657,2397.5706,
1302.747,2471.5612,
1299.836,2544.1662,
1296.926,2578.8877,
1294.015,2589.9196,
1291.105,2662.5794,
1288.194,2763.4317,
1285.283,2779.215,
1282.373,2813.7108,
1279.462,2871.0606,
1276.552,2942.1862,
1273.641,3022.2619,
1270.731,3058.7914,
1267.820,3013.6887,
1264.909,2987.0346,
1261.999,3006.6746,
1259.088,3014.8837,
1256.178,3017.0879,
1253.267,2923.7772,
1250.356,2838.4857,
1247.446,2787.3192,
1244.535,2737.6697,
1241.625,2679.3454,
1238.714,2609.9934,
1235.804,2520.2441,
1232.893,2458.2456,
1229.982,2476.2899,
1227.072,2414.7286,
1224.161,2325.4841,
1221.251,2289.2733,
1218.340,2291.4444,
1215.430,2247.9279,
1212.519,2204.3002,
1209.608,2194.4137,
1206.698,2187.1623,
1203.787,2193.9328,
1200.877,2204.2138,
1197.966,2233.886,
1195.055,2281.4504,
1192.145,2364.5093,
1189.234,2413.3803,
1186.324,2435.6486,
1183.413,2450.441,
1180.503,2456.677,
1177.592,2443.9405,
1174.681,2414.3065,
1171.771,2379.8695,
1168.860,2401.3037,
1165.950,2323.5523,
1163.039,2334.4063,
1160.129,2339.117,
1157.218,2319.4337,
1154.307,2301.0358,
1151.397,2295.1143,
1148.486,2291.0782,
1145.576,2275.2275,
1142.665,2340.9331,
1139.754,2311.389,
1136.844,2275.3629,
1133.933,2262.202,
1131.023,2287.3403,
1128.112,2321.7314,
1125.202,2334.9982,
1122.291,2349.7591,
1119.380,2373.4443,
1116.470,2380.5045,
1113.559,2395.2935,
1110.649,2418.3655,
1107.738,2401.0483,
1104.828,2359.0666,
1101.917,2331.8956,
1099.006,2328.9008,
1096.096,2328.0423,
1093.185,2273.6061,
1090.275,2315.5034,
1087.364,2326.375,
1084.453,2328.0624,
1081.543,2343.3981,
1078.632,2360.4348,
1075.722,2363.0765,
1072.811,2385.1745,
1069.901,2410.4991,
1066.990,2427.7333,
1064.079,2473.5669,
1061.169,2463.5507,
1058.258,2447.8447,
1055.348,2461.1388,
1052.437,2467.1789,
1049.527,2475.5694,
1046.616,2454.7175,
1043.705,2463.1657,
1040.795,2498.9387,
1037.884,2512.8234,
1034.974,2518.8028,
1032.063,2533.2751,
1029.153,2517.9742,
1026.242,2472.9964,
1023.331,2525.5382,
1020.421,2549.6199,
1017.510,2608.6012,
1014.600,2652.0667,
1011.689,2658.6511,
1008.778,2671.1343,
1005.868,2681.5372,
1002.957,2699.6046,
1000.047,2807.207,
997.136,2883.3765,
994.226,2916.5134,
991.315,2906.4988,
988.404,2861.7537,
985.494,2853.0489,
982.583,2838.4875,
979.673,2829.0585,
976.762,2819.9169,
973.852,2819.3531,
970.941,2817.8546,
968.030,2806.1323,
965.120,2827.4681,
962.209,2849.6342,
959.299,2845.5843,
956.388,2876.5328,
953.477,2896.3875,
950.567,2891.6035,
947.656,2902.03,
944.746,2868.8973,
941.835,2928.9208,
938.925,2907.1822,
936.014,2881.2934,
933.103,2869.7848,
930.193,2846.3932,
927.282,2788.0707,
924.372,2819.3581,
921.461,2784.3458,
918.551,2762.2419,
915.640,2713.0307,
912.729,2645.7876,
909.819,2622.7086,
906.908,2625.2359,
903.998,2608.6724,
901.087,2645.7479,
898.176,2678.4417,
895.266,2701.7058,
892.355,2726.1344,
889.445,2703.4742,
886.534,2752.6324,
883.624,2788.6155,
880.713,2791.6782,
877.802,2761.5315,
874.892,2704.5419,
871.981,2624.1124,
869.071,2570.646,
866.160,2574.4842,
863.250,2642.7551,
860.339,2713.336,
857.428,2741.8186,
854.518,2755.2677,
851.607,2716.9925,
848.697,2649.8471,
845.786,2627.5647,
842.875,2668.728,
839.965,2739.2489,
837.054,2753.3146,
834.144,2837.0186,
831.233,2830.0434,
828.323,2806.0107,
825.412,2796.9166,
822.501,2806.1623,
819.591,2816.0791,
816.680,2798.7468,
813.770,2786.857,
810.859,2750.7882,
807.949,2711.2726,
805.038,2704.7909,
802.127,2675.1583,
799.217,2629.8877,
796.306,2605.1587,
793.396,2618.3981,
790.485,2652.4279,
787.574,2655.6588,
784.664,2636.7963,
781.753,2621.9683,
778.843,2633.0378,
775.932,2652.8441,
773.022,2666.7436,
770.111,2720.7038,
767.200,2683.2641,
764.290,2677.3095,
761.379,2671.7406,
758.469,2651.8175,
755.558,2638.4723,
752.648,2641.7307,
749.737,2661.3059,
746.826,2647.1315,
743.916,2626.3556,
741.005,2647.2179,
738.095,2672.386,
735.184,2583.8474,
732.274,2536.3312,
729.363,2534.7808,
726.452,2567.8931,
723.542,2659.3545,
720.631,2621.5608,
717.721,2645.0371,
714.810,2646.4888,
711.899,2615.6622,
708.989,2664.0777,
706.078,2664.375,
703.168,2616.4045,
700.257,2620.0311,
697.347,2658.2892,
694.436,2618.4623,
691.525,2621.6775,
688.615,2611.6835,
685.704,2607.5335,
682.794,2615.5239,
679.883,2633.0238,
676.973,2647.4485,
674.062,2652.2892,
671.151,2661.2649,
668.241,2677.3312,
665.330,2694.9758,
662.420,2665.4227,
659.509,2673.9784,
656.598,2688.8662,
653.688,2682.8823,
650.777,2635.2391,
647.867,2660.7216,
644.956,2636.0366,
642.046,2582.9634,
639.135,2551.3533,
636.224,2615.3233,
633.314,2605.0021,
630.403,2644.9422,
627.493,2685.1291,
624.582,2709.6144,
621.672,2742.0862,
618.761,2720.5768,
615.850,2724.9457,
612.940,2749.4025,
610.029,2773.5087,
