,PLA8D8~1,
Raman shift [1/cm],Intensity,
2175.920,1294.2323,
2173.010,1329.3515,
2170.099,1341.6994,
2167.189,1369.7942,
2164.278,1405.6578,
2161.368,1403.2112,
2158.457,1462.4165,
2155.546,1463.9087,
2152.636,1503.9467,
2149.725,1495.198,
2146.815,1568.7971,
2143.904,1600.0241,
2140.993,1644.7647,
2138.083,1602.7827,
2135.172,1601.5588,
2132.262,1581.9824,
2129.351,1548.0688,
2126.441,1544.801,
2123.530,1488.0959,
2120.619,1441.7665,
2117.709,1371.5994,
2114.798,1338.6382,
2111.888,1272.3387,
2108.977,1231.8775,
2106.067,1203.0238,
2103.156,1131.3922,
2100.245,1125.5,
2097.335,1117.5524,
2094.424,1059.0213,
2091.514,1073.2313,
2088.603,1079.1913,
2085.692,1054.5,
2082.782,1043.8977,
2079.871,1047.7147,
2076.961,1056.048,
2074.050,1052.3545,
2071.140,1046.6037,
2068.229,1039.9362,
2065.318,1055.2277,
2062.408,1040.053,
2059.497,1038.9048,
2056.587,1036.2443,
2053.676,1044.2994,
2050.766,1045.577,
2047.855,1004.7278,
2044.944,1015.2933,
2042.034,1025.9161,
2039.123,1011.702,
2036.213,1038.5756,
2033.302,1046.4131,
2030.391,1035.1952,
2027.481,1023.5488,
2024.570,1035.8282,
2021.660,1014.9782,
2018.749,1034.538,
2015.839,1034.2894,
2012.928,1032.9362,
2010.017,1053.8507,
2007.107,1044.5448,
2004.196,1053.4644,
2001.286,1069.4788,
1998.375,1052.8868,
1995.465,1007.1696,
1992.554,1018.4116,
1989.643,1032.1198,
1986.733,1060.7342,
1983.822,1030.7696,
1980.912,1036.4503,
1978.001,1032.949,
1975.090,1027.7488,
1972.180,1002.2247,
1969.269,1041.9197,
1966.359,1065.1755,
1963.448,1054.8474,
1960.538,993.44828,
1957.627,1034.7818,
1954.716,1026.9309,
1951.806,1006.5368,
1948.895,1046.2652,
1945.985,1044.964,
1943.074,1022.5848,
1940.164,1025.5191,
1937.253,1021.6651,
1934.342,1024.9701,
1931.432,1015.1498,
1928.521,1017.6434,
1925.611,1014.2923,
1922.700,1014.6657,
1919.790,1012.055,
1916.879,1015.221,
1913.968,1009.5074,
1911.058,1004.2748,
1908.147,1037.9204,
1905.237,1005.4706,
1902.326,1011.4793,
1899.415,992.35733,
1896.505,1001.1023,
1893.594,1003.308,
1890.684,1003.8792,
1887.773,996.47386,
1884.863,1007.6891,
1881.952,1015.0799,
1879.041,1019.7695,
1876.131,1009.0987,
1873.220,1009.9867,
1870.310,1001.2175,
1867.399,1045.7643,
1864.489,1040.6043,
1861.578,1019.5274,
1858.667,1035.2215,
1855.757,1064.1158,
1852.846,1047.7564,
1849.936,1049.9885,
1847.025,1048.6168,
1844.114,1059.34,
1841.204,1066.3427,
1838.293,1057.5083,
1835.383,1059.058,
1832.472,1060.3487,
1829.562,1051.112,
1826.651,1063.9107,
1823.740,1087.5154,
1820.830,1071.8935,
1817.919,1087.4882,
1815.009,1063.388,
1812.098,1059.3976,
1809.188,1093.2674,
1806.277,1123.8582,
1803.366,1070.1987,
1800.456,1112.5991,
1797.545,1126.2449,
1794.635,1079.7891,
1791.724,1119.4611,
1788.813,1144.3062,
1785.903,1155.2927,
1782.992,1114.5506,
1780.082,1084.0316,
1777.171,1096.4973,
1774.261,1096.3552,
1771.350,1126.5598,
1768.439,1152.4583,
1765.529,1147.3157,
1762.618,1150.3419,
1759.708,1167.9456,
1756.797,1162.8106,
1753.887,1147.5248,
1750.976,1157.5484,
1748.065,1194.2343,
1745.155,1186.784,
1742.244,1187.7427,
1739.334,1174.6435,
1736.423,1193.7616,
1733.512,1202.5894,
1730.602,1232.1687,
1727.691,1242.5,
1724.781,1274.7496,
1721.870,1241.6521,
1718.960,1261.9226,
1716.049,1277.7287,
1713.138,1265.8201,
1710.228,1283.5168,
1707.317,1301.5377,
1704.407,1328.6551,
1701.496,1295.0381,
1698.586,1284.1081,
1695.675,1354.6139,
1692.764,1350.9795,
1689.854,1357.1969,
1686.943,1379.7243,
1684.033,1346.3693,
1681.122,1432.0047,
1678.211,1453.3097,
1675.301,1441.537,
1672.390,1459.7632,
1669.480,1548.2541,
1666.569,1640.5478,
1663.659,1567.9209,
1660.748,1654.0592,
1657.837,1683.178,
1654.927,1715.7492,
1652.016,1808.6981,
1649.106,1777.1365,
1646.195,1802.8836,
1643.285,1821.1205,
1640.374,1934.3571,
1637.463,1975.5989,
1634.553,2037.0221,
1631.642,2139.5098,
1628.732,2232.6377,
1625.821,2423.5419,
1622.911,2487.1394,
1620.000,2663.2574,
1617.089,2806.6343,
1614.179,2961.1006,
1611.268,3105.1092,
1608.358,3221.0685,
1605.447,3345.301,
1602.536,3387.9117,
1599.626,3403.3791,
1596.715,3377.272,
1593.805,3388.8093,
1590.894,3375.5286,
1587.984,3345.7851,
1585.073,3341.5,
1582.162,3275.544,
1579.252,3166.7588,
1576.341,3147.1021,
1573.431,3122.4384,
1570.520,3091.0399,
1567.610,3029.8521,
1564.699,2966.5482,
1561.788,2899.5005,
1558.878,2862.7964,
1555.967,2810.5748,
1553.057,2753.69,
1550.146,2693.3256,
1547.235,2635.032,
1544.325,2588.1821,
1541.414,2543.5773,
1538.504,2505.5721,
1535.593,2492.9346,
1532.683,2510.2006,
1529.772,2522.3251,
1526.861,2506.2464,
1523.951,2489.1455,
1521.040,2465.6863,
1518.130,2440.536,
1515.219,2465.2596,
1512.309,2477.7477,
1509.398,2486.0189,
1506.487,2499.0126,
1503.577,2440.2598,
1500.666,2471.5533,
1497.756,2411.3224,
1494.845,2445.5,
1491.934,2445.3142,
1489.024,2388.5271,
1486.113,2422.6614,
1483.203,2375.7626,
1480.292,2339.8021,
1477.382,2327.2258,
1474.471,2296.3396,
1471.560,2246.137,
1468.650,2237.3327,
1465.739,2230.2522,
1462.829,2291.9404,
1459.918,2346.8923,
1457.008,2363.6386,
1454.097,2339.6868,
1451.186,2295.678,
1448.276,2254.2928,
1445.365,2185.2836,
1442.455,2150.4805,
1439.544,2103.8414,
1436.633,2022.0045,
1433.723,2001.0136,
1430.812,1971.0515,
1427.902,1989.5529,
1424.991,1949.7469,
1422.081,1914.5533,
1419.170,1892.4907,
1416.259,1890.3101,
1413.349,1888.9895,
1410.438,1864.0077,
1407.528,1860.5812,
1404.617,1886.8109,
1401.707,1889.7814,
1398.796,1900.2132,
1395.885,1906.3109,
1392.975,1862.7909,
1390.064,1807.8382,
1387.154,1728.2646,
1384.243,1637.2226,
1381.332,1601.2626,
1378.422,1636.7652,
1375.511,1738.8744,
1372.601,1892.5591,
1369.690,2004.9378,
1366.780,2098.3274,
1363.869,2125.0383,
1360.958,2192.2012,
1358.048,2243.2994,
1355.137,2278.6301,
1352.227,2303.1602,
1349.316,2327.7191,
1346.406,2368.1214,
1343.495,2418.1395,
1340.584,2508.3218,
1337.674,2481.82,
1334.763,2463.6989,
1331.853,2574.0394,
1328.942,2545.5898,
1326.032,2570.0467,
1323.121,2617.994,
1320.210,2601.8676,
1317.300,2670.313,
1314.389,2770.1258,
1311.479,2827.4125,
1308.568,2873.4882,
1305.657,2934.7289,
1302.747,2998.227,
1299.836,3051.9939,
1296.926,3111.2257,
1294.015,3234.415,
1291.105,3302.0185,
1288.194,3363.217,
1285.283,3454.5443,
1282.373,3538.0232,
1279.462,3549.8337,
1276.552,3567.0198,
1273.641,3598.8059,
1270.731,3592.1463,
1267.820,3597.0458,
1264.909,3592.7089,
1261.999,3599.2031,
1259.088,3536.2668,
1256.178,3494.8159,
1253.267,3394.135,
1250.356,3326.2193,
1247.446,3265.2556,
1244.535,3213.6965,
1241.625,3147.0927,
1238.714,3055.0342,
1235.804,2990.1651,
1232.893,2950.027,
1229.982,2827.2547,
1227.072,2820.0122,
1224.161,2758.9837,
1221.251,2665.604,
1218.340,2585.675,
1215.430,2574.0161,
1212.519,2555.3541,
1209.608,2512.2475,
1206.698,2516.245,
1203.787,2547.0729,
1200.877,2532.902,
1197.966,2603.9355,
1195.055,2704.7703,
1192.145,2761.3212,
1189.234,2846.516,
1186.324,2958.0524,
1183.413,3032.632,
1180.503,3042.7431,
1177.592,3022.3888,
1174.681,2997.5171,
1171.771,2940.357,
1168.860,2847.4757,
1165.950,2819.9553,
1163.039,2773.5958,
1160.129,2757.8594,
1157.218,2786.4212,
1154.307,2831.8251,
1151.397,2873.0553,
1148.486,2912.6989,
1145.576,2917.7268,
1142.665,2876.8828,
1139.754,2897.9089,
1136.844,2866.3839,
1133.933,2843.4619,
1131.023,2816.3115,
1128.112,2768.6462,
1125.202,2729.4324,
1122.291,2737.2547,
1119.380,2749.8031,
1116.470,2780.6916,
1113.559,2773.6745,
1110.649,2756.7482,
1107.738,2725.3882,
1104.828,2693.2653,
1101.917,2660.3395,
1099.006,2614.7682,
1096.096,2592.07,
1093.185,2585.046,
1090.275,2636.2933,
1087.364,2622.4273,
1084.453,2623.4367,
1081.543,2661.9844,
