,PLF53F~1,
Raman shift [1/cm],Intensity,
2181.742,1487.0684,
2178.831,1496.3969,
2175.920,1525.898,
2173.010,1578.5278,
2170.099,1602.3988,
2167.189,1634.3803,
2164.278,1691.9889,
2161.368,1734.1413,
2158.457,1800.0429,
2155.546,1859.575,
2152.636,1894.6914,
2149.725,1954.1006,
2146.815,1978.4995,
2143.904,2002.7174,
2140.993,2046.164,
2138.083,2060.5775,
2135.172,2079,
2132.262,2073.3671,
2129.351,2082.838,
2126.441,2010.1357,
2123.530,1973.5174,
2120.619,1917.6519,
2117.709,1810.2681,
2114.798,1719.9151,
2111.888,1652.2763,
2108.977,1578.2251,
2106.067,1527.7319,
2103.156,1520.8798,
2100.245,1474.9799,
2097.335,1438.1833,
2094.424,1396.2982,
2091.514,1362.1289,
2088.603,1349.4424,
2085.692,1373.4126,
2082.782,1382,
2079.871,1345.0339,
2076.961,1351.9668,
2074.050,1353.1273,
2071.140,1341.149,
2068.229,1359.0196,
2065.318,1335.7655,
2062.408,1323.7042,
2059.497,1321.4226,
2056.587,1353.8252,
2053.676,1334.6018,
2050.766,1320.6158,
2047.855,1300.5981,
2044.944,1321.6651,
2042.034,1326.948,
2039.123,1328.6397,
2036.213,1329.5378,
2033.302,1339.9782,
2030.391,1321.8142,
2027.481,1335.0363,
2024.570,1338.1002,
2021.660,1378.3983,
2018.749,1355.038,
2015.839,1360.8425,
2012.928,1384.6443,
2010.017,1365.8437,
2007.107,1368.3701,
2004.196,1345.7857,
2001.286,1353.9187,
1998.375,1333.686,
1995.465,1367.983,
1992.554,1345.065,
1989.643,1360.2742,
1986.733,1322.893,
1983.822,1315.2164,
1980.912,1290.0206,
1978.001,1327.449,
1975.090,1335,
1972.180,1325.8285,
1969.269,1339.7759,
1966.359,1345.6755,
1963.448,1322.9287,
1960.538,1338.0993,
1957.627,1321.6006,
1954.716,1345.2244,
1951.806,1338.2484,
1948.895,1343.2551,
1945.985,1340.3023,
1943.074,1320.0369,
1940.164,1322.4713,
1937.253,1329.5436,
1934.342,1311.923,
1931.432,1304.7319,
1928.521,1335.8722,
1925.611,1324.6107,
1922.700,1289.4655,
1919.790,1310.5604,
1916.879,1271.2782,
1913.968,1319.9361,
1911.058,1296.1231,
1908.147,1308.2803,
1905.237,1292.1398,
1902.326,1333.7022,
1899.415,1341.5975,
1896.505,1301.7349,
1893.594,1307.4452,
1890.684,1313.6079,
1887.773,1313.5514,
1884.863,1335.3941,
1881.952,1327.6552,
1879.041,1317.974,
1876.131,1303.1556,
1873.220,1320.9204,
1870.310,1314.7175,
1867.399,1350.4082,
1864.489,1345.1697,
1861.578,1301.868,
1858.667,1318.5329,
1855.757,1318.7685,
1852.846,1344.7026,
1849.936,1324.2552,
1847.025,1354.0535,
1844.114,1367.1364,
1841.204,1360.472,
1838.293,1381.4842,
1835.383,1377.884,
1832.472,1379.4539,
1829.562,1420.5789,
1826.651,1397.2896,
1823.740,1359.0728,
1820.830,1379.0081,
1817.919,1412.2457,
1815.009,1439.4058,
1812.098,1413.378,
1809.188,1410.938,
1806.277,1410.0221,
1803.366,1462.902,
1800.456,1398.3297,
1797.545,1408.0565,
1794.635,1446.71,
1791.724,1445.9222,
1788.813,1480.1925,
1785.903,1462.6279,
1782.992,1464.0998,
1780.082,1428.2429,
1777.171,1454.3346,
1774.261,1468.1252,
1771.350,1484,
1768.439,1482.2976,
1765.529,1486.3648,
1762.618,1500.2806,
1759.708,1523.348,
1756.797,1503.5,
1753.887,1486.5394,
1750.976,1475.7723,
1748.065,1521.215,
1745.155,1523.2325,
1742.244,1517.567,
1739.334,1572.9294,
1736.423,1566.0318,
1733.512,1560.5488,
1730.602,1580.2044,
1727.691,1548.3846,
1724.781,1588.9141,
1721.870,1611.0477,
1718.960,1634.378,
1716.049,1622.2205,
1713.138,1641.2299,
1710.228,1637.1673,
1707.317,1666.96,
1704.407,1623.3849,
1701.496,1659.0197,
1698.586,1675.9358,
1695.675,1684.4857,
1692.764,1684.0533,
1689.854,1767.2323,
1686.943,1760.371,
1684.033,1774.6275,
1681.122,1783.8471,
1678.211,1817.6764,
1675.301,1843.9198,
1672.390,1859.1495,
1669.480,1909.2487,
1666.569,1940.7237,
1663.659,1998.1759,
1660.748,2067.7467,
1657.837,2005.6184,
1654.927,2079.9915,
1652.016,2162.9757,
1649.106,2163.9585,
1646.195,2242.3357,
1643.285,2257.3216,
1640.374,2312.9756,
1637.463,2267.468,
1634.553,2402.7389,
1631.642,2453.3029,
1628.732,2572.4207,
