,PL418C~1,
Wavenumbers [1/cm],Intensity,
2175.920,354.91576,
2173.010,348.49943,
2170.099,402.07691,
2167.189,388.85046,
2164.278,403.92387,
2161.368,417.60631,
2158.457,433.47912,
2155.546,449.12792,
2152.636,481.56378,
2149.725,498.07214,
2146.815,492.01695,
2143.904,515.95445,
2140.993,527.4484,
2138.083,530.11474,
2135.172,527.77519,
2132.262,542.27465,
2129.351,560.30177,
2126.441,522.1091,
2123.530,532.67143,
2120.619,522.99782,
2117.709,498.89412,
2114.798,470.81528,
2111.888,446.50045,
2108.977,426.57781,
2106.067,422.26676,
2103.156,396.35495,
2100.245,398.72993,
2097.335,367.83377,
2094.424,375.51065,
2091.514,367.95693,
2088.603,354.32604,
2085.692,362.20719,
2082.782,380.05917,
2079.871,379.82118,
2076.961,363.78325,
2074.050,385.42879,
2071.140,394.72733,
2068.229,375.38281,
2065.318,382.0465,
2062.408,380.82565,
2059.497,358.31545,
2056.587,359.51724,
2053.676,387.61527,
2050.766,366.90546,
2047.855,367.55065,
2044.944,365.27242,
2042.034,390.95804,
2039.123,387.25168,
2036.213,393.57885,
2033.302,376.40224,
2030.391,370.1738,
2027.481,369.4939,
2024.570,378.17835,
2021.660,397.62654,
2018.749,368.5478,
2015.839,389.28806,
2012.928,392.75,
2010.017,399.24295,
2007.107,402.28269,
2004.196,386.21428,
2001.286,401.6687,
1998.375,394.65747,
1995.465,382.81696,
1992.554,391.39109,
1989.643,381.16476,
1986.733,413.77017,
1983.822,381.8534,
1980.912,400.06678,
1978.001,397.75,
1975.090,402.13321,
1972.180,402.95746,
1969.269,403.54313,
1966.359,404.2094,
1963.448,396.63639,
1960.538,421.52982,
1957.627,417.0503,
1954.716,384.66926,
1951.806,413.59453,
1948.895,421.46065,
1945.985,371.0817,
1943.074,397.71307,
1940.164,402.75,
1937.253,407.05426,
1934.342,404.68155,
1931.432,415.80048,
1928.521,421.95725,
1925.611,401.89302,
1922.700,402.08149,
1919.790,413.22388,
1916.879,367.30722,
1913.968,431.66639,
1911.058,421.29654,
1908.147,403.67265,
1905.237,418.38232,
1902.326,398.11297,
1899.415,383.53292,
1896.505,380.49713,
1893.594,421.00923,
1890.684,438.45594,
1887.773,439.56872,
1884.863,449.93907,
1881.952,434.31267,
1879.041,429.01947,
1876.131,423.23497,
1873.220,416.51989,
1870.310,426.88899,
1867.399,421.84596,
1864.489,407.55528,
1861.578,405.17838,
1858.667,429.77694,
1855.757,439.93496,
1852.846,456.24744,
1849.936,436.61188,
1847.025,413.09547,
1844.114,452.78531,
1841.204,442.80595,
1838.293,433.22755,
1835.383,451.122,
1832.472,445.85435,
1829.562,441.0276,
1826.651,467.04976,
1823.740,462.00667,
1820.830,461.15162,
1817.919,466.00751,
1815.009,465.89377,
1812.098,463.95473,
1809.188,464.68798,
1806.277,440.3033,
1803.366,452.08272,
1800.456,471.14547,
1797.545,460.01245,
1794.635,454.55603,
1791.724,463.77917,
1788.813,456.35977,
1785.903,485.57753,
1782.992,466.7276,
1780.082,419.42349,
1777.171,404.41649,
1774.261,402.65498,
1771.350,439.53352,
1768.439,485.13107,
1765.529,470.84168,
1762.618,498.94005,
1759.708,503.82589,
1756.797,489.59091,
1753.887,493.18586,
1750.976,496.28796,
1748.065,529.47196,
1745.155,507.23416,
1742.244,502.28982,
1739.334,496.00177,
1736.423,514.18548,
1733.512,539.30289,
1730.602,541.75793,
1727.691,530.77041,
1724.781,509.65874,
1721.870,534.52636,
1718.960,517.08304,
1716.049,556.21566,
