,PLAE2B~1,
Raman shift [1/cm],Intensity,
2181.742,1324.1262,
2178.831,1373.3167,
2175.920,1429.1073,
2173.010,1475.8274,
2170.099,1557.567,
2167.189,1643.9203,
2164.278,1728.6192,
2161.368,1811.5143,
2158.457,1911.9108,
2155.546,2001.5087,
2152.636,2094.6355,
2149.725,2178.9588,
2146.815,2222.3072,
2143.904,2258.085,
2140.993,2289.359,
2138.083,2303.2565,
2135.172,2297.291,
2132.262,2296.735,
2129.351,2271.4956,
2126.441,2232.6856,
2123.530,2161.8485,
2120.619,2018.568,
2117.709,1932.5236,
2114.798,1804.4207,
2111.888,1694.8144,
2108.977,1606.9644,
2106.067,1545.4896,
2103.156,1475.426,
2100.245,1397.3756,
2097.335,1398.6158,
2094.424,1377.3975,
2091.514,1322.2515,
2088.603,1332.541,
2085.692,1319.6054,
2082.782,1342.2183,
2079.871,1310.5874,
2076.961,1274.3123,
2074.050,1299.1811,
2071.140,1289.9042,
2068.229,1270.6276,
2065.318,1291.1647,
2062.408,1276.496,
2059.497,1283.4048,
2056.587,1286.2821,
2053.676,1249.8937,
2050.766,1284.8339,
2047.855,1274.318,
2044.944,1272.508,
2042.034,1277.641,
2039.123,1279.8127,
2036.213,1243.2238,
2033.302,1243.3095,
2030.391,1268.6798,
2027.481,1260.9849,
2024.570,1286.7171,
2021.660,1255.681,
2018.749,1296.2353,
2015.839,1269.1237,
2012.928,1278.5361,
2010.017,1281.7898,
2007.107,1301.375,
2004.196,1289.0892,
2001.286,1285.2301,
1998.375,1302.9006,
1995.465,1290.283,
1992.554,1291.5102,
1989.643,1287.5478,
1986.733,1298.3583,
1983.822,1282.9141,
1980.912,1305.435,
1978.001,1313.6978,
1975.090,1273.3979,
1972.180,1260.996,
1969.269,1266.9986,
1966.359,1275.6723,
1963.448,1284.4107,
1960.538,1317.4009,
1957.627,1331.5081,
1954.716,1310.0357,
1951.806,1300.835,
1948.895,1277.7514,
1945.985,1316.2688,
1943.074,1296.0946,
1940.164,1282.9228,
1937.253,1266.8314,
1934.342,1293.0247,
1931.432,1291.9018,
1928.521,1251.1004,
1925.611,1257.9982,
1922.700,1251.3377,
1919.790,1284.4093,
1916.879,1284.7935,
1913.968,1288.3701,
1911.058,1280.5642,
1908.147,1299.3677,
1905.237,1313.7647,
1902.326,1306.4535,
1899.415,1272.6713,
1896.505,1295.3873,
1893.594,1307.4756,
1890.684,1297.1527,
1887.773,1319.2367,
1884.863,1314.7053,
1881.952,1293.8201,
1879.041,1293.6704,
1876.131,1304.3332,
1873.220,1302.0166,
1870.310,1283.7383,
1867.399,1306.9752,
1864.489,1328.0509,
1861.578,1295.6552,
1858.667,1302.1893,
1855.757,1327.165,
1852.846,1340.8878,
1849.936,1335.6783,
1847.025,1329.6596,
1844.114,1361.9138,
1841.204,1339.1582,
1838.293,1347.8459,
1835.383,1356.0845,
1832.472,1350.7472,
1829.562,1350.4586,
1826.651,1345.2723,
1823.740,1369.5819,
1820.830,1354.6819,
1817.919,1379.9501,
1815.009,1377.1002,
1812.098,1367.2963,
1809.188,1391.7005,
1806.277,1374.7955,
1803.366,1429.826,
1800.456,1398.694,
1797.545,1421.4672,
1794.635,1424.439,
1791.724,1441.0157,
1788.813,1447.366,
1785.903,1427.3478,
1782.992,1445.059,
1780.082,1418.4586,
1777.171,1418.3798,
1774.261,1429.0749,
1771.350,1431.4135,
1768.439,1461.1845,
1765.529,1482.65,
1762.618,1500.2738,
1759.708,1484.4726,
1756.797,1488.9659,
1753.887,1489.1942,
1750.976,1501.4993,
1748.065,1509.3151,
1745.155,1520.2587,
1742.244,1521.7672,
1739.334,1527.6456,
1736.423,1542.9731,
1733.512,1543.0091,
1730.602,1557.8314,
1727.691,1553.3954,
1724.781,1564.5334,
1721.870,1580.4465,
1718.960,1590.7751,
1716.049,1608.3155,
1713.138,1603.68,
1710.228,1622.3918,
1707.317,1635.9899,
1704.407,1625.6958,
1701.496,1682.7141,
1698.586,1706.8547,
1695.675,1698.0822,
1692.764,1679.3873,
1689.854,1673.5915,
1686.943,1715.8911,
1684.033,1790.5123,
1681.122,1745.1906,
1678.211,1800.8325,
1675.301,1815.3318,
1672.390,1879.3301,
1669.480,1864.9686,
1666.569,1938.3496,
1663.659,1937.7796,
1660.748,2022.7414,
1657.837,2042.3591,
1654.927,2085.5081,
1652.016,2051.0759,
1649.106,2121.4559,
1646.195,2203.9194,
1643.285,2186.5371,
1640.374,2237.3785,
1637.463,2285.9243,
1634.553,2371.4833,
1631.642,2446.4065,
1628.732,2541.3468,
1625.821,2704.4522,
1622.911,2821.7101,
1620.000,2880.6317,
1617.089,3054.8526,
1614.179,3278.9734,
1611.268,3397.0624,
1608.358,3606.308,
1605.447,3809.6623,
1602.536,4027.3221,
1599.626,3755.3559,
1596.715,3801.1679,
1593.805,3685.8515,
1590.894,3666.9716,
1587.984,3654.2497,
1585.073,3646.4193,
1582.162,3618.6586,
1579.252,3599.4639,
1576.341,3569.9399,
1573.431,3555.5433,
1570.520,3500.633,
1567.610,3494.8065,
1564.699,3467.9237,
1561.788,3445.1075,
1558.878,3395.9954,
1555.967,3317.2365,
1553.057,3271.4269,
1550.146,3219.9715,
1547.235,3183.3395,
1544.325,3101.7248,
1541.414,3048.1554,
1538.504,3014.3812,
1535.593,2967.6891,
1532.683,2936.9992,
1529.772,2879.5818,
1526.861,2831.5703,
1523.951,2819.9388,
1521.040,2790.385,
1518.130,2753.042,
1515.219,2732.2942,
1512.309,2743.7758,
1509.398,2685.2116,
1506.487,2654.4695,
1503.577,2657.2818,
1500.666,2688.7568,
1497.756,2621.5955,
1494.845,2636.7352,
1491.934,2645.0222,
1489.024,2537.223,
1486.113,2609.4067,
1483.203,2513.2357,
1480.292,2516.4967,
1477.382,2468.4554,
1474.471,2467.8857,
1471.560,2482.26,
1468.650,2430.3466,
1465.739,2436.3995,
1462.829,2435.2768,
1459.918,2412.9827,
1457.008,2469.8527,
1454.097,2469.9837,
1451.186,2401.9495,
1448.276,2429.0373,
1445.365,2455.0519,
1442.455,2440.2948,
1439.544,2452.4776,
1436.633,2446.5786,
1433.723,2432.6273,
1430.812,2427.5966,
1427.902,2429.3828,
1424.991,2387.6813,
1422.081,2375.3653,
1419.170,2326.8517,
1416.259,2372.0291,
1413.349,2396.4589,
1410.438,2346.492,
1407.528,2336.2498,
1404.617,2318.1285,
1401.707,2310.4439,
1398.796,2354.777,
1395.885,2399.7491,
1392.975,2406.6666,
1390.064,2409.201,
1387.154,2408.0939,
1384.243,2374.0301,
1381.332,2377.1336,
1378.422,2420.4953,
1375.511,2519.7941,
1372.601,2539.8064,
1369.690,2626.24,
1366.780,2684.729,
1363.869,2721.0752,
1360.958,2752.8224,
1358.048,2795.2272,
1355.137,2836.8767,
1352.227,2876.8784,
1349.316,2909.7628,
1346.406,2956.18,
1343.495,3036.6032,
1340.584,3052.6966,
1337.674,3047.3431,
1334.763,3107.7038,
1331.853,3168.9011,
1328.942,3170.4855,
1326.032,3230.7309,
1323.121,3299.2064,
1320.210,3305.7225,
1317.300,3351.9057,
1314.389,3428.4591,
1311.479,3501.7631,
1308.568,3541.9871,
1305.657,3523.6653,
1302.747,3513.9108,
1299.836,3586.7168,
1296.926,3756.1524,
1294.015,3815.9084,
1291.105,3946.9341,
1288.194,4037.8594,
1285.283,4068.5471,
1282.373,4193.6089,
1279.462,4281.4923,
1276.552,4332.1468,
1273.641,4375.273,
1270.731,4364.8496,
1267.820,4338.8149,
1264.909,4355.7589,
1261.999,4302.0061,
1259.088,4346.7,
1256.178,4228.6146,
1253.267,4137.793,
1250.356,4061.5174,
1247.446,3947.3659,
1244.535,3788.7458,
1241.625,3669.3825,
1238.714,3610.3524,
1235.804,3532.647,
1232.893,3466.016,
1229.982,3391.5965,
1227.072,3339.0884,
1224.161,3295.8713,
1221.251,3254.8721,
1218.340,3208.3932,
1215.430,3142.5795,
1212.519,3077.6622,
1209.608,3056.0063,
1206.698,3071.0345,
1203.787,3064.762,
1200.877,3098.2049,
1197.966,3079.3225,
1195.055,3188.4441,
1192.145,3259.2177,
1189.234,3308.1658,
1186.324,3365.7425,
1183.413,3418.8065,
1180.503,3444.724,
1177.592,3435.0616,
1174.681,3389.9401,
1171.771,3358.1799,
1168.860,3306.3807,
1165.950,3249.7725,
1163.039,3228.2958,
1160.129,3177.1866,
1157.218,3149.1824,
1154.307,3132.1135,
1151.397,3095.157,
1148.486,3094.3779,
1145.576,3074.3297,
1142.665,3004.1846,
1139.754,3007.3249,
1136.844,2991.8674,
1133.933,2951.5307,
1131.023,2924.1261,
1128.112,2900.4492,
1125.202,2872.1721,
1122.291,2893.6338,
1119.380,2916.0372,
1116.470,2881.6186,
1113.559,2903.6655,
1110.649,2946.0818,
1107.738,2974.5555,
1104.828,2977.5496,
1101.917,2961.6824,
1099.006,2940.3957,
1096.096,2928.0414,
1093.185,2955.2594,
1090.275,2946.0452,
1087.364,2921.4191,
1084.453,2906.3128,
1081.543,2920.7803,
1078.632,2926.8249,
1075.722,2888.9392,
1072.811,2894.912,
1069.901,2944.6878,
1066.990,2957.2666,
1064.079,2977.7489,
1061.169,3014.5424,
1058.258,3055.5849,
1055.348,3072.4381,
1052.437,3059.9345,
1049.527,3092.5023,
1046.616,3069.9127,
1043.705,3100.5179,
1040.795,3120.5911,
1037.884,3131.9381,
1034.974,3141.0992,
1032.063,3160.7284,
1029.153,3206.9063,
1026.242,3236.3148,
1023.331,3184.8784,
1020.421,3218.9895,
1017.510,3249.0202,
1014.600,3260.3355,
1011.689,3266.3705,
1008.778,3296.8853,
1005.868,3445.8692,
1002.957,3500.9319,
1000.047,3617.847,
997.136,3701.2498,
994.226,3749.2209,
991.315,3755.2389,
988.404,3719.672,
985.494,3724.8981,
982.583,3658.9433,
979.673,3619.3775,
976.762,3618.3557,
973.852,3654.1057,
970.941,3668.1464,
968.030,3616.1265,
965.120,3620.2139,
962.209,3581.8495,
959.299,3627.0772,
956.388,3608.0576,
953.477,3623.6432,
950.567,3695.2964,
947.656,3702.2528,
944.746,3670.8192,
941.835,3653.9885,
938.925,3676.697,
936.014,3666.6012,
933.103,3655.0271,
930.193,3665.9876,
927.282,3618.9214,
924.372,3518.2942,
921.461,3517.8938,
918.551,3465.4435,
915.640,3395.9038,
912.729,3370.7928,
909.819,3406.7078,
906.908,3401.6532,
903.998,3374.3326,
901.087,3397.2908,
898.176,3440.6207,
895.266,3476.0404,
892.355,3499.6415,
889.445,3549.1583,
886.534,3564.4027,
883.624,3605.0536,
880.713,3639.7064,
877.802,3657.4593,
874.892,3661.375,
871.981,3660.4872,
869.071,3622.8937,
866.160,3626.0344,
863.250,3627.754,
860.339,3607.8343,
857.428,3572.7401,
854.518,3556.4843,
851.607,3525.6978,
848.697,3494.9258,
845.786,3465.2112,
842.875,3459.5606,
839.965,3489.5355,
837.054,3531.2261,
834.144,3517.9661,
831.233,3494.0432,
828.323,3485.8479,
825.412,3487.4091,
822.501,3476.1407,
819.591,3424.904,
816.680,3393.7275,
813.770,3339.3873,
810.859,3298.289,
807.949,3288.7141,
805.038,3306.4701,
802.127,3315.5245,
799.217,3282.8324,
796.306,3257.1857,
793.396,3261.5584,
790.485,3280.5317,
787.574,3263.2157,
784.664,3285.3587,
781.753,3261.8647,
778.843,3246.4147,
775.932,3273.6955,
773.022,3333.0351,
770.111,3292.1562,
767.200,3359.4157,
764.290,3325.3208,
761.379,3265.8632,
758.469,3247.8383,
755.558,3287.0103,
752.648,3274.7913,
749.737,3242.3467,
746.826,3231.9697,
743.916,3211.8486,
741.005,3130.628,
738.095,3017.7771,
735.184,2870.6588,
732.274,2817.9009,
729.363,2886.966,
726.452,3043.1322,
723.542,3158.0661,
720.631,3227.8317,
717.721,3231.3353,
714.810,3214.8068,
711.899,3205.6819,
708.989,3198.4196,
706.078,3206.388,
703.168,3168.9056,
700.257,3142.5499,
697.347,3140.9403,
694.436,3138.7422,
691.525,3115.4318,
688.615,3136.1604,
685.704,3142.3094,
682.794,3134.8218,
679.883,3151.033,
676.973,3187.896,
674.062,3147.5188,
671.151,3140.9765,
668.241,3172.3782,
665.330,3186.7489,
662.420,3152.4034,
659.509,3178.3914,
656.598,3176.1703,
653.688,3154.5861,
650.777,3174.7269,
647.867,3155.6151,
644.956,3174.9027,
642.046,3153.7196,
639.135,3108.4056,
636.224,3127.6097,
633.314,3174.4521,
630.403,3206.4762,
627.493,3225.368,
624.582,3230.3733,
621.672,3216.9094,
618.761,3208.0157,
615.850,3224.6596,
612.940,3260.5255,
610.029,3308.8446,
607.119,3365.698,
604.208,3340.8444,
601.297,3345.8231,
598.387,3347.6102,
595.476,3307.1123,
592.566,3293.7321,
589.655,3272.5862,
586.745,3273.6582,
583.834,3286.3987,
580.923,3279.2186,
578.013,3253.3224,
575.102,3247.5222,
572.192,3253.0197,
569.281,3267.5614,
566.371,3301.9968,
563.460,3315.957,
560.549,3320.375,
557.639,3336.2202,
554.728,3380.6068,
551.818,3400.1147,
548.907,3365.982,
545.996,3356.149,
543.086,3385.5822,
540.175,3414.3921,
537.265,3421.445,
534.354,3420.8665,
531.444,3429.5213,
528.533,3463.2862,
525.622,3532.3455,
522.712,3553.4425,
519.801,3571.1227,
516.891,3602.2958,
513.980,3646.4307,
511.070,3695.4532,
508.159,3738.2533,
505.248,3778.3953,
502.338,3821.5272,
499.427,3860.8906,
496.517,3917.7588,
493.606,3972.2185,
490.695,4009.9099,
487.785,4013.7589,
484.874,4058.9644,
481.964,4067.1791,
479.053,4036.4691,
476.143,4003.4467,
473.232,3931.5928,
470.321,3949.6266,
467.411,3980.6598,
464.500,3931.9568,
461.590,3954.929,
458.679,3985.588,
455.769,3996.8683,
452.858,3981.3973,
449.947,4010.4267,
447.037,4046.1063,
444.126,4046.8902,
441.216,4021.0634,
438.305,4053.8265,
435.395,4050.5074,
432.484,4049.709,
429.573,4052.955,
426.663,4046.8739,
423.752,4043.5853,
420.842,4018.1706,
417.931,4016.5241,
415.020,4112.0772,
412.110,4179.757,
409.199,4188.2161,
406.289,4185.6579,
403.378,4226.1829,
400.468,4169.4833,
397.557,4202.79,
394.646,4244.372,
391.736,4224.6748,
388.825,4202.8021,
385.915,4203.2935,
383.004,4208.8039,
380.094,4212.6727,
377.183,4316.5144,
374.272,4355.6878,
371.362,4391.4531,
368.451,4459.384,
365.541,4508.9194,
362.630,4544.7709,
359.719,4554.7919,
356.809,4534.8281,
353.898,4542.3161,
350.988,4534.6102,
348.077,4523.4709,
345.167,4519.2509,
342.256,4576.0281,
339.345,4582.8092,
336.435,4595.1944,
333.524,4648.1771,
