,PLD84F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.875,
3011.256,1.5248712,
3008.346,113.31184,
3005.435,135.20274,
3002.525,147.84256,
2999.614,157.32238,
2996.704,147.85077,
2993.793,145.09735,
2990.882,161.04106,
2987.972,167.09473,
2985.061,157.13485,
2982.151,168.85779,
2979.240,179.50616,
2976.329,186.61681,
2973.419,200.34015,
2970.508,216.29163,
2967.598,194.36396,
2964.687,205.81114,
2961.777,229.43286,
2958.866,215.46378,
2955.955,217.23118,
2953.045,219.77601,
2950.134,241.07255,
2947.224,246.18194,
2944.313,246.77671,
2941.403,254.68476,
2938.492,246.57216,
2935.581,256.53359,
2932.671,249.44691,
2929.760,252.17499,
2926.850,258.44568,
2923.939,266.04086,
2921.028,285.51917,
2918.118,275.6653,
2915.207,276.94777,
2912.297,301.01922,
2909.386,271.10311,
2906.476,288.7289,
2903.565,277.70574,
2900.654,287.74783,
2897.744,293.08728,
2894.833,276.517,
2891.923,266.0449,
2889.012,275.32731,
2886.102,304.1858,
2883.191,296.13822,
2880.280,259.02452,
2877.370,211.88094,
2874.459,241.4648,
2871.549,246.22996,
2868.638,277.72083,
2865.727,283.3058,
2862.817,289.61162,
2859.906,298.54379,
2856.996,311.68614,
2854.085,301.64601,
2851.175,310.02863,
2848.264,303.48283,
2845.353,311.77993,
2842.443,290.93405,
2839.532,301.75175,
2836.622,303.69792,
2833.711,299.06536,
2830.801,299.03162,
2827.890,303.49912,
2824.979,306.18695,
2822.069,301.21598,
2819.158,305.70451,
2816.248,303.11342,
2813.337,307.78476,
2810.427,300.82335,
2807.516,323.90172,
2804.605,321.26442,
2801.695,314.08553,
2798.784,324.53362,
2795.874,313.97459,
2792.963,315.98202,
2790.052,335.12028,
2787.142,315.79596,
2784.231,311.09239,
2781.321,321.42777,
2778.410,302.76458,
2775.500,318.25189,
2772.589,303.31842,
2769.678,322.90997,
2766.768,318.00848,
2763.857,320.28493,
2760.947,320.52098,
2758.036,314.29067,
2755.126,318.49894,
2752.215,328.08398,
2749.304,334.95412,
2746.394,332.94963,
2743.483,330.47496,
2740.573,336.35066,
2737.662,333.5821,
2734.751,333.75134,
2731.841,344.07189,
2728.930,337.553,
2726.020,341.57928,
2723.109,347.35183,
2720.199,357.35929,
2717.288,351.17973,
2714.377,350.92894,
2711.467,356.97774,
2708.556,358.72037,
2705.646,363.67427,
2702.735,377.62758,
2699.825,373.2777,
2696.914,370.17273,
2694.003,389.94127,
2691.093,369.76761,
2688.182,355.48796,
2685.272,376.859,
2682.361,354.10098,
2679.450,368.63121,
2676.540,369.16565,
2673.629,366.47929,
2670.719,357.125,
2667.808,378.05502,
2664.898,375.89154,
2661.987,371.72527,
2659.076,388.23491,
2656.166,377.18991,
2653.255,389.34439,
2650.345,385.36456,
2647.434,397.38222,
2644.524,395.49189,
2641.613,394.98232,
2638.702,391.23547,
2635.792,393.59459,
2632.881,392.32134,
2629.971,395.25251,
2627.060,394.29094,
2624.149,397.36875,
2621.239,397.13093,
2618.328,383.97274,
2615.418,400.47045,
2612.507,402.57161,
2609.597,393.50224,
2606.686,397.60494,
2603.775,418.04564,
2600.865,412.47992,
2597.954,411.07709,
2595.044,410.45538,
2592.133,417.23971,
2589.223,430.93238,
2586.312,432.22051,
2583.401,419.92063,
2580.491,419.22116,
2577.580,433.12665,
2574.670,436.3389,
2571.759,426.71063,
2568.848,425.64992,
2565.938,447.79176,
2563.027,442.07723,
2560.117,444.59227,
2557.206,439.125,
2554.296,453.40875,
2551.385,445.563,
2548.474,450.34731,
2545.564,443.4099,
2542.653,452.66191,
2539.743,443.71742,
2536.832,445.94183,
2533.922,453.07769,
2531.011,449.85002,
2528.100,450.19121,
2525.190,459.03074,
2522.279,460.0781,
2519.369,458.21939,
2516.458,453.34526,
2513.548,460.83395,
2510.637,462.81759,
2507.726,460.31088,
2504.816,457.24901,
2501.905,468.16829,
2498.995,456.43882,
2496.084,480.19122,
2493.173,485.46705,
2490.263,474.5521,
2487.352,476.45727,
2484.442,471.94724,
2481.531,493.3325,
2478.621,496.57053,
2475.710,472.32436,
2472.799,497.3851,
2469.889,504.33554,
2466.978,522.06307,
2464.068,503.09847,
2461.157,510.54751,
2458.247,505.13967,
2455.336,505.08195,
2452.425,499.10141,
2449.515,516.61565,
2446.604,513.42689,
2443.694,509.84624,
2440.783,526.6509,
2437.872,521.79682,
2434.962,520.21716,
2432.051,538.17435,
2429.141,529.7192,
2426.230,515.90729,
2423.320,539.55377,
2420.409,537.17617,
2417.498,535.75701,
2414.588,532.21243,
2411.677,532.58713,
2408.767,519.89567,
2405.856,525.59405,
2402.946,539.81579,
2400.035,543.42781,
2397.124,548.25868,
2394.214,557.33941,
2391.303,542.73272,
2388.393,561.29481,
2385.482,516.46028,
2382.571,551.68264,
2379.661,541.40385,
2376.750,566.75551,
2373.840,563.06566,
2370.929,562.11417,
2368.019,559.36513,
2365.108,573.9627,
2362.197,569.72226,
2359.287,565.33503,
2356.376,574.10739,
2353.466,575.70032,
2350.555,585.68013,
2347.645,589.34884,
