,PL28A0~1,
Raman shift [1/cm],Intensity,
2170.099,610.3636,
2167.189,666.56458,
2164.278,674.91307,
2161.368,682.35583,
2158.457,733.64674,
2155.546,776.02982,
2152.636,796.73933,
2149.725,822.47314,
2146.815,842.93273,
2143.904,882.9052,
2140.993,899.92323,
2138.083,918.1474,
2135.172,928.46641,
2132.262,920.60827,
2129.351,931.62425,
2126.441,920.71354,
2123.530,873.96125,
2120.619,821.68369,
2117.709,781.47987,
2114.798,736.4075,
2111.888,703.86275,
2108.977,655.90395,
2106.067,620.12433,
2103.156,605.94198,
2100.245,601.48181,
2097.335,570.69372,
2094.424,555.82455,
2091.514,549.06988,
2088.603,546.97465,
2085.692,519.12842,
2082.782,527.06609,
2079.871,499.06944,
2076.961,512.95013,
2074.050,498.22727,
2071.140,511.05184,
2068.229,508.9427,
2065.318,524.2655,
2062.408,522.54539,
2059.497,523.70834,
2056.587,504.51198,
2053.676,513.46557,
2050.766,510.11585,
2047.855,488.55696,
2044.944,489.30289,
2042.034,482.44799,
2039.123,492.30135,
2036.213,496.65552,
2033.302,498.54328,
2030.391,508.85595,
2027.481,495.85378,
2024.570,480.54315,
2021.660,476.61826,
2018.749,492.27206,
2015.839,486.76903,
2012.928,495.62584,
2010.017,518.52606,
2007.107,499.33361,
2004.196,483.6905,
2001.286,488.4788,
1998.375,477.45374,
1995.465,486.08571,
1992.554,487.74707,
1989.643,482.67282,
1986.733,481.76754,
1983.822,486.21787,
1980.912,481.08388,
1978.001,472.63544,
1975.090,483.88321,
1972.180,476.50135,
1969.269,450.17812,
1966.359,440.20269,
1963.448,451.18825,
1960.538,448.19641,
1957.627,424.20896,
1954.716,447.72438,
1951.806,455.95998,
1948.895,424.07696,
1945.985,412.40196,
1943.074,430.65868,
1940.164,428.5,
1937.253,415.1568,
1934.342,413.63689,
1931.432,399.48107,
1928.521,395.03368,
1925.611,400.89614,
1922.700,409.78867,
1919.790,410.77748,
1916.879,387.24374,
1913.968,374.51353,
1911.058,390.76427,
1908.147,390.11602,
1905.237,367.85298,
1902.326,400.35628,
1899.415,414.57926,
1896.505,398.23486,
1893.594,401.21956,
1890.684,390.68318,
1887.773,373.43086,
1884.863,381.05125,
1881.952,406.21476,
1879.041,390.02284,
1876.131,380.68562,
1873.220,394.44696,
1870.310,377.93501,
1867.399,370.59596,
1864.489,405.56536,
1861.578,382.5934,
1858.667,387.90117,
1855.757,405.32936,
1852.846,378.53075,
1849.936,393.47698,
1847.025,400.9647,
1844.114,413.01524,
1841.204,390.5979,
1838.293,396.98753,
1835.383,411.60449,
1832.472,410.38348,
1829.562,392.08515,
1826.651,411.8511,
1823.740,419.40421,
1820.830,424.44494,
1817.919,391.48181,
1815.009,394.63104,
1812.098,421.63384,
1809.188,439.50772,
1806.277,452.23442,
1803.366,433.66636,
1800.456,443.66487,
1797.545,442.99663,
1794.635,417.14314,
1791.724,468.40301,
1788.813,428.89537,
1785.903,424.34877,
1782.992,451.93963,
1780.082,440.40379,
1777.171,438.49786,
1774.261,442.54524,
1771.350,458.751,
1768.439,454.05355,
1765.529,464.31947,
1762.618,448.82683,
1759.708,465.39172,
1756.797,478.60606,
1753.887,465.09038,
1750.976,454.81022,
1748.065,444.95776,
1745.155,446.5,
1742.244,478.28256,
1739.334,449.30943,
1736.423,446.16353,
1733.512,447.67885,
1730.602,467.94051,
1727.691,497.76216,
1724.781,491.91477,
1721.870,509.42393,
1718.960,502.98875,
1716.049,471.13589,
1713.138,497.13485,
1710.228,458.11485,
1707.317,462.11486,
1704.407,513.81024,
1701.496,497.62285,
1698.586,520.44758,
1695.675,488.81449,
1692.764,519.63526,
1689.854,510.97637,
1686.943,510.5,
1684.033,532.92877,
1681.122,528.58496,
1678.211,487.89021,
1675.301,513.41983,
1672.390,545.72132,
1669.480,618.81813,
1666.569,535.32523,
1663.659,600.62693,
1660.748,667.4395,
1657.837,613.7187,
1654.927,624.36688,
1652.016,660.4271,
1649.106,657.25519,
1646.195,648.74677,
1643.285,700.04688,
1640.374,722.7892,
1637.463,690.38271,
1634.553,738.29311,
1631.642,725.54236,
1628.732,820.8496,
1625.821,879.52028,
1622.911,910.32531,
1620.000,967.76927,
1617.089,1061.6094,
1614.179,1125.6951,
1611.268,1193.9347,
1608.358,1283.2391,
1605.447,1359.1577,
1602.536,1370.9551,
1599.626,1374.2598,
1596.715,1339.1036,
1593.805,1365.013,
1590.894,1358.8126,
1587.984,1334.9816,
1585.073,1287.2575,
1582.162,1244.4348,
1579.252,1268.5954,
1576.341,1283.5106,
1573.431,1297.2476,
1570.520,1237.0567,
1567.610,1209.3038,
1564.699,1179.6739,
1561.788,1166.6831,
1558.878,1152.5275,
1555.967,1118.0914,
1553.057,1095.8449,
1550.146,1091.5,
1547.235,1027.7447,
1544.325,995.9417,
1541.414,1012.5207,
1538.504,984.58903,
1535.593,948.11777,
1532.683,936.14969,
1529.772,910.68151,
1526.861,898.15588,
1523.951,911.75456,
1521.040,877.6132,
1518.130,832.57204,
1515.219,876.13973,
1512.309,866.17561,
1509.398,807.28517,
1506.487,807.04328,
1503.577,803.62187,
1500.666,767.7092,
1497.756,755.10189,
1494.845,771.85856,
1491.934,708.55039,
1489.024,723.95028,
1486.113,740.26266,
1483.203,717.51947,
1480.292,702.62084,
1477.382,641.49788,
1474.471,683.51867,
1471.560,677.27868,
1468.650,657.56762,
1465.739,665.3098,
1462.829,638.48141,
1459.918,618.81495,
1457.008,657.54661,
1454.097,653.21656,
1451.186,613.73791,
1448.276,635.78289,
1445.365,642.10427,
1442.455,607.22668,
1439.544,613.45461,
1436.633,634.00447,
1433.723,619.49396,
1430.812,627.58939,
1427.902,552.75586,
1424.991,521.4797,
1422.081,526.00486,
1419.170,535.1406,
1416.259,541.36038,
1413.349,534.94759,
1410.438,471.61917,
1407.528,489.91818,
1404.617,474.57528,
1401.707,491.015,
1398.796,513.97906,
1395.885,486.81882,
1392.975,488.31308,
1390.064,510.2626,
1387.154,499.92973,
1384.243,487.87864,
1381.332,469.94667,
1378.422,466.27288,
1375.511,481.26138,
1372.601,600.38257,
1369.690,524.77775,
1366.780,584.15927,
1363.869,647.08862,
1360.958,741.40552,
1358.048,764.29396,
1355.137,750.39726,
1352.227,759.93798,
1349.316,785.16487,
1346.406,818.18835,
1343.495,866.44082,
1340.584,922.85677,
1337.674,949.42962,
1334.763,965.81757,
1331.853,974.16265,
1328.942,983.39464,
1326.032,1017.9404,
1323.121,1100.3374,
1320.210,1099.1972,
1317.300,1146.2939,
1314.389,1207.0004,
1311.479,1235.4222,
1308.568,1234.414,
1305.657,1242.3387,
1302.747,1332.9153,
1299.836,1343.0455,
1296.926,1379.5593,
1294.015,1466.895,
1291.105,1486.3498,
1288.194,1546.0095,
1285.283,1597.0162,
1282.373,1631.7499,
1279.462,1686.3227,
1276.552,1741.0119,
1273.641,1788.1744,
1270.731,1828.206,
1267.820,1818.775,
1264.909,1782.2359,
1261.999,1761.2296,
1259.088,1836.0235,
1256.178,1765.1318,
1253.267,1733.3201,
1250.356,1699.7326,
1247.446,1646.6026,
1244.535,1597.192,
1241.625,1532.3038,
1238.714,1464.4523,
1235.804,1441.0826,
1232.893,1386.7542,
1229.982,1366.7027,
1227.072,1343.1646,
1224.161,1312.0824,
1221.251,1280.4422,
1218.340,1252.7135,
1215.430,1227.6355,
1212.519,1205.0865,
1209.608,1194.9806,
1206.698,1204.6065,
1203.787,1226.5101,
1200.877,1265.3358,
1197.966,1278.8232,
1195.055,1334.9612,
1192.145,1333.9812,
1189.234,1381.7546,
1186.324,1418.2281,
1183.413,1448.4645,
1180.503,1462.998,
1177.592,1430.7827,
1174.681,1415.0788,
1171.771,1391.8297,
1168.860,1406.1191,
1165.950,1367.1855,
1163.039,1351.2144,
1160.129,1375.6333,
1157.218,1380.0779,
1154.307,1353.3692,
1151.397,1328.7651,
1148.486,1308.6037,
1145.576,1286.7313,
1142.665,1292.0588,
1139.754,1286.8046,
1136.844,1301.607,
1133.933,1301.4619,
1131.023,1278.5604,
1128.112,1269.5698,
