,PL6F19~1,
Wavenumbers [1/cm],Intensity,
2170.099,948.19496,
2167.189,928.22962,
2164.278,966.30955,
2161.368,1017.284,
2158.457,1065.2852,
2155.546,1099.3779,
2152.636,1149.2339,
2149.725,1177.4832,
2146.815,1221.5651,
2143.904,1245.0967,
2140.993,1246.5449,
2138.083,1289.6717,
2135.172,1286.2015,
2132.262,1308.941,
2129.351,1323.4068,
2126.441,1297.7961,
2123.530,1285.7082,
2120.619,1252.5691,
2117.709,1192.2882,
2114.798,1142.7345,
2111.888,1095.7888,
2108.977,1048.2914,
2106.067,1030.933,
2103.156,1005.2445,
2100.245,969.98494,
2097.335,944.79581,
2094.424,940.06894,
2091.514,941.20151,
2088.603,917.62674,
2085.692,918.54645,
2082.782,920.29318,
2079.871,920.82147,
2076.961,942.51471,
2074.050,938.09697,
2071.140,934.52917,
2068.229,908.72135,
2065.318,913.7035,
2062.408,917.87896,
2059.497,888.72613,
2056.587,884.56943,
2053.676,918.31512,
2050.766,890.7713,
2047.855,903.71844,
2044.944,870.50798,
2042.034,933.54906,
2039.123,911.57913,
2036.213,921.13119,
2033.302,920.08732,
2030.391,918.03341,
2027.481,937.67064,
2024.570,937.62866,
2021.660,951.11306,
2018.749,930.35416,
2015.839,919.38058,
2012.928,944.5755,
2010.017,928.25843,
2007.107,953.71961,
2004.196,941.92856,
2001.286,960.75261,
1998.375,952.73227,
1995.465,921.76161,
1992.554,911.61768,
1989.643,958.30638,
1986.733,943.87631,
1983.822,925.69276,
1980.912,931.90066,
1978.001,920.8219,
1975.090,935.76642,
1972.180,946.58644,
1969.269,930.97984,
1966.359,928.78388,
1963.448,941.76619,
1960.538,940.13094,
1957.627,957.72447,
1954.716,962.91382,
1951.806,940.43423,
1948.895,977.81795,
1945.985,922.55719,
1943.074,948.91518,
1940.164,937.08645,
1937.253,923.54362,
1934.342,918.52994,
1931.432,938.74133,
1928.521,945.15544,
1925.611,933.35074,
1922.700,916.54558,
1919.790,945.72795,
1916.879,917.51098,
1913.968,963.93975,
1911.058,967.46246,
1908.147,973.33576,
1905.237,965.82351,
1902.326,950.36297,
1899.415,944.3122,
1896.505,963.83755,
1893.594,990.45427,
1890.684,986.35297,
1887.773,983.15514,
1884.863,982.72437,
1881.952,980.60501,
1879.041,988.32139,
1876.131,973.08367,
1873.220,959.41147,
1870.310,952.4305,
1867.399,984.47221,
1864.489,1000.1432,
1861.578,979.2802,
1858.667,980.09283,
1855.757,971.98926,
1852.846,983.24616,
1849.936,987.65064,
1847.025,1015.3479,
1844.114,1017.4799,
1841.204,1003.2378,
1838.293,1012.5175,
1835.383,988.33751,
1832.472,1003.687,
1829.562,1029.6656,
1826.651,1049.0431,
1823.740,1032.7049,
1820.830,1038.6615,
1817.919,1058.4732,
1815.009,1044.8753,
1812.098,1077.0079,
1809.188,1075.3721,
1806.277,1042.7304,
1803.366,1057.4991,
1800.456,1087.9892,
1797.545,1098.9152,
1794.635,1043.6441,
1791.724,1074.6699,
1788.813,1080.6098,
1785.903,1113.1105,
