,PL6DEB~1,
Raman shift [1/cm],Intensity,
2170.099,295.46627,
2167.189,318.39465,
2164.278,367.57085,
2161.368,345.42743,
2158.457,382.97969,
2155.546,391.34902,
2152.636,410.87226,
2149.725,442.14092,
2146.815,439.23358,
2143.904,448.90334,
2140.993,466.31205,
2138.083,487.51677,
2135.172,470.5042,
2132.262,477.51056,
2129.351,487.28624,
2126.441,463.37856,
2123.530,445.53981,
2120.619,403.4863,
2117.709,387.6715,
2114.798,368.44614,
2111.888,357.28788,
2108.977,318.48342,
2106.067,300.24162,
2103.156,300,
2100.245,284.99561,
2097.335,276.79581,
2094.424,271.35089,
2091.514,276.27952,
2088.603,266,
2085.692,245.90346,
2082.782,236.24094,
2079.871,230.60677,
2076.961,245.8376,
2074.050,235.06667,
2071.140,256.32181,
2068.229,251.46876,
2065.318,234.7655,
2062.408,249.78819,
2059.497,246.56545,
2056.587,249.89511,
2053.676,241.3009,
2050.766,238,
2047.855,193.91133,
2044.944,226.99519,
2042.034,236.68204,
2039.123,221.91919,
2036.213,214,
2033.302,215.08694,
2030.391,235.32151,
2027.481,216.98807,
2024.570,215.42835,
2021.660,237.69916,
2018.749,216.46813,
2015.839,206.09383,
2012.928,223.01174,
2010.017,214.94788,
2007.107,224.86169,
2004.196,233.51191,
2001.286,216.47706,
1998.375,206.39173,
1995.465,213.29286,
1992.554,201.85305,
1989.643,189.3802,
1986.733,193.37456,
1983.822,199.85894,
1980.912,193.76195,
1978.001,183.21151,
1975.090,206.96947,
1972.180,207.41491,
1969.269,184.24422,
1966.359,179.89194,
1963.448,172.5033,
1960.538,166.56547,
1957.627,164.21672,
1954.716,174.684,
1951.806,174.20515,
1948.895,159.51011,
1945.985,162.5915,
1943.074,166.04789,
1940.164,175.08645,
1937.253,151.2134,
1934.342,154.21389,
1931.432,160.52681,
1928.521,152.19516,
1925.611,139.86379,
1922.700,139.54005,
1919.790,149.61262,
1916.879,138.90674,
1913.968,138.99877,
1911.058,102.30332,
1908.147,145.01456,
1905.237,126.34564,
1902.326,162.06517,
1899.415,158.00485,
1896.505,114.21686,
1893.594,122.0854,
1890.684,125.25495,
1887.773,110.49157,
1884.863,104.36219,
1881.952,125.62229,
1879.041,130.46106,
1876.131,130.62876,
1873.220,118.79641,
1870.310,141.13449,
1867.399,102.65574,
1864.489,117.77887,
1861.578,138.86799,
1858.667,150.39825,
1855.757,113.99284,
1852.846,119.48719,
1849.936,111.3954,
1847.025,122.34791,
1844.114,143.79294,
1841.204,132.07692,
1838.293,119.00166,
1835.383,137.12748,
1832.472,134.02261,
1829.562,131.22084,
1826.651,161.61599,
1823.740,136.60147,
1820.830,146.14981,
1817.919,139.96998,
1815.009,121.58779,
1812.098,154.00785,
1809.188,159.87596,
1806.277,157.0664,
1803.366,145.11645,
1800.456,152.10991,
