,PL49BE~1,
Wavenumbers [1/cm],Intensity,
2173.010,853.50198,
2170.099,904.72025,
2167.189,888.43355,
2164.278,938.90189,
2161.368,986.69612,
2158.457,1011.341,
2155.546,1070.8808,
2152.636,1112.7579,
2149.725,1151.5813,
2146.815,1166.8247,
2143.904,1243.6343,
2140.993,1261.0034,
2138.083,1264.9152,
2135.172,1282.7803,
2132.262,1292.9155,
2129.351,1295.7766,
2126.441,1285.824,
2123.530,1278.5301,
2120.619,1216.0796,
2117.709,1145.7417,
2114.798,1117.7441,
2111.888,1057.9521,
2108.977,1011.4892,
2106.067,977.75638,
2103.156,935.45094,
2100.245,909.13002,
2097.335,914.11453,
2094.424,883.02972,
2091.514,853.76747,
2088.603,852.1757,
2085.692,851.125,
2082.782,858.19323,
2079.871,849.62442,
2076.961,880.8002,
2074.050,860.27045,
2071.140,860.38958,
2068.229,842.85938,
2065.318,839.48351,
2062.408,862.40562,
2059.497,846.46424,
2056.587,833.9272,
2053.676,810.17665,
2050.766,817.04727,
2047.855,852.24215,
2044.944,824.38621,
2042.034,835.09604,
2039.123,835.38762,
2036.213,841.22491,
2033.302,818.84235,
2030.391,837.22626,
2027.481,846.8689,
2024.570,812.56877,
2021.660,868.22247,
2018.749,846.88481,
2015.839,862.35859,
2012.928,846.63004,
2010.017,875.44965,
2007.107,877.38108,
2004.196,867.35115,
2001.286,865.79283,
1998.375,885.34646,
1995.465,863.59375,
1992.554,851.74268,
1989.643,852.09044,
1986.733,870.16184,
1983.822,853.26606,
1980.912,860.50175,
1978.001,872.09159,
1975.090,855.70363,
1972.180,872.3311,
1969.269,862.4439,
1966.359,862.39545,
1963.448,848.20954,
1960.538,850.67463,
1957.627,858.47485,
1954.716,871.75155,
1951.806,846.47275,
1948.895,847.64128,
1945.985,816.8652,
1943.074,852.94034,
1940.164,865.31702,
1937.253,842.125,
1934.342,840.10789,
1931.432,841.58872,
1928.521,854.51533,
1925.611,821.9241,
1922.700,844.32251,
1919.790,856.70879,
1916.879,818.98473,
1913.968,848.08565,
1911.058,889.22708,
1908.147,837.04765,
1905.237,859.50002,
1902.326,867.85094,
1899.415,840.65913,
1896.505,828.43841,
1893.594,861.39029,
1890.684,871.99431,
1887.773,873.90072,
1884.863,879.40063,
1881.952,869.6626,
1879.041,853.02115,
1876.131,832.83742,
1873.220,825.63826,
1870.310,888.24596,
1867.399,859.66878,
1864.489,878.51444,
1861.578,884.48242,
1858.667,851.7657,
1855.757,864.13574,
1852.846,857.40191,
1849.936,867.38126,
1847.025,881.29041,
1844.114,917.84731,
1841.204,895.86976,
1838.293,904.10671,
1835.383,920.0435,
1832.472,884.98413,
1829.562,911.78439,
1826.651,929.81701,
1823.740,927.03688,
1820.830,941.24323,
1817.919,912.54994,
1815.009,959.92397,
1812.098,943.09352,
1809.188,917.61342,
1806.277,924.92581,
1803.366,934.69246,
1800.456,912.03773,
1797.545,963.41571,
1794.635,974.06097,
1791.724,957.9794,
1788.813,956.53709,
1785.903,984.74522,
1782.992,939.90737,
1780.082,905.9452,
1777.171,903.78452,
1774.261,888.44023,
1771.350,950.86602,
1768.439,999.10134,
1765.529,981.58057,
1762.618,991.50688,
1759.708,1018.1144,
1756.797,1046.0417,
1753.887,1021.2256,
1750.976,1004.0216,
1748.065,1049.2924,
1745.155,1036.164,
1742.244,1019.4221,
1739.334,1037.8732,
1736.423,1033.8203,
1733.512,1060.4137,
1730.602,1051.9285,
1727.691,1085.811,
1724.781,1080.0337,
1721.870,1074.3202,
1718.960,1086.4585,
1716.049,1110.9383,
1713.138,1117.69,
1710.228,1076.3507,
1707.317,1093.1239,
1704.407,1090.7346,
1701.496,1151.1987,
1698.586,1126.6335,
1695.675,1167.1676,
1692.764,1108.5881,
1689.854,1174.9636,
1686.943,1195.5179,
1684.033,1173.6962,
1681.122,1208.5133,
1678.211,1176.4391,
1675.301,1238.9307,
1672.390,1269.0263,
1669.480,1236.3657,
1666.569,1266.4678,
1663.659,1293.86,
1660.748,1337.7201,
1657.837,1317.3,
1654.927,1326.0856,
1652.016,1366.3437,
1649.106,1376.5939,
1646.195,1435.7244,
1643.285,1459.2363,
1640.374,1423.0483,
1637.463,1513.4673,
1634.553,1532.5683,
1631.642,1562.733,
1628.732,1618.605,
1625.821,1699.144,
1622.911,1727.9616,
1620.000,1850.5628,
1617.089,1967.7767,
1614.179,2052.7279,
1611.268,2192.8086,
1608.358,2287.7236,
1605.447,2317.5823,
1602.536,2403.9267,
1599.626,2394.4861,
1596.715,2380.4186,
1593.805,2354.978,
1590.894,2324.8242,
1587.984,2308.9997,
1585.073,2305.4234,
1582.162,2275.904,
1579.252,2236.5747,
1576.341,2221.9154,
1573.431,2180.1831,
1570.520,2148.4868,
1567.610,2113.0657,
1564.699,2091.5245,
1561.788,2092.7587,
1558.878,2090.3457,
1555.967,2075.5724,
1553.057,2026.3841,
1550.146,1991.6778,
1547.235,1998.7025,
1544.325,1954.3995,
1541.414,1934.7273,
1538.504,1931.0315,
1535.593,1837.0878,
1532.683,1800.5517,
1529.772,1813.1943,
1526.861,1771.5506,
1523.951,1774.3978,
1521.040,1765.727,
1518.130,1739.6255,
1515.219,1703.8841,
1512.309,1733.3818,
1509.398,1729.1916,
1506.487,1724.117,
1503.577,1730.1859,
1500.666,1712.4535,
1497.756,1706.5148,
1494.845,1697.7643,
1491.934,1665.2195,
