,PL35D3~1,
Raman shift [1/cm],Intensity,
2175.920,1004.9442,
2173.010,1040.3518,
2170.099,1095.6697,
2167.189,1169.2984,
2164.278,1231.3966,
2161.368,1282.4427,
2158.457,1382.1745,
2155.546,1432.3741,
2152.636,1481.7153,
2149.725,1553.4656,
2146.815,1586.1409,
2143.904,1661.1947,
2140.993,1716.0918,
2138.083,1732.5802,
2135.172,1732.7658,
2132.262,1759.6444,
2129.351,1705.9505,
2126.441,1707.9624,
2123.530,1651.7638,
2120.619,1545.068,
2117.709,1463.7699,
2114.798,1381.1634,
2111.888,1324.8768,
2108.977,1237.5571,
2106.067,1181.0566,
2103.156,1127.8832,
2100.245,1082.8599,
2097.335,1056.7075,
2094.424,1036.3274,
2091.514,1011.8642,
2088.603,994.8243,
2085.692,978.14276,
2082.782,989.90698,
2079.871,944.01504,
2076.961,968.35646,
2074.050,967.19621,
2071.140,959.82855,
2068.229,984.88803,
2065.318,972.7025,
2062.408,971.98091,
2059.497,960.06547,
2056.587,939.85202,
2053.676,939.40793,
2050.766,950.10519,
2047.855,931.21675,
2044.944,945.0032,
2042.034,951.29108,
2039.123,923.13426,
2036.213,923.39281,
2033.302,937.22276,
2030.391,956.97626,
2027.481,942.81424,
2024.570,944.98902,
2021.660,935.58455,
2018.749,954.4571,
2015.839,942.26083,
2012.928,932.10487,
2010.017,932.55035,
2007.107,931.875,
2004.196,945.69648,
2001.286,952.83261,
1998.375,944.6998,
1995.465,933.43572,
1992.554,918.60452,
1989.643,914.94413,
1986.733,922.96535,
1983.822,909.55521,
1980.912,919.2705,
1978.001,909.41676,
1975.090,937.67195,
1972.180,932.59974,
1969.269,905.49562,
1966.359,894.4156,
1963.448,901.98861,
1960.538,910.36708,
1957.627,888.69232,
1954.716,899.47282,
1951.806,924.29174,
1948.895,879.97614,
1945.985,911.81127,
1943.074,897.35105,
1940.164,902.25987,
1937.253,889.73222,
1934.342,876.13167,
1931.432,882.78351,
1928.521,856.13407,
1925.611,851.59577,
1922.700,866.91229,
