,PLEB9E~1,
Wavenumbers [1/cm],Intensity,
2170.099,613.99407,
2167.189,612.27267,
2164.278,649.41307,
2161.368,656.85583,
2158.457,694.59068,
2155.546,731.98369,
2152.636,782.74991,
2149.725,833.61742,
2146.815,846.79979,
2143.904,889.90705,
2140.993,898.61915,
2138.083,883.03641,
2135.172,890.61336,
2132.262,910.79753,
2129.351,924.20341,
2126.441,920.233,
2123.530,887.87654,
2120.619,866.1289,
2117.709,796.94525,
2114.798,769.52665,
2111.888,714.60072,
2108.977,695.18543,
2106.067,676.31569,
2103.156,631.40742,
2100.245,619.98934,
2097.335,600.83246,
2094.424,583.80325,
2091.514,573.56446,
2088.603,564.37326,
2085.692,568.18215,
2082.782,564.75906,
2079.871,558.07118,
2076.961,582.2564,
2074.050,560.58182,
2071.140,570.55184,
2068.229,561.36719,
2065.318,553.938,
2062.408,552.44705,
2059.497,543.97617,
2056.587,539.54645,
2053.676,537.73353,
2050.766,529.61585,
2047.855,535.11392,
2044.944,541.66025,
2042.034,547.86112,
2039.123,530.7037,
2036.213,557.27107,
2033.302,552.06511,
2030.391,555.4238,
2027.481,562.92675,
2024.570,528.91526,
2021.660,559.63483,
2018.749,532.29168,
2015.839,558.67782,
2012.928,530.18289,
2010.017,563.85776,
2007.107,549.83738,
2004.196,561.75004,
2001.286,579.85511,
1998.375,542.55215,
1995.465,546.81161,
1992.554,556.50585,
1989.643,539.62215,
1986.733,550.03684,
1983.822,535.53914,
1980.912,547.35614,
1978.001,534.68646,
1975.090,544.36032,
1972.180,560,
1969.269,561.13219,
1966.359,546.43223,
1963.448,534.34742,
1960.538,542.73812,
1957.627,551.24149,
1954.716,527.71817,
1951.806,536.39742,
1948.895,537.87864,
1945.985,503.55719,
1943.074,532.43912,
1940.164,531,
1937.253,524.54362,
1934.342,504.90589,
1931.432,498.6183,
1928.521,518.23489,
1925.611,484.47447,
1922.700,493.32596,
1919.790,501.72252,
1916.879,497.34875,
1913.968,502.99262,
1911.058,520.27327,
1908.147,510.53139,
1905.237,514.39706,
1902.326,521.01036,
1899.415,518.92559,
1896.505,491.09042,
1893.594,509.90248,
1890.684,505.44456,
1887.773,505.17201,
1884.863,508.70843,
1881.952,522.13482,
1879.041,524.70457,
1876.131,509.96994,
1873.220,489.5663,
1870.310,499.99549,
1867.399,553.15234,
1864.489,510.46732,
1861.578,519.94521,
1858.667,506.30834,
1855.757,541.20644,
1852.846,536.26153,
1849.936,531.51253,
1847.025,514.17274,
1844.114,529.39058,
1841.204,533.76573,
1838.293,543.49751,
1835.383,545,
1832.472,547.96522,
1829.562,527.64192,
1826.651,536.1971,
1823.740,536.53638,
1820.830,541.48826,
1817.919,553.77252,
1815.009,548.29389,
1812.098,579.31494,
1809.188,552.04658,
1806.277,538.26558,
1803.366,533.183,
1800.456,546.3082,
1797.545,586.18439,
1794.635,585.41996,
1791.724,568.82523,
