,PLC9DE~1,
Raman shift [1/cm],Intensity,
1989.643,2370.0686,
1986.733,2391.1075,
1983.822,2386.9393,
1980.912,2392.6524,
1978.001,2387.2062,
1975.090,2361.1643,
1972.180,2381.3045,
1969.269,2392.148,
1966.359,2399.6995,
1963.448,2396.1478,
1960.538,2425.6469,
1957.627,2405.7341,
1954.716,2415.9728,
1951.806,2414.3814,
1948.895,2399.2009,
1945.985,2420.6773,
1943.074,2407.7033,
1940.164,2412.1248,
1937.253,2401.401,
1934.342,2394.2467,
1931.432,2364.9428,
1928.521,2355.0244,
1925.611,2358.2581,
1922.700,2363.3322,
1919.790,2397.9642,
1916.879,2370.8162,
1913.968,2370.3725,
1911.058,2421.6393,
1908.147,2420.3268,
1905.237,2386.1838,
1902.326,2386.3854,
1899.415,2390.2055,
1896.505,2387.7788,
1893.594,2401.8384,
1890.684,2403.9958,
1887.773,2381.3674,
1884.863,2385.1791,
1881.952,2394.6101,
1879.041,2371.4627,
1876.131,2385.7345,
1873.220,2345.9191,
1870.310,2399.7112,
1867.399,2372.8868,
1864.489,2397.9605,
1861.578,2345.7536,
1858.667,2416.3481,
1855.757,2418.5456,
1852.846,2453.3853,
1849.936,2450.0036,
1847.025,2425.1998,
1844.114,2441.5045,
1841.204,2475.7281,
1838.293,2488.3567,
1835.383,2506.4795,
1832.472,2490.4324,
1829.562,2475.375,
1826.651,2518.453,
1823.740,2536.1911,
1820.830,2520.7135,
1817.919,2524.5188,
1815.009,2563.1931,
1812.098,2528.9813,
1809.188,2597.5376,
1806.277,2557.3931,
1803.366,2601.5913,
1800.456,2612.5065,
1797.545,2582.6798,
1794.635,2604.085,
1791.724,2591.4139,
1788.813,2589.1979,
1785.903,2658.968,
1782.992,2656.5211,
1780.082,2661.4712,
1777.171,2659.0415,
1774.261,2652.5349,
1771.350,2670.0775,
1768.439,2718.3333,
1765.529,2719.1009,
1762.618,2694.915,
1759.708,2735.593,
1756.797,2790.9129,
1753.887,2769.9377,
1750.976,2748.6577,
1748.065,2778.5547,
1745.155,2817.8975,
1742.244,2811.8216,
1739.334,2808.8526,
1736.423,2807.1358,
1733.512,2859.9483,
1730.602,2889.3512,
1727.691,2883.1631,
1724.781,2900.0394,
