,PL3C42~1,
Wavenumbers [1/cm],Intensity,
2173.010,789.69955,
2170.099,835.16123,
2167.189,847.83007,
2164.278,897.31508,
2161.368,933.21263,
2158.457,982.32695,
2155.546,1036.1347,
2152.636,1067.3776,
2149.725,1119.4328,
2146.815,1184.598,
2143.904,1204.8978,
2140.993,1208.1136,
2138.083,1237.2295,
2135.172,1255.8531,
2132.262,1287.8952,
2129.351,1318.4001,
2126.441,1264.5386,
2123.530,1213.3541,
2120.619,1193.3443,
2117.709,1136.3704,
2114.798,1077.6382,
2111.888,1018.0009,
2108.977,982.60595,
2106.067,930.27247,
2103.156,882.18643,
2100.245,878.48871,
2097.335,855.44242,
2094.424,815.38846,
2091.514,795.48916,
2088.603,773.70278,
2085.692,769.5,
2082.782,773.74094,
2079.871,767.2853,
2076.961,762.69373,
2074.050,780.93636,
2071.140,786.60368,
2068.229,776.9427,
2065.318,785.37599,
2062.408,772.54539,
2059.497,750.26188,
2056.587,741.75575,
2053.676,746.76647,
2050.766,744.73094,
2047.855,754.87023,
2044.944,767.63301,
2042.034,758.78311,
2039.123,743.1431,
2036.213,770.84666,
2033.302,763.15224,
2030.391,753.70355,
2027.481,759.42675,
2024.570,765.87134,
2021.660,772.14522,
2018.749,762.99388,
2015.839,771.46456,
2012.928,745.95973,
2010.017,753.01901,
2007.107,774.96731,
2004.196,775.67852,
2001.286,796.94163,
1998.375,778.44388,
1995.465,758.92679,
1992.554,771.64695,
1989.643,775.43087,
1986.733,787.75088,
1983.822,774.07681,
1980.912,767.40066,
1978.001,755.38126,
1975.090,761.09389,
1972.180,767.3617,
1969.269,761.31031,
1966.359,752.20269,
1963.448,760.9967,
1960.538,776.67265,
1957.627,754.53404,
1954.716,760.24146,
1951.806,748.59292,
1948.895,759.68031,
1945.985,701.07843,
1943.074,745.4371,
1940.164,757.13425,
1937.253,734.81724,
1934.342,739.9615,
1931.432,727.99527,
1928.521,745.22885,
1925.611,709.92906,
1922.700,722.36602,
1919.790,749.44776,
1916.879,721.80173,
1913.968,754.45696,
1911.058,722.82133,
1908.147,745.61828,
1905.237,759.39697,
1902.326,709.40073,
1899.415,714.87561,
1896.505,717.33142,
1893.594,734.49697,
1890.684,745.14703,
1887.773,747.18971,
1884.863,753.15376,
1881.952,742.85265,
1879.041,742.55192,
1876.131,730.65556,
1873.220,707.45125,
1870.310,724.92149,
1867.399,740.27609,
1864.489,731.55148,
1861.578,758.99439,
1858.667,768.80542,
1855.757,743.69212,
1852.846,766.06919,
1849.936,788.36188,
1847.025,758.14232,
1844.114,785.53531,
1841.204,773.75175,
1838.293,757.9842,
1835.383,776.24399,
1832.472,793.58174,
1829.562,800.5,
1826.651,779.3029,
1823.740,779.69159,
1820.830,827.48464,
1817.919,796.52367,
1815.009,790.78117,
1812.098,814.83857,
1809.188,841.88754,
1806.277,787.76152,
1803.366,829.58318,
1800.456,833.29094,
1797.545,813.79071,
1794.635,824.82297,
1791.724,811.84954,
1788.813,813.71311,
1785.903,853.32753,
