,PL7B96~1,
Wavenumbers [1/cm],Intensity,
2173.010,532.25,
2170.099,577.31152,
2167.189,574.45091,
2164.278,607.67915,
2161.368,644.10656,
2158.457,667.2643,
2155.546,707.47601,
2152.636,740.48933,
2149.725,778.70635,
2146.815,782.35011,
2143.904,836.64777,
2140.993,839.39805,
2138.083,862.6026,
2135.172,851.78779,
2132.262,845.37236,
2129.351,868.41566,
2126.441,862.99753,
2123.530,818.32857,
2120.619,816.58064,
2117.709,752.75725,
2114.798,703.71898,
2111.888,658.00045,
2108.977,635.53476,
2106.067,601.70678,
2103.156,595.88951,
2100.245,565.24247,
2097.335,550.60079,
2094.424,530.53195,
2091.514,525.74729,
2088.603,516.02882,
2085.692,516.16075,
2082.782,528.73188,
2079.871,514.99913,
2076.961,514.05627,
2074.050,525.76515,
2071.140,515.60637,
2068.229,511.97787,
2065.318,511.25,
2062.408,517.15922,
2059.497,499.20234,
2056.587,498.8544,
2053.676,481.56811,
2050.766,502.09454,
2047.855,514.0254,
2044.944,476.37339,
2042.034,502.77601,
2039.123,501.93013,
2036.213,508.11447,
2033.302,502.29366,
2030.391,491.60595,
2027.481,495.71337,
2024.570,495.56433,
2021.660,510.30393,
2018.749,494.6299,
2015.839,505.1916,
2012.928,511.70973,
2010.017,512.60071,
2007.107,510.41262,
2004.196,509.25,
2001.286,529.79413,
1998.375,518.89467,
1995.465,487.01161,
1992.554,502.28511,
1989.643,510.07718,
1986.733,511.14298,
1983.822,514.04616,
1980.912,534.82357,
1978.001,507.81772,
1975.090,512.04695,
1972.180,508.90559,
1969.269,513.3075,
1966.359,506.6282,
1963.448,500.71103,
1960.538,513.42265,
1957.627,516.25,
1954.716,508.47981,
1951.806,519.54807,
1948.895,521.80673,
1945.985,494.57353,
1943.074,476.6043,
1940.164,474.36554,
1937.253,488.9717,
1934.342,485.19867,
1931.432,470.59069,
1928.521,473.34154,
1925.611,471.76305,
1922.700,489.82734,
1919.790,499.55631,
1916.879,461.17948,
1913.968,501.19713,
1911.058,486.8536,
1908.147,480.05437,
1905.237,474.43384,
1902.326,481.40408,
1899.415,467.39267,
1896.505,459.82242,
1893.594,478.06708,
1890.684,479.73366,
1887.773,490.22386,
1884.863,518.66002,
1881.952,484.21546,
1879.041,472.57139,
1876.131,455.70491,
1873.220,456.48011,
1870.310,486.02573,
1867.399,484.31397,
1864.489,491.40577,
1861.578,493.84901,
1858.667,480.54341,
1855.757,482.05072,
1852.846,485.52178,
1849.936,488.57634,
1847.025,487.06505,
1844.114,528.87119,
1841.204,518.91434,
1838.293,513.22838,
1835.383,533.90099,
1832.472,524.83087,
1829.562,502.11276,
1826.651,526.01998,
1823.740,524.23464,
1820.830,521.33664,
1817.919,524.69313,
1815.009,514.97519,
1812.098,515.94291,
1809.188,536.88561,
1806.277,495.2238,
1803.366,534.68254,
1800.456,558.54633,
1797.545,530.44852,
1794.635,540.05697,
1791.724,531.52176,
1788.813,560.4464,
1785.903,552.29843,
1782.992,547.76411,
1780.082,512.16641,
1777.171,495.23606,
1774.261,455.66025,
1771.350,515.24202,
1768.439,558.77989,
1765.529,541.52316,
1762.618,565.50754,
1759.708,571.90201,
1756.797,573.46212,
1753.887,580.91618,
1750.976,569.35341,
1748.065,594.74308,
1745.155,578.75992,
1742.244,584.41119,
1739.334,593.14177,
1736.423,563.6949,
1733.512,572.62404,
1730.602,625.13102,
1727.691,637.17936,
1724.781,618.94532,
1721.870,622.29767,
1718.960,604.51643,
1716.049,603.6059,
1713.138,626.47989,
1710.228,632.86089,
1707.317,653.59514,
1704.407,650.85962,
1701.496,649.33845,
1698.586,667.72969,
1695.675,669.25,
1692.764,664.51639,
1689.854,676.68702,
1686.943,703.33941,
1684.033,656.46698,
1681.122,690.63827,
1678.211,696.20241,
1675.301,725.16058,
1672.390,783.0556,
1669.480,718.68319,
1666.569,771.99608,
1663.659,752.70731,
1660.748,780.09575,
1657.837,772.90609,
1654.927,801.40655,
1652.016,766.85748,
1649.106,792.13132,
1646.195,828.20906,
1643.285,867.38672,
1640.374,873.68902,
1637.463,895.47499,
1634.553,962.54556,
1631.642,982.27172,
1628.732,984.56405,
1625.821,1037.2788,
1622.911,1081.0021,
1620.000,1187.8893,
1617.089,1218.653,
1614.179,1296.9939,
1611.268,1295.3987,
1608.358,1414.3971,
1605.447,1490.9649,
1602.536,1557.6864,
1599.626,1533.7321,
1596.715,1499.484,
1593.805,1522.1856,
1590.894,1521.7273,
1587.984,1484.8741,
1585.073,1497.968,
1582.162,1447.8173,
1579.252,1412.701,
1576.341,1362.3905,
1573.431,1362.9976,
1570.520,1379.2444,
1567.610,1330.3472,
1564.699,1336.176,
1561.788,1307.9264,
1558.878,1314.0984,
1555.967,1293.8594,
1553.057,1267.4053,
1550.146,1236.0537,
1547.235,1236.1888,
1544.325,1208.7938,
1541.414,1174.9295,
1538.504,1159.4325,
1535.593,1134.6164,
1532.683,1117.0342,
1529.772,1102.0377,
1526.861,1076.7895,
1523.951,1071.6862,
1521.040,1083.0837,
1518.130,1059.0981,
1515.219,1036.1697,
1512.309,1037.0833,
1509.398,1005.3831,
1506.487,998.13152,
1503.577,1026.6048,
1500.666,1010.6904,
1497.756,1007.3942,
1494.845,1020.2495,
1491.934,996.30039,
1489.024,1011.7003,
1486.113,982.5791,
1483.203,966.03932,
1480.292,958.31042,
1477.382,916.83759,
1474.471,897.27407,
1471.560,915.29432,
1468.650,915.05072,
1465.739,945.19598,
1462.829,929.63459,
1459.918,891.88524,
1457.008,882.78849,
1454.097,887.56079,
1451.186,882.34865,
1448.276,859.81195,
1445.365,852.46643,
1442.455,886.17627,
1439.544,896.48156,
1436.633,863.79419,
1433.723,884.87613,
1430.812,884.76201,
1427.902,915.48331,
1424.991,883.25939,
1422.081,868.48784,
1419.170,878.48278,
1416.259,831.64622,
1413.349,777.20126,
1410.438,809.43546,
1407.528,841.48109,
1404.617,807.15102,
1401.707,812.69613,
1398.796,848.91432,
1395.885,836.23409,
1392.975,839.00124,
1390.064,894.13293,
1387.154,876.38883,
1384.243,813.83669,
1381.332,834.66057,
1378.422,903.65085,
1375.511,930.81749,
1372.601,879.64206,
1369.690,956.68613,
1366.780,933.81638,
1363.869,989.63293,
1360.958,1009.6285,
1358.048,1058.8681,
1355.137,1076.3767,
1352.227,1071.2305,
1349.316,1086.1941,
1346.406,1096.9135,
1343.495,1124.2117,
1340.584,1152.6075,
1337.674,1137.146,
1334.763,1186.3206,
1331.853,1188.175,
1328.942,1267.4123,
1326.032,1229.1284,
1323.121,1273.0814,
1320.210,1313.5595,
1317.300,1316.577,
1314.389,1314.3334,
1311.479,1379.7253,
1308.568,1451.9886,
1305.657,1456.0742,
1302.747,1515.3705,
1299.836,1564.4098,
1296.926,1600.3527,
1294.015,1581.0469,
1291.105,1622.516,
1288.194,1704.1306,
1285.283,1741.1501,
1282.373,1752.0469,
1279.462,1767.9752,
1276.552,1809.9115,
1273.641,1843.352,
1270.731,1852.0112,
1267.820,1883.5738,
1264.909,1893.2277,
1261.999,1872.0822,
1259.088,1894.8852,
1256.178,1854.2836,
1253.267,1809.6574,
1250.356,1761.6783,
1247.446,1721.9544,
1244.535,1684.4465,
1241.625,1643.6797,
1238.714,1592.2751,
1235.804,1533.5704,
1232.893,1508.3825,
1229.982,1472.4408,
1227.072,1419.0274,
1224.161,1392.5564,
1221.251,1364.4257,
1218.340,1334.2244,
1215.430,1309.0372,
1212.519,1297.7972,
1209.608,1285.5556,
1206.698,1274.2077,
1203.787,1300.2902,
1200.877,1284.1943,
1197.966,1283.2951,
1195.055,1335.2982,
1192.145,1383.3199,
1189.234,1423.4993,
1186.324,1459.5248,
1183.413,1475.4835,
1180.503,1456.3872,
1177.592,1429.5229,
1174.681,1444.4212,
1171.771,1404.6209,
1168.860,1420.6965,
1165.950,1372.2601,
1163.039,1361.6468,
1160.129,1370.508,
1157.218,1373.8463,
1154.307,1360.4903,
1151.397,1344.5961,
1148.486,1350.0511,
1145.576,1341.9394,
1142.665,1311.7503,
1139.754,1345.0497,
1136.844,1357.4518,
1133.933,1355.1445,
1131.023,1352.7221,
1128.112,1348.2507,
1125.202,1342.8732,
1122.291,1357.6341,
1119.380,1381.328,
1116.470,1389.2707,
1113.559,1421.9532,
1110.649,1403.0916,
1107.738,1370.568,
1104.828,1359.411,
1101.917,1358.445,
1099.006,1345.5798,
1096.096,1360.1212,
1093.185,1341.6831,
1090.275,1321.6368,
1087.364,1351.5561,
1084.453,1362.1878,
1081.543,1364.8233,
1078.632,1367.9223,
1075.722,1365.8411,
1072.811,1405.6987,
1069.901,1383.8672,
1066.990,1455.8082,
1064.079,1424.253,
1061.169,1417.819,
1058.258,1441.8371,
1055.348,1441.2581,
1052.437,1407.3818,
1049.527,1418.4178,
1046.616,1422.762,
1043.705,1464.1005,
1040.795,1460.2874,
1037.884,1440.6295,
1034.974,1419.8222,
1032.063,1410.3574,
1029.153,1436.977,
1026.242,1443.0317,
1023.331,1475.7479,
1020.421,1478.7645,
1017.510,1491.2569,
1014.600,1542.0054,
1011.689,1592.5441,
1008.778,1577.0923,
1005.868,1541.5666,
1002.957,1576.8411,
1000.047,1651.41,
997.136,1730.6966,
994.226,1749.0657,
991.315,1708.2005,
988.404,1661.4677,
985.494,1621.8446,
982.583,1648.3978,
979.673,1634.6905,
976.762,1611.224,
973.852,1610.3003,
970.941,1635.5125,
968.030,1660.8974,
965.120,1653.3789,
962.209,1684.0704,
959.299,1676.5015,
956.388,1665.6504,
953.477,1658.7838,
950.567,1667.7983,
947.656,1700.5761,
944.746,1680.1868,
941.835,1691.3972,
938.925,1687.0114,
936.014,1678.6976,
933.103,1660.8324,
930.193,1632.2549,
927.282,1615.5626,
924.372,1602.8785,
921.461,1589.4676,
918.551,1570.7267,
915.640,1542.4024,
912.729,1517.4449,
909.819,1515.6948,
906.908,1519.0645,
903.998,1493.003,
901.087,1521.8943,
898.176,1555.6115,
895.266,1564.8542,
892.355,1554.6635,
889.445,1562.2169,
886.534,1585.6264,
883.624,1617.1633,
880.713,1625.6568,
877.802,1591.0269,
874.892,1523.0354,
871.981,1472.6779,
869.071,1448.4509,
866.160,1439.4203,
863.250,1499.1059,
860.339,1573.8647,
857.428,1605.1456,
854.518,1593.8669,
851.607,1511.492,
848.697,1506.8794,
845.786,1495.162,
842.875,1514.8553,
839.965,1579.4296,
837.054,1580.5198,
834.144,1604.5536,
831.233,1640.5811,
828.323,1647.3477,
825.412,1642.4355,
822.501,1647.8244,
819.591,1628.8172,
816.680,1636.2628,
813.770,1601.9128,
810.859,1573.4814,
807.949,1563.3207,
805.038,1554.1681,
802.127,1520.4199,
799.217,1515.7592,
796.306,1511.8446,
793.396,1492.12,
790.485,1461.0384,
787.574,1446.0596,
784.664,1467.3825,
781.753,1485.3407,
778.843,1489.3095,
775.932,1491.4968,
773.022,1508.0683,
770.111,1539.1363,
767.200,1531.3529,
764.290,1526.5164,
761.379,1531.158,
758.469,1536.4832,
755.558,1522.5174,
752.648,1531.4781,
749.737,1507.1384,
746.826,1521.2233,
743.916,1532.3081,
741.005,1482.6518,
738.095,1521.6219,
735.184,1473.3356,
732.274,1418.0667,
729.363,1395.992,
726.452,1419.0971,
723.542,1451.4728,
720.631,1460.1309,
717.721,1459.3858,
714.810,1454.9659,
711.899,1449.745,
708.989,1443.2896,
706.078,1492.1295,
703.168,1480.5684,
700.257,1478.0397,
697.347,1484.7295,
694.436,1443.49,
691.525,1452.3319,
688.615,1423.4334,
685.704,1413.8839,
682.794,1440.9307,
679.883,1492.0337,
676.973,1487.2255,
674.062,1490.0785,
671.151,1477.3468,
668.241,1462.5385,
665.330,1475.3802,
662.420,1457.0094,
659.509,1469.7582,
656.598,1488.3377,
653.688,1489.438,
650.777,1454.3841,
647.867,1487.8299,
644.956,1472.9606,
642.046,1432.3011,
639.135,1404.9401,
636.224,1445.2619,
633.314,1447.6438,
630.403,1477.8105,
627.493,1517.4537,
624.582,1530.4163,
621.672,1450.4249,
618.761,1463.9687,
615.850,1460.4342,
612.940,1478.8651,
610.029,1519.0434,
607.119,1463.7693,
604.208,1512.211,
601.297,1513.8108,
598.387,1497.2629,
595.476,1509.1813,
592.566,1529.645,
589.655,1505.3907,
586.745,1485.0424,
583.834,1490.3271,
580.923,1533.2784,
578.013,1537.9868,
575.102,1521.4688,
572.192,1506.1063,
569.281,1510.1236,
566.371,1553.9505,
563.460,1563.1883,
560.549,1535.526,
557.639,1505.0557,
554.728,1510.0092,
551.818,1553.7069,
548.907,1544.9676,
545.996,1528.9733,
543.086,1520.9079,
540.175,1514.6787,
537.265,1521.4928,
534.354,1536.2906,
531.444,1543.2342,
528.533,1532.8436,
525.622,1569.3131,
522.712,1600.3066,
519.801,1599.9748,
516.891,1587.1444,
513.980,1645.9909,
511.070,1606.8761,
508.159,1615.4713,
505.248,1654.0127,
502.338,1681.4248,
499.427,1721.56,
496.517,1728.8561,
493.606,1737.6907,
490.695,1762.3897,
487.785,1777.7855,
484.874,1725.9672,
481.964,1729.057,
479.053,1765.3217,
476.143,1723.8517,
473.232,1737.7963,
470.321,1747.656,
467.411,1747.4511,
464.500,1736.153,
461.590,1732.3243,
458.679,1766.4689,
455.769,1790.524,
452.858,1780.0909,
449.947,1778.5631,
447.037,1809.8015,
444.126,1826.1833,
441.216,1820.7052,
438.305,1829.0864,
435.395,1832.2169,
432.484,1844.0856,
429.573,1851.7949,
426.663,1819.869,
423.752,1712.6371,
420.842,1591.8968,
417.931,1503.5428,
415.020,1508.093,
412.110,1719.6862,
409.199,1800.184,
406.289,1811.6133,
403.378,1837.4267,
400.468,1889.5904,
397.557,1882.085,
394.646,1895.881,
391.736,1994.5739,
388.825,1973.4555,
385.915,1949.1554,
