,PLFBFD~1,
Wavenumbers [1/cm],Intensity,
2173.010,580.24915,
2170.099,628.11907,
2167.189,618.1824,
2164.278,634.19536,
2161.368,689.12403,
2158.457,709.97225,
2155.546,735.79043,
2152.636,776.0292,
2149.725,808.42699,
2146.815,829.55773,
2143.904,862.93168,
2140.993,876.09858,
2138.083,888.00939,
2135.172,915.21736,
2132.262,898.49208,
2129.351,917.78031,
2126.441,886.25109,
2123.530,879.8444,
2120.619,851.40956,
2117.709,810.45793,
2114.798,751.41335,
2111.888,716.13838,
2108.977,697.76076,
2106.067,679.16556,
2103.156,652.00896,
2100.245,630.11998,
2097.335,622.60667,
2094.424,618.22647,
2091.514,588.83464,
2088.603,593.94062,
2085.692,591.57491,
2082.782,581.53865,
2079.871,589.51823,
2076.961,618.25224,
2074.050,597.19167,
2071.140,611.0451,
2068.229,579.29556,
2065.318,591.97675,
2062.408,593.57205,
2059.497,583.2976,
2056.587,584.05507,
2053.676,591.39147,
2050.766,580.12575,
2047.855,557.38131,
2044.944,568.65224,
2042.034,580.38505,
2039.123,581.7883,
2036.213,597.32048,
2033.302,592.97257,
2030.391,587.15944,
2027.481,602.16134,
2024.570,599.32531,
2021.660,600.88848,
2018.749,608.04902,
2015.839,607.33563,
2012.928,611.21728,
2010.017,598.125,
2007.107,601.05585,
2004.196,613.82741,
2001.286,615.47837,
1998.375,587.46554,
1995.465,575.55179,
1992.554,590.90133,
1989.643,611.46829,
1986.733,616.64342,
1983.822,608.26606,
1980.912,605.93662,
1978.001,600.1417,
1975.090,604.74942,
1972.180,591.74602,
1969.269,613.59922,
1966.359,614.31395,
1963.448,606.31655,
1960.538,609.55953,
1957.627,611.90828,
1954.716,619.89519,
1951.806,617.46631,
1948.895,634.96318,
1945.985,584.63971,
1943.074,598.27273,
1940.164,575.27878,
1937.253,578.30309,
1934.342,580.048,
1931.432,584.4026,
1928.521,602.56714,
1925.611,564.59947,
1922.700,595.61118,
1919.790,582.28714,
1916.879,588.35776,
1913.968,608.10164,
1911.058,589.23912,
1908.147,616.20235,
1905.237,596.92647,
1902.326,588.21391,
1899.415,562.51646,
1896.505,578.61926,
1893.594,606.94814,
1890.684,616.22945,
1887.773,631.23714,
1884.863,625.93593,
1881.952,629.00745,
1879.041,595.56995,
1876.131,607.74198,
1873.220,596.56299,
1870.310,624.75723,
1867.399,605.47686,
1864.489,665.7105,
1861.578,606.0316,
1858.667,604.53818,
1855.757,608.49851,
1852.846,638.62756,
1849.936,634.68357,
1847.025,627.06417,
1844.114,632.10146,
1841.204,642.81381,
1838.293,647.15161,
1835.383,651.34548,
1832.472,645.58935,
1829.562,637.15182,
1826.651,661.63832,
1823.740,641.2782,
1820.830,648.64485,
1817.919,665.52627,
1815.009,651.85656,
1812.098,677.84939,
1809.188,639.85378,
1806.277,637.125,
1803.366,677.55754,
1800.456,701.91594,
