,PLA601~1,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,0.67506442,
3008.346,181.67672,
3005.435,201.22306,
3002.525,215.13003,
2999.614,215.18668,
2996.704,233.86262,
2993.793,238.01267,
2990.882,228.375,
2987.972,244.35987,
2985.061,247.5819,
2982.151,242.1649,
2979.240,255.00808,
2976.329,270.65094,
2973.419,295.59015,
2970.508,302.90835,
2967.598,300.09187,
2964.687,310.55435,
2961.777,313.62294,
2958.866,324.38242,
2955.955,327.27543,
2953.045,333.51149,
2950.134,353.34292,
2947.224,337.34294,
2944.313,379.81304,
2941.403,380.94617,
2938.492,390.94953,
2935.581,395.89647,
2932.671,393.37933,
2929.760,404.14806,
2926.850,405.74793,
2923.939,411.45444,
2921.028,414.91619,
2918.118,420.35611,
2915.207,434.08392,
2912.297,425.42578,
2909.386,434.17792,
2906.476,428.92557,
2903.565,434.74611,
2900.654,426.25772,
2897.744,439.13613,
2894.833,416.66373,
2891.923,406.5096,
2889.012,433.71026,
2886.102,427.97905,
2883.191,422.38066,
2880.280,437.62859,
2877.370,407.47392,
2874.459,418.84048,
2871.549,431.50659,
2868.638,432.375,
2865.727,446.84427,
2862.817,441.84692,
2859.906,451.74252,
2856.996,454.41123,
2854.085,446.375,
2851.175,445.85091,
2848.264,455.29183,
2845.353,455.5044,
2842.443,447.00007,
2839.532,447.88233,
2836.622,442.58854,
2833.711,433.5979,
2830.801,414.87868,
2827.890,436.14951,
2824.979,449.23904,
2822.069,446.32951,
2819.158,443.13511,
2816.248,439.89237,
2813.337,439.73597,
2810.427,460.41218,
2807.516,449.49032,
2804.605,438.10576,
2801.695,433.86186,
2798.784,428.336,
2795.874,436.93435,
2792.963,441.94628,
2790.052,441.37436,
2787.142,438.26961,
2784.231,432.47126,
2781.321,454.92921,
2778.410,430.47018,
2775.500,437.09706,
2772.589,451.45146,
2769.678,432.77096,
2766.768,438.85464,
2763.857,445.95496,
2760.947,449.34348,
2758.036,454.54067,
2755.126,454.38141,
2752.215,444.28872,
2749.304,464.33182,
2746.394,469.83471,
2743.483,462.02499,
2740.573,467.81086,
2737.662,471.26849,
2734.751,467.67607,
2731.841,442.75228,
2728.930,469.92586,
2726.020,474.49248,
2723.109,474.94208,
2720.199,478.51252,
2717.288,474.8312,
2714.377,474.375,
2711.467,495.40796,
2708.556,491.5451,
2705.646,496.22007,
2702.735,485.20747,
2699.825,477.5277,
2696.914,485.75638,
2694.003,476.97174,
2691.093,499.5892,
2688.182,491.26537,
2685.272,498.78183,
2682.361,491.01583,
2679.450,491.09523,
2676.540,508.04981,
2673.629,501.99827,
2670.719,515.59404,
2667.808,500.95863,
2664.898,482.75146,
2661.987,504.84191,
2659.076,496.91812,
2656.166,522.48757,
2653.255,508.74915,
2650.345,521.89587,
2647.434,522.43187,
2644.524,516.62202,
2641.613,530.23232,
2638.702,537.31188,
2635.792,526.4069,
2632.881,539.27351,
2629.971,518.34795,
2627.060,538.71,
2624.149,539.15623,
2621.239,538.84239,
2618.328,540.61203,
2615.418,523.04318,
2612.507,529.82161,
2609.597,549.81412,
2606.686,538.2967,
2603.775,547.9742,
2600.865,556.84261,
2597.954,540.90205,
2595.044,551.375,
2592.133,566.66178,
2589.223,569.24236,
2586.312,567.7167,
2583.401,571.17063,
2580.491,569.7452,
2577.580,566.42121,
2574.670,590.77742,
2571.759,576.42038,
