,PLE9A8~1,
Wavenumbers [1/cm],Intensity,
2173.010,558.27381,
2170.099,607.09377,
2167.189,614.81572,
2164.278,655.27186,
2161.368,653.06943,
2158.457,702.54891,
2155.546,735.36254,
2152.636,754.59042,
2149.725,809.59392,
2146.815,833.0662,
2143.904,829.70816,
2140.993,851.12961,
2138.083,864.52427,
2135.172,862.63435,
2132.262,868.40581,
2129.351,886.78624,
2126.441,873.48054,
2123.530,869.11838,
2120.619,831.64695,
2117.709,797.47987,
2114.798,760.17682,
2111.888,720.90108,
2108.977,674.61257,
2106.067,653.15784,
2103.156,654.89918,
2100.245,629.49561,
2097.335,618.16493,
2094.424,588.65415,
2091.514,593.71235,
2088.603,579.10834,
2085.692,571.81967,
2082.782,567.01812,
2079.871,579.9294,
2076.961,585.37084,
2074.050,599.06364,
2071.140,589.21275,
2068.229,582.22787,
2065.318,575.37599,
2062.408,581.25793,
2059.497,558.42256,
2056.587,538.17433,
2053.676,550.2994,
2050.766,540.50075,
2047.855,557.47152,
2044.944,560.62339,
2042.034,580.62707,
2039.123,570.06229,
2036.213,580.55995,
2033.302,556.80448,
2030.391,562.38101,
2027.481,575.45116,
2024.570,548.00078,
2021.660,582.01657,
2018.749,563.61397,
2015.839,565.69291,
2012.928,563.48826,
2010.017,587.13519,
2007.107,605.03269,
2004.196,594.59525,
2001.286,596.68728,
1998.375,596.89173,
1995.465,554.23661,
1992.554,550.38817,
1989.643,574.67047,
1986.733,577.14211,
1983.822,587.93575,
1980.912,581.53936,
1978.001,572.12709,
1975.090,570.31221,
1972.180,567.91356,
1969.269,577.29313,
1966.359,579.90537,
1963.448,589.45773,
1960.538,612.16472,
1957.627,591.53404,
1954.716,566.16072,
1951.806,580.14582,
1948.895,588.80168,
1945.985,565.13399,
1943.074,562.24553,
1940.164,536.36534,
1937.253,549.71703,
1934.342,562.91872,
1931.432,553.5,
1928.521,582.7228,
1925.611,564.62373,
1922.700,546.75138,
1919.790,564.44776,
1916.879,560.058,
1913.968,558.50123,
1911.058,557.6982,
1908.147,565.54822,
1905.237,589.36759,
1902.326,555.92814,
1899.415,567.4683,
1896.505,575.02414,
1893.594,584.58843,
1890.684,589.5,
1887.773,586.61214,
1884.863,579.39749,
1881.952,566.0376,
1879.041,554.69159,
1876.131,559.82941,
1873.220,533.60608,
1870.310,559.20398,
1867.399,575.27609,
1864.489,569.20098,
1861.578,583.13762,
1858.667,550.94012,
1855.757,559.27923,
1852.846,586.01794,
1849.936,585.91943,
1847.025,580.19827,
1844.114,610.87881,
1841.204,602.79371,
1838.293,606.98753,
1835.383,617.2325,
1832.472,597.55739,
1829.562,599.10886,
1826.651,591.40556,
1823.740,573.30841,
1820.830,594.19313,
1817.919,607.20064,
1815.009,577.67558,
1812.098,601.22439,
1809.188,627.94956,
1806.277,599.18609,
1803.366,603.83272,
1800.456,624.04957,
1797.545,633.96097,
1794.635,639.53202,
1791.724,645.17963,
1788.813,641.70411,
1785.903,659.42438,
1782.992,665.84274,
1780.082,656.97322,
1777.171,710.50697,
1774.261,702.18931,
1771.350,661.10026,
1768.439,671.62516,
1765.529,642.49906,
1762.618,653.89253,
1759.708,668.92388,
1756.797,688.09091,
1753.887,679.85715,
1750.976,653.19306,
1748.065,688.82411,
1745.155,680.92603,
1742.244,686.99905,
1739.334,682.38236,
1736.423,667.43459,
1733.512,672.50409,
1730.602,694.20042,
1727.691,682.07615,
1724.781,696.16441,
1721.870,703.10953,
1718.960,684.58866,
1716.049,713.22001,
1713.138,724.62997,
1710.228,707.22376,
1707.317,730.15257,
1704.407,740.68718,
1701.496,736.03071,
1698.586,731.80406,
1695.675,763.31409,
1692.764,773.07377,
